"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Super.Group","Organism_Taxonomic_ID","Organism.Name"
"15","GCA_008761655.1","KAB2098009.1"," -"," PTHR19842.orig.30.pi"," -",3.2e-150,502,1.3,5e-151,501.9,1.3,"NCBI","Streptophyta",3634,"Gossypium barbadense"
"16","GCA_008761655.1","KAB2098010.1"," -"," PTHR19842.orig.30.pi"," -",3.2e-150,502,1.3,5e-151,501.9,1.3,"NCBI","Streptophyta",3634,"Gossypium barbadense"
"17","GCA_038405125.1","KAK8315294.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"18","GCA_038405125.1","KAK8371103.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"19","GCA_040938325.1","KAL1121391.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"20","GCA_040938325.1","KAL1121392.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"21","GCA_040938325.1","KAL1187024.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"22","GCA_000403535.1","EOY09359.1"," -"," PTHR19842.orig.30.pi"," -",3.6e-151,503.8,1.6,4e-152,503.6,1.6,"NCBI","Streptophyta",3641,"Theobroma cacao"
"23","GCA_040436765.1","KAL0555166.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-150,501,1.7,9e-151,500.9,1.7,"NCBI","Streptophyta",3656,"Cucumis melo"
"24","GCA_000004075.3","KGN66363.2"," -"," PTHR19842.orig.30.pi"," -",1.6e-55,188.6,7.4,3.8e-29,102,4,"NCBI","Streptophyta",3659,"Cucumis sativus"
"25","GCA_000002775.4","PNS97971.1"," -"," PTHR19842.orig.30.pi"," -",3.5e-150,500.8,2.5,3e-151,500.5,2.5,"NCBI","Streptophyta",3694,"Populus trichocarpa"
"26","GCA_015852605.2","KAH8485609.1"," -"," PTHR19842.orig.30.pi"," -",3.7e-147,490.6,2.2,5e-148,490.4,2.2,"NCBI","Streptophyta",3696,"Populus deltoides"
"27","GCA_000001735.2","AEE76052.1"," -"," PTHR19842.orig.30.pi"," -",1e-144,482.8,3.9,1e-145,482.6,3.9,"NCBI","Streptophyta",3702,"Arabidopsis thaliana"
"28","GCA_905183035.1","CAF2100687.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-145,486.5,2.8,8e-146,486.4,2.8,"NCBI","Streptophyta",3708,"Brassica napus"
"29","GCA_003434825.1","RID63365.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-145,485.8,2.6,2e-146,485.6,2.6,"NCBI","Streptophyta",3711,"Brassica rapa"
"30","GCA_000801105.3","KAJ4893910.1"," -"," PTHR19842.orig.30.pi"," -",7.9e-146,486.5,2.8,8e-147,486.4,2.8,"NCBI","Streptophyta",3726,"Raphanus sativus"
"31","GCA_012274485.2","KAF8103698.1"," -"," PTHR19842.orig.30.pi"," -",8e-146,486.5,2.8,8e-147,486.4,2.8,"NCBI","Streptophyta",3728,"Sinapis alba"
"32","GCA_004115385.1","RXH81146.1"," -"," PTHR19842.orig.30.pi"," -",3.6e-148,493.9,2.2,2e-149,493.7,2.2,"NCBI","Streptophyta",3750,"Malus domestica"
"33","GCA_008632915.2","BBH07375.1"," -"," PTHR19842.orig.30.pi"," -",4.1e-151,502.6,1.7,9e-152,502.4,1.7,"NCBI","Streptophyta",3755,"Prunus dulcis"
"34","GCA_000346465.2","ONH95394.1"," -"," PTHR19842.orig.30.pi"," -",4.4e-151,503.6,1.9,2e-152,503.4,1.9,"NCBI","Streptophyta",3760,"Prunus persica"
"35","GCA_001972305.1","GAV63904.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-147,491.8,2.1,8e-148,491.4,2.1,"NCBI","Streptophyta",3775,"Cephalotus follicularis"
"36","GCA_041383265.1","KAL1335745.1"," -"," PTHR19842.orig.30.pi"," -",1.8e-148,495.7,2.5,2e-148,495.6,2.5,"NCBI","Streptophyta",3818,"Arachis hypogaea"
"37","GCA_000340665.2","KYP50366.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-145,485.8,1.9,5e-146,485.5,1.9,"NCBI","Streptophyta",3821,"Cajanus cajan"
"38","GCA_037954105.1","KAK7328258.1"," -"," PTHR19842.orig.30.pi"," -",6.8e-150,499.4,2,8e-150,499.2,2,"NCBI","Streptophyta",3824,"Canavalia gladiata"
"39","GCA_037953625.1","KAK7245539.1"," -"," PTHR19842.orig.30.pi"," -",4.2e-150,500.1,2.1,9e-151,499.9,2.1,"NCBI","Streptophyta",3830,"Crotalaria pallida"
"40","GCA_020497155.1","KAH1208336.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-149,499.2,1.8,2e-149,499,1.8,"NCBI","Streptophyta",3847,"Glycine max"
"41","GCA_043381025.1","KAL2579728.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-149,499.2,1.8,2e-149,499,1.8,"NCBI","Streptophyta",3847,"Glycine max"
"42","GCA_000722935.2","KHN28630.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-149,499.2,1.8,2e-150,499,1.8,"NCBI","Streptophyta",3848,"Glycine soja"
"43","GCA_004193775.2","RZB63697.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-149,499.2,1.8,2e-150,499,1.8,"NCBI","Streptophyta",3848,"Glycine soja"
"44","GCA_963859935.3","CAK8530756.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-148,495.4,1.5,2e-149,495.2,1.5,"NCBI","Streptophyta",3860,"Lathyrus sativus"
"45","GCA_009771035.1","KAE9594527.1"," -"," PTHR19842.orig.30.pi"," -",3e-150,500.6,2.3,5e-151,500.4,2.3,"NCBI","Streptophyta",3870,"Lupinus albus"
"46","GCA_001865875.1","OIW20192.1"," -"," PTHR19842.orig.30.pi"," -",3.3e-147,490.4,1.4,9e-148,490.2,1.4,"NCBI","Streptophyta",3871,"Lupinus angustifolius"
"47","GCA_964019355.1","CAL0301304.1"," -"," PTHR19842.orig.30.pi"," -",1.8e-149,498,2.2,1e-150,497.8,2.2,"NCBI","Streptophyta",3873,"Lupinus luteus"
"48","GCA_000219495.2","KEH36636.1"," -"," PTHR19842.orig.30.pi"," -",9.3e-149,496.3,2.2,1e-149,496,2.2,"NCBI","Streptophyta",3880,"Medicago truncatula"
"49","GCA_000499845.2","ESW20012.1"," -"," PTHR19842.orig.30.pi"," -",9.7e-150,498.9,2,1e-150,498.7,2,"NCBI","Streptophyta",3885,"Phaseolus vulgaris"
"50","GCA_037954025.1","KAK7332071.1"," -"," PTHR19842.orig.30.pi"," -",6.4e-150,499.2,2.1,9e-151,498.9,2.1,"NCBI","Streptophyta",3886,"Phaseolus coccineus"
"51","GCA_024323335.2","KAI5447699.1"," -"," PTHR19842.orig.30.pi"," -",2.1e-148,495.4,1.5,4e-149,495.2,1.5,"NCBI","Streptophyta",3888,"Pisum sativum"
"52","GCA_037954015.1","KAK7412473.1"," -"," PTHR19842.orig.30.pi"," -",3.5e-150,500.1,2.1,1e-151,499.9,2.1,"NCBI","Streptophyta",3891,"Psophocarpus tetragonolobus"
"53","GCA_032173615.1","KAK2393750.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-149,500,1.6,5e-150,499.8,1.6,"NCBI","Streptophyta",3899,"Trifolium repens"
"54","GCA_032173615.1","KAK2447470.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-149,500,1.6,5e-150,499.8,1.6,"NCBI","Streptophyta",3899,"Trifolium repens"
"55","GCA_001742945.1","GAU35473.1"," -"," PTHR19842.orig.30.pi"," -",5e-150,500,1.6,8e-151,499.8,1.6,"NCBI","Streptophyta",3900,"Trifolium subterraneum"
"56","GCA_948472305.1","CAI8590967.1"," -"," PTHR19842.orig.30.pi"," -",8.2e-149,495.8,1.6,4e-150,495.6,1.6,"NCBI","Streptophyta",3906,"Vicia faba"
"57","GCA_001190045.1","KOM53659.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-149,498.6,2,2e-150,498.4,2,"NCBI","Streptophyta",3914,"Vigna angularis"
"58","GCA_036885675.1","WVY94442.1"," -"," PTHR19842.orig.30.pi"," -",1.8e-142,475,1.4,2e-143,474.7,1.4,"NCBI","Streptophyta",3915,"Vigna mungo"
"59","GCA_003958685.2","QCD76881.1"," -"," PTHR19842.orig.30.pi"," -",6.2e-150,499.6,2.2,2e-151,499.4,2.2,"NCBI","Streptophyta",3917,"Vigna unguiculata"
"60","GCA_030052815.1","KAJ9186966.1"," -"," PTHR19842.orig.30.pi"," -",2.5e-149,497.6,2,3e-149,497.4,2,"NCBI","Streptophyta",3981,"Hevea brasiliensis"
"61","GCA_030052815.1","KAJ9186967.1"," -"," PTHR19842.orig.30.pi"," -",2.5e-149,497.6,2,3e-149,497.4,2,"NCBI","Streptophyta",3981,"Hevea brasiliensis"
"62","GCA_030052815.1","KAJ9186968.1"," -"," PTHR19842.orig.30.pi"," -",2.5e-149,497.6,2,3e-149,497.4,2,"NCBI","Streptophyta",3981,"Hevea brasiliensis"
"63","GCA_030052815.1","KAJ9186969.1"," -"," PTHR19842.orig.30.pi"," -",2.5e-149,497.6,2,3e-149,497.4,2,"NCBI","Streptophyta",3981,"Hevea brasiliensis"
"64","GCA_001659605.2","OAY51131.1"," -"," PTHR19842.orig.30.pi"," -",7.1e-149,496.7,2,6e-150,496.4,2,"NCBI","Streptophyta",3983,"Manihot esculenta"
"65","GCA_000151685.2","EEF38726.1"," -"," PTHR19842.orig.30.pi"," -",2.1e-150,500.8,1.5,3e-151,500.7,1.5,"NCBI","Streptophyta",3988,"Ricinus communis"
"66","GCA_025594385.1","KAI9161948.1"," -"," PTHR19842.orig.30.pi"," -",4.7e-149,496.3,2.5,9e-150,496,2.5,"NCBI","Streptophyta",4023,"Acer negundo"
"67","GCA_030979865.1","KAK1577909.1"," -"," PTHR19842.orig.30.pi"," -",2.4e-148,494.3,4.2,1e-149,493.9,4.2,"NCBI","Streptophyta",4024,"Acer saccharum"
"68","GCA_042100155.1","KAL1815210.1"," -"," PTHR19842.orig.30.pi"," -",1.8e-149,497.8,2.3,2e-149,497.7,2.3,"NCBI","Streptophyta",4039,"Daucus carota"
"69","GCA_024505715.1","KAI5652406.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-148,494.9,1.3,8e-149,494.7,1.3,"NCBI","Streptophyta",4058,"Catharanthus roseus"
"70","GCA_011745845.1","KAF3615376.1"," -"," PTHR19842.orig.30.pi"," -",2.8e-144,480.9,0.5,4e-145,480.7,0.5,"NCBI","Streptophyta",4072,"Capsicum annuum"
"71","GCA_018107945.1","MCD9644624.1"," -"," PTHR19842.orig.30.pi"," -",8.3e-146,486.4,0.5,9e-147,486.2,0.5,"NCBI","Streptophyta",4076,"Datura stramonium"
"72","GCA_006013705.1","TMX02492.1"," -"," PTHR19842.orig.30.pi"," -",2.7e-146,487.1,0.5,2e-147,486.8,0.5,"NCBI","Streptophyta",4083,"Solanum chilense"
"73","GCA_018258275.1","KAG5615489.1"," -"," PTHR19842.orig.30.pi"," -",6.7e-146,487.1,0.5,1e-147,486.8,0.5,"NCBI","Streptophyta",4109,"Solanum commersonii"
"74","GCA_020169555.1","KAH0691473.1"," -"," PTHR19842.orig.30.pi"," -",2.5e-141,471.3,1.5,8e-142,471.1,1.5,"NCBI","Streptophyta",4113,"Solanum tuberosum"
"75","GCA_000504015.1","EYU20727.1"," -"," PTHR19842.orig.30.pi"," -",3.8e-146,486.7,1.5,5e-147,486.5,1.5,"NCBI","Streptophyta",4155,"Erythranthe guttata"
"76","GCA_008636005.1","GER57155.1"," -"," PTHR19842.orig.30.pi"," -",8.2e-148,492.4,1.5,6e-149,492.2,1.5,"NCBI","Streptophyta",4170,"Striga asiatica"
"77","GCA_001692995.2","KAL2228247.1"," -"," PTHR19842.orig.30.pi"," -",1e-149,498.5,1.7,2e-150,498.3,1.7,"NCBI","Streptophyta",4182,"Sesamum indicum"
"78","GCA_024762085.1","KAI7742148.1"," -"," PTHR19842.orig.30.pi"," -",5.1e-150,499.7,2.2,8e-151,499.5,2.2,"NCBI","Streptophyta",4212,"Ambrosia artemisiifolia"
"79","GCA_024762085.1","KAI7754210.1"," -"," PTHR19842.orig.30.pi"," -",5.1e-150,499.7,2.2,8e-151,499.5,2.2,"NCBI","Streptophyta",4212,"Ambrosia artemisiifolia"
"80","GCA_023525745.1","KAI3728501.1"," -"," PTHR19842.orig.30.pi"," -",2.9e-60,205,0.1,3.5e-60,204.7,0.1,"NCBI","Streptophyta",4217,"Arctium lappa"
"81","GCA_026651665.1","KAJ0760700.1"," -"," PTHR19842.orig.30.pi"," -",8.9e-150,499.7,2.2,1e-149,499.5,2.2,"NCBI","Streptophyta",4232,"Helianthus annuus"
"82","GCA_026652165.1","KAJ0795700.1"," -"," PTHR19842.orig.30.pi"," -",9.1e-150,499.7,2.2,1e-149,499.5,2.2,"NCBI","Streptophyta",4232,"Helianthus annuus"
"83","GCA_002870075.4","KAJ0226797.1"," -"," PTHR19842.orig.30.pi"," -",4e-150,500.4,2.8,6e-151,500.2,2.8,"NCBI","Streptophyta",4236,"Lactuca sativa"
"84","GCA_963931745.2","CAL5351973.1"," -"," PTHR19842.orig.30.pi"," -",1.5e-149,498.5,3,7e-150,498.2,3,"NCBI","Streptophyta",4442,"Camellia sinensis"
"85","GCA_009445465.1","MQM14974.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-135,453,0,8e-136,452,0,"NCBI","Streptophyta",4460,"Colocasia esculenta"
"86","GCA_030737845.1","KAK1321526.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-148,495.7,2.8,3e-149,495.5,2.8,"NCBI","Streptophyta",4465,"Acorus calamus"
"87","GCA_024137805.1","KAI4998644.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-137,459.7,0.1,8e-138,459.3,0.1,"NCBI","Streptophyta",4513,"Hordeum vulgare"
"88","GCA_030979885.1","KAK1645277.1"," -"," PTHR19842.orig.30.pi"," -",5.8e-148,494,3.8,7e-148,493.7,3.8,"NCBI","Streptophyta",4521,"Lolium multiflorum"
"89","GCA_004007595.1","KAB8093021.1"," -"," PTHR19842.orig.30.pi"," -",3.8e-145,483.8,3.2,6e-146,483.6,3.2,"NCBI","Streptophyta",4530,"Oryza sativa"
"90","GCA_003046395.2","RLM58069.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-117,393.9,0.1,2e-117,393.2,0.1,"NCBI","Streptophyta",4540,"Panicum miliaceum"
"91","GCA_000263155.2","RCV38840.1"," -"," PTHR19842.orig.30.pi"," -",6.9e-149,496.3,2,3e-150,496,2,"NCBI","Streptophyta",4555,"Setaria italica"
"92","GCA_005286985.2","TKW01479.1"," -"," PTHR19842.orig.30.pi"," -",8.1e-149,496.3,2,8e-150,496,2,"NCBI","Streptophyta",4556,"Setaria viridis"
"93","GCA_000003195.3","EES08772.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-148,495.4,1.9,7e-149,495.1,1.9,"NCBI","Streptophyta",4558,"Sorghum bicolor"
"94","GCA_040256815.2","XBH82561.1"," -"," PTHR19842.orig.30.pi"," -",9.3e-149,497.9,3,1e-149,497.6,3,"NCBI","Streptophyta",4565,"Triticum aestivum"
"95","GCA_040256815.2","XBI73992.1"," -"," PTHR19842.orig.30.pi"," -",9.3e-149,497.9,3,1e-149,497.6,3,"NCBI","Streptophyta",4565,"Triticum aestivum"
"96","GCA_900231445.1","VAH95694.1"," -"," PTHR19842.orig.30.pi"," -",1e-148,497.9,3,2e-149,497.6,3,"NCBI","Streptophyta",4567,"Triticum turgidum subsp. durum"
"97","GCA_900231445.1","VAI01054.1"," -"," PTHR19842.orig.30.pi"," -",1e-148,497.9,3,2e-149,497.6,3,"NCBI","Streptophyta",4567,"Triticum turgidum subsp. durum"
"98","GCA_000347455.1","EMS45447.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-130,435.6,2.6,2e-121,400.9,0.7,"NCBI","Streptophyta",4572,"Triticum urartu"
"99","GCA_003185045.1","PWZ40577.1"," -"," PTHR19842.orig.30.pi"," -",4.2e-148,493.8,1.7,5e-148,493.6,1.7,"NCBI","Streptophyta",4577,"Zea mays"
"100","GCA_003185045.1","PWZ40578.1"," -"," PTHR19842.orig.30.pi"," -",4.2e-148,493.8,1.7,5e-148,493.6,1.7,"NCBI","Streptophyta",4577,"Zea mays"
"101","GCA_003185045.1","PWZ40579.1"," -"," PTHR19842.orig.30.pi"," -",4.2e-148,493.8,1.7,5e-148,493.6,1.7,"NCBI","Streptophyta",4577,"Zea mays"
"102","GCA_001661175.1","OAY74796.1"," -"," PTHR19842.orig.30.pi"," -",2e-147,490.6,2.3,5e-148,490.3,2.3,"NCBI","Streptophyta",4615,"Ananas comosus"
"103","GCA_034359265.1","WOL14005.1"," -"," PTHR19842.orig.30.pi"," -",7.1e-148,492.4,3.3,8e-149,492.3,3.3,"NCBI","Streptophyta",4628,"Canna indica"
"104","GCA_000818735.3","RWW12567.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-148,495.9,2.2,4e-149,495.7,2.2,"NCBI","Streptophyta",4639,"Ensete ventricosum"
"105","GCA_001876935.1","ONK62253.1"," -"," PTHR19842.orig.30.pi"," -",2e-148,494.2,0.6,3e-149,493.4,0.6,"NCBI","Streptophyta",4686,"Asparagus officinalis"
"106","GCA_911865555.2","CAH2053415.1"," -"," PTHR19842.orig.30.pi"," -",2.6e-145,483.8,3.3,9e-146,483.7,3.3,"NCBI","Streptophyta",13288,"Thlaspi arvense"
"107","GCA_000471905.1","ERN07853.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-147,490.7,4.2,5e-148,490.5,4.2,"NCBI","Streptophyta",13333,"Amborella trichopoda"
"108","GCA_023525715.1","KAI3736861.1"," -"," PTHR19842.orig.30.pi"," -",3.9e-150,500.4,2.8,6e-151,500.2,2.8,"NCBI","Streptophyta",13427,"Cichorium intybus"
"109","GCA_027726005.1","KAJ3674684.1"," -"," PTHR19842.orig.30.pi"," -",3.5e-149,496.1,3.7,9e-150,495.9,3.7,"NCBI","Streptophyta",13579,"Juncus effusus"
"110","GCA_030867185.1","KAK1436491.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-149,497.6,2.8,3e-149,497.2,2.8,"NCBI","Streptophyta",13708,"Tagetes erecta"
"111","GCA_015143295.1","KAF8398422.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-147,490.9,1.4,5e-148,490.8,1.4,"NCBI","Streptophyta",13715,"Tetracentron sinense"
"112","GCA_014529385.2","KAI5076642.1"," -"," PTHR19842.orig.30.pi"," -",4.4e-111,371.6,2.1,8e-112,371.2,2.1,"NCBI","Streptophyta",13818,"Adiantum capillus-veneris"
"113","GCA_008124465.1","KAG1359044.1"," -"," PTHR19842.orig.30.pi"," -",5.3e-125,417.2,1.5,4e-126,416.9,1.5,"NCBI","Streptophyta",13894,"Cocos nucifera"
"114","GCA_000005505.4","KQK11533.1"," -"," PTHR19842.orig.30.pi"," -",9.7e-149,496.1,3,2e-149,495.8,3,"NCBI","Streptophyta",15368,"Brachypodium distachyon"
"115","GCA_002837095.1","PKI68521.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-150,501.9,1.8,9e-151,501.6,1.8,"NCBI","Streptophyta",22663,"Punica granatum"
"116","GCA_035582545.1","KAK4794665.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-149,498.4,1.8,5e-150,498.1,1.8,"NCBI","Streptophyta",22666,"Trapa natans"
"117","GCA_041381175.1","KAL1553257.1"," -"," PTHR19842.orig.30.pi"," -",8.3e-149,495.9,2.7,1e-150,495.8,2.7,"NCBI","Streptophyta",28513,"Salvia divinorum"
"118","GCA_001185155.1","KMZ73918.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-146,487.9,4.5,3e-147,487.8,4.5,"NCBI","Streptophyta",29655,"Zostera marina"
"119","GCA_932364175.1","CAH8370320.1"," -"," PTHR19842.orig.30.pi"," -",2.4e-146,488,2.7,6e-147,487.9,2.7,"NCBI","Streptophyta",29727,"Eruca vesicaria subsp. sativa"
"120","GCA_036320975.1","KAK5841787.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-150,502,1.3,6e-151,501.9,1.3,"NCBI","Streptophyta",29729,"Gossypium arboreum"
"121","GCA_000327365.2","KJB16427.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-150,502,1.3,5e-151,501.9,1.3,"NCBI","Streptophyta",29730,"Gossypium raimondii"
"122","GCA_000327365.2","KJB16428.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-150,502,1.3,5e-151,501.9,1.3,"NCBI","Streptophyta",29730,"Gossypium raimondii"
"123","GCA_000327365.2","KJB16429.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-150,502,1.3,5e-151,501.9,1.3,"NCBI","Streptophyta",29730,"Gossypium raimondii"
"124","GCA_000003745.2","CBI29880.3"," -"," PTHR19842.orig.30.pi"," -",1.5e-148,494.5,4.5,7e-149,494.3,4.5,"NCBI","Streptophyta",29760,"Vitis vinifera"
"125","GCA_019776745.2","KAH9297732.1"," -"," PTHR19842.orig.30.pi"," -",1.5e-113,380.2,0.5,8e-114,380,0.5,"NCBI","Streptophyta",29808,"Taxus chinensis"
"126","GCA_029216955.1","KAJ6845949.1"," -"," PTHR19842.orig.30.pi"," -",3e-146,488.2,3.6,3e-147,488,3.6,"NCBI","Streptophyta",29817,"Iris pallida"
"127","GCA_029216955.1","KAJ6850150.1"," -"," PTHR19842.orig.30.pi"," -",3e-146,488.2,3.6,3e-147,488,3.6,"NCBI","Streptophyta",29817,"Iris pallida"
"128","GCA_016808215.1","KAG2683418.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-149,499.5,1.7,3e-150,499.4,1.7,"NCBI","Streptophyta",32201,"Carya illinoinensis"
"129","GCA_029379385.1","KAJ7960835.1"," -"," PTHR19842.orig.30.pi"," -",7.5e-151,502.7,1.8,2e-152,502.6,1.8,"NCBI","Streptophyta",32244,"Quillaja saponaria"
"130","GCA_029379385.1","KAJ7960836.1"," -"," PTHR19842.orig.30.pi"," -",7.5e-151,502.7,1.8,2e-152,502.6,1.8,"NCBI","Streptophyta",32244,"Quillaja saponaria"
"131","GCA_002271885.2","PHT55820.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-58,199.6,5.4,1.4e-29,104,1,"NCBI","Streptophyta",33114,"Capsicum baccatum"
"132","GCA_029204225.1","KAJ7564203.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-143,479.1,1.6,1e-144,479,1.6,"NCBI","Streptophyta",34168,"Diphasiastrum complanatum"
"133","GCA_029204225.1","KAJ7564204.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-143,479.1,1.6,1e-144,479,1.6,"NCBI","Streptophyta",34168,"Diphasiastrum complanatum"
"134","GCA_029204225.1","KAJ7564205.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-143,479.1,1.6,1e-144,479,1.6,"NCBI","Streptophyta",34168,"Diphasiastrum complanatum"
"135","GCA_040372305.1","GAA0148436.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-145,485.6,1.5,5e-146,485.4,1.5,"NCBI","Streptophyta",34254,"Lithospermum erythrorhizon"
"136","GCA_007990455.1","TYI98651.1"," -"," PTHR19842.orig.30.pi"," -",3.2e-150,502,1.3,5e-151,501.9,1.3,"NCBI","Streptophyta",34275,"Gossypium mustelinum"
"137","GCA_007990325.1","TYH32116.1"," -"," PTHR19842.orig.30.pi"," -",2.9e-150,502,1.3,2e-151,501.9,1.3,"NCBI","Streptophyta",34276,"Gossypium darwinii"
"138","GCA_007990485.1","TYH89193.1"," -"," PTHR19842.orig.30.pi"," -",3.3e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",34277,"Gossypium tomentosum"
"139","GCA_007990485.1","TYH89194.1"," -"," PTHR19842.orig.30.pi"," -",3.3e-150,502,1.3,7e-151,501.9,1.3,"NCBI","Streptophyta",34277,"Gossypium tomentosum"
"140","GCA_013467465.1","MBA0760471.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-148,495.3,1.8,2e-149,495.1,1.8,"NCBI","Streptophyta",34281,"Gossypium trilobum"
"141","GCA_013677265.1","MBA0824052.1"," -"," PTHR19842.orig.30.pi"," -",2e-60,204.9,0.4,2.1e-60,204.8,0.4,"NCBI","Streptophyta",34283,"Gossypium armourianum"
