,X,Accn,Super.Group,Organism_Taxonomic_ID,Organism.Name,SIN1,RICTOR,RAPTOR,TOR,LST8,D1,M.Strategy,C.score,Frag.score,Class.name,Phylum.name,Order.name,Family.name,Genus.name,Source,Has_Rictor
79,79,GCA_039096365.1,Stramenopiles,3128536,Blastocystis sp. JDR,NA,H,H,H,M,NA,Parasite,93,2,Bigyra,NA,Opalinata,Blastocystidae,Blastocystis,NCBI,Yes
80,80,GCA_039096925.1,Stramenopiles,3128535,Blastocystis sp. DL,NA,H,H,H,M,NA,Parasite,85,8,Bigyra,NA,Opalinata,Blastocystidae,Blastocystis,NCBI,Yes
81,81,GCA_900000015.1,Stramenopiles,4781,Plasmopara halstedii,M,H,H,H,H,NA,Heterotroph,100,0,NA,Oomycota,Peronosporales,Peronosporaceae,Plasmopara,NCBI,Yes
82,82,GCA_902602495.3,Stramenopiles,867726,Ectocarpus sp. CCAP 1310/34,NA,H,H,H,L,NA,Autotrophic,83,4,Phaeophyceae,NA,Ectocarpales,Ectocarpaceae,Ectocarpus,NCBI,Yes
83,83,GCA_920618645.1,Stramenopiles,622444,Peronospora belbahrii,M,H,H,H,H,NA,Heterotroph,98,0,NA,Oomycota,Peronosporales,Peronosporaceae,Peronospora,NCBI,Yes
84,84,GCA_920940705.1,Stramenopiles,134698,Peronospora farinosa,M,H,H,H,H,NA,Heterotroph,98,0,NA,Oomycota,Peronosporales,Peronosporaceae,Peronospora,NCBI,Yes
85,85,GCA_921007115.2,Stramenopiles,2874970,Peronospora matthiolae,M,H,H,H,H,NA,Heterotroph,98,1,NA,Oomycota,Peronosporales,Peronosporaceae,Peronospora,NCBI,Yes
86,86,GCA_947650285.1,Stramenopiles,162125,Hyaloperonospora brassicae,M,H,H,H,H,NA,Heterotroph,99,0,NA,Oomycota,Peronosporales,Peronosporaceae,Hyaloperonospora,NCBI,Yes
87,87,GCA_947650345.1,Stramenopiles,86335,Peronospora destructor,M,H,H,H,H,NA,Heterotroph,96,3,NA,Oomycota,Peronosporales,Peronosporaceae,Peronospora,NCBI,Yes
88,88,NanspC018,Stramenopiles,52230,Nannochloropsis sp.,NA,M,H,H,H,NA,Autotrophic,97,1,Eustigmatophyceae,NA,Eustigmatales,Monodopsidaceae,Nannochloropsis,JGI,Yes
89,89,Sarfu1,Stramenopiles,590727,Sargassum fusiforme,NA,H,H,H,M,NA,Mixotroph,93,5,Phaeophyceae,NA,Fucales,Sargassaceae,Sargassum,JGI,Yes
90,90,Nanoce84910,Stramenopiles,145522,Nannochloropsis oceanica,NA,M,H,H,H,NA,Autotrophic,94,4,Eustigmatophyceae,NA,Eustigmatales,Monodopsidaceae,Nannochloropsis,JGI,Yes
91,91,Undpi1,Stramenopiles,74381,Undaria pinnatifida,NA,H,H,H,M,NA,Autotrophic,93,2,Phaeophyceae,NA,Laminariales,Alariaceae,Undaria,JGI,Yes
92,92,Alaesc1,Stramenopiles,2889,Alaria esculenta,NA,H,H,H,H,NA,Autotrophic,95,2,Phaeophyceae,NA,Laminariales,Alariaceae,Alaria,JGI,Yes
93,93,MonC73,Stramenopiles,1745946,Monodopsis,L,H,H,H,H,H,Autotrophic,100,0,Eustigmatophyceae,NA,Eustigmatales,Monodopsidaceae,Monodopsis,JGI,Yes
94,94,VisC74,Stramenopiles,44431,Vischeria,L,H,H,H,H,NA,Autotrophic,100,0,Eustigmatophyceae,NA,Eustigmatales,Chlorobotryaceae,Vischeria,JGI,Yes
95,95,Macpyr2,Stramenopiles,35122,Macrocystis pyrifera,NA,H,H,H,H,NA,Autotrophic,88,6,Phaeophyceae,NA,Laminariales,Laminariaceae,Macrocystis,JGI,Yes
96,96,Hypcat1,Stramenopiles,42384,Hyphochytrium catenoides,L,M,H,H,H,NA,Heterotroph,74,15,Hyphochytriomycetes,NA,NA,Hyphochytriaceae,Hyphochytrium,JGI,Yes
97,97,LabyHa,Stramenopiles,2710872,Labyrinthula sp. Ha,NA,M,NA,H,NA,NA,Heterotroph,77,3,Bigyra,NA,Labyrinthulida,Labyrinthulaceae,Labyrinthula,JGI,Yes
98,98,Hyaar1,Stramenopiles,559515,Hyaloperonospora arabidopsidis Emoy2,M,H,H,H,H,NA,Heterotroph,87,5,NA,Oomycota,Peronosporales,Peronosporaceae,Hyaloperonospora,JGI,Yes
99,99,Nemde1,Stramenopiles,2185085,Nemacystus decipiens,NA,H,H,H,H,NA,Autotrophic,97,2,Phaeophyceae,NA,Ectocarpales,Chordariaceae,Nemacystus,JGI,Yes
100,100,Claok1,Stramenopiles,309737,Cladosiphon okamuranus,NA,H,H,H,L,NA,Autotrophic,97,1,Phaeophyceae,NA,Ectocarpales,Chordariaceae,Cladosiphon,JGI,Yes
101,101,Ochro1393,Stramenopiles,420556,Ochromonas sp. CCMP1393,L,M,H,H,H,H,Mixotroph,94,3,Chrysophyceae,NA,Chromulinales,Chromulinaceae,Ochromonas,JGI,Yes
102,102,Parimp1,Stramenopiles,37642,Paraphysomonas imperforata,L,H,H,H,H,NA,Mixotroph,98,0,Chrysophyceae,NA,Chromulinales,Paraphysomonadaceae,Paraphysomonas,JGI,Yes
103,103,Schag1,Stramenopiles,876976,Schizochytrium aggregatum ATCC 28209,NA,H,H,H,H,NA,Heterotroph,91,3,Bigyra,NA,Thraustochytrida,Thraustochytriaceae,Schizochytrium,JGI,Yes
104,104,Aplke1,Stramenopiles,87111,Aplanochytrium kerguelense,NA,H,H,H,H,NA,Heterotroph,94,3,Bigyra,NA,Thraustochytrida,Thraustochytriaceae,Aplanochytrium,JGI,Yes
105,105,Phyci1,Stramenopiles,622258,Phytophthora cinnamomi var. cinnamomi,M,H,H,H,H,NA,Heterotroph,96,4,NA,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,JGI,Yes
106,106,Aurli1,Stramenopiles,717989,Aurantiochytrium limacinum ATCC MYA-1381,NA,L,H,H,H,NA,Heterotroph,94,2,Bigyra,NA,Thraustochytrida,Thraustochytriaceae,Aurantiochytrium,JGI,Yes
107,107,Sacja1,Stramenopiles,88149,Saccharina japonica,NA,H,M,H,M,NA,Autotrophic,90,6,Phaeophyceae,NA,Laminariales,Laminariaceae,Saccharina,JGI,Yes
108,108,GCA_000002435.2,Metamonada,5741,Giardia intestinalis,NA,H,H,H,M,NA,Parasite,23.92,5.88,NA,Fornicata,Diplomonadida,Hexamitidae,Giardia,NCBI,Yes
109,109,GCA_000002825.3,Metamonada,412133,Trichomonas vaginalis G3,NA,M,H,H,M,NA,Parasite,52.16,6.67,NA,Parabasalia,Trichomonadida,Trichomonadidae,Trichomonas,NCBI,Yes
110,110,GCA_000182405.1,Metamonada,598745,Giardia intestinalis ATCC 50581,NA,H,H,H,M,NA,Parasite,23.53,6.67,NA,Fornicata,Diplomonadida,Hexamitidae,Giardia,NCBI,Yes
111,111,GCA_000182665.1,Metamonada,658858,Giardia lamblia P15,NA,H,H,H,M,NA,Parasite,23.92,6.27,NA,Fornicata,Diplomonadida,Hexamitidae,Giardia,NCBI,Yes
112,112,GCA_001543975.1,Metamonada,1394984,Giardia intestinalis assemblage B,NA,H,H,H,M,NA,Parasite,23.14,6.67,NA,Fornicata,Diplomonadida,Hexamitidae,Giardia,NCBI,Yes
113,113,GCA_001839685.2,Metamonada,1144522,Tritrichomonas foetus,NA,M,H,H,M,NA,Parasite,50.59,4.71,NA,Parabasalia,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,NCBI,Yes
114,114,GCA_003568945.1,Metamonada,797122,Kipferlia bialata,NA,L,M,H,L,NA,Parasite,18.82,21.96,NA,Fornicata,NA,NA,Kipferlia,NCBI,Yes
115,115,GCA_006247105.1,Metamonada,5742,Giardia muris,NA,H,M,H,L,NA,Parasite,22.35,7.06,NA,Fornicata,Diplomonadida,Hexamitidae,Giardia,NCBI,Yes
116,116,GCA_019828565.1,Metamonada,201153,Carpediemonas membranifera,NA,H,H,H,M,NA,Parasite,48.63,11.37,NA,Fornicata,NA,NA,Carpediemonas,NCBI,Yes
117,117,GCA_020184695.1,Metamonada,135588,Histomonas meleagridis,NA,M,M,H,M,NA,Parasite,46.67,9.8,NA,Parabasalia,Tritrichomonadida,Dientamoebidae,Histomonas,NCBI,Yes
118,118,GCA_027625915.1,Metamonada,1746091,Anaeramoeba flamelloides,L,H,H,H,H,NA,Heterotroph,79.61,3.14,NA,NA,NA,Anaeramoebidae,Anaeramoeba,NCBI,Yes
119,119,GCA_028826165.1,Metamonada,1746090,Anaeramoeba ignava,L,H,H,H,H,NA,Heterotroph,77.25,2.75,NA,NA,NA,Anaeramoebidae,Anaeramoeba,NCBI,Yes
120,120,GCA_033064195.1,Metamonada,2049346,Blattamonas nauphoetae,NA,L,H,H,L,NA,Heterotroph,52.94,9.02,NA,Preaxostyla,Oxymonadida,NA,Blattamonas,NCBI,Yes
121,121,GCA_039105265.1,Metamonada,1915356,Tritrichomonas musculus,NA,M,H,H,M,NA,Heterotroph,54.51,7.06,NA,Parabasalia,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,NCBI,Yes
122,122,GCA_040285745.1,Metamonada,2654837,Barthelona sp. PCE,NA,M,H,H,M,NA,Heterotroph,40.78,7.45,NA,NA,NA,NA,Barthelona,NCBI,Yes
123,123,GCA_000002445.1,Discoba,185431,Trypanosoma brucei brucei TREU927,NA,H,H,H,H,NA,Parasite,97.69,1.54,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
124,124,GCA_000002725.2,Discoba,347515,Leishmania major strain Friedlin,NA,H,H,H,H,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
125,125,GCA_000002845.2,Discoba,420245,Leishmania braziliensis MHOM/BR/75/M2904,NA,H,H,H,H,NA,Parasite,96.92,1.54,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
126,126,GCA_000002875.2,Discoba,435258,Leishmania infantum JPCM5,NA,H,H,H,H,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
127,127,GCA_000004985.1,Discoba,5762,Naegleria gruberi,NA,M,H,H,H,NA,Heterotroph,77.65,10.2,NA,Heterolobosea,NA,Vahlkampfiidae,Naegleria,NCBI,Yes
128,128,GCA_000188675.2,Discoba,5693,Trypanosoma cruzi,NA,H,H,H,M,NA,Parasite,93.08,4.62,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
129,129,GCA_000210295.1,Discoba,679716,Trypanosoma brucei gambiense DAL972,NA,H,H,H,H,NA,Parasite,98.46,1.54,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
130,130,GCA_000227135.2,Discoba,5661,Leishmania donovani,NA,H,H,H,H,NA,Parasite,99.23,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
131,131,GCA_000234665.4,Discoba,929439,Leishmania mexicana MHOM/GT/2001/U1103,NA,H,H,H,H,NA,Parasite,99.23,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
