"Accn"	"Super.Group"	"Organism_Taxonomic_ID"	"Organism.Name"	"SIN1"	"RICTOR"	"RAPTOR"	"TOR"	"LST8"	"C.score"	"Frag.score"	"Class.name"	"Phylum.name"	"Order.name"	"Family.name"	"Genus.name"	"Source"
"GCA_000149795.1"	"Alveolata"	57267	"Plasmodium falciparum Dd2"	NA	NA	NA	NA	NA	51.37	6.64	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000150015.2"	"Alveolata"	432359	"Toxoplasma gondii VEG"	NA	NA	NA	"H"	"L"	99.4	0.6	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000150435.3"	"Alveolata"	57266	"Plasmodium falciparum 7G8"	NA	NA	NA	NA	NA	89.95	4.37	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000165345.1"	"Alveolata"	353152	"Cryptosporidium parvum Iowa II"	NA	NA	NA	"H"	NA	96.61	1.99	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_000165365.1"	"Alveolata"	333668	"Theileria parva strain Muguga"	NA	NA	NA	"M"	NA	98.06	0.62	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Theileriidae"	"Theileria"	"NCBI"
"GCA_000165395.2"	"Alveolata"	484906	"Babesia bovis T2Bo"	NA	NA	NA	"H"	NA	98.41	0.09	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_000165425.1"	"Alveolata"	5888	"Paramecium tetraurelia"	"M"	"H"	NA	"H"	"H"	98.83	0.58	"Oligohymenophorea"	"Ciliophora"	"Peniculida"	"Parameciidae"	"Paramecium"	"NCBI"
"GCA_000186025.2"	"Alveolata"	580058	"Plasmodium falciparum RAJ116"	NA	NA	NA	NA	NA	24.6	19.71	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000186055.2"	"Alveolata"	580059	"Plasmodium falciparum IGH-CR14"	NA	NA	NA	NA	NA	74.79	4.61	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000189635.1"	"Alveolata"	312017	"Tetrahymena thermophila SB210"	NA	"H"	NA	"H"	"M"	98.83	0	"Oligohymenophorea"	"Ciliophora"	"Hymenostomatida"	"Tetrahymenidae"	"Tetrahymena"	"NCBI"
"GCA_000208865.2"	"Alveolata"	572307	"Neospora caninum Liverpool"	NA	NA	NA	"H"	"L"	98.21	0.8	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Neospora"	"NCBI"
"GCA_000209695.1"	"Alveolata"	5807	"Cryptosporidium parvum"	NA	NA	NA	"H"	NA	14.34	0.4	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_000220395.1"	"Alveolata"	5932	"Ichthyophthirius multifiliis"	NA	"M"	NA	"H"	"M"	82.46	5.26	"Oligohymenophorea"	"Ciliophora"	"Hymenostomatida"	NA	"Ichthyophthirius"	"NCBI"
"GCA_000223845.4"	"Alveolata"	110365	"Gregarina niphandrodes"	NA	NA	NA	"H"	NA	65.74	3.39	"Conoidasida"	"Apicomplexa"	"Eugregarinorida"	"Gregarinidae"	"Gregarina"	"NCBI"
"GCA_000224805.2"	"Alveolata"	935652	"Toxoplasma gondii RUB"	NA	NA	NA	"H"	"L"	89.64	8.57	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000224845.2"	"Alveolata"	933077	"Toxoplasma gondii VAND"	NA	NA	NA	"H"	"L"	93.23	5.18	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000224865.2"	"Alveolata"	943118	"Toxoplasma gondii MAS"	NA	NA	NA	"H"	"L"	89.84	6.77	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000224885.2"	"Alveolata"	943119	"Toxoplasma gondii p89"	NA	NA	NA	"H"	"L"	91.04	6.37	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000224905.2"	"Alveolata"	943167	"Toxoplasma gondii FOU"	NA	NA	NA	"H"	"L"	88.25	7.97	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000250965.2"	"Alveolata"	1074872	"Toxoplasma gondii ARI"	NA	NA	NA	"H"	"L"	92.63	5.78	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000256705.2"	"Alveolata"	943122	"Toxoplasma gondii CAST"	NA	NA	NA	"H"	"L"	92.23	5.38	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000256725.2"	"Alveolata"	1130821	"Toxoplasma gondii TgCatPRC2"	NA	NA	NA	"H"	"L"	92.03	6.18	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000258005.2"	"Alveolata"	99158	"Hammondia hammondi"	NA	NA	NA	"H"	"L"	99.8	0.2	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Hammondia"	"NCBI"
"GCA_000320625.2"	"Alveolata"	1077284	"Plasmodium vivax India VII"	NA	NA	NA	NA	NA	94.23	2.42	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000320645.2"	"Alveolata"	1033975	"Plasmodium vivax Brazil I"	NA	NA	NA	NA	NA	95.36	1.76	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000320665.2"	"Alveolata"	1035515	"Plasmodium vivax Mauritania I"	NA	NA	NA	NA	NA	95.28	1.59	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000320685.2"	"Alveolata"	1035514	"Plasmodium vivax North Korean"	NA	NA	NA	NA	NA	94.67	2.2	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000321355.1"	"Alveolata"	1120755	"Plasmodium cynomolgi strain B"	NA	NA	NA	NA	NA	80.62	10.24	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000325525.2"	"Alveolata"	1130820	"Toxoplasma gondii GAB2-2007-GAL-DOM2"	NA	NA	NA	"H"	"L"	93.23	5.18	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_000342415.1"	"Alveolata"	1537102	"Theileria equi strain WA"	NA	NA	NA	"H"	NA	94.36	3.79	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Theileriidae"	"Theileria"	"NCBI"
"GCA_000401695.2"	"Alveolata"	5843	"Plasmodium falciparum NF54"	NA	NA	NA	NA	NA	79.46	6.18	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000401715.2"	"Alveolata"	1237627	"Plasmodium falciparum UGT5.1"	NA	NA	NA	NA	NA	81.71	5.27	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000499385.1"	"Alveolata"	51315	"Eimeria necatrix"	NA	NA	NA	NA	NA	88.45	6.77	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000499425.1"	"Alveolata"	5801	"Eimeria acervulina"	NA	NA	NA	"M"	NA	89.44	7.57	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000499445.1"	"Alveolata"	51316	"Eimeria praecox"	NA	NA	NA	NA	NA	48.41	14.34	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000499545.1"	"Alveolata"	5802	"Eimeria tenella"	NA	NA	NA	"M"	"L"	89.24	7.57	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000499605.1"	"Alveolata"	5804	"Eimeria maxima"	NA	NA	NA	"L"	NA	77.49	10.96	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000499725.1"	"Alveolata"	51314	"Eimeria brunetti"	NA	NA	NA	"M"	"L"	76.29	9.96	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000499745.2"	"Alveolata"	44415	"Eimeria mitis"	NA	NA	NA	NA	NA	50.8	20.92	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Eimeria"	"NCBI"
"GCA_000505035.1"	"Alveolata"	1323249	"Plasmodium yoelii 17X"	NA	NA	NA	NA	NA	96.02	1.43	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521015.1"	"Alveolata"	1036723	"Plasmodium falciparum Vietnam Oak-Knoll (FVO)"	NA	NA	NA	NA	NA	87.34	4.64	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521035.1"	"Alveolata"	1036727	"Plasmodium falciparum MaliPS096_E11"	NA	NA	NA	NA	NA	83.28	5.96	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521055.1"	"Alveolata"	1036725	"Plasmodium falciparum Tanzania (2000708)"	NA	NA	NA	NA	NA	83.44	6.48	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521075.1"	"Alveolata"	1036726	"Plasmodium falciparum NF135/5.C10"	NA	NA	NA	NA	NA	89.98	3.6	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521095.1"	"Alveolata"	57270	"Plasmodium falciparum Palo Alto/Uganda"	NA	NA	NA	NA	NA	85.48	4.75	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521115.1"	"Alveolata"	5835	"Plasmodium falciparum CAMP/Malaysia"	NA	NA	NA	NA	NA	90.25	3.73	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000521155.1"	"Alveolata"	1036724	"Plasmodium falciparum FCH/4"	NA	NA	NA	NA	NA	68.62	8.35	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000524495.1"	"Alveolata"	1237626	"Plasmodium inui San Antonio 1"	NA	NA	NA	NA	NA	96.51	1.78	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000524515.1"	"Alveolata"	138298	"Plasmodium vinckei petteri"	NA	NA	NA	NA	NA	96.87	1.21	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000691945.2"	"Alveolata"	1133968	"Babesia microti strain RI"	NA	NA	NA	"M"	NA	95.15	1.15	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_000709005.1"	"Alveolata"	54757	"Plasmodium vinckei vinckei"	NA	NA	NA	NA	NA	97.12	1.15	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000711775.1"	"Alveolata"	1172189	"Oxytricha trifallax"	NA	"H"	NA	"H"	"M"	0	0	"Spirotrichea"	"Ciliophora"	"Sporadotrichida"	"Oxytrichidae"	"Oxytricha"	"NCBI"
"GCA_000723685.1"	"Alveolata"	5854	"Plasmodium reichenowi"	NA	NA	NA	NA	NA	98.98	0.11	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000740895.1"	"Alveolata"	869250	"Theileria orientalis strain Shintoku"	NA	NA	NA	"M"	NA	94.27	0.62	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Theileriidae"	"Theileria"	"NCBI"
"GCA_000751175.1"	"Alveolata"	5949	"Stylonychia lemnae"	NA	"H"	NA	"H"	"M"	97.66	1.17	"Spirotrichea"	"Ciliophora"	"Sporadotrichida"	"Oxytrichidae"	"Stylonychia"	"NCBI"
"GCA_000769155.2"	"Alveolata"	88456	"Cyclospora cayetanensis"	NA	NA	NA	"M"	NA	94.02	3.19	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Eimeriidae"	"Cyclospora"	"NCBI"
"GCA_000956335.1"	"Alveolata"	5857	"Plasmodium fragile"	NA	NA	NA	NA	NA	96.79	1.24	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_000981445.1"	"Alveolata"	5866	"Babesia bigemina"	NA	NA	NA	"H"	NA	97.53	0.53	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_001179505.1"	"Alveolata"	1169540	"Vitrella brassicaformis CCMP3155"	NA	"M"	"H"	"H"	"H"	99.42	0	NA	NA	NA	"Vitrellaceae"	"Vitrella"	"NCBI"
"GCA_001447515.1"	"Alveolata"	266149	"Pseudocohnilembus persalinus"	NA	"H"	NA	"H"	"M"	99.42	0	"Oligohymenophorea"	"Ciliophora"	"Philasterida"	"Pseudocohnilembidae"	"Pseudocohnilembus"	"NCBI"
"GCA_001483515.1"	"Alveolata"	237895	"Cryptosporidium hominis"	NA	NA	NA	"H"	NA	97.61	0.8	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_001593445.1"	"Alveolata"	93969	"Cryptosporidium meleagridis"	NA	NA	NA	"H"	NA	98.61	0.4	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_001602025.1"	"Alveolata"	647221	"Plasmodium gaboni"	NA	NA	NA	NA	NA	95.14	1.24	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_001865345.1"	"Alveolata"	857276	"Cryptosporidium ubiquitum"	NA	NA	NA	"H"	NA	97.41	0.6	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_001865355.1"	"Alveolata"	117008	"Cryptosporidium andersoni"	NA	NA	NA	"H"	NA	99.2	0.2	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_001939145.1"	"Alveolata"	2951	"Symbiodinium microadriaticum"	NA	NA	NA	"H"	"L"	78.95	10.53	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_002095265.1"	"Alveolata"	462227	"Babesia sp. Xinjiang"	NA	NA	NA	"H"	NA	80.09	2.47	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_002140095.1"	"Alveolata"	5850	"Plasmodium knowlesi"	NA	NA	NA	NA	NA	98.54	0.11	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_002157705.1"	"Alveolata"	77519	"Plasmodium gonderi"	NA	NA	NA	NA	NA	99.12	0.03	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_002563875.1"	"Alveolata"	94643	"Besnoitia besnoiti"	NA	NA	NA	"H"	"L"	99.8	0.2	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Besnoitia"	"NCBI"
"GCA_002600585.1"	"Alveolata"	483139	"Cystoisospora suis"	NA	NA	NA	"H"	"L"	83.47	11.16	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Cystoisospora"	"NCBI"
"GCA_002897235.1"	"Alveolata"	189622	"Babesia ovata"	NA	NA	NA	"H"	NA	83.7	5.9	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_003072535.4"	"Alveolata"	68886	"Theileria orientalis"	NA	NA	NA	"M"	NA	95.59	1.5	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Theileriidae"	"Theileria"	"NCBI"
"GCA_004369235.1"	"Alveolata"	2494336	"Perkinsus sp. BL_2016"	NA	NA	NA	NA	NA	9.94	2.92	NA	"Perkinsozoa"	"Perkinsida"	"Perkinsidae"	"Perkinsus"	"NCBI"
"GCA_004936735.2"	"Alveolata"	1280935	"Cryptosporidium sp. chipmunk genotype I"	NA	NA	NA	"H"	NA	97.61	1	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_007210665.1"	"Alveolata"	756076	"Cryptosporidium tyzzeri"	NA	NA	NA	"H"	NA	98.01	0.6	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_009768925.2"	"Alveolata"	310047	"Cryptosporidium bovis"	NA	NA	NA	"H"	NA	95.62	0.6	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_009792415.2"	"Alveolata"	515981	"Cryptosporidium ryanae"	NA	NA	NA	"H"	NA	94.62	1	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_013099955.1"	"Alveolata"	5811	"Toxoplasma gondii"	NA	NA	NA	"H"	"L"	100	0	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Sarcocystidae"	"Toxoplasma"	"NCBI"
"GCA_013115115.1"	"Alveolata"	32597	"Perkinsus olseni"	NA	"M"	"H"	"H"	"M"	89.47	2.34	NA	"Perkinsozoa"	"Perkinsida"	"Perkinsidae"	"Perkinsus"	"NCBI"
"GCA_013115145.1"	"Alveolata"	330153	"Perkinsus chesapeaki"	NA	"L"	"M"	"H"	"M"	91.23	3.51	NA	"Perkinsozoa"	"Perkinsida"	"Perkinsidae"	"Perkinsus"	"NCBI"
"GCA_014529505.1"	"Alveolata"	83540	"Cryptosporidium felis"	NA	NA	NA	"H"	NA	91.04	2.19	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_015476325.1"	"Alveolata"	476202	"Cardiosporidium cionae"	NA	NA	NA	"M"	"M"	59.21	3.7	"Aconoidasida"	"Apicomplexa"	"Nephromycida"	NA	"Cardiosporidium"	"NCBI"
"GCA_019968955.1"	"Alveolata"	2853593	"Porospora cf. gigantea A"	NA	NA	NA	"M"	NA	71.71	1.79	"Conoidasida"	"Apicomplexa"	"Eugregarinorida"	"Porosporidae"	"Porospora"	"NCBI"
"GCA_023705535.2"	"Alveolata"	5869	"Babesia ovis"	NA	NA	NA	"H"	NA	90.04	2.38	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_023973825.1"	"Alveolata"	5824	"Plasmodium brasilianum"	NA	NA	NA	NA	NA	89.07	1.78	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_027243965.1"	"Alveolata"	195482	"Cryptosporidium canis"	NA	NA	NA	"H"	NA	93.03	2.19	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_028658345.1"	"Alveolata"	323732	"Babesia duncani"	NA	NA	NA	"H"	NA	76.21	5.29	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_030849525.1"	"Alveolata"	33632	"Babesia gibsoni"	NA	NA	NA	"H"	NA	94.19	1.15	"Aconoidasida"	"Apicomplexa"	"Piroplasmida"	"Babesiidae"	"Babesia"	"NCBI"
"GCA_031892065.1"	"Alveolata"	2138604	"Cryptosporidium sp. 43IA8"	NA	NA	NA	"H"	NA	98.21	0.8	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_037039495.1"	"Alveolata"	659607	"Cryptosporidium xiaoi"	NA	NA	NA	"H"	NA	96.22	0.2	"Conoidasida"	"Apicomplexa"	"Eucoccidiorida"	"Cryptosporidiidae"	"Cryptosporidium"	"NCBI"
"GCA_900002335.2"	"Alveolata"	31271	"Plasmodium chabaudi chabaudi"	NA	NA	NA	NA	NA	99.2	0	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900002375.2"	"Alveolata"	5823	"Plasmodium berghei ANKA"	NA	NA	NA	NA	NA	99.07	0.03	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900002385.2"	"Alveolata"	5861	"Plasmodium yoelii"	NA	NA	NA	NA	NA	98.98	0.05	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900005765.1"	"Alveolata"	85471	"Plasmodium relictum"	NA	NA	NA	NA	NA	98.82	0.11	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900005855.1"	"Alveolata"	5849	"Plasmodium gallinaceum"	NA	NA	NA	NA	NA	98.46	0.38	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900044335.1"	"Alveolata"	5821	"Plasmodium berghei"	NA	NA	NA	NA	NA	98.3	0.16	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900088485.1"	"Alveolata"	864142	"Plasmodium ovale wallikeri"	NA	NA	NA	NA	NA	80.89	5.35	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900088555.1"	"Alveolata"	864141	"Plasmodium ovale curtisi"	NA	NA	NA	NA	NA	84.02	3.98	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900088575.1"	"Alveolata"	5858	"Plasmodium malariae"	NA	NA	NA	NA	NA	77.68	6.59	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900090025.2"	"Alveolata"	36330	"Plasmodium ovale"	NA	NA	NA	NA	NA	88.3	1.46	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900095565.1"	"Alveolata"	5826	"Plasmodium chabaudi adami"	NA	NA	NA	NA	NA	98.11	0.03	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900095595.1"	"Alveolata"	880534	"Plasmodium sp. gorilla clade G1"	NA	NA	NA	NA	NA	98.63	0.14	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900097015.1"	"Alveolata"	880535	"Plasmodium sp. gorilla clade G2"	NA	NA	NA	NA	NA	98.98	0.05	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_900097035.1"	"Alveolata"	880536	"Plasmodium sp. gorilla clade G3"	NA	NA	NA	NA	NA	97.2	0.6	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
