"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism.Name","Source"
"12","GCA_000165425.1","CAK95129.1"," -"," PTHR11139.orig.30.pi"," -",0,1157.5,53.4,0,1157.2,53.4,5888,"Paramecium tetraurelia","NCBI"
"13","GCA_000220395.1","EGR30890.1"," -"," PTHR11139.orig.30.pi"," -",0,1094.2,29.7,0,1093.7,29.7,5932,"Ichthyophthirius multifiliis","NCBI"
"14","GCA_946863485.1","CAI2378982.1"," -"," PTHR11139.orig.30.pi"," -",9.1e-120,402.4,6.9,1e-121,402.4,6.9,5936,"Moneuplotes crassus","NCBI"
"15","GCA_000751175.1","CDW74011.1"," -"," PTHR11139.orig.30.pi"," -",0,1180.2,27.9,0,1179.9,27.9,5949,"Stylonychia lemnae","NCBI"
"16","GCA_001970955.1","OMJ77176.1"," -"," PTHR11139.orig.30.pi"," -",0,1100.2,33.1,0,1099.8,25,5963,"Stentor coeruleus","NCBI"
"17","GCA_006369765.1","TNV87580.1"," -"," PTHR11139.orig.30.pi"," -",4.5e-126,422.6,0.7,5e-127,422.3,0.7,5974,"Halteria grandinella","NCBI"
"18","GCA_018398725.1","KAK1937405.1"," -"," PTHR11139.orig.30.pi"," -",2.4e-99,331.8,7.5,4.4e-99,330.9,7.5,32595,"Babesia divergens","NCBI"
"19","GCA_013115115.1","KAF4669531.1"," -"," PTHR11139.orig.30.pi"," -",0,1157.6,7,0,1157.2,7,32597,"Perkinsus olseni","NCBI"
"20","GCA_030849525.1","KAK1444037.1"," -"," PTHR11139.orig.30.pi"," -",1.4e-100,335.7,2.3,4e-101,335.7,2.3,33632,"Babesia gibsoni","NCBI"
"21","GCA_905182995.1","CAD8184910.1"," -"," PTHR11139.orig.30.pi"," -",0,1183.9,53.4,0,1183.6,53.4,43137,"Paramecium octaurelia","NCBI"
"22","GCA_905183005.1","CAD8188355.1"," -"," PTHR11139.orig.30.pi"," -",0,1177.8,57.7,0,1177.5,57.7,43138,"Paramecium pentaurelia","NCBI"
"23","GCA_000499725.1","CDJ48096.1"," -"," PTHR11139.orig.30.pi"," -",6.8e-55,185.4,0.1,6.8e-55,185.4,0.1,51314,"Eimeria brunetti","NCBI"
"24","GCA_905182985.1","CAD8108929.1"," -"," PTHR11139.orig.30.pi"," -",0,1187.2,56.1,0,1187,56.1,65129,"Paramecium sonneborni","NCBI"
"25","GCA_003072545.4","UKJ90681.2"," -"," PTHR11139.orig.30.pi"," -",2.7e-51,172.3,0,1.7e-46,156.4,0,68886,"Theileria orientalis","NCBI"
"26","GCA_014529505.1","KAF7459283.1"," -"," PTHR11139.orig.30.pi"," -",4.9e-142,473.3,19,9e-143,472.8,19,83540,"Cryptosporidium felis","NCBI"
"27","GCA_000769155.2","OEH74707.1"," -"," PTHR11139.orig.30.pi"," -",4.7e-86,288.5,0,5.5e-86,288.3,0,88456,"Cyclospora cayetanensis","NCBI"
"28","GCA_905237085.1","CAE8643326.1"," -"," PTHR11139.orig.30.pi"," -",0,1302.4,41.9,0,1302.1,41.9,89957,"Polarella glacialis","NCBI"
"29","GCA_001593445.1","POM83695.1"," -"," PTHR11139.orig.30.pi"," -",5e-137,456.7,5.2,5e-137,456.7,5.2,93969,"Cryptosporidium meleagridis","NCBI"
"30","GCA_002563875.1","PFH33616.1"," -"," PTHR11139.orig.30.pi"," -",3.7e-242,806.6,0,2e-235,784.3,8.1,94643,"Besnoitia besnoiti","NCBI"
"31","GCA_000258005.2","KEP65775.1"," -"," PTHR11139.orig.30.pi"," -",5.2e-219,729.8,18.8,2e-220,729.8,18.8,99158,"Hammondia hammondi","NCBI"
"32","GCA_000223845.4","EZG56717.1"," -"," PTHR11139.orig.30.pi"," -",5.1e-125,417.6,24.7,1e-126,417.6,24.7,110365,"Gregarina niphandrodes","NCBI"
"33","GCA_001865355.1","OII77727.1"," -"," PTHR11139.orig.30.pi"," -",3.9e-133,443.8,6.9,9e-134,443.8,6.9,117008,"Cryptosporidium andersoni","NCBI"
"34","GCA_002897235.1","GBE59843.1"," -"," PTHR11139.orig.30.pi"," -",4.3e-96,321.3,6.2,4.3e-96,321.3,6.2,189622,"Babesia ovata","NCBI"
"35","GCA_027243975.1","KAJ1608914.1"," -"," PTHR11139.orig.30.pi"," -",1e-143,478.9,1.8,1e-143,478.9,1.8,195482,"Cryptosporidium canis","NCBI"
"36","GCA_905221625.1","CAE7461324.1"," -"," PTHR11139.orig.30.pi"," -",1.4e-232,777.2,3.5,7e-233,776.9,3.5,230985,"Symbiodinium sp. KB8","NCBI"
"37","GCA_001593475.1","PPA64261.1"," -"," PTHR11139.orig.30.pi"," -",1.3e-133,445.4,20.3,9e-134,442.9,20.3,237895,"Cryptosporidium hominis","NCBI"
"38","GCA_001447515.1","KRX06464.1"," -"," PTHR11139.orig.30.pi"," -",2.4e-295,983.8,22.8,9e-296,983.5,22.8,266149,"Pseudocohnilembus persalinus","NCBI"
"39","GCA_009768925.2","KAH7647327.1"," -"," PTHR11139.orig.30.pi"," -",4.3e-132,440.3,3,3e-133,440.3,3,310047,"Cryptosporidium bovis","NCBI"
"40","GCA_000189635.1","EAS01249.1"," -"," PTHR11139.orig.30.pi"," -",0,1095.5,33.7,0,1095.5,33.7,312017,"Tetrahymena thermophila SB210","NCBI"
"41","GCA_028658345.1","KAK2195212.1"," -"," PTHR11139.orig.30.pi"," -",5.6e-105,350.5,2.8,6e-106,350.5,2.8,323732,"Babesia duncani","NCBI"
"42","GCA_013115145.1","KAF4675377.1"," -"," PTHR11139.orig.30.pi"," -",0,1179.2,12.3,0,1178.7,12.3,330153,"Perkinsus chesapeaki","NCBI"
"43","GCA_000165365.1","EAN32018.2"," -"," PTHR11139.orig.30.pi"," -",1.9e-53,179.5,0.1,1.9e-53,179.5,0.1,333668,"Theileria parva strain Muguga","NCBI"
"44","GCA_000165345.1","EAK87836.1"," -"," PTHR11139.orig.30.pi"," -",1.2e-133,445.5,19.4,3e-133,444.2,19.3,353152,"Cryptosporidium parvum Iowa II","NCBI"
"45","GCA_000006405.1","EER05739.1"," -"," PTHR11139.orig.30.pi"," -",0,1096.2,19.2,0,1095.8,19.2,423536,"Perkinsus marinus ATCC 50983","NCBI"
"46","GCA_000150015.2","ESS35259.1"," -"," PTHR11139.orig.30.pi"," -",3.7e-218,727,23,7e-219,727,23,432359,"Toxoplasma gondii VEG","NCBI"
"47","GCA_000006515.1","EEA06018.1"," -"," PTHR11139.orig.30.pi"," -",2.7e-134,447.7,12.5,7e-135,447.7,12.5,441375,"Cryptosporidium muris RN66","NCBI"
"48","GCA_002095265.1","ORM41584.1"," -"," PTHR11139.orig.30.pi"," -",6e-98,326.8,13.8,7.3e-97,323.2,13.5,462227,"Babesia sp. Xinjiang","NCBI"
"49","GCA_015476325.1","KAF8817871.1"," -"," PTHR11139.orig.30.pi"," -",4.7e-89,297.8,12.2,2.6e-69,232.3,8.5,476202,"Cardiosporidium cionae","NCBI"
"50","GCA_002600585.1","PHJ24453.1"," -"," PTHR11139.orig.30.pi"," -",1.4e-245,818.5,4.8,9e-246,815.9,4.9,483139,"Cystoisospora suis","NCBI"
"51","GCA_000165395.2","EDO08700.1"," -"," PTHR11139.orig.30.pi"," -",6.7e-100,333.6,37,4.2e-99,331,37,484906,"Babesia bovis T2Bo","NCBI"
"52","GCA_000149715.2","EPR58774.1"," -"," PTHR11139.orig.30.pi"," -",2.5e-204,681.1,14.7,5e-205,681.1,14.7,507601,"Toxoplasma gondii GT1","NCBI"
"53","GCA_000006565.2","EPT25651.1"," -"," PTHR11139.orig.30.pi"," -",3.6e-218,727,23,6e-219,727,23,508771,"Toxoplasma gondii ME49","NCBI"
"54","GCA_009792415.2","KAH8738876.1"," -"," PTHR11139.orig.30.pi"," -",1.5e-133,445.1,0,3e-134,443.1,0,515981,"Cryptosporidium ryanae","NCBI"
"55","GCA_000208865.2","CBZ55468.1"," -"," PTHR11139.orig.30.pi"," -",1.3e-227,758.2,25.7,6e-224,743.8,18.4,572307,"Neospora caninum Liverpool","NCBI"
"56","GCA_905221615.1","CAE7532528.1"," -"," PTHR11139.orig.30.pi"," -",1.5e-126,425.5,91.5,6e-127,423.4,91.5,631055,"Symbiodinium sp. CCMP2592","NCBI"
"57","GCA_037039495.1","KAK6589907.1"," -"," PTHR11139.orig.30.pi"," -",3.2e-131,437.4,10.3,2e-132,437.4,10.3,659607,"Cryptosporidium xiaoi","NCBI"
"58","GCA_007210665.1","TRY52135.1"," -"," PTHR11139.orig.30.pi"," -",1.6e-133,445.2,18.1,9e-134,444.3,18.1,756076,"Cryptosporidium tyzzeri","NCBI"
"59","GCA_001865345.1","OII72094.1"," -"," PTHR11139.orig.30.pi"," -",1.1e-130,435.6,12.4,1e-131,435.6,12.4,857276,"Cryptosporidium ubiquitum","NCBI"
"60","GCA_000740895.1","BAM41863.1"," -"," PTHR11139.orig.30.pi"," -",5.2e-51,171.4,12.9,5.2e-51,171.4,12.9,869250,"Theileria orientalis strain Shintoku","NCBI"
"61","GCA_905221605.1","CAE7559885.1"," -"," PTHR11139.orig.30.pi"," -",8.9e-127,425.9,3.6,1e-127,425.6,3.6,878477,"Symbiodinium natans","NCBI"
"62","GCA_000224845.2","KFH01969.1"," -"," PTHR11139.orig.30.pi"," -",2.9e-218,727.5,24.6,9e-219,727.5,24.6,933077,"Toxoplasma gondii VAND","NCBI"
"63","GCA_000224805.2","KFG66458.1"," -"," PTHR11139.orig.30.pi"," -",9e-160,533.6,6.7,1e-160,531.8,6.7,935652,"Toxoplasma gondii RUB","NCBI"
"64","GCA_000224865.2","KFH18229.1"," -"," PTHR11139.orig.30.pi"," -",8.1e-218,726.1,24.6,1e-219,726.1,24.6,943118,"Toxoplasma gondii MAS","NCBI"
"65","GCA_000224885.2","KFG49283.1"," -"," PTHR11139.orig.30.pi"," -",6e-218,726.5,24.2,6e-218,726.5,24.2,943119,"Toxoplasma gondii p89","NCBI"
"66","GCA_000256705.2","RQX67177.1"," -"," PTHR11139.orig.30.pi"," -",6.5e-218,726.4,24.4,5e-219,726.4,24.4,943122,"Toxoplasma gondii CAST","NCBI"
"67","GCA_000224905.2","KFG56420.1"," -"," PTHR11139.orig.30.pi"," -",1e-217,725.8,24.9,1e-217,725.8,24.9,943167,"Toxoplasma gondii FOU","NCBI"
"68","GCA_000250965.2","KYF40276.1"," -"," PTHR11139.orig.30.pi"," -",1.5e-218,728.5,22.2,5e-219,728.5,22.2,1074872,"Toxoplasma gondii ARI","NCBI"
"69","GCA_000325525.2","KFG36638.1"," -"," PTHR11139.orig.30.pi"," -",4e-218,727,23,4e-218,727,23,1130820,"Toxoplasma gondii GAB2-2007-GAL-DOM2","NCBI"
"70","GCA_000256725.2","KYK65609.1"," -"," PTHR11139.orig.30.pi"," -",1.5e-218,728.5,22.2,5e-219,728.5,22.2,1130821,"Toxoplasma gondii TgCatPRC2","NCBI"
"71","GCA_000691945.2","SIO73769.1"," -"," PTHR11139.orig.30.pi"," -",5.2e-75,250.9,0.7,5.2e-75,250.9,0.7,1133968,"Babesia microti strain RI","NCBI"
"72","GCA_001179505.1","CEM08834.1"," -"," PTHR11139.orig.30.pi"," -",0,1434.1,0,0,1432.9,0,1169540,"Vitrella brassicaformis CCMP3155","NCBI"
"73","GCA_004936735.2","KAH8584186.1"," -"," PTHR11139.orig.30.pi"," -",2e-135,451.4,10.8,9e-136,450.8,10.8,1280935,"Cryptosporidium sp. chipmunk genotype I","NCBI"
"74","GCA_963969995.1","CAK9059675.1"," -"," PTHR11139.orig.30.pi"," -",1.8e-173,581.6,35.4,1e-174,581.4,35.4,1381693,"Durusdinium trenchii","NCBI"
"75","GCA_905178165.1","CAD7959230.1"," -"," PTHR11139.orig.30.pi"," -",8.1e-101,339.5,5.2,2e-101,338.9,5.2,1410381,"Amoebophrya sp. A25","NCBI"
"76","GCA_914767885.1","CAG9312174.1"," -"," PTHR11139.orig.30.pi"," -",0,1128.5,21.5,0,1128.2,21.5,1481888,"Blepharisma stoltei","NCBI"
"77","GCA_905221635.1","CAE7450439.1"," -"," PTHR11139.orig.30.pi"," -",1.2e-109,369,0.4,3e-110,368.8,0.4,1519616,"Symbiodinium sp. CCMP2456","NCBI"
"78","GCA_000342415.1","AFZ79868.1"," -"," PTHR11139.orig.30.pi"," -",6.6e-96,320.8,0,1.2e-95,319.9,0,1537102,"Theileria equi strain WA","NCBI"
"79","GCA_031892065.1","WKS77474.1"," -"," PTHR11139.orig.30.pi"," -",5.1e-133,443.5,21.4,3e-133,442.1,21.4,2138604,"Cryptosporidium sp. 43IA8","NCBI"
"80","GCA_905178155.1","CAD7973957.1"," -"," PTHR11139.orig.30.pi"," -",4.3e-88,297.2,0.1,5.6e-88,296.8,0.1,2202890,"Amoebophrya sp. A120","NCBI"
"81","GCA_947184155.2","CAL1147548.1"," -"," PTHR11139.orig.30.pi"," -",8.1e-149,499.5,16.2,1e-150,499.4,16.2,2562237,"Cladocopium goreaui","NCBI"
"82","GCA_963377175.1","CAJ1371481.1"," -"," PTHR11139.orig.30.pi"," -",6.5e-135,453.2,31.4,5e-136,453.2,31.4,2562239,"Effrenium voratum","NCBI"
"83","GCA_019968985.2","KAH0480716.1"," -"," PTHR11139.orig.30.pi"," -",6.4e-75,251.9,8.8,6.4e-75,251.9,8.8,2853592,"Porospora cf. gigantea B","NCBI"
"84","GCA_019968955.1","KAH0479121.1"," -"," PTHR11139.orig.30.pi"," -",2e-74,250.3,7.7,2e-74,250.3,7.7,2853593,"Porospora cf. gigantea A","NCBI"
"85","Polgl1383","03|scaffold_13208.1"," -"," PTHR13298.orig.30.pi"," -",2.1e-38,133.1,0,1.3e-37,130.4,0,89957,"Polarella glacialis CCMP1383","JGI"
"86","Tetthe1","06175|XM_001470737."," -"," PTHR13298.orig.30.pi"," -",2.3e-192,641.8,29.3,1e-192,638.1,29.3,312017,"Tetrahymena thermophila SB210","JGI"
"87","Partet1","88816|XM_001462203."," -"," PTHR13298.orig.30.pi"," -",4.1e-269,896.6,28.8,6e-270,896.4,28.8,412030,"Paramecium tetraurelia d4_2","JGI"
"88","Vitbras1","|7187|Vbra_20831.t1"," -"," PTHR13298.orig.30.pi"," -",4.5e-128,428.7,0,1.4e-68,231.7,0,1169540,"Vitrella brassicaformis CCMP3155","JGI"
"89","Oxytri1","ri1|3193658|rna1580"," -"," PTHR13298.orig.30.pi"," -",8.4e-190,633.2,25.3,1e-190,631.9,25.4,1172189,"Oxytricha trifallax JRB310","JGI"
