Clade,Name,BUSCO_Status,Completed_Single_Copy,Completed_Duplicated_Copy,Fragmented,Missing,Orthologs searched,C_score,Frag_score,Notes,links ,TBLASTN,SIN1,RICTOR,RAPTOR,LST8,TOR,,
Fungi,Cladophialophora_bantiana_CBS_173.52,Done,6194,11,21,39,6265,99.04%,0.34%,,,,Y,Y,Y,Y,Y,,
Fungi,Aspergillus_fumigatus_Af293,Done,4052,9,74,56,4191,96.90%,1.77%,,,,Y,Y,Y,Y,Y,,
Fungi,Trichophyton_equinum_CBS_127.97,Done,4504,4,172,182,4862,92.72%,3.54%,,,,Y,Y,Y,Y,Y,,
Fungi,Botrytis_cinerea_B05.10,Done (meh),4643,521,8,5,5177,99.75%,0.15%,,,,Y,Y,Y,Y,Y,,
Fungi,Colletotrichum_graminicola,Done,6737,4,60,40,6841,98.54%,0.88%,,,,Y,Y,Y,Y,Y,,
Fungi,Fusarium_fujikuroi_IMI_58289,Done,4474,8,7,5,4494,99.73%,0.16%,,,,Y,Y,Y,Y,Y,,
Fungi,Neurospora_crassa,Done,3338,450,9,20,3817,99.24%,0.24%,,,,Y,Y,Y,Y,Y,,
Fungi,Neurospora_crassa,Done,1500,165,4,2,1671,99.64%,0.24%,note: made with smaller library,,,Y,Y,Y,Y,Y,,
Fungi,Neurospora_crassa_str_73,Done ,3617,8,7,185,3817,94.97%,0.18%,,,,Y,Y,Y,Y,Y,,
Fungi,Schizosaccharomyces_pombe(used latest version),Done(Meh),1340,51,29,286,1706,81.54%,1.70%,Maybe we should find different genome?,,,Y,Y,Y,Y,Y,,
Fungi,Saitoella_complicata_NRRL_Y017804,Done ,1528,24,45,109,1706,90.97%,2.64%,,,,Y,Y,Y,Y,Y,,
Fungi,Saitoella_complicata_NRRL_Y017804,Done ,1445,51,33,177,1706,87.69%,1.93%,,,,Y,Y,Y,Y,Y,,
Fungi,Yarrowia_lipolytica_CLIB122,Done,2032,11,29,65,2137,95.60%,1.36%,,,,Y,Y,Y,Y,Y,,
Fungi,Candida_albicans_SC5314,Done ,2103,10,14,10,2137,98.88%,0.66%,,,,Y,Y,Y,Y,Y,,
Fungi,Ogataea_parapolymorpha_DL-1,Done ,2060,0,39,38,2137,96.40%,1.82%,,,,Y,Y,Y,Y,Y,,
Fungi,Eremothecium_gossypii_FDAG1,Done,2126,1,1,9,2137,99.53%,0.05%,,,,Y,Y,Y,Y,Y,,
Fungi,Kluyveromyces_lactis_str_NRRL_Y-1440,Done,2124,3,5,5,2137,99.53%,0.23%,,,,Y,Y,Y,Y,Y,,
Fungi,Candida_glabrata,Done,2104,22,3,8,2137,99.49%,0.14%,,,,Y,Y,Y,Y,Y,,
Fungi,Saccharomyces_cerevisiae_S288C,Done,2082,47,2,6,2137,99.63%,0.09%,,,,Y,Y,Y,Y,Y,,
Metazoa,Homo_sapiens,Done,13573,96,,,13780,99.19%,0.00%,,,,Y,Y,Y,Y,Y,,
Metazoa,Ciona_intestinalis,Done ,709,38,65,142,954,78.30%,6.81%,,,,Y,Y,Y,Y,Y,,
Metazoa,Drosophila_melanogaster,Done ,1369,1916,0,0,3285,100.00%,0.00%,,,,Y,Y,Y,Y,Y,,
Metazoa,Schistosoma_mansoni,Done,605,145,26,178,954,78.62%,2.73%,,,,Y,Y,Y,Y,Y,,
Metazoa,Caenorhabditis_elegans,Done,2059,1071,1,0,3131,99.97%,0.03%,,,,Y,Y,Y,Y,Y,,
Metazoa,Nematostella_vectensis,Done,835,18,49,52,954,89.41%,5.14%,,,,Y,Y,Y,Y,Y,,
Metazoa,Trichoplax_adgaerens,Done,844,6,47,57,954,89.10%,4.93%,,,,Y,Y,Y,Y,Y,,
N/A,Amphimedon_queenslandica,Done,199,44,7,5,255,95.29%,2.75%,,,,Y,Y,Y,Y,Y,,
N/A,Capsaspora_owczarzaki_ATCC_30864,Done,231,3,10,11,255,91.76%,3.92%,,,,Y,Y,Y,Y,Y,,
Rhizaria,Bigelowiella_natans,Done,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,No Busco score. Redo,,,N,Y,Y,Y,Y,,
Rhizaria,Reticulomyxa_filosa,Done(bad),88,6,72,89,255,36.86%,28.24%,is sin1 actually missing,,,N,Y,Y,Y,Y,,
Rhizaria,Plamodiophora_brassicae,Done,225,2,11,19,255,89.02%,4.31%,,,,Y,Y,Y,Y,Y,,
Rhodophyta,Chondrus_crispus,Done,158,3,21,73,255,63.14%,8.24%,are rictor and sin1 actuallly missing,,,N,N,Y,Y,Y,,
Rhodophyta,Galdieria_sulphuraria,Done,172,27,19,37,255,78.04%,7.45%,are rictor and sin1 actuallly missing,,,N,N,Y,Y,Y,,
Rhodophyta,Cyanidioschyzon_merolae,,179,4,17,55,255,71.76%,6.67%,are rictor and sin1 actuallly missing,,,N,N,Y,Y,Y,,
Stramenopiles,Aphanomyces_invadans,Done,82,17,1,0,100,99.00%,1.00%,,,,Y,Y,Y,Y,Y,,
Stramenopiles,Aureococcus_anophagefferens,Done,81,3,11,5,100,84.00%,11.00%,are rictor and sin1 actually missing?,,49% ID for RICTOR sequnce from candida. ,N,N,Y,Y,Y,,
Stramenopiles,Blastocystis_hominis,Done,78,7,15,0,100,85.00%,15.00%,is SIN1 actually missing ,,,N,Y,Y,Y,Y,,
Stramenopiles,Nannochloropsis_gaditana,Done,40,0,9,51,100,40.00%,9.00%,is RICTOR and LST8 actually missing?,,one significant result found in transcriptome with 38% ID with RICTOR sequnce from Nannochloropsis_gaditana. Much bigger transcriptome,N,N,Y,N,Y,,
Stramenopiles,Phaeodactylum_tricornutum,Done,94,2,4,0,100,96.00%,4.00%,,,,N,Y,Y,Y,Y,,
Stramenopiles,Phytophthora_infestans_T30-4,Done,99,1,0,0,100,100.00%,0.00%,,,,Y,Y,Y,Y,Y,,
Stramenopiles,Plasmopara_halstedii,Done,100,0,0,0,100,100.00%,0.00%,,,,Y,Y,Y,Y,Y,,
Stramenopiles,Saprolegnia_diclina_VS20,Done,98,1,0,1,100,99.00%,0.00%,,,,Y,Y,Y,Y,Y,,
Stramenopiles,Pythium_irregulare,Done,96,2,1,1,100,98.00%,1.00%,,,,Y,Y,Y,Y,Y,,
Stramenopiles,Hyaloperonospora_arabidopsidis,Done,68,20,5,7,100,88.00%,5.00%,,,,Y,Y,Y,Y,Y,,
Stramenopiles,Albugo_candida,Done,87,12,1,0,100,99.00%,1.00%,,,,Y,Y,Y,Y,Y,,
Streptophyta,Amborella_trichopoda,done,1553,26,18,17,1614,97.83%,1.12%,,,,N,N,Y,Y,Y,,
Streptophyta,Oryza_sativa_japonica_group,done,4769,88,10,29,4896,99.20%,0.20%,,,,N,N,Y,Y,Y,,
Streptophyta,Selaginella_moellendorffii,done,148,1261,24,181,1614,87.30%,1.49%,,,,N,N,Y,Y,Y,,
Streptophyta,Arabidopsis_thaliana,Done,2945,1648,0,3,4596,99.93%,0.00%,,,,N,N,Y,Y,Y,,
