Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_036810365.1	ASM3681036v1	Kwoniella sp. B9012	1423914	23028338	Complete Genome
GCA_036287355.1	ASM3628735v1	Kwoniella sp. CBS 6097	2770021	26078312	Complete Genome
GCA_036428585.1	ASM3642858v1	Kwoniella sp. CBS 9459	2770022	25236468	Complete Genome
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis	1491008	42023549	Complete Genome
GCA_026210745.1	ASM2621074v1	Exobasidium rhododendri	63378	17559058	Complete Genome
GCA_036427605.1	ASM3642760v1	Cryptococcus sp. DSM 104549	2770025	24520542	Complete Genome
GCA_040104375.1	ASM4010437v1	Annulohypoxylon sp. FPYF3050	2857486	43344577	Complete Genome
GCA_016906575.1	ASM1690657v1	Ceratobasidium sp. AG-Ba	170446	96290521	Complete Genome
GCA_030864385.1	ASM3086438v1	Cutaneotrichosporon sp. HIS471	3040995	20595329	Complete Genome
GCA_024114885.1	ASM2411488v1	Septoria linicola	215465	39552501	Complete Genome
GCA_035610405.1	ASM3561040v1	Australozyma saopauloensis	291208	12068158	Complete Genome
GCA_963924405.1	CAAN4	[Candida] anglica	148631	13719988	Complete Genome
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme	150365	23050344	Complete Genome
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)	566037	8867527	Complete Genome
GCA_040256855.1	ASM4025685v1	Hanseniaspora menglaensis	3081051	9538423	Complete Genome
GCA_036426225.1	ASM3642622v1	Cryptococcus sp. DSM 104548	2770023	19153593	Complete Genome
GCA_029542865.1	ASM2954286v1	Malassezia equina	1381935	7775479	Complete Genome
GCA_029542825.1	ASM2954282v1	Malassezia sp. CBS 17886	3031751	9312381	Complete Genome
GCA_031892065.1	ASM3189206v1	Cryptosporidium sp. 43IA8	2138604	9152619	Complete Genome
GCA_010111755.1	ASM1011175v1	Nakaseomyces glabratus	5478	12726212	Chromosome
GCA_000006445.2	ASM644v2	Debaryomyces hansenii CBS767	284592	12152486	Chromosome
GCA_000237345.1	ASM23734v1	Naumovozyma castellii	27288	11219539	Chromosome
GCA_002079055.1	ASM207905v1	Saccharomyces paradoxus	27291	12021328	Chromosome
GCA_000026365.1	ASM2636v1	Zygosaccharomyces rouxii	4956	9764635	Chromosome
GCA_000243375.1	ASM24337v1	Torulaspora delbrueckii	4950	9220678	Chromosome
GCA_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340	559295	10392862	Chromosome
GCA_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265	294750	17550122	Chromosome
GCA_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517	1071382	11130140	Chromosome
GCA_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola	280036	19565848	Chromosome
GCA_000315915.1	ASM31591v1	Henningerozyma blattae CBS 6284	1071380	14048593	Chromosome
GCA_000348985.1	ASM34898v1	Huiozyma naganishii CBS 8797	1071383	10845821	Chromosome
GCA_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421	1071378	13527580	Chromosome
GCA_000001735.2	TAIR10.1	Arabidopsis thaliana	3702	119146348	Chromosome
GCA_000002945.3	ASM294v3	Schizosaccharomyces pombe	4896	12571820	Chromosome
GCA_000182965.3	ASM18296v3	Candida albicans SC5314	237561	14282666	Chromosome
GCA_000091045.1	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21	214684	19051922	Chromosome
GCA_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4	227321	29828291	Chromosome
GCA_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357	332952	36995582	Chromosome
GCA_037833965.1	MpTak2_v7.1	Marchantia polymorpha subsp. ruderalis	1480154	241484302	Chromosome
GCA_900231445.1	Svevo.v1	Triticum turgidum subsp. durum	4567	9964338633	Chromosome
GCA_000227135.2	ASM22713v2	Leishmania donovani	5661	32444968	Chromosome
GCA_000027005.1	ASM2700v1	Komagataella phaffii GS115	644223	9216378	Chromosome
GCA_011022315.1	ASM1102231v1	Saccharomyces pastorianus	27292	22966002	Chromosome
GCA_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289	1279085	43832314	Chromosome
GCA_026210795.1	ASM2621079v1	Rhizophagus irregularis	588596	146773001	Chromosome
GCA_001625215.2	DH1 v3.0	Daucus carota subsp. sativus	79200	440713325	Chromosome
GCA_030408175.1	UTM_Trep_v1.0	Trifolium repens	3899	967718717	Chromosome
GCA_905216605.1	AARE701a	Arabidopsis arenosa	38785	149659193	Chromosome
GCA_000185945.1	ASM18594v1	Cryptococcus gattii WM276	367775	18374760	Chromosome
GCA_000208865.2	ASM20886v2	Neospora caninum Liverpool	572307	57547420	Chromosome
GCA_902850265.1	PGI_Spodlit_v1	Spodoptera littoralis	7109	435647201	Chromosome
GCA_030553155.1	ASM3055315v1	Nippostrongylus brasiliensis	27835	257391350	Chromosome
GCA_036885675.1	ASM3688567v1	Vigna mungo	3915	474197000	Chromosome
GCA_000214015.2	version 140606	Ostreococcus tauri	70448	12916858	Chromosome
GCA_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125	1136231	12659401	Chromosome
GCA_021613535.1	ASM2161353v1	Adineta vaga	104782	100824805	Chromosome
GCA_020844145.1	ASM2084414v1	Sarcoptes scabiei	52283	57283228	Chromosome
GCA_041200155.1	ASM4120015v1	Leuciscus waleckii	155063	1098969243	Chromosome
GCA_028411795.1	ASM2841179v1	Euphorbia peplus	38846	267196017	Chromosome
GCA_000691945.2	ASM69194v2	Babesia microti strain RI	1133968	6395281	Chromosome
GCA_000091225.2	ASM9122v2	Encephalitozoon cuniculi GB-M1	284813	2497519	Chromosome
GCA_026914265.1	ASM2691426v1	Mya arenaria	6604	1216068291	Chromosome
GCA_021491655.1	ASM2149165v1	Peronospora effusa	542832	58578433	Chromosome
GCA_002287475.2	ASM228747v2	Pyrrhoderma noxium	2282107	31444514	Chromosome
GCA_019677325.2	ASM1967732v2	Pleurotus cornucopiae	5321	32382086	Chromosome
GCA_013387185.1	ASM1338718v1	Caligus rogercresseyi	217165	478201101	Chromosome
GCA_000755165.1	ASM75516v1	Leishmania panamensis	5679	30688794	Chromosome
GCA_900162835.1	version 2	Sporisorium reilianum f. sp. reilianum	72559	18522598	Chromosome
GCA_030710605.1	ASM3071060v1	Cordylochernes scorpioides	51811	2619362661	Chromosome
GCA_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506	876142	2216898	Chromosome
GCA_023547065.1	ASM2354706v1	Musa troglodytarum	320322	603587930	Chromosome
GCA_001680005.1	ASM168000v1	Plasmodium coatneyi	208452	27685530	Chromosome
GCA_900106115.1	CBS 141442 assembly	Sungouiella intermedia	45354	13140237	Chromosome
GCA_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215	931890	9669424	Chromosome
GCA_963425845.1	hybrid_with_Hi-C	Sphenostylis stenocarpa	92480	649801261	Chromosome
GCA_002220235.1	ASM222023v1	Bathycoccus prasinos	41875	14958006	Chromosome
GCA_921294245.1	PGI_MELIAE_v1	Brassicogethes aeneus	1431903	585278335	Chromosome
GCA_017357885.1	ASM1735788v1	Monilinia vaccinii-corymbosi	61207	30008100	Chromosome
GCA_964035595.1	gfSpoDele1	Spongipellis delectans	83244	30870404	Chromosome
GCA_039513925.1	PZIJ_v1.0	Platanthera zijinensis	2320716	4186550321	Chromosome
GCA_036428645.1	ASM3642864v1	Kwoniella sp. DSM 27419	2770024	18083668	Chromosome
GCA_964034765.1	kcau_genome_v1	Knipowitschia caucasica	637954	956577028	Chromosome
GCA_902810595.1	AWG_v2	Coregonus sp. 'balchen'	861768	2068074305	Chromosome
GCA_900257145.2	Plasmodium billcollinsi	Plasmodium sp. DRC-Itaito	720590	21914523	Chromosome
GCA_949927565.1	Lactuca_saligna	Lactuca saligna	75948	2165762035	Chromosome
GCA_962240445.1	Lutingensis_IOCL2689	Leishmania utingensis	653362	31161167	Chromosome
GCA_962240435.1	Llindenbergi_IOCL2690	Leishmania lindenbergi	651832	31126267	Chromosome
GCA_962240455.1	Lshawi_IOCL1545	Leishmania shawi	5680	31105824	Chromosome
GCA_962239345.1	Lnaiffi_IOCL1365	Leishmania naiffi	5678	31671391	Chromosome
GCA_000328475.2	Umaydis521_2.0	Mycosarcoma maydis	5270	19664356	Chromosome
GCA_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323	336722	39686251	Chromosome
GCA_001708105.1	ASM170810v1	Komagataella pastoris	4922	9597535	Chromosome
GCA_000187245.3	Hansenula_2	Ogataea parapolymorpha DL-1	871575	8874589	Chromosome
GCA_022605425.2	FIOER33 v3	Hamiltosporidium tvaerminnensis	1176355	21638905	Chromosome
GCA_000507465.4	ASM50746v4	Kwoniella mangroviensis CBS 8507	1296122	22796923	Chromosome
GCA_039105145.1	ASM3910514v1	Kwoniella newhampshirensis	1651941	20459564	Chromosome
GCA_900074725.1	LADA0	Lachancea dasiensis	1072105	10701617	Chromosome
GCA_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417	1071381	12115070	Chromosome
GCA_900074755.1	LANO0	Lachancea nothofagi CBS 11611	1266666	11313798	Chromosome
GCA_900074715.1	LAME0	Lachancea meyersii CBS 8951	1266667	11261819	Chromosome
GCA_035222475.1	CBS411.78m_1.0	Podospora pseudopauciseta	2093780	36064112	Chromosome
GCA_035222275.1	CBS112042p_1.0	Podospora bellae-mahoneyi	2093777	34330348	Chromosome
GCA_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster	7227	143706478	Chromosome
GCA_000004515.5	Glycine_max_v4.0	Glycine max	3847	978386919	Chromosome
GCA_007990345.1	Gossypium_hirsutum_v2.1	Gossypium hirsutum	3635	2305241538	Chromosome
GCA_020379485.1	Da-Ae	Brassica napus	3708	1001499700	Chromosome
GCA_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum bicolor	4558	708735318	Chromosome
GCA_003473485.2	MtrunA17r5.0-ANR	Medicago truncatula	3880	429612362	Chromosome
GCA_000004075.3	Cucumber_9930_V3	Cucumis sativus	3659	224801081	Chromosome
GCA_000002595.3	Chlamydomonas_reinhardtii_v5.5	Chlamydomonas reinhardtii	3055	111098438	Chromosome
GCA_000002655.1	ASM265v1	Aspergillus fumigatus Af293	330879	29384958	Chromosome
GCA_000006565.2	TGA4	Toxoplasma gondii ME49	508771	65633124	Chromosome
GCA_000346465.2	Prunus_persica_NCBIv2	Prunus persica	3760	227411381	Chromosome
GCA_000182925.2	NC12	Neurospora crassa OR74A	367110	41037538	Chromosome
GCA_000499845.2	P. vulgaris v2.0	Phaseolus vulgaris	3885	537154354	Chromosome
GCA_000002445.1	ASM244v1	Trypanosoma brucei brucei TREU927	185431	26075494	Chromosome
GCA_000240135.3	ASM24013v3	Fusarium graminearum PH-1	229533	36458046	Chromosome
GCA_000002495.2	MG8	Pyricularia oryzae 70-15	242507	40979121	Chromosome
GCA_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis	8364	1451283599	Chromosome
GCA_001659605.2	M.esculenta_v8	Manihot esculenta	3983	639586700	Chromosome
GCA_000005505.4	Brachypodium_distachyon_v3.0	Brachypodium distachyon	15368	271163419	Chromosome
GCA_002870075.4	Lsat_Salinas_v11	Lactuca sativa	4236	2589853228	Chromosome
GCA_000150955.2	ASM15095v2	Phaeodactylum tricornutum CCAP 1055/1	556484	27450724	Chromosome
GCA_000002775.4	P.trichocarpa_v4.1	Populus trichocarpa	3694	392162179	Chromosome
GCA_030052815.1	ASM3005281v1	Hevea brasiliensis	3981	1876490218	Chromosome
GCA_024323335.2	CAAS_Psat_ZW6_1.0	Pisum sativum	3888	3796066963	Chromosome
GCA_000263155.2	Setaria_italica_v2.0	Setaria italica	4555	405732883	Chromosome
GCA_000004695.1	dicty_2.7	Dictyostelium discoideum AX4	352472	34134454	Chromosome
GCA_002127325.2	HanXRQr2.0-SUNRISE	Helianthus annuus	4232	3009595538	Chromosome
GCA_000801105.3	ASM80110v3	Raphanus sativus	3726	433430583	Chromosome
GCA_000184455.3	ASM18445v3	Aspergillus oryzae RIB40	510516	37882812	Chromosome
GCA_000002415.2	ASM241v2	Plasmodium vivax	5855	27007701	Chromosome
GCA_900002375.2	GCA_900002375	Plasmodium berghei ANKA	5823	18740246	Chromosome
GCA_016808335.1	P.virgatum_v5	Panicum virgatum	38727	1129857985	Chromosome
GCA_000149555.1	ASM14955v1	Fusarium verticillioides 7600	334819	41791161	Chromosome
GCA_001723175.3	ASM172317v3	Penicillium oxalicum	69781	30795872	Chromosome
GCA_000002435.2	UU_WB_2.1	Giardia intestinalis	5741	12078186	Chromosome
GCA_964271285.1	ddAraHall_1.3	Arabidopsis halleri	81970	227207528	Chromosome
GCA_013339725.1	BIME_Rmic_1.3	Rhipicephalus microplus	6941	2529915399	Chromosome
GCA_001411555.2	Walnut 2.0	Juglans regia	51240	572786133	Chromosome
GCA_015852605.2	ASM1585260v2	Populus deltoides	3696	424589836	Chromosome
GCA_000340665.2	C.cajan_V1.1	Cajanus cajan	3821	590369945	Chromosome
GCA_029852735.1	ASM2985273v1	Persea americana	3435	912940922	Chromosome
GCA_948472305.1	Hedin2 genome v1	Vicia faba	3906	11914498746	Chromosome
GCA_005286985.2	Setaria_viridis_v4.0	Setaria viridis	4556	397277387	Chromosome
GCA_018804465.1	PTv2	Populus tomentosa	118781	738799493	Chromosome
GCA_002994745.2	RchiOBHm-V2	Rosa chinensis	74649	515118979	Chromosome
GCA_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus	43179	2478949113	Chromosome
GCA_030272615.1	Sugi_1.0	Cryptomeria japonica	3369	9046532310	Chromosome
GCA_018446385.1	Zo_v1.1	Zingiber officinale	94328	3090266393	Chromosome
GCA_000149405.2	ASM14940v2	Thalassiosira pseudonana CCMP1335	296543	32437365	Chromosome
GCA_033026475.1	Channa argus male v1.0	Channa argus	215402	675457141	Chromosome
GCA_021901695.1	Pst134E36_v1_pri	Puccinia striiformis f. sp. tritici	168172	89491239	Chromosome
GCA_000002875.2	ASM287v2	Leishmania infantum JPCM5	435258	32122061	Chromosome
GCA_032690845.1	Eleusine_coracana_v1.0	Eleusine coracana subsp. coracana	191504	1111714373	Chromosome
GCA_000165345.1	ASM16534v1	Cryptosporidium parvum Iowa II	353152	9102324	Chromosome
GCA_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens	343691	1004932590	Chromosome
GCA_902201215.1	ALMONDv2	Prunus dulcis	3755	227599157	Chromosome
GCA_000004555.3	CB4	Caenorhabditis briggsae	6238	108384165	Chromosome
GCA_025999795.1	ASM2599979v1	Monascus purpureus	5098	24475985	Chromosome
GCA_013339765.2	BIME_HaeL_1.3	Haemaphysalis longicornis	44386	2554731864	Chromosome
GCA_902829305.4	PGI_SPEXI_v6	Spodoptera exigua	7107	450885128	Chromosome
GCA_022985175.1	IGBB_LRoh.1.0	Labeo rohita	84645	1126541939	Chromosome
GCA_003073045.1	ASM307304v1	Pomacea canaliculata	400727	440143917	Chromosome
GCA_029721355.1	KUTeg	Tegillarca granosa	220873	915485251	Chromosome
GCA_001876935.1	Aspof.V1	Asparagus officinalis	4686	1187538024	Chromosome
GCA_026262505.1	NYU_TvagG3_2	Trichomonas vaginalis G3	412133	181466644	Chromosome
GCA_902850365.2	PGI_CHILSU_V6	Chilo suppressalis	168631	783446955	Chromosome
GCA_004193775.2	ASM419377v2	Glycine soja	3848	1013211804	Chromosome
GCA_009829735.1	ASM982973v1	Neopyropia yezoensis	2788	107590730	Chromosome
GCA_004355905.1	PgNI	Pyricularia grisea	148305	44557582	Chromosome
GCA_016808095.1	ASM1680809v1	Vigna angularis	3914	447806493	Chromosome
GCA_018687715.1	C.illinoinensisPawnee_v1	Carya illinoinensis	32201	674272338	Chromosome
GCA_040584065.1	ASM4058406v1	Brassica carinata	52824	1070359184	Chromosome
GCA_003573695.1	ASM357369v1	Papaver somniferum	3469	2715377404	Chromosome
GCA_022539455.1	Dnobile	Dendrobium nobile	94219	1199116975	Chromosome
GCA_019176455.1	IFAPA_SoseM_1	Solea senegalensis	28829	603518608	Chromosome
GCA_907165135.1	OKI2018_I68_1.0	Oikopleura dioica	34765	64272340	Chromosome
GCA_020310875.1	C.richardii_v2	Ceratopteris richardii	49495	7462456809	Chromosome
GCA_001865875.1	LupAngTanjil_v1.0	Lupinus angustifolius	3871	609203021	Chromosome
GCA_917627325.4	PGI_CHIRRI_v4	Chironomus riparius	315576	191837449	Chromosome
GCA_020875875.1	Dalata_v2	Dioscorea alata	55571	480026477	Chromosome
GCA_013339695.2	BIME_Rsan_1.4	Rhipicephalus sanguineus	34632	2365502231	Chromosome
GCA_003952965.2	Mru_ZJU_2	Morella rubra	262757	313008583	Chromosome
GCA_000165395.2	ASM16539v2	Babesia bovis T2Bo	484906	8195476	Chromosome
GCA_949782905.1	mRanTar1.h1.1	Rangifer tarandus platyrhynchus	3082113	2971153391	Chromosome
GCA_023525745.1	ASM2352574v1	Arctium lappa	4217	1727363248	Chromosome
GCA_009771035.1	CNRS_Lalb_1.0	Lupinus albus	3870	449991378	Chromosome
GCA_000180635.4	El Paco v. 4	Pristionchus pacificus	54126	158478356	Chromosome
GCA_010015445.1	GENO_Pfluv_1.0	Perca fluviatilis	8168	951345774	Chromosome
GCA_009905375.1	ASM990537v1	Apium graveolens	4045	3332577507	Chromosome
GCA_009739505.2	ASM973950v2	Apolygus lucorum	248454	1023618409	Chromosome
GCA_032884065.1	ASM3288406v1	Artemia franciscana	6661	1270721945	Chromosome
GCA_007210705.1	Tcal_SD_v2.1	Tigriopus californicus	6832	191142546	Chromosome
GCA_001531365.2	CcrdV1.1	Cynara cardunculus var. scolymus	59895	724962400	Chromosome
GCA_000006355.3	GCA_000006355.2	Plasmodium knowlesi strain H	5851	24359384	Chromosome
