Clade,Name,Accession,BUSCO Status,Completed Single Copy,Completed Duplicated Copy,Fragmented,Missing,Orthologs searched,C score,Frag score,Notes,links ,TBLASTN,SIN1,RICTOR,RAPTOR,LST8,TOR
Excavata,Blattamonas nauphoetae,GCA_033064195.1,Done,123,12,23,97,255,52.94%,9.02%,,,,,,,,
Excavata,Tritrichomonas musculus,GCA_039105265.1,Done,110,29,18,98,255,54.51%,7.06%,,,,,,,,
Excavata,Barthelona sp. pce,GCA_040285745.1,Done,103,1,19,132,255,40.78%,7.45%,,,,,,,,
Excavata,Leishmania utingensis,GCA_040363505.1,Done,127,0,1,2,130,97.69%,0.77%,,,,,,,,
Excavata,Leishmania shawi,GCA_040363515.1,Done,126,0,1,3,130,96.92%,0.77%,,,,,,,,
Excavata,Leishmania naiffi,GCA_040363635.1,Done,124,0,2,4,130,95.38%,1.54%,,,,,,,,
Excavata,Leishmania shawi,GCA_040363645.1,Done,128,0,1,1,130,98.46%,0.77%,,,,,,,,
Excavata,Leishmania lindenbergi ,GCA_040363675.1,Done,125,0,1,4,130,96.15%,0.77%,,,,,,,,
Excavata,Leishmania infantum,GCA_900500625.2,Done,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Leishmania braziliensis,GCA_900537975.2,Done,123,1,2,4,130,95.38%,1.54%,ncbi warning: partical genome,,,,,,,
Excavata,Leishmania donovani,GCA_900635355.2,Done,129,1,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Angomonas deanei,GCA_903995115.1,Done,101,0,23,6,130,77.69%,17.69%,,,,,,,,
Excavata,Leishmania major ,GCA_916722125.1,Done,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Leishmania naiffi,GCA_962239345.1,Done,123,0,2,5,130,94.62%,1.54%,,,,,,,,
Excavata,Leishmania lindenbergi ,GCA_962240435.1,Done,124,0,1,5,130,95.38%,0.77%,,,,,,,,
Excavata,Leishmania utingensis,GCA_962240445.1,Done,127,0,1,2,130,97.69%,0.77%,,,,,,,,
Excavata,Leishmania shawi,GCA_962240455.1,Done,126,0,1,3,130,96.92%,0.77%,,,,,,,,
Excavata,Leishmania shawi,GCA_962243165.1,Done,128,0,1,1,130,98.46%,0.77%,,,,,,,,
Excavata,Hexamita inflata,GCA_963988835.2,Done,5,58,15,77,255,24.71%,5.88%,,,,,,,,
