Clade,Name,Accession,BUSCO Status,Completed Single Copy,Completed Duplicated Copy,Fragmented,Missing,Orthologs searched,C score,Frag score,Notes,links ,TBLASTN,SIN1,RICTOR,RAPTOR,LST8,TOR
Alveolata,Plasmodium falciparum,GCA_000401695.2,Done,2863,31,225,523,3642,79.46%,6.18%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000401715.2,Done,2950,26,192,474,3642,81.71%,5.27%,,,,,,,,
Alveolata,Eimeria necatrix,GCA_000499385.1,Done,441,3,34,24,502,88.45%,6.77%,,,,,,,,
Alveolata,Eimeria acervulina,GCA_000499425.1,Done,447,2,38,15,502,89.44%,7.57%,,,,,,,,
Alveolata,Eimeria praecox,GCA_000499445.1,Done,243,0,72,187,502,48.41%,14.34%,,,,,,,,
Alveolata,Eimeria tenella,GCA_000499545.1,Done,445,3,38,16,502,89.24%,7.57%,,,,,,,,
Alveolata,Eimeria Maxima,GCA_000499605.1,Done,387,2,55,58,502,77.49%,10.96%,,,,,,,,
Alveolata,Eimeria Brunetti,GCA_000499725.1,Done,382,1,50,69,502,76.29%,9.96%,,,,,,,,
Alveolata,Eimeria mitis,GCA_000499745.2,Done,249,6,105,142,502,50.80%,20.92%,,,,,,,,
Alveolata,plasmodium yoeli,GCA_000505035.1,Done,3013,484,52,93,3642,96.02%,1.43%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521015.1,Done,3147,34,169,292,3642,87.34%,4.64%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521035.1,Done,3001,32,217,392,3642,83.28%,5.96%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521055.1,Done,3003,36,236,367,3642,83.44%,6.48%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521075.1,Done,3234,43,131,234,3642,89.98%,3.60%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521095.1,Done,3086,27,173,356,3642,85.48%,4.75%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521115.1,Done,3249,38,136,219,3642,90.25%,3.73%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000521155.1,Done,2486,13,304,839,3642,68.62%,8.35%,,,,,,,,
Alveolata,Plasmodium inui,GCA_000524495.1,Done,3515,0,65,62,3642,96.51%,1.78%,,,,,,,,
Alveolata,Plasmodium vinckei petteri,GCA_000524515.1,Done,3521,7,44,70,3642,96.87%,1.21%,,,,,,,,
Alveolata,Babesia microti,GCA_000691945.2,Done,1075,5,13,45,1135,95.15%,1.15%,,,,,,,,
Alveolata,Plasmodium vinckei vinckei,GCA_000709005.1,Done,3533,4,42,63,3642,97.12%,1.15%,,,,,,,,
Alveolata,Oxytricha trifallax,GCA_000711775.1,Done,0,0,0,171,171,0.00%,0.00%,,,,,,,,
Alveolata,Stylonychia lemnae,GCA_000751175.1,Done,162,5,2,2,171,97.66%,1.17%,,,,,,,,
Alveolata,Cyclospora cayetanensis,GCA_000769155.2,Done,468,4,16,14,502,94.02%,3.19%,,,,,,,,
Alveolata,Plasmodium fragile,GCA_000956335.1,Done,3494,31,45,72,3642,96.79%,1.24%,,,,,,,,
Alveolata,Babesia bigemina,GCA_000981445.1,Done,1102,5,6,22,1135,97.53%,0.53%,,,,,,,,
Alveolata,Vitrella brassicaformis,GCA_001179505.1,Done,167,3,0,1,171,99.42%,0.00%,,,,,,,,
Alveolata,Pseudocohnilembus persalinus,GCA_001447515.1,Done,167,3,0,1,171,99.42%,0.00%,,,,,,,,
Alveolata,Cryptosporidium hominis,GCA_001483515.1,Done,489,1,4,8,502,97.61%,0.80%,,,,,,,,
Alveolata,Cryptosporidium meleagridis,GCA_001593445.1,Done,495,0,2,5,502,98.61%,0.40%,,,,,,,,
Alveolata,Cryptosporidium hominis,_GCA_001593465.1,Done,493,1,1,7,502,98.41%,0.20%,,,,,,,,
Alveolata,Cryptosporidium hominis,GCA_001593475.1,Done,492,0,3,7,502,98.01%,0.60%,,,,,,,,
Alveolata,Plasmodium reichenowi,GCA_001601855.1,Done,3345,33,80,184,3642,92.75%,2.20%,,,,,,,,
Alveolata,Plasmodium gaboni,GCA_001602025.1,Done,3426,39,45,132,3642,95.14%,1.24%,,,,,,,,
Alveolata,Plasmodium coatneyi,_GCA_001680005.1,Done,3533,10,18,81,3642,97.28%,0.49%,,,,,,,,
Alveolata,Cryptosporidium ubiquitum ,GCA_001865345.1,Done,489,0,3,10,502,97.41%,0.60%,,,,,,,,
Alveolata,Cryptosporidium andersoni,GCA_001865355.1,Done,497,1,1,3,502,99.20%,0.20%,,,,,,,,
Alveolata,Symbiodinium microadriaticum,GCA_001939145.1,Done,120,15,18,18,171,78.95%,10.53%,,,,,,,,
Alveolata,Stentor coeruleus,_GCA_001970955.1,Done,84,70,2,9,171,90.06%,1.17%,,,,,,,,
Alveolata,Babesia unclassified ,GCA_002095265.1,Done,835,74,28,198,1135,80.09%,2.47%,,,,,,,,
Alveolata,plasmodium knowlesi ,GCA_002140095.1,Done,3582,7,4,49,3642,98.54%,0.11%,,,,,,,,
Alveolata,plasmodium glondari,GCA_002157705.1,Done,3609,1,1,31,3642,99.12%,0.03%,,,,,,,,
Alveolata,Cryptosporidium hominis,GCA_002223825.1,Done,488,0,6,8,502,97.21%,1.20%,,,,,,,,
Alveolata,Besnoitia besnoiti,GCA_002563875.1,Done,501,0,1,0,502,99.80%,0.20%,,,,,,,,
Alveolata,Cystoisospora suis,GCA_002600585.1,Done,418,1,56,27,502,83.47%,11.16%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_002831795.1,Done,3387,46,0,209,3642,94.26%,0.00%,,,,,,,,
Alveolata,Babesia ovata,GCA_002897235.1,Done,945,5,67,118,1135,83.70%,5.90%,,,,,,,,
Alveolata,Theileria orientalis,GCA_003072535.4,Done,1081,4,17,33,1135,95.59%,1.50%,,,,,,,,
Alveolata,Theileria orientalis,GCA_003072545.4,Done,1076,4,16,39,1135,95.15%,1.41%,,,,,,,,
Alveolata,Perkinsus olseni ,GCA_004369235.1,Done,16,1,5,149,171,9.94%,2.92%,,,,,,,,
Alveolata,Cryptosporidium ryanae,GCA_004936735.2,Done,490,0,5,7,502,97.61%,1.00%,,,,,,,,
Alveolata,Halteria grandinella,_GCA_006369765.1,Done,83,9,14,65,171,53.80%,8.19%,,,,,,,,
Alveolata,Cryptosporidium tyzzeri,GCA_007210665.1,Done,490,2,3,7,502,98.01%,0.60%,,,,,,,,
Alveolata,Cryptosporidium bovis,GCA_009768925.2,Done,480,0,3,19,502,95.62%,0.60%,,,,,,,,
Alveolata,Cryptosporidium ryanae,GCA_009792415.2,Done,474,1,5,22,502,94.62%,1.00%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_012898025.1,Done,3418,46,0,178,3642,95.11%,0.00%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_013099955.1,Done,502,0,0,0,502,100.00%,0.00%,,,,,,,,
Alveolata,Perkinsus olseni,GCA_013115115.1,Done,145,8,4,14,171,89.47%,2.34%,,,,,,,,
Alveolata,Perkinsus olseni,GCA_013115125.1,Done,133,6,4,28,171,81.29%,2.34%,,,,,,,,
Alveolata,Perkinsus olseni,GCA_013115135.1,Done,124,28,8,11,171,88.89%,4.68%,,,,,,,,
Alveolata,Perkinsus chesapeaki,GCA_013115145.1,Done,152,4,6,9,171,91.23%,3.51%,,,,,,,,
Alveolata,Perkinsus olseni,GCA_013115865.1,Done,76,36,37,22,171,65.50%,21.64%,,,,,,,,
Alveolata,Perkinsus olseni,GCA_013115895.1,Done,73,36,41,21,171,63.74%,23.98%,,,,,,,,
Alveolata,Cryptosporidium felis,GCA_014529505.1,Done,455,2,11,34,502,91.04%,2.19%,,,,,,,,
Alveolata,Cryptosporidium parvum,GCA_015245375.1,Done,493,0,2,7,502,98.21%,0.40%,,,,,,,,
Alveolata,Cardiosporidium cionae,GCA_015476325.1,Done,482,190,42,421,1135,59.21%,3.70%,,,,,,,,
Alveolata,Porospora cf. gigantea,GCA_019968955.1,Done,253,107,9,133,502,71.71%,1.79%,,,,,,,,
Alveolata,Plasmodium vivax,GCA_020844765.3,Done,2917,359,104,262,3642,89.95%,2.86%,,,,,,,,
Alveolata,Babesia ovis,GCA_023705535.2,Done,1019,3,27,86,1135,90.04%,2.38%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_023973825.1,Done,3242,2,65,333,3642,89.07%,1.78%,,,,,,,,
Alveolata,Babesia caballi,GCA_024862765.1,Done,892,5,67,171,1135,79.03%,5.90%,,,,,,,,
Alveolata,Cryptosporidium canis,GCA_027243965.1,Done,467,0,11,24,502,93.03%,2.19%,,,,,,,,
Alveolata,Cryptosporidium canis,GCA_027243975.1,Done,465,0,11,26,502,92.63%,2.19%,,,,,,,,
Alveolata,Cryptosporidium canis,GCA_027243985.1,Done,473,0,10,19,502,94.22%,1.99%,,,,,,,,
Alveolata,Babesia duncani,GCA_028658345.1,Done,792,73,60,210,1135,76.21%,5.29%,,,,,,,,
Alveolata,Babesia gibsoni,GCA_030849525.1,Done,1063,6,13,53,1135,94.19%,1.15%,,,,,,,,
Alveolata,Cryptosporidium sp,GCA_031892065.1,Done,493,0,4,5,502,98.21%,0.80%,,,,,,,,
Alveolata,Cryptosporidium parvum,GCA_035232765.1,Done,495,0,1,6,502,98.61%,0.20%,,,,,,,,
Alveolata,Cryptosporidium parvum,GCA_037039495.1,Done,483,0,1,18,502,96.22%,0.20%,,,,,,,,
Alveolata,Cryptosporidium meleagridis,GCA_039657295.1,Done,490,1,5,6,502,97.81%,1.00%,,,,,,,,
Alveolata,Plasmodium chabaudi chabaudi,GCA_900002335.2,Done,3609,4,0,29,3642,99.20%,0.00%,,,,,,,,
Alveolata,Plasmodium berghei,GCA_900002375.2,Done,3604,4,1,33,3642,99.07%,0.03%,,,,,,,,
Alveolata,Plasmodium yoeli,GCA_900002385.2,Done,3605,0,2,35,3642,98.98%,0.05%,,,,,,,,
Alveolata,Plasmodium yoeli,GCA_900002395.1,Done,3597,0,4,41,3642,98.76%,0.11%,,,,,,,,
Alveolata,Plasmodium knowlesi,GCA_900004885.2,Done,3556,7,3,76,3642,97.83%,0.08%,,,,,,,,
Alveolata,Plasmodium knowlesi,GCA_900005025.2,Done,3542,8,2,90,3642,97.47%,0.05%,,,,,,,,
Alveolata,Plasmodium relictum,GCA_900005765.1,Done,3596,3,4,39,3642,98.82%,0.11%,,,,,,,,
Alveolata,Plasmodium gallinaceum,GCA_900005855.1,Done,3583,3,14,42,3642,98.46%,0.38%,,,,,,,,
Alveolata,Plasmodium berghei ,GCA_900044335.1,Done,3579,1,6,56,3642,98.30%,0.16%,,,,,,,,
Alveolata,Plasmodium berghei ,GCA_900088445.1,Done,3510,1,8,123,3642,96.40%,0.22%,,,,,,,,
Alveolata,Plasmodium ovale wallikeri,GCA_900088485.1,Done,2946,0,195,501,3642,80.89%,5.35%,,,,,,,,
Alveolata,Plasmodium ovale wallikeri,GCA_900088545.1,Done,2949,0,192,501,3642,80.97%,5.27%,,,,,,,,
Alveolata,Plasmodium ovale curtisi,GCA_900088555.1,Done,3059,1,145,437,3642,84.02%,3.98%,,,,,,,,
Alveolata,Plasmodium ovale curtisi,GCA_900088565.1,Done,3023,78,127,414,3642,85.15%,3.49%,,,,,,,,
Alveolata,Plasmodium malariae,GCA_900088575.1,Done,2828,1,240,573,3642,77.68%,6.59%,,,,,,,,
Alveolata,Plasmodium malariae,GCA_900090005.1,Done,2824,13,106,699,3642,77.90%,2.91%,,,,,,,,
Alveolata,Plasmodium ovale ,GCA_900090025.2,Done,3216,0,53,373,3642,88.30%,1.46%,,,,,,,,
Alveolata,Plasmodium ovale,GCA_900090035.2,Done,3586,0,11,45,3642,98.46%,0.30%,,,,,,,,
Alveolata,Plasmodium malariae,GCA_900090045.1,Done,3602,3,1,36,3642,98.98%,0.03%,,,,,,,,
Alveolata,Plasmodium vivax,GCA_900093535.1,Done,3508,0,10,124,3642,96.32%,0.27%,,,,,,,,
Alveolata,Plasmodium vivax,GCA_900093545.1,Done,3529,1,7,105,3642,96.92%,0.19%,,,,,,,,
Alveolata,Plasmodium vivax,GCA_900093555.2,Done,3612,0,1,29,3642,99.18%,0.03%,,,,,,,,
Alveolata,Plasmodium berghei ,GCA_900095545.1,Done,3517,0,7,118,3642,96.57%,0.19%,,,,,,,,
Alveolata,Plasmodium chabaudi  chabaudi ,GCA_900095555.1,Done,3420,3,6,213,3642,93.99%,0.16%,,,,,,,,
Alveolata,Plasmodium chabaudi adami ,GCA_900095565.1,Done,3567,6,1,68,3642,98.11%,0.03%,,,,,,,,
Alveolata,Plasmodium berghei,GCA_900095585.1,Done,3532,0,6,104,3642,96.98%,0.16%,,,,,,,,
Alveolata,Plasmodium sp. gorilla,GCA_900095595.1,Done,3549,43,5,45,3642,98.63%,0.14%,,,,,,,,
Alveolata,Plasmodium chabaudi chabaudi,GCA_900095605.1,Done,3579,4,4,55,3642,98.38%,0.11%,,,,,,,,
Alveolata,Plasmodium chabaudi adami ,GCA_900095625.1,Done,3561,6,6,69,3642,97.94%,0.16%,,,,,,,,
Alveolata,Plasmodium berghei,GCA_900095635.1,Done,3499,0,16,127,3642,96.07%,0.44%,,,,,,,,
Alveolata,Plasmodium sp. gorilla,GCA_900097015.1,Done,3577,28,2,35,3642,98.98%,0.05%,,,,,,,,
Alveolata,Plasmodium reichenowi,GCA_900097025.1,Done,3605,1,3,33,3642,99.01%,0.08%,,,,,,,,
Alveolata,Plasmodium blackloki,GCA_900097035.1,Done,3532,8,22,80,3642,97.20%,0.60%,,,,,,,,
Alveolata,Plasmodium gaboni,GCA_900097045.1,Done,3586,13,5,38,3642,98.82%,0.14%,,,,,,,,
Alveolata,Plasmodium billcollinsi,GCA_900240055.1,Done,3585,13,2,42,3642,98.79%,0.05%,,,,,,,,
Alveolata,Plasmodium billcollinsi,GCA_900257145.2,Done,3406,5,27,204,3642,93.66%,0.74%,,,,,,,,
Alveolata,Plasmodium vinckei vinckei,GCA_900681995.1,Done,3566,6,17,53,3642,98.08%,0.47%,,,,,,,,
Alveolata,Hepatocystis unkown,GCA_902459845.2,Done,1005,19,35,76,1135,90.22%,3.08%,,,,,,,,
Alveolata,Plasmodium vinckei brucechwatti,GCA_903994205.1,Done,3538,4,32,68,3642,97.25%,0.88%,,,,,,,,
Alveolata,Plasmodium vinckei lentum,GCA_903994225.1,Done,3537,3,22,80,3642,97.20%,0.60%,,,,,,,,
Alveolata,Plasmodium vinckei petteri,GCA_903994235.1,Done,3562,2,22,56,3642,97.86%,0.60%,,,,,,,,
Alveolata,Plasmodium vinckei,GCA_903994265.1,Done,3517,2,37,86,3642,96.62%,1.02%,,,,,,,,
Alveolata,Amoebophrya unkown,GCA_905178155.1,Done,150,13,1,7,171,95.32%,0.58%,Ciliates from here on don't have their own library while the alveolata library is decent its better to judge on how much fragmentation there is ,,,,,,,
Alveolata,Paramecium primaurelia,GCA_905182975.1,Done,52,114,2,3,171,97.08%,1.17%,,,,,,,,
Alveolata,Paramecium sonneborni,GCA_905182985.1,Done,53,116,1,1,171,98.83%,0.58%,,,,,,,,
Alveolata,Paramecium octaurelia,GCA_905182995.1,Done,51,114,3,3,171,96.49%,1.75%,,,,,,,,
Alveolata,Paramecium pentaurelia,GCA_905183005.1,Done,47,121,2,1,171,98.25%,1.17%,,,,,,,,
Alveolata,Symbiodinium natans,GCA_905221605.1,Done,94,25,21,31,171,69.59%,12.28%,,,,,,,,
Alveolata,Symbiodinium microadriaticum,GCA_905221615.1,Done,116,13,19,23,171,75.44%,11.11%,,,,,,,,
Alveolata,Symbiodinium unkown ,GCA_905221625.1,Done,103,53,7,8,171,91.23%,4.09%,NCBI warning: contaminated ,,,,,,,
Alveolata,Symbiodinium unkown ,GCA_905221635.1,Done,104,16,20,31,171,70.18%,11.70%,,,,,,,,
Alveolata,Symbiodinium pilosum,GCA_905231905.1,Done,81,13,23,53,171,54.97%,13.45%,,,,,,,,
Alveolata,Symbiodinium necroappetens,GCA_905231915.1,Done,99,9,27,36,171,63.16%,15.79%,,,,,,,,
Alveolata,Symbiodinium microadriaticum,GCA_905231925.1,Done,101,31,18,21,171,77.19%,10.53%,NCBI warning: contaminated ,,,,,,,
Alveolata,Polarella glacialis,GCA_905237085.1,Done,52,67,28,24,171,69.59%,16.37%,,,,,,,,
Alveolata,Polarella glacialis,GCA_905237095.1,Done,61,52,26,33,171,66.08%,15.20%,,,,,,,,
Alveolata,Blepharisma stoltei,GCA_914767885.1,Done,111,53,5,2,171,95.91%,2.92%,,,,,,,,
Alveolata,Plasmodium vivax,GCA_914969965.1,Done,3584,0,1,54,3642,98.41%,0.03%,,,,,,,,
Alveolata,Moneuplotes crassus,GCA_946863485.1,Done,120,37,2,12,171,91.81%,1.17%,,,,,,,,
Alveolata,Cladocopium goreaui,GCA_947184155.2,Done,95,46,12,18,171,82.46%,7.02%,,,,,,,,
Alveolata,Plasmodium vivax,GCA_949152365.1,Done,3571,12,3,56,3642,98.38%,0.08%,,,,,,,,
Alveolata,Effrenium voratum,GCA_963377065.1,Done,91,24,26,30,171,67.25%,15.20%,,,,,,,,
Alveolata,Effrenium voratum,GCA_963377175.1,Done,86,43,16,26,171,75.44%,9.36%,,,,,,,,
Alveolata,Effrenium voratum,GCA_963377275.1,Done,85,45,21,20,171,76.02%,12.28%,,,,,,,,
Alveolata,Prorocentrum cordatum,GCA_963575745.1,Done,47,58,39,27,171,61.40%,22.81%,,,,,,,,
Alveolata,Durusdinium trenchii,GCA_963969995.1,Done,68,75,10,18,171,83.63%,5.85%,,,,,,,,
Alveolata,Durusdinium trenchii,GCA_963970005.1,Done,51,77,16,27,171,74.85%,9.36%,,,,,,,,
