"","Accn","C.score","Frag.score"
"67","GCA_040746505.1",88.08,1.51
"68","GCA_040746525.1",82.82,3.23
"69","GCA_045269255.1",93.22,1.45
"70","GCA_045269315.1",92.69,2.7
"71","GCA_905146915.1",64.52,2.76
"72","GCA_916048055.1",86.7,0.79
"73","GCA_963575595.1",96.51,0.86
"74","GCA_964019345.2",98.49,0.13
"75","GCA_964261555.1",98.09,0.33
"76","Acuobl2326",97.1,0.4
"77","Apalob2145",95.1,0.5
"78","Astgub1",83,3.4
"79","Astpho2",92.4,2
"80","Auxeprot1",93.8,2.4
"81","Auxpr25",88.4,2.8
"82","Batpra1",96.5,0.9
"83","Botrbrau1",81.7,5.9
"84","Caulen1",75,2.3
"85","Chleu1",97,0.6
"86","Chlin1",95.9,2
"87","ChloA99",90.1,2.4
"88","ChloDOE1412",91.1,0.7
"89","Chloso1228",94.8,1.3
"90","Chloso1230",96.8,0.7
"91","Chloso1602",97.3,0.6
"92","Chlpri1",91.3,0.5
"93","Chlre5",98.7,0.3
"94","ChlreiCC4532",99.5,0.1
"95","Chlremi1",92.8,1.8
"96","Chlsc1",97.8,0.8
"97","ChlUWO241",82.2,2.5
"98","Chrzof2",98.9,0.5
"99","Coprin2167",95.4,1
"100","Cosub3",99.5,0.1
"101","DesarB2533",88.4,2.8
"102","DesarSE107",93.1,1.7
"103","Dicre1",93.6,2.1
"104","Dunsal1",81.8,7
"105","Edade1",96.8,1.4
"106","Ellbil24580",93.5,1.1
"107","Enacos1",98.4,0.5
"108","Flerot1",98.6,0.3
"109","Gonpec1",91.6,5
"110","Haelac144",40.1,15.9
"111","Haeplu1",96.4,1.2
"112","Heli50920",61.8,13.8
"113","Limspi1",92.2,0.6
"114","Micco1",95,0.7
"115","BUSCO",99.1,0.3
"116","MicrAD1",92.8,0.9
"117","MicrYARC1",82.7,5.5
"118","Monmin1",96.4,0.9
"119","Monneg1",73.1,18.2
"120","Myrbis2043",96.8,1
"121","Nandes2437",94.3,0.8
"122","Nandes2526",96.1,0.4
"123","Ostque1",64.4,2.8
"124","Ostta1115",94.2,0.9
"125","Ostta4221",98.3,0.4
"126","Pedmin1",89.5,1.8
"127","PedYPF701",86.6,0.8
"128","Pico",32.1,5.7
"129","Picre1",67.3,11.3
"130","Picsp",87,0.8
"131","Rapsub1",95.9,1.2
"132","Scedim1",97.2,0.7
"133","Sceob152z",95.2,1
"134","Sceobl1450",96.9,0.9
"135","Sceobl2630",96.3,1
"136","Sceobl393",96.7,0.7
"137","SceoblDOE13",96.3,0.7
"138","SceoblEN4",87.4,1.9
"139","Scesp",93.1,2.2
"140","ScespWC1",96.6,0.6
"141","Sob3031",89.6,1.2
"142","SymretAf1",95.9,0.9
"143","SymretSc1",96.3,0.5
"144","SymretSp1",93.5,2.2
"145","SymretSw1",96.3,0.4
"146","TetrdesSNI2",96.4,1
"147","Tetrobl72",97.2,0.7
"148","Tetso1",58.2,18.2
"149","Tetstr1",93.2,1.1
"150","Treb6682",92,1.4
"151","Trebou4402",88,2.2
"152","Trebou4966",88.7,2
"153","Trebou978",91.6,0.5
"154","TrebouA12",85.5,1.7
"155","Ulvmu1",87.3,0.9
"156","Volafr1",89,0.9
"157","Volca2",95.4,1
"158","Volre3785",90.7,1
"159","Volre3786",90.4,0.7
"160","GCA_000001735.2",99.6,0.1
"161","GCA_000002775.4",99.3,0.2
"162","GCA_000003195.3",98.3,0.9
"163","GCA_000003745.2",90.8,4.8
"164","GCA_000004075.3",95.3,2.6
"165","GCA_000004255.1",96.3,1.3
"166","GCA_000004515.5",99.4,0.4
"167","GCA_000004655.2",91.4,4.5
"168","GCA_000005005.6",94.8,3.3
"169","GCA_000005425.2",73,9.9
"170","GCA_000005505.4",99.3,0.4
"171","GCA_000143415.2",76.9,5.9
"172","GCA_000149285.1",90.9,4.2
"173","GCA_000151685.2",92,4.6
"174","GCA_000211275.1",68,5.5
"175","GCA_000219495.2",96.8,0.8
"176","GCA_000263155.2",97.9,1.1
"177","GCA_000327365.2",98.4,1.1
"178","GCA_000331365.3",21.6,22
"179","GCA_000340665.2",89.9,5.5
"180","GCA_000346465.2",99.3,0.2
"181","GCA_000347455.1",55.5,14.7
"182","GCA_000375325.1",95.7,2.2
"183","GCA_000403535.1",99.4,0.2
"184","GCA_000414095.2",87.2,7.5
"185","GCA_000441915.1",70.5,16.2
"186","GCA_000471905.1",89.9,5.4
"187","GCA_000478725.1",98.2,0.9
"188","GCA_000493195.1",93.6,4.7
"189","GCA_000499845.2",98,1.4
"190","GCA_000504015.1",91.3,5.1
"191","GCA_000510995.2",94.1,4
"192","GCA_000511025.2",97.3,1.4
"193","GCA_000512255.2",86.5,5.7
"194","GCA_000583005.2",63.7,31.5
"195","GCA_000612305.2",93.9,3.4
"196","GCA_000695605.1",78.6,14.6
"197","GCA_000696525.1",91.8,4.5
"198","GCA_000708835.1",69.3,4.3
"199","GCA_000722935.2",90.3,4.6
"200","GCA_000733195.1",79.7,1.4
"201","GCA_000751015.1",79.6,1.9
"202","GCA_000763605.2",93.2,5.3
"203","GCA_000787975.1",71.5,4.4
"204","GCA_000801105.3",97.8,0.8
"205","GCA_000818735.3",25.2,22.4
"206","GCA_001185155.1",91.4,4.5
"207","GCA_001190045.1",83.9,7.9
"208","GCA_001411555.2",96.1,1.4
"209","GCA_001433935.1",79.7,9.2
"210","GCA_001531365.2",86.7,7
"211","GCA_001598015.1",77.9,5.5
"212","GCA_001605985.2",75.6,11.2
"213","GCA_001625215.2",99.1,0.4
"214","GCA_001633215.2",68.5,10
"215","GCA_001641455.1",80.3,4.5
"216","GCA_001651475.1",94.7,3.7
"217","GCA_001659605.2",99.6,0.3
"218","GCA_001661175.1",83,6.3
"219","GCA_001692995.2",79.5,5.4
"220","GCA_001742945.1",78.2,12.8
"221","GCA_001865875.1",92.7,3.7
"222","GCA_001876935.1",78.3,10.8
"223","GCA_001879085.1",92.6,3.5
"224","GCA_001884805.1",25,21.4
"225","GCA_001884845.1",25,22
"226","GCA_001972305.1",96.7,1.3
"227","GCA_001974805.1",88.4,4.3
"228","GCA_001974825.2",82.3,7.4
"229","GCA_002127325.2",97.1,1.4
"230","GCA_002174775.1",92.6,3
"231","GCA_002201585.1",84,4.1
"232","GCA_002211085.2",99.2,0.4
"233","GCA_002220415.3",98.8,0.1
"234","GCA_002271885.2",81.5,6.2
"235","GCA_002271895.2",79.9,8.6
"236","GCA_002738505.1",97.6,1.4
"237","GCA_002762385.1",79.1,9.3
"238","GCA_002786265.1",81.5,8.4
"239","GCA_002837095.1",73,19.3
"240","GCA_002870075.4",91.1,2.2
"241","GCA_002897195.1",92,4.6
"242","GCA_002906115.5",79.7,10.2
"243","GCA_002914805.1",92.9,5.4
"244","GCA_002914845.1",92.3,5.9
"245","GCA_002926015.1",80.6,8.1
"246","GCA_002928715.1",79.7,7.6
"247","GCA_002966975.2",80.7,7.9
"248","GCA_002994745.2",97.1,2
"249","GCA_003024255.1",94.4,2.5
"250","GCA_003032435.1",87.5,1.2
"251","GCA_003046395.2",94.8,2.2
"252","GCA_003061485.1",99.3,0.3
"253","GCA_003112345.1",90.5,2.8
"254","GCA_003185045.1",87.2,8.2
"255","GCA_003260385.1",84.9,2.3
"256","GCA_003260635.2",40.8,17.3
"257","GCA_003260655.2",71.9,8.2
"258","GCA_003260675.2",58.3,12.1
"259","GCA_003260695.2",40,17.5
"260","GCA_003370565.1",84,6.3
"261","GCA_003427395.1",48,9.5
"262","GCA_003434825.1",96.3,2
"263","GCA_003473485.2",97.3,2
"264","GCA_003490085.1",3.5,18.2
"265","GCA_003546025.1",87.5,3.7
"266","GCA_003573695.1",90.6,3
"267","GCA_003713155.1",96.3,0.4
"268","GCA_003952965.2",80.2,6.8
"269","GCA_003958685.2",96,2.3
"270","GCA_004007595.1",75.4,8.7
"271","GCA_004011995.1",63.8,23
"272","GCA_004114815.1",82,4.2
"273","GCA_004115005.2",87.4,7.4
"274","GCA_004115385.1",93.6,1.5
"275","GCA_004153795.2",67.8,12.3
"276","GCA_004170445.1",95.6,1.2
"277","GCA_004193775.2",98.5,1.1
"278","GCA_004295705.1",13,1.5
"279","GCA_004303085.2",83.1,1.9
"280","GCA_004320505.1",94.2,2.9
"281","GCA_004329165.1",89.5,7.7
"282","GCA_004379255.2",94.1,2.4
"283","GCA_004837865.1",86.9,4.5
"284","GCA_005223365.2",86.3,4.9
"285","GCA_005239225.1",96.5,1
"286","GCA_005286985.2",99.6,0.4
"287","GCA_005393395.2",75.6,6.7
"288","GCA_005549215.1",79.3,8.2
"289","GCA_005549225.1",76.1,10.1
"290","GCA_006013705.1",85.6,2
"291","GCA_006381635.2",86.8,6.1
"292","GCA_006547085.1",88.1,5.3
"293","GCA_006937295.1",83.8,3.2
"294","GCA_007726485.1",91,2.7
"295","GCA_007844105.2",96.2,1.2
"296","GCA_007990325.1",99.8,0.1
"297","GCA_007990345.1",99.4,0.4
"298","GCA_007990455.1",99.3,0.5
"299","GCA_007990485.1",99.8,0.1
"300","GCA_008009225.1",92.6,2.6
"301","GCA_008124465.1",69,15.7
"302","GCA_008632915.2",62.8,7.7
"303","GCA_008636005.1",90.5,3.3
"304","GCA_008638375.1",87.8,7.7
"305","GCA_008761655.1",99.6,0.2
"306","GCA_008932095.1",90.7,1.6
"307","GCA_009078335.1",92.8,2.6
"308","GCA_009363875.1",88.3,3.9
"309","GCA_009445465.1",64.3,18.6
"310","GCA_009746105.1",77,12
"311","GCA_009771035.1",96,2.9
"312","GCA_009797565.1",99.4,0.3
"313","GCA_009905375.1",4.8,1
"314","GCA_009936355.2",87.4,1.2
"315","GCA_010261695.1",94.2,0.9
"316","GCA_010458925.1",68.8,15
"317","GCA_011114355.1",84.9,2.4
"318","GCA_011745845.1",87.5,7.2
"319","GCA_011745865.1",82.6,8.9
"320","GCA_011799765.1",79.9,10.3
"321","GCA_012273815.2",98.2,0.6
"322","GCA_012274485.2",98.3,1.2
"323","GCA_012923435.1",91.9,3.1
"324","GCA_013030025.1",93,2.2
"325","GCA_013358455.1",86.2,9
"326","GCA_013401445.1",92.3,4.2
"327","GCA_013467465.1",57,8.2
"328","GCA_013467475.1",49.6,15.9
"329","GCA_013467485.1",43.3,15.9
"330","GCA_013467495.1",41.6,7.1
"331","GCA_013487665.1",40.5,17.2
"332","GCA_013511315.1",51.6,11.6
"333","GCA_013676235.1",81.2,7.6
"334","GCA_013677235.1",56.4,9.9
"335","GCA_013677245.1",56.9,8.9
"336","GCA_013677255.1",41.8,17
"337","GCA_013677265.1",43.8,16
"338","GCA_013677275.1",59.8,7.2
"339","GCA_014058105.1",75.9,15.1
"340","GCA_014180765.2",79.9,2.9
"341","GCA_014282035.1",88.9,2
"342","GCA_014282085.1",66.7,2.7
"343","GCA_014282095.1",95.8,2.2
"344","GCA_014282145.1",96.6,1.2
"345","GCA_014282245.1",90,3.4
"346","GCA_014282345.1",97.9,0.6
"347","GCA_014319735.1",0.1,0.2
"348","GCA_014362265.1",66.7,16.7
"349","GCA_014529385.2",84,4
"350","GCA_014851425.1",89.8,4
"351","GCA_014858505.1",95.5,3.6
"352","GCA_014871385.1",86.7,2.3
"353","GCA_014871845.1",87.4,2
"354","GCA_014905375.1",84.3,9.7
"355","GCA_015143295.1",83.2,7.9
"356","GCA_015342445.1",95,1.3
"357","GCA_015680905.1",78.9,9.8
"358","GCA_015731905.1",91.5,2
"359","GCA_015852605.2",94.8,2.2
"360","GCA_015952705.1",96.2,1.9
"361","GCA_016081115.2",97,0.6
"362","GCA_016413885.1",74.9,11.7
"363","GCA_016413895.1",75.3,11.5
"364","GCA_016771965.1",91.4,1.7
"365","GCA_016808095.1",92.3,3.6
"366","GCA_016808215.1",98.6,0.9
"367","GCA_016808335.1",99.8,0.2
"368","GCA_017552425.1",95.8,2.7
"369","GCA_017639395.1",91,1.2
"370","GCA_018107945.1",85.2,10.1
"371","GCA_018127125.1",91,4
"372","GCA_018258275.1",86,9.8
"373","GCA_018446385.1",91.1,4.5
"374","GCA_018687715.1",96.3,2.6
"375","GCA_018688675.1",98.1,1.2
"376","GCA_018689175.1",94.5,1.7
"377","GCA_018691285.1",97.3,1
"378","GCA_018804465.1",95.8,1.7
"379","GCA_019202795.1",99.8,0.2
"380","GCA_019202805.1",99.5,0.1
"381","GCA_019279435.1",84.9,10
"382","GCA_019321725.1",97.5,1.7
"383","GCA_019426215.1",93.3,3.1
"384","GCA_019455425.1",83,1.7
"385","GCA_019511825.2",85.9,2.2
"386","GCA_019512045.2",82.7,1.7
"387","GCA_019722365.1",78.6,10.2
"388","GCA_019776745.2",50.4,22.3
"389","GCA_019845555.1",96.4,1.4
"390","GCA_019925795.1",77.3,5.5
"391","GCA_020169535.1",91.2,3.1
"392","GCA_020169555.1",89,2.7
"393","GCA_020169575.1",90.3,3
"394","GCA_020169585.1",92.1,2.5
"395","GCA_020310875.1",84,4.8
"396","GCA_020379485.1",96.1,0.5
"397","GCA_020424065.1",89.2,3.7
"398","GCA_020496765.1",97.7,1.4
"399","GCA_020497155.1",96.5,0.9
"400","GCA_020521535.1",88.5,7.4
"401","GCA_020796205.1",66.4,2.2
"402","GCA_020796215.1",89,3.4
"403","GCA_020875875.1",96.8,1.8
"404","GCA_020921065.1",92.4,1.7
"405","GCA_021292205.2",90.2,1.8
"406","GCA_021442195.1",89.5,1.9
"407","GCA_021604985.1",69.8,16.5
"408","GCA_021904315.1",89,2.2
"409","GCA_022085475.1",81.7,6.1
"410","GCA_022201045.1",99.2,0.2
"411","GCA_022201065.1",99.3,0.2
"412","GCA_022343405.2",71.9,10.7
"413","GCA_022379115.2",98.5,0.5
"414","GCA_022539455.1",93.4,2.9
"415","GCA_023344035.1",61.6,3
"416","GCA_023376185.1",81,1.1
"417","GCA_023525715.1",82.3,1.3
"418","GCA_023525745.1",86.9,1.4
"419","GCA_023525975.1",97.9,1
"420","GCA_023529015.1",68.7,8.4
"421","GCA_023529315.1",95.6,2.1
"422","GCA_023531105.1",95.9,2.1
"423","GCA_023531295.1",95.2,2.5
"424","GCA_023531435.1",94.3,2
"425","GCA_023547065.1",91.6,4.8
"426","GCA_023653495.1",95.8,1.1
"427","GCA_024137805.1",95.6,1.2
"428","GCA_024323335.2",98.6,0.6
"429","GCA_024362645.1",98.4,0.7
"430","GCA_024505715.1",92.3,4
"431","GCA_024733475.1",91.1,4.5
"432","GCA_024762085.1",70,7.4
"433","GCA_025200525.1",93.9,3.3
"434","GCA_025413875.1",91.3,4.3
"435","GCA_025563575.1",97,1.6
"436","GCA_025594385.1",93.6,2.2
"437","GCA_026074375.1",92.7,5.1
"438","GCA_026225825.1",77.1,16.1
"439","GCA_026229545.1",72.7,17.8
"440","GCA_026261945.1",96,0.4
"441","GCA_026538245.1",97.5,1.5
"442","GCA_026538285.1",90.3,6.3
"443","GCA_026573395.1",98.7,0.3
"444","GCA_026586065.1",96.2,1.4
"445","GCA_026651665.1",88.1,8.1
"446","GCA_026651675.1",90.6,6.2
"447","GCA_026651695.1",97,1.3
"448","GCA_026651735.1",94.2,1.5
"449","GCA_026651805.1",96.8,1.4
"450","GCA_026652165.1",96.3,2.1
"451","GCA_026901365.1",71.2,7.1
"452","GCA_027562975.1",88.5,1.2
"453","GCA_027725995.1",87.4,1.5
"454","GCA_027726005.1",87.2,1.2
"455","GCA_027943385.1",53.2,5.9
"456","GCA_027943415.1",55.8,5.8
"457","GCA_028052125.1",97.6,1.4
"458","GCA_028095005.1",91.6,0.8
"459","GCA_028386065.3",87.5,5.3
"460","GCA_028411795.1",98.8,0.5
"461","GCA_028583415.1",97.9,1
"462","GCA_029030645.1",82.9,10.3
"463","GCA_029030655.1",75.5,11.7
"464","GCA_029030765.1",78.9,10.7
"465","GCA_029204005.1",77.8,11.8
"466","GCA_029204225.1",88.5,2.9
"467","GCA_029216955.1",82.8,6.9
"468","GCA_029228465.1",87.8,7.2
"469","GCA_029228485.1",92.1,3.4
"470","GCA_029228495.1",86.1,8.2
"471","GCA_029228505.1",91.8,3.3
"472","GCA_029228515.1",91.1,3.8
"473","GCA_029228605.1",78.1,10.7
"474","GCA_029379385.1",95.8,2.6
"475","GCA_029747015.1",77.9,10.6
"476","GCA_029747655.1",96.3,1.7
"477","GCA_029783415.1",95.8,1
"478","GCA_029852735.1",92.7,3.3
"479","GCA_029891385.1",97.5,1.5
"480","GCA_030052815.1",96.6,0.8
"481","GCA_030169165.1",74.5,3.7
"482","GCA_030254885.1",82.8,3.4
"483","GCA_030270665.1",98.8,0.6
"484","GCA_030272615.1",91.3,2.6
"485","GCA_030408175.1",99.5,0.2
"486","GCA_030490815.1",92.9,3.5
"487","GCA_030704535.1",93.6,1.3
"488","GCA_030737835.1",86.8,6.6
"489","GCA_030737845.1",89.5,5.7
"490","GCA_030848705.1",96.8,1.1
"491","GCA_030867185.1",87.2,0.7
"492","GCA_030979865.1",91.4,1.7
"493","GCA_030979885.1",83.2,2
"494","GCA_031230405.1",86.6,9.6
"495","GCA_032173615.1",99.8,0.1
"496","GCA_032690845.1",93.6,2.2
"497","GCA_032871835.1",97.1,1.5
"498","GCA_033065855.1",87.5,8.5
"499","GCA_033070095.1",89.5,5.6
"500","GCA_033220585.1",91.2,5.2
"501","GCA_033239525.1",94.4,2.7
"502","GCA_033242285.1",90,6.9
"503","GCA_034222035.1",98.3,0.6
"504","GCA_034359265.1",93.6,3.4
"505","GCA_034509725.1",73.2,13.6
"506","GCA_034509735.1",93.5,1.9
"507","GCA_034509755.1",98.8,0.6
"508","GCA_034814905.1",49.9,3.3
"509","GCA_035136125.1",98.1,0.9
"510","GCA_035578085.1",97.8,0.6
"511","GCA_035582445.1",94.6,2.1
"512","GCA_035582545.1",92.8,4.1
"513","GCA_035582765.1",91.9,1.5
"514","GCA_035896635.1",89.3,6.9
"515","GCA_036250425.1",94.1,3.8
"516","GCA_036320975.1",95.4,2.5
"517","GCA_036689595.1",91.9,2.4
"518","GCA_036851095.1",91.3,3.8
"519","GCA_036851125.1",95.5,2.7
"520","GCA_036851155.1",95,2.8
"521","GCA_036885675.1",79.5,10.1
"522","GCA_037074985.1",88.2,2.8
"523","GCA_037126225.1",93.9,2.8
"524","GCA_037833805.1",87.4,1.1
"525","GCA_037833965.1",87.4,1.1
"526","GCA_037953625.1",79.5,1.4
"527","GCA_037954015.1",80,0.7
"528","GCA_037954025.1",93.9,0.4
"529","GCA_037954105.1",81.7,0.9
"530","GCA_037962975.1",83.6,0.7
"531","GCA_038405125.1",99.4,0.4
"532","GCA_038485115.1",88.5,1.8
"533","GCA_038485135.2",92,1.4
"534","GCA_038485145.1",99.2,0.4
"535","GCA_038677285.1",99.2,0.1
"536","GCA_039105155.1",87.4,1.1
"537","GCA_039513925.1",79.5,6.4
"538","GCA_039583875.1",58.1,11.1
"539","GCA_039602395.1",95.5,0.6
"540","GCA_039657325.1",96,1.8
"541","GCA_039657345.1",96.7,0.9
"542","GCA_039657365.1",96,1.2
"543","GCA_039657385.1",94.7,2.1
"544","GCA_039657395.1",94.5,2.4
"545","GCA_039720395.1",83.1,11.4
"546","GCA_040167595.1",98.9,0.4
"547","GCA_040182985.1",96,2.1
"548","GCA_040183295.1",92.5,3.6
"549","GCA_040256815.2",99.1,0.2
"550","GCA_040285695.1",70.6,14.3
"551","GCA_040285715.1",73.1,12.8
"552","GCA_040286105.1",75,13.1
"553","GCA_040286145.1",83.6,9.9
"554","GCA_040372305.1",87.5,4.6
"555","GCA_040436765.1",91.3,3.3
"556","GCA_040550855.1",99.6,0.1
"557","GCA_040584065.1",99.6,0.1
"558","GCA_040670175.1",91.5,2.3
"559","GCA_040938325.1",99.3,0.5
"560","GCA_040955855.1",95.5,0.7
"561","GCA_041154535.1",97.3,1.6
"562","GCA_041154625.1",97.8,0.4
"563","GCA_041381175.1",98.5,0.6
"564","GCA_041383265.1",99.3,0.3
"565","GCA_042100155.1",96.4,0.6
"566","GCA_043165305.1",98.6,0.5
"567","GCA_043235775.1",89.3,4.1
"568","GCA_043237855.1",92.6,3.6
"569","GCA_043381025.1",99.9,0
"570","GCA_043381455.1",83.3,3
"571","GCA_044505025.1",72.2,12.8
"572","GCA_044510105.1",99.8,0.1
"573","GCA_045791845.1",95.7,0.7
"574","GCA_900059795.1",93.9,3.9
"575","GCA_900231445.1",96.5,0.8
"576","GCA_900332095.2",81.7,7.1
"577","GCA_900411305.1",17.4,1.1
"578","GCA_900412535.3",97.5,1
"579","GCA_902201215.1",97.1,0.4
"580","GCA_902206195.3",96.8,1.4
"581","GCA_902651935.1",99.6,0.1
"582","GCA_902703425.1",86.5,5
"583","GCA_902705455.1",99.6,0.1
"584","GCA_902706635.1",90.7,4.5
"585","GCA_902713445.1",97.1,1.2
"586","GCA_902728155.2",98.5,0.6
"587","GCA_902729315.2",95.4,2
"588","GCA_903112645.1",93.4,2.5
"589","GCA_903114435.1",94.4,2.2
"590","GCA_904420315.1",91.3,1.6
"591","GCA_904845875.1",97.2,1.4
"592","GCA_905183035.1",98.1,0.5
"593","GCA_905216605.1",95.5,0.9
"594","GCA_911865555.2",87.3,2.5
"595","GCA_912172775.2",82.4,2.4
"596","GCA_928212115.1",91.9,2.1
"597","GCA_932364175.1",98,0.9
"598","GCA_944990045.1",96.2,1.2
"599","GCA_945859875.1",87.9,2.5
"600","GCA_945859915.1",90.8,0.8
"601","GCA_946122785.1",96,1.3
"602","GCA_947470075.1",45.1,9
"603","GCA_947471745.1",49.9,8.1
"604","GCA_948144035.1",44.2,9
"605","GCA_948144175.1",45,8.7
"606","GCA_948472305.1",96.1,2.4
"607","GCA_949281255.1",35.9,10.4
"608","GCA_949281275.1",36.8,10.9
"609","GCA_949352195.3",99.9,0
"610","GCA_949775105.1",94.1,1.2
"611","GCA_949927565.1",89.9,2.2
"612","GCA_963425845.1",90,5.3
"613","GCA_963454935.2",75.2,16.4
"614","GCA_963859935.3",95.7,0.7
"615","GCA_963924115.1",88.3,5.9
"616","GCA_963931745.2",96.1,1.3
"617","GCA_963931755.2",95.5,1.5
"618","GCA_963931765.2",95.5,2
"619","GCA_963970345.1",87.7,2.1
"620","GCA_963970355.1",88.3,1.8
"621","GCA_963971075.1",88.2,1.9
"622","GCA_963978565.1",95.2,1.5
"623","GCA_964014455.1",87.5,2
"624","GCA_964019355.1",98.8,0.5
"625","GCA_964030455.1",97,1.2
"626","GCA_964030465.3",99.4,0.1
"627","GCA_964186695.1",99.2,0.1
"628","GCA_964259005.1",97.2,1.5
"629","GCA_964267205.1",96.9,0.5
"630","GCA_964270275.1",95.9,1.5
"631","GCA_964270295.1",89.8,4
"632","GCA_964270305.1",97.6,0.6
"633","GCA_964270695.1",97.2,0.9
"634","GCA_964270995.1",97.3,0.7
"635","GCA_964271285.1",97.2,0.7
"636","GCA_964340505.1",98.9,0
"637","GCA_000091205.1",72.94,6.27
"638","GCA_000341285.1",78.04,7.45
"639","GCA_000350225.2",63.14,8.24
"640","GCA_002049455.2",43.92,14.51
"641","GCA_003194525.1",81.18,4.71
"642","GCA_008690995.1",71.76,8.63
"643","GCA_009829735.1",50.2,16.86
"644","GCA_013995675.1",54.51,16.86
"645","GCA_022539475.1",60,9.02
"646","GCA_024341865.1",73.73,10.2
"647","GCA_025991245.1",81.96,5.49
"648","GCA_026122185.1",68.24,9.8
"649","GCA_026122205.1",80.78,6.27
"650","GCA_026184775.1",67.06,9.8
"651","GCA_029953675.1",83.92,4.31
"652","GCA_042855435.1",61.18,12.94
"653","GCA_000002435.2",23.92,5.88
"654","GCA_000002445.1",97.69,1.54
"655","GCA_000002725.2",100,0
"656","GCA_000002825.3",52.16,6.67
"657","GCA_000002845.2",96.92,1.54
"658","GCA_000002875.2",100,0
"659","GCA_000004985.1",77.65,10.2
"660","GCA_000182405.1",23.53,6.67
"661","GCA_000182665.1",23.92,6.27
"662","GCA_000188675.2",93.08,4.62
"663","GCA_000209065.1",97.69,1.54
"664","GCA_000210295.1",98.46,1.54
"665","GCA_000227135.2",99.23,0
"666","GCA_000227375.1",9.23,2.31
"667","GCA_000227395.2",34.62,14.62
"668","GCA_000234665.4",99.23,0.77
"669","GCA_000300495.1",98.46,0.77
"670","GCA_000442495.1",73.08,20
"671","GCA_000442575.2",79.23,16.92
"672","GCA_000492115.1",94.62,3.85
"673","GCA_000496795.1",90.77,8.46
"674","GCA_000497125.2",18.82,7.06
"675","GCA_000498715.1",23.53,6.27
"676","GCA_000498735.1",23.14,6.27
"677","GCA_000582765.1",90,9.23
"678","GCA_000691245.1",95.38,3.85
"679","GCA_000755165.1",100,0
"680","GCA_000982615.1",80,19.23
"681","GCA_001235845.1",65.38,6.92
"682","GCA_001293395.1",100,0
"683","GCA_001299535.1",99.23,0.77
"684","GCA_001457755.2",94.62,0
"685","GCA_001460835.1",89.23,8.46
"686","GCA_001543975.1",23.14,6.67
"687","GCA_001643675.2",59.61,5.1
"688","GCA_001839685.2",50.59,4.71
"689","GCA_002087225.1",99.23,0.77
"690","GCA_002219105.2",100,0
"691","GCA_003177095.1",99.23,0
