Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_029216955.1	ASM2921695v1	Iris pallida	29817	13489124238	Scaffold
GCA_040256815.2	ASM4025681v2	Triticum aestivum	4565	14509208007	Complete Genome
GCA_036689595.1	IICAR_Pnotatum_1.0	Paspalum notatum var. saurae	547442	557812088	Chromosome
GCA_004007595.1	JHU_CGRice_1.0	Oryza sativa	4530	377604035	Chromosome
GCA_009797565.1	Osativa_Kitaake_v2.0	Oryza sativa Japonica Group	39947	381570803	Chromosome
GCA_000149285.1	OrySat_Sep2003	Oryza sativa Japonica Group	39947	391147533	Chromosome
GCA_000004655.2	ASM465v1	Oryza sativa Indica Group	39946	426337286	Chromosome
GCA_003185045.1	Zm-Mo17-REFERENCE-CAU-1.0	Zea mays	4577	2182605176	Chromosome
GCA_002220415.3	Triticum_4.0	Triticum aestivum	4565	15418291444	Chromosome
GCA_024137805.1	yangtze university Zhang lab wild barley 1.0	Hordeum vulgare	4513	5110996495	Chromosome
GCA_015952705.1	SbicolorRio_v2	Sorghum bicolor	4558	729379862	Chromosome
GCA_964270305.1	MAZEB_v1	Musa acuminata var. zebrina	214685	540944606	Chromosome
GCA_964275165.1	MABUR_v1	Musa acuminata subsp. burmannicoides	213592	497560331	Chromosome
GCA_003046395.2	Pm_0390_v2	Panicum miliaceum	4540	854653004	Chromosome
GCA_008124465.1	ASM812446v1	Cocos nucifera	13894	2202455121	Chromosome
GCA_016413885.1	Elo_Vpla-B_alternate_1.0	Vanilla planifolia	51239	744191894	Chromosome
GCA_016413895.1	Elo_Vpla-A_principal_1.0	Vanilla planifolia	51239	736752966	Chromosome
GCA_026573395.1	P.vaginatum v3.1	Paspalum vaginatum	158149	646899508	Chromosome
GCA_964270995.1	MACMADH1_v1	Musa hybrid cultivar	491892	511468586	Chromosome
GCA_964270695.1	MACMADH2_v1	Musa hybrid cultivar	491892	526381372	Chromosome
GCA_003061485.1	PhalliiHAL_v2.1	Panicum hallii var. hallii	1504633	487473734	Chromosome
GCA_004114815.1	Hulless_Barley_ass.V2	Hordeum vulgare	4513	4006124924	Scaffold
GCA_001661175.1	ACMD2v1.0	Ananas comosus	4615	524069662	Scaffold
GCA_021604985.1	Ragi PR202 v. 2.0	Eleusine coracana subsp. coracana	191504	1229373533	Scaffold
GCA_009445465.1	ASM944546v1	Colocasia esculenta	4460	2141607705	Scaffold
GCA_005223365.2	ASM522336v2	Oryza meyeriana var. granulata	110450	736774741	Scaffold
GCA_000818735.3	Bedadeti_annotated	Ensete ventricosum	4639	451279456	Scaffold
GCA_001884845.1	Onjamo_v1.0	Ensete ventricosum	4639	444841970	Scaffold
GCA_001884805.1	Derea_v1.0	Ensete ventricosum	4639	429479738	Contig
GCA_000331365.3	Ensete_JungleSeeds_v3.0	Ensete ventricosum	4639	437268592	Scaffold
GCA_902703425.1	Spirodela_intermedia_7747_2	Spirodela intermedia	51605	147238293	Scaffold
GCA_001433935.1	IRGSP-1.0	Oryza sativa Japonica Group	39947	373795655	Chromosome
GCA_000005425.2	Build 4.0	Oryza sativa Japonica Group	39947	382150945	Chromosome
GCA_000005005.6	B73 RefGen_v4	Zea mays	4577	2134373047	Chromosome
GCA_000347455.1	ASM34745v1	Triticum urartu	4572	3747047519	Scaffold
GCA_900411305.1	CH Campala Lr22a Pseudomolecule v5	Triticum aestivum	4565	563502314	Chromosome
GCA_004295705.1	ASM429570v1	Oryza sativa Japonica Group	39947	43342410	Chromosome
