Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submitter	Assembly BioProject Accession	Annotation Count Gene Total
GCA_022201045.1	DVS_A1.0	Citrus sinensis	2711		298977511	Complete Genome	Clemson University	PRJNA736174	27807
GCA_009017415.1	ASM901741v1	Aspergillus flavus	5059		37749288	Complete Genome	University of California, Berkeley	PRJNA575750	13958
GCA_000143535.4	ASM14353v4	Botrytis cinerea B05.10	332648		42630066	Complete Genome	Syngenta Biotechnology, Inc.	PRJNA15632	11703
GCA_001761485.1	ASM176148v1	Yarrowia lipolytica	4952		20500066	Complete Genome	University of California, Irvine	PRJNA295780	8746
GCA_016906535.1	ASM1690653v1	Rhizoctonia solani	456999		40703773	Complete Genome	China Agricultural University	PRJNA624219	12425
GCA_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	1003335		10920159	Complete Genome	Yamaguchi University	PRJDA65233	5162
GCA_000002725.2	ASM272v2	Leishmania major strain Friedlin	347515		32855089	Complete Genome	Friedlin Consortium	PRJNA10724	9687
GCA_020647865.1	ASM2064786v1	Trichoderma asperellum	101201		37545380	Complete Genome	Academia Sinica	PRJNA700774	12041
GCA_020647795.1	ASM2064779v1	Trichoderma atroviride	63577		37300646	Complete Genome	Academia Sinica	PRJNA700774	13327
GCA_900002385.2	GCA_900002385	Plasmodium yoelii	5861		23043114	Complete Genome	WTSI	PRJEB5706	6267
GCA_009556855.1	ASM955685v1	Talaromyces marneffei	37727		28198338	Complete Genome	Broad Institute	PRJNA522919	10066
GCA_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D	280699		16546747	Complete Genome	National Institute of Genetics, Japan	PRJNA10792	6170
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum	230603		11715280	Complete Genome	UNIVERSITY COLLEGE DUBLIN	PRJEB57075	5832
GCA_000687475.2	ASM68747v2	Ustilaginoidea virens	1159556		37060086	Complete Genome	China Agricultural University	PRJNA240653	8297
GCA_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	573729		38744216	Complete Genome	DOE Joint Genome Institute	PRJNA32775	9292
GCA_030272155.1	ASM3027215v1	Tetradesmus obliquus	3088		104665984	Complete Genome	Los Alamos National Laboratory	PRJNA887759	15224
GCA_026914185.1	ASM2691418v1	Puccinia triticina	208348		122823596	Complete Genome	Henan Agricultural University	PRJNA848635	12736
GCA_016767815.1	ASM1676781v1	Penicillium digitatum	36651		26336737	Complete Genome	Hangzhou Normal University	PRJNA658435	9239
GCA_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	1069201		37256495	Complete Genome	Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	PRJDB10968	12948
GCA_011074885.2	ASM1107488v2	Brettanomyces bruxellensis	5007		13150648	Complete Genome	Australian Wine Research Institute	PRJNA554210	5345
GCA_003290485.1	ASM329048v1	Malassezia restricta	76775		7330907	Complete Genome	Korea Polar Research Institute	PRJNA477735	4544
GCA_033473495.1	ASM3347349v1	Cercospora beticola	122368		36074111	Complete Genome	USDA-ARS	PRJNA1013556	13212
GCA_033870435.1	ASM3387043v1	Sordaria macrospora	5147		39444728	Complete Genome	Ruhr-University Bochum	PRJNA744349	10816
GCA_000836335.2	ASM83633v2	Cryptococcus bacillisporus CA1280	1296109		17825526	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA191331	6809
GCA_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	182096		29697343	Complete Genome	Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	PRJDB10979	10581
GCA_038181435.1	ASM3818143v1	Fusarium acuminatum	5515		46698876	Complete Genome	School of Grassland Science, Beijing Forestry University	PRJNA991756	11813
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1	877507		34970730	Complete Genome	Massey University	PRJNA431450	7137
GCA_045014175.1	ASM4501417v1	Kerria lacca	473130		256623901	Complete Genome	Institute of Highland Forest Science, Chinese Academy of Forestry	PRJNA922739	10696
GCA_041870755.1	OSU_Fsam_1.1	Fusarium sambucinum	5128		38374918	Complete Genome	Oregon State University	PRJNA990829	12893
GCA_004011695.2	ASM401169v2	Ascochyta rabiei	5454		40846718	Complete Genome	Curtin University	PRJNA510692	11661
GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei	59799		20976081	Complete Genome	York	PRJEB36170	10512
GCA_013426205.1	ASM1342620v1	Metarhizium brunneum	500148		37771916	Complete Genome	Swansea University	PRJNA608152	11595
GCA_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	284811		9095748	Complete Genome	Biozentrum, University of Basel, Switzerland	PRJNA13834	5331
GCA_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku	869250		8983596	Chromosome	Research Center for Zoonosis Control, Hokkaido University	PRJDA49463	4058
GCA_034359265.1	ASM3435926v1	Canna indica	4628		752924351	Complete Genome	Guizhou University	PRJNA916376	29421
GCA_034447905.1	ASM3444790v1	Colletotrichum destructivum	34406		51750812	Complete Genome	INRAE	PRJNA1029933	15631
GCA_026184415.1	ASM2618441v1	Trichothecium roseum	47278		33510174	Complete Genome	National Biopesticide Engineering Technology Research Centre, Hubei Academy of Agricultural Sciences	PRJNA877809	9102
GCA_026873545.1	ASM2687354v1	Fusarium falciforme	195108		53563088	Complete Genome	Academia Sinica	PRJNA782245	15136
GCA_023205875.1	ASM2320587v1	Chloropicon primus	1764295		17584162	Complete Genome	Illinois Institute of Technology	PRJNA632906	8683
GCA_964275055.1	MOSE0	Monosporozyma servazzii	27293		12262199	Complete Genome	Genoscope CEA, 2 rue Gaston Cremieux CP5706 91057 Evry cedex, France, France	PRJEB73841	5728
GCA_016952355.1	ASM1695235v1	Fusarium culmorum	5516		37519305	Complete Genome	Chinese Academy of Forestry	PRJNA643593	11785
GCA_020509005.2	Cfulv_R5_v5	Fulvia fulva	5499		67169167	Complete Genome	University of California	PRJNA565804	14993
GCA_041154625.1	CerSpe_IZO01_v1.0	Prunus speciosa	378228		269259082	Complete Genome	National Institute of Genetics	PRJDB17512	29972
GCA_023278565.1	ASM2327856v1	Colletotrichum lupini	145971		63407421	Complete Genome	University of Western Brittany	PRJNA360503	18742
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae	2747967		49477711	Complete Genome	Guangdong Academy of Agricultural Sciences	PRJNA765467	15320
GCA_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	1220207		34318862	Complete Genome	Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	PRJDB10980	13804
GCA_042100115.1	ASM4210011v1	Alternaria dauci	48095		34906709	Complete Genome	Peking University	PRJNA991970	10026
GCA_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	2060973		35574015	Complete Genome	Tokyo University of Science	PRJNA685267	10859
GCA_007735645.1	ASM773564v1	Venturia effusa	50376		45212240	Complete Genome	Massey University	PRJNA551043	10897
GCA_009938135.1	ASM993813v1	Malassezia furfur	55194		8268083	Complete Genome	Jawaharlal Nehru Centre for Advanced Scientific Research	PRJNA590853	4601
GCA_036417295.1	ASM3641729v1	Cryptococcus decagattii	1859122		17768546	Complete Genome	Broad Institute	PRJNA660466	6672
GCA_001984395.2	ASM198439v2	Zygosaccharomyces parabailii	1365886		20834458	Complete Genome	University College Dublin, Conway Institute	PRJNA369052	10633
GCA_900080155.1	UBRO_v3	Ustilago bromivora	307758		20447485	Complete Genome	Institute of Bioinformatics and Systems Biology	PRJEB7751	7408
GCA_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329	1423913		22833461	Complete Genome	Department of Molecular Genetics and Microbiology, Duke University	PRJNA227932	8670
GCA_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	578455		36912256	Complete Genome	DOE Joint Genome Institute	PRJNA32847	9958
GCA_046529785.1	ASM4652978v1	Rhynchosporium graminicola	2792576		57756617	Complete Genome	Research School of Biology, The Australian National University	PRJNA910335	13726
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii	1491479		40078385	Complete Genome	National Marine Biodiversity Institute of Korea	PRJNA645793	13296
GCA_013368755.1	ASM1336875v1	Talaromyces rugulosus	121627		35758560	Complete Genome	Xi'an Jiaotong University	PRJNA639236	11977
GCA_023920165.1	ASM2392016v1	Curvularia clavata	95742		32360171	Complete Genome	Guizhou Academy of Tobacco Science	PRJNA785728	10292
GCA_020906515.1	ASM2090651v1	Vanrija pseudolonga	143232		24922244	Complete Genome	Dankook University	PRJNA779818	9781
GCA_001592805.2	ASM159280v2	Peltaster fructicola	286661		18987130	Complete Genome	Northwest A&F University	PRJNA293964	8116
GCA_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei	54757		18338688	Chromosome	KAUST	PRJEB19355	5151
GCA_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	42260		10412516	Complete Genome	University College Dublin	PRJNA625702	5249
GCA_036630325.1	ASM3663032v1	Vairimorpha necatrix	6039		15005441	Complete Genome	Molecular Biology, Umea University	PRJNA909071	3214
GCA_038396805.1	Version 1	Chloropicon roscoffensis	1461544		16820234	Complete Genome	Biochimie, microbiologie et bio-informatique, Universite Laval	PRJNA629116	8976
GCA_964275045.1	MOUN0	Monosporozyma unispora	27294		12741222	Complete Genome	Genoscope	PRJEB73378	5919
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae	38082		7303369	Complete Genome	National Institutes Of Health	PRJNA632570	3223
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis	1491008		42023549	Complete Genome	Hainan University	PRJNA756961	10247
GCA_026210745.1	ASM2621074v1	Exobasidium rhododendri	63378		17559058	Complete Genome	Hebei University	PRJNA863915	6977
GCA_024114885.1	ASM2411488v1	Septoria linicola	215465		39552501	Complete Genome	INRAE	PRJNA833952	13096
GCA_035610405.1	ASM3561040v1	Australozyma saopauloensis	291208		12068158	Complete Genome	Peking Union Medical College Hospital	PRJNA1019270	5239
GCA_963924405.1	CAAN4	[Candida] anglica	148631		13719988	Complete Genome	Genoscope CEA	PRJEB66173	6344
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme	150365		23050344	Complete Genome	Academia Sinica	PRJNA1034788	8030
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)	566037		8867527	Complete Genome	Duke University, Molecular Genetics and Microbiology	PRJNA39551	4690
GCA_040256855.1	ASM4025685v1	Hanseniaspora menglaensis	3081051		9538423	Complete Genome	Conway Institute, University College Dublin	PRJNA950348	4437
GCA_029542865.1	ASM2954286v1	Malassezia equina	1381935		7775479	Complete Genome	Duke University	PRJNA885787	3750
GCA_010111755.1	ASM1011175v1	Nakaseomyces glabratus	5478		12726212	Chromosome	Johns Hopkins Medical Institution	PRJNA596126	5508
GCA_000006445.2	ASM644v2	Debaryomyces hansenii CBS767	284592		12152486	Chromosome	Genolevures Consortium	PRJNA13832	6698
GCA_000237345.1	ASM23734v1	Naumovozyma castellii	27288		11219539	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	PRJEA70625	5870
GCA_000026365.1	ASM2636v1	Zygosaccharomyces rouxii	4956		9764635	Chromosome	Genolevures Consortium	PRJNA12502	5404
GCA_002079055.1	ASM207905v1	Saccharomyces paradoxus	27291		12021328	Chromosome	SC	PRJEB7245	5803
GCA_000243375.1	ASM24337v1	Torulaspora delbrueckii	4950		9220678	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	PRJEA70971	5176
GCA_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340	559295		10392862	Chromosome	Génolevures Consortium	PRJNA12499	5511
GCA_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265	294750		17550122	Chromosome	Jawaharlal Nehru Centre for Advanced Scientific Research	PRJNA395628	6705
GCA_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517	1071382		11130140	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	PRJEA70967	5649
GCA_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola	280036		19565848	Chromosome	University of Liverpool, Institute of Integrative Biology	PRJNA522874	6602
GCA_000315915.1	ASM31591v1	Henningerozyma blattae CBS 6284	1071380		14048593	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	PRJEA70963	5726
GCA_000348985.1	ASM34898v1	Huiozyma naganishii CBS 8797	1071383		10845821	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	PRJEA70969	5488
GCA_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421	1071378		13527580	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	PRJEA70961	5816
GCA_000001735.2	TAIR10.1	Arabidopsis thaliana	3702		119146348	Chromosome	The Arabidopsis Information Resource (TAIR)	PRJNA10719	38050
GCA_000002945.3	ASM294v3	Schizosaccharomyces pombe	4896		12571820	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	PRJNA13836	12640
GCA_000182965.3	ASM18296v3	Candida albicans SC5314	237561		14282666	Chromosome	Stanford University	PRJNA10701	6263
GCA_000091045.1	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21	214684		19051922	Chromosome	TIGR	PRJNA13856	7004
GCA_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4	227321		29828291	Chromosome	Eurofungbase (Eurofung)	PRJEA40559	10597
GCA_037833965.1	MpTak2_v7.1	Marchantia polymorpha subsp. ruderalis	1480154		241484302	Chromosome	National Institute of Genetics	PRJDB16711	18391
GCA_900231445.1	Svevo.v1	Triticum turgidum subsp. durum	4567		9964338633	Chromosome	ITB-CNR	PRJEB22687	63993
GCA_000027005.1	ASM2700v1	Komagataella phaffii GS115	644223		9216378	Chromosome	Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	PRJEA37871	5040
GCA_000227135.2	ASM22713v2	Leishmania donovani	5661		32444968	Chromosome	Wellcome Trust Sanger Institute	PRJEA61817	8195
GCA_011022315.1	ASM1102231v1	Saccharomyces pastorianus	27292		22966002	Chromosome	Delft University of Technology	PRJNA522669	11312
GCA_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289	1279085		43832314	Chromosome	HMGU-IBIS	PRJEB185	14993
GCA_026210795.1	ASM2621079v1	Rhizophagus irregularis	588596		146773001	Chromosome	Royal Botanic Gardens Kew	PRJNA885267	30190
GCA_001625215.2	DH1 v3.0	Daucus carota subsp. sativus	79200		440713325	Chromosome	USDA ARS	PRJNA268187	36958
GCA_030408175.1	UTM_Trep_v1.0	Trifolium repens	3899		967718717	Chromosome	University of Toronto Mississauga	PRJNA951196	78174
GCA_905216605.1	AARE701a	Arabidopsis arenosa	38785		149659193	Chromosome	MPI FOR DEVELOPMENTAL BIOLOGY	PRJEB42625	22630
GCA_000185945.1	ASM18594v1	Cryptococcus gattii WM276	367775		18374760	Chromosome	Canada's Michael Smith Genome Sciences Centre	PRJNA13692	6580
GCA_036885675.1	ASM3688567v1	Vigna mungo	3915		474197000	Chromosome	National Institute of Plant Genome Research	PRJNA1028123	37994
GCA_000208865.2	ASM20886v2	Neospora caninum Liverpool	572307		57547420	Chromosome	Wellcome Trust Sanger Institute	PRJEA37771	7084
GCA_902850265.1	PGI_Spodlit_v1	Spodoptera littoralis	7109		435647201	Chromosome	ROTHAMSTED RESEARCH	PRJEB36692	13280
GCA_030553155.1	ASM3055315v1	Nippostrongylus brasiliensis	27835		257391350	Chromosome	Cornell University	PRJNA994163	16461
GCA_000214015.2	version 140606	Ostreococcus tauri	70448		12916858	Chromosome	Laboratoire Arago, France	PRJNA12912	7668
GCA_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125	1136231		12659401	Chromosome	Trinity College Dublin	PRJEA83665	5787
GCA_021613535.1	ASM2161353v1	Adineta vaga	104782		100824805	Chromosome	University of Namur	PRJNA680543	31582
GCA_020844145.1	ASM2084414v1	Sarcoptes scabiei	52283		57283228	Chromosome	College of Veterinary Medicine, Sichuan Agricultural University	PRJNA749654	9318
GCA_041200155.1	ASM4120015v1	Leuciscus waleckii	155063		1098969243	Chromosome	Heilongjiang River Fisheries Research Institute	PRJNA929316	34142
GCA_000691945.2	ASM69194v2	Babesia microti strain RI	1133968		6395281	Chromosome	Centre National de Sequencage GENOSCOPE	PRJEA72411	3685
GCA_028411795.1	ASM2841179v1	Euphorbia peplus	38846		267196017	Chromosome	Cornell University	PRJNA837952	25473
GCA_000091225.2	ASM9122v2	Encephalitozoon cuniculi GB-M1	284813		2497519	Chromosome	Genoscope	PRJNA13833	2159
GCA_046563165.1	ASM4656316v1	Acanthocheilonema viteae	6277		81082259	Chromosome	University of Maryland, Baltimore	PRJNA906603	10197
GCA_026914265.1	ASM2691426v1	Mya arenaria	6604		1216068291	Chromosome	Pacific Northwest Research Institute	PRJNA874712	38600
GCA_021491655.1	ASM2149165v1	Peronospora effusa	542832		58578433	Chromosome	UC Davis Genome Center	PRJNA745455	17147
GCA_002287475.2	ASM228747v2	Pyrrhoderma noxium	2282107		31444514	Chromosome	Academia Sinica	PRJNA377805	9959
GCA_019677325.2	ASM1967732v2	Pleurotus cornucopiae	5321		32382086	Chromosome	Institute of Agricultural Resources and Regional Planning	PRJNA593973	10437
GCA_013387185.1	ASM1338718v1	Caligus rogercresseyi	217165		478201101	Chromosome	Universidad de Concepcion	PRJNA551027	25785
GCA_000755165.1	ASM75516v1	Leishmania panamensis	5679		30688794	Chromosome	INDICASAT-AIP	PRJNA235344	8048
GCA_900162835.1	version 2	Sporisorium reilianum f. sp. reilianum	72559		18522598	Chromosome	Technische Universitat Munchen - WZW	PRJEB19311	6811
GCA_046055965.1	ASM4605596v1	Cinchona calisaya	153742		867786681	Chromosome	Hebei University	PRJNA1170033	41865
GCA_030710605.1	ASM3071060v1	Cordylochernes scorpioides	51811		2619362661	Chromosome	University of Nevada, Reno	PRJNA763624	97728
GCA_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506	876142		2216898	Chromosome	Keeling lab, University of British Columbia	PRJNA42703	2011
GCA_023547065.1	ASM2354706v1	Musa troglodytarum	320322		603587930	Chromosome	Chinese Academy of Tropical Agricultural Sciences	PRJNA772907	37577
GCA_001680005.1	ASM168000v1	Plasmodium coatneyi	208452		27685530	Chromosome	Malaria Host-Pathogen Interaction Center	PRJNA315987	5575
GCA_900106115.1	CBS 141442 assembly	Sungouiella intermedia	45354		13140237	Chromosome	CHALMERS UNIVERSITY OF TECHNOLOGY	PRJEB14359	5936
GCA_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215	931890		9669424	Chromosome	Carlsberg Laboratory	PRJNA60715	4853
GCA_963425845.1	hybrid_with_Hi-C	Sphenostylis stenocarpa	92480		649801261	Chromosome	International Livestock Research Institute	PRJEB57813	31614
GCA_002220235.1	ASM222023v1	Bathycoccus prasinos	41875		14958006	Chromosome	Genoscope	PRJEA71363	7967
GCA_949927565.1	Lactuca_saligna	Lactuca saligna	75948		2165762035	Chromosome	WAGENINGEN UNIVERSITY	PRJEB56287	42908
GCA_921294245.1	PGI_MELIAE_v1	Brassicogethes aeneus	1431903		585278335	Chromosome	ROTHAMSTED RESEARCH	PRJEB48953	13381
GCA_017357885.1	ASM1735788v1	Monilinia vaccinii-corymbosi	61207		30008100	Chromosome	North Carolina State University	PRJNA479660	9530
GCA_964035595.1	gfSpoDele1	Somion occarium	3059160		30870404	Chromosome	Earlham Institute	PRJEB75241	11245
GCA_039513925.1	PZIJ_v1.0	Platanthera zijinensis	2320716		4186550321	Chromosome	Fujian Agriculture and Forestry University	PRJNA739531	24377
GCA_964034765.1	kcau_genome_v1	Knipowitschia caucasica	637954		956577028	Chromosome	university of cologne, biocenter, institute of zoology	PRJEB58922	21538
GCA_962240445.1	Lutingensis_IOCL2689	Leishmania utingensis	653362		31161167	Chromosome	fabio resadore	PRJEB64591	8623
GCA_962240435.1	Llindenbergi_IOCL2690	Leishmania lindenbergi	651832		31126267	Chromosome	fabio resadore	PRJEB64591	8619
GCA_962240455.1	Lshawi_IOCL1545	Leishmania shawi	5680		31105824	Chromosome	fabio resadore	PRJEB64591	8576
GCA_962239345.1	Lnaiffi_IOCL1365	Leishmania naiffi	5678		31671391	Chromosome	fabio resadore	PRJEB64591	8699
GCA_000328475.2	Umaydis521_2.0	Mycosarcoma maydis	5270		19664356	Chromosome	Broad Institute	PRJNA1446	6910
GCA_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323	336722		39686251	Chromosome	DOE Joint Genome Institute	PRJNA19047	10964
GCA_001708105.1	ASM170810v1	Komagataella pastoris	4922		9597535	Chromosome	Massachusetts Institute of Technology	PRJNA304627	5305
GCA_000187245.3	Hansenula_2	Ogataea parapolymorpha DL-1	871575		8874589	Chromosome	Centre	PRJNA60503	5408
GCA_022605425.2	FIOER33 v3	Hamiltosporidium tvaerminnensis	1176355		21638905	Chromosome	University of Basel	PRJNA778105	3624
GCA_000507465.4	ASM50746v4	Kwoniella mangroviensis CBS 8507	1296122		22796923	Chromosome	Broad Institute	PRJNA191223	8611
GCA_039105145.1	ASM3910514v1	Kwoniella newhampshirensis	1651941		20459564	Chromosome	Broad Institute	PRJNA660431	7210
GCA_900074725.1	LADA0	Lachancea dasiensis	1072105		10701617	Chromosome	INRA UMR 1319	PRJEB12928	5388
GCA_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417	1071381		12115070	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	PRJEA70965	5463
GCA_900074755.1	LANO0	Lachancea nothofagi CBS 11611	1266666		11313798	Chromosome	INRA UMR 1319	PRJEB12933	5480
GCA_900074715.1	LAME0	Lachancea meyersii CBS 8951	1266667		11261819	Chromosome	INRA UMR 1319	PRJEB12931	5318
