Accn,one_line_summary,C.score,Complete.BUSCOs,Single.copy.percentage,Single.copy.BUSCOs,Multi.copy.percentage,Multi.copy.BUSCOs,Frag.score,Fragmented.BUSCOs,Missing.percentage,Missing.BUSCOs,n_markers,avg_identity,domain,internal_stop_codon_count,internal_stop_codon_percent
Sacja1,"C:90.0%[S:90.0%,D:0.0%],F:6.0%,M:4.0%,n:100",90,90,90,90,0,0,6,6,4,4,100,NULL,eukaryota,0,0
Sappar1,"C:99.0%[S:99.0%,D:0.0%],F:1.0%,M:0.0%,n:100",99,99,99,99,0,0,1,1,0,0,100,NULL,eukaryota,0,0
Sarfu1,"C:93.0%[S:91.0%,D:2.0%],F:5.0%,M:2.0%,n:100",93,93,91,91,2,2,5,5,2,2,100,NULL,eukaryota,0,0
ScaPar1,"C:91.0%[S:89.0%,D:2.0%],F:1.0%,M:8.0%,n:100",91,91,89,89,2,2,1,1,8,8,100,NULL,eukaryota,0,0
Schag1,"C:91.0%[S:86.0%,D:5.0%],F:3.0%,M:6.0%,n:100",91,91,86,86,5,5,3,3,6,6,100,NULL,eukaryota,0,0
Semro1_1,"C:99.0%[S:93.0%,D:6.0%],F:0.0%,M:1.0%,n:100",99,99,93,93,6,6,0,0,1,1,100,NULL,eukaryota,0,0
Thaoce1,"C:89.0%[S:89.0%,D:0.0%],F:7.0%,M:4.0%,n:100",89,89,89,89,0,0,7,7,4,4,100,NULL,eukaryota,0,0
Trilae1,"C:75.0%[S:73.0%,D:2.0%],F:9.0%,M:16.0%,n:100",75,75,73,73,2,2,9,9,16,16,100,NULL,eukaryota,0,0
Trimin1,"C:93.0%[S:90.0%,D:3.0%],F:2.0%,M:5.0%,n:100",93,93,90,90,3,3,2,2,5,5,100,NULL,eukaryota,0,0
Undpi1_1,"C:93.0%[S:92.0%,D:1.0%],F:2.0%,M:5.0%,n:100",93,93,92,92,1,1,2,2,5,5,100,NULL,eukaryota,0,0
VisC74_1,"C:100.0%[S:99.0%,D:1.0%],F:0.0%,M:0.0%,n:100",100,100,99,99,1,1,0,0,0,0,100,NULL,eukaryota,0,0
