##,name,portal,NCBI Taxon,assembly length,#of genes,is restricted,is public,is published,is superseded,superseded by,publication(s),pubmed id(s),doi id(s)
50,Pedinophyceae sp. YPF-701,PedYPF701_1,765719,27899919,7759,N,Y,Y,N,,"Repetti SI et al.,2022",34923642,
51,Zygnema cf. cylindricum SAG 698-1a,Zygcyl6981a_1,299575,359785760,14200,N,Y,Y,N,,,,10.1101/2023.01.31.526407
52,Zygnema circumcarinatum UTEX 1559,Zygcir1559_1,35869,71310527,12038,N,Y,Y,N,,,,10.1101/2023.01.31.526407
53,Zygnema circumcarinatum UTEX 1560,Zygcir1560_1,35869,67280745,12436,N,Y,Y,N,,,,10.1101/2023.01.31.526407
54,Scenedesmus obliquus UTEX 3031,Sceob152z_1,3088,205013584,13349,N,Y,Y,N,,,,10.1016/j.algal.2024.103431
55,Coccomyxa subellipsoidea C-169 v3.0,Cosub3,574566,48852666,10893,N,Y,Y,N,,"Blanc G et al.,2012",22630137,
56,Microglena sp. YARC,MicrYARC1,2904290,572689865,19590,N,Y,Y,N,,"Ye N et al.,2022",35654896,
57,Micromonas sp. AD1 metagenome extracted assembly,MicrAD1_1,38832,21112593,11269,N,Y,Y,N,,"Duncan A et al.,2022",35484634,
58,Mesotaenium kramstae Lemmermann NIES-657 v3.0,Meskra657_3,184486,331691281,15982,N,Y,N,N,,,,
59,Scenedesmus obliquus UTEX 393 v2.0,Sceobl393_2,3088,107859680,19017,N,Y,N,N,,,,
60,Chlamydomonas priscuii UWO241,ChlUWO241_1,1653778,211641456,14754,N,Y,Y,N,,"Stahl-Rommel S et al.,2022~Zhang X et al.,2021",34609708 33644715,
61,Monoraphidium minutum 26B-AM v1.0,Monmin1,39955,68170630,15337,Y,Y,Y,N,,,,10.1016/j.algal.2022.102794
62,Tetradesmus deserticola SNI-2 v1.1,TetrdesSNI2_1,2780016,198160740,17197,N,Y,N,N,,,,
63,Flechtneria rotunda SEV3VF49 v1.1,Flerot1_1,269715,76784650,16599,N,Y,N,N,,,,
64,Tetradesmus obliquus UTEX 72 v1.1,Tetrobl72_1,3088,107156682,16985,N,Y,N,N,,,,
65,Enallax costatus CCAP 276/31 v1.1,Enacos1_1,113528,127564975,19308,N,Y,N,N,,,,
66,Desmodesmus armatus UTEX B 2533 v2.0,DesarB2533_2,375941,122633162,15634,Y,Y,N,N,,,,
67,Scenedesmus obliquus var. DOE0013 v1.0,SceoblDOE13_1,3088,102771905,15938,N,Y,N,N,,,,
68,Scenedesmus obliquus var. UTEX 1450 v1.0,Sceobl1450_1,3088,104043312,16565,N,Y,N,N,,,,
69,Scenedesmus obliquus var. UTEX2630 v1.0,Sceobl2630_1,3088,106020692,16604,N,Y,N,N,,,,
70,Chlamydomonas schloesseri CCAP 11/173,Chlsc1,2026947,130201002,16268,N,Y,Y,N,,"Craig RJ et al.,2021",33793842,
71,Picocystis sp. ML,Pico_ML_1,2320818,29463432,5613,N,Y,Y,N,,"Junkins EN et al.,2019",30701234,
72,Chlamydomonas incerta SAG 7.73,Chlin1,51695,129236421,16957,N,Y,Y,N,,"Craig RJ et al.,2021",33793842,
73,Edaphochlamys debaryana CCAP 11/70,Edade1,47281,142143002,20450,N,Y,Y,N,,"Craig RJ et al.,2021",33793842,
74,Picochlorum renovo,Picre1,2601844,14391424,9010,N,Y,Y,N,,"Dahlin LR et al.,2019",31667362,
75,Picochlorum soloecismus DOE101,Picsp_1,2053932,15252578,6861,N,Y,Y,N,,"Gonzalez-Esquer CR et al.,2018",29371352,
76,Chlorella  sp. A99,ChloA99_1,2041167,40934037,8298,N,Y,Y,N,,"Hamada M et al.,2018",29848439,
77,Tetraselmis striata,Tetstr1,3165,232085675,46696,N,Y,Y,N,,"Steadman Tyler CR et al.,2019",31649092,
78,Chara braunii S276,Chabra1,69332,1750992823,35672,N,Y,Y,N,,"Nishiyama T et al.,2018",30007417,
79,Scenedesmus sp. NREL 46B-D3 v1.0,Scesp_1,3087,151896789,17399,Y,Y,Y,N,,"Calhoun S et al.,2021",33712730,
80,Caulerpa lentillifera,Caulen1,148947,28654260,8818,N,Y,Y,N,,"Arimoto A et al.,2019",30918953,
81,Chlamydomonas reinhardtii CC-503 v5.6,Chlre5_6,3055,111100715,16403,N,Y,Y,N,,"Merchant SS et al.,2007",17932292,
82,Volvox carteri v2.1,Volca2_1,3067,131163211,13076,N,Y,Y,N,,"Prochnik SE et al.,2010",20616280,
83,Scenedesmus obliquus EN0004 v1.0,SceoblEN4_1,3088,100077845,15053,N,Y,N,N,,,,
84,Symbiochloris reticulata Scotland extracted metagenome v1.0,SymretSc1,40981,59360525,12315,N,Y,N,N,,,,
85,Symbiochloris reticulata Switzerland extracted metagenome v1.0,SymretSw1,40981,59348134,12701,N,Y,N,N,,,,
86,Symbiochloris reticulata Spain extracted metagenome v1.0,SymretSp1,40981,56841181,12144,N,Y,N,N,,,,
87,Symbiochloris reticulata Africa extracted metagenome v1.0,SymretAf1,40981,58569719,12720,N,Y,N,N,,,,
88,Auxenochlorella protothecoides 0710,Auxeprot1,3075,22924637,7013,N,Y,Y,N,,"Gao C et al.,2014",25012212,
89,Sorghum bicolor,Sorbi1,4558,738540932,35899,N,Y,Y,N,,"Paterson AH et al.,2009",19189423,
90,Ostreococcus tauri RCC4221 v3.0,Ostta4221_3,70448,12916858,7669,N,Y,Y,N,,"Blanc-Mathieu R et al.,2014~Palenik B et al.,2007",25494611 17460045,
91,Ostreococcus tauri RCC1115 v1.0,Ostta1115_2,70448,14904543,8218,N,Y,Y,N,,"Blanc-Mathieu R et al.,2017",28695208,
92,Symbiochloris reticulata Spain reference genome v1.0,Dicre1,40981,58316282,12582,Y,Y,N,N,,,,
93,Micromonas commoda NOUM17 (RCC 299),MicpuN3v2,296587,20989326,10262,N,Y,Y,N,,"Worden AZ et al.,2009",19359590,
94,Micromonas pusilla CCMP1545,MicpuC3v2,564608,21945545,9829,N,Y,Y,N,,"Worden AZ et al.,2009",19359590,
95,Asterochloris glomerata Cgr/DA1pho v2.0,Astpho2,763042,55816160,10025,N,Y,Y,N,,"Armaleo D et al.,2019",31337355,
96,Chlorella variabilis NC64A v1.0,ChlNC64A_1,554065,46159515,9791,N,Y,Y,N,,"Blanc G et al.,2010",20852019,
97,Selaginella moellendorffii v1.0,Selmo1,88036,,22285,N,Y,Y,N,,"Banks JA et al.,2011",21551031,
98,Ostreococcus sp. RCC809,OstRCC809_2,385169,13296292,3174,Y,Y,N,N,,,,
99,Ostreococcus lucimarinus,Ost9901_3,242159,13204888,,N,Y,Y,N,,"Palenik B et al.,2007",17460045,
100,Physcomitrium patens v1.1,Phypa1_1,3218,479985347,35938,N,Y,Y,N,,"Rensing SA et al.,2008",18079367,
101,Arabidopsis lyrata,Araly1,59689,206667935,,N,Y,Y,N,,"Hu TT et al.,2011",21478890,
102,Gonium pectorale NIES-2863,Gonpec1,33097,148806073,16290,N,Y,Y,N,,"Hanschen ER et al.,2016",27102219,
103,Monoraphidium neglectum SAG 48.87,Monneg1,145388,69711829,16755,N,Y,Y,N,,"Bogen C et al.,2013",24373495,
104,Zygnema circumcarinatum SAG 698-1b,Zygcir6981b_2,35869,70999792,10678,N,Y,Y,N,,,,10.1101/2023.01.31.526407
105,Bathycoccus prasinos RCC1105,Batpra1,1075084,15074320,7900,N,Y,Y,N,,"Moreau H et al.,2012",22925495,
106,Ulva mutabilis Foyn,Ulvmu1_1,498180,98484689,11066,N,Y,Y,N,,"De Clerck O et al.,2018",30220504,
107,Dunaliella salina CCAP19/18,Dunsal1_1,3046,343704392,18801,N,Y,Y,N,,,,10.1128/genomeA.01105-17 10.1016/j.algal.2020.101990
108,Populus trichocarpa v1.1,Poptr1_1,3694,485510911,45555,N,Y,Y,N,,"Tuskan GA et al.,2006",16973872,
