Accn,one_line_summary,C.score,Complete.BUSCOs,Single.copy.percentage,Single.copy.BUSCOs,Multi.copy.percentage,Multi.copy.BUSCOs,Frag.score,Fragmented.BUSCOs,Missing.percentage,Missing.BUSCOs,n_markers,avg_identity,domain,internal_stop_codon_count,internal_stop_codon_percent
Gonpec1,"C:91.6%[S:90.8%,D:0.8%],F:5.0%,M:3.4%,n:1519",91.6,1392,90.8,1380,0.8,12,5,76,3.4,51,1519,NULL,eukaryota,0,0
Haelac144_1,"C:40.1%[S:32.5%,D:7.6%],F:15.9%,M:44.0%,n:1519",40.1,609,32.5,493,7.6,116,15.9,241,44,669,1519,NULL,eukaryota,0,0
Haeplu1,"C:96.4%[S:83.9%,D:12.4%],F:1.2%,M:2.4%,n:1519",96.4,1464,83.9,1275,12.4,189,1.2,18,2.4,37,1519,NULL,eukaryota,0,0
Heli50920_1,"C:61.8%[S:60.9%,D:0.9%],F:13.8%,M:24.4%,n:1519",61.8,938,60.9,925,0.9,13,13.8,210,24.4,371,1519,NULL,eukaryota,0,0
Limspi1,"C:92.2%[S:77.1%,D:15.1%],F:0.6%,M:7.2%,n:1519",92.2,1401,77.1,1171,15.1,230,0.6,9,7.2,109,1519,NULL,eukaryota,0,0
Micco1_1,"C:95.0%[S:93.2%,D:1.8%],F:0.7%,M:4.3%,n:1519",95,1443,93.2,1416,1.8,27,0.7,11,4.3,65,1519,NULL,eukaryota,0,0
BUSCO_Results/Jsons/new_jgi/Chlorophyta/MicpuC3v2,"C:99.1%[S:98.6%,D:0.6%],F:0.3%,M:0.5%,n:1519",99.1,1506,98.6,1497,0.6,9,0.3,5,0.5,8,1519,NULL,eukaryota,0,0
BUSCO_Results/Jsons/new_jgi/Chlorophyta/MicpuN3v2,"C:99.1%[S:98.6%,D:0.6%],F:0.3%,M:0.5%,n:1519",99.1,1506,98.6,1497,0.6,9,0.3,5,0.5,8,1519,NULL,eukaryota,0,0
MicrAD1_1,"C:92.8%[S:92.0%,D:0.8%],F:0.9%,M:6.3%,n:1519",92.8,1409,92,1397,0.8,12,0.9,14,6.3,96,1519,NULL,eukaryota,0,0
MicrYARC1,"C:82.7%[S:70.6%,D:12.0%],F:5.5%,M:11.8%,n:1519",82.7,1256,70.6,1073,12,183,5.5,83,11.8,180,1519,NULL,eukaryota,0,0
Monmin1,"C:96.4%[S:88.3%,D:8.1%],F:0.9%,M:2.7%,n:1519",96.4,1465,88.3,1342,8.1,123,0.9,13,2.7,41,1519,NULL,eukaryota,0,0
Monneg1,"C:73.1%[S:69.7%,D:3.5%],F:18.2%,M:8.6%,n:1519",73.1,1111,69.7,1058,3.5,53,18.2,277,8.6,131,1519,NULL,eukaryota,0,0
Myrbis2043_1,"C:96.8%[S:95.7%,D:1.1%],F:1.0%,M:2.2%,n:1519",96.8,1470,95.7,1454,1.1,16,1,15,2.2,34,1519,NULL,eukaryota,0,0
Nandes2437_1,"C:94.3%[S:90.1%,D:4.2%],F:0.8%,M:4.9%,n:1519",94.3,1433,90.1,1369,4.2,64,0.8,12,4.9,74,1519,NULL,eukaryota,0,0
Nandes2526_1,"C:96.1%[S:88.4%,D:7.7%],F:0.4%,M:3.5%,n:1519",96.1,1460,88.4,1343,7.7,117,0.4,6,3.5,53,1519,NULL,eukaryota,0,0
Ostque1,"C:64.4%[S:54.6%,D:9.8%],F:2.8%,M:32.9%,n:1519",64.4,978,54.6,829,9.8,149,2.8,42,32.9,499,1519,NULL,eukaryota,0,0
Ostta1115_2,"C:94.2%[S:92.2%,D:2.0%],F:0.9%,M:4.9%,n:1519",94.2,1431,92.2,1401,2,30,0.9,14,4.9,74,1519,NULL,eukaryota,0,0
Ostta4221_3,"C:98.3%[S:98.0%,D:0.3%],F:0.4%,M:1.3%,n:1519",98.3,1493,98,1489,0.3,4,0.4,6,1.3,20,1519,NULL,eukaryota,0,0
Pedmin1,"C:89.5%[S:83.9%,D:5.7%],F:1.8%,M:8.7%,n:1519",89.5,1360,83.9,1274,5.7,86,1.8,27,8.7,132,1519,NULL,eukaryota,0,0
PedYPF701_1,"C:86.6%[S:85.2%,D:1.4%],F:0.8%,M:12.6%,n:1519",86.6,1315,85.2,1294,1.4,21,0.8,12,12.6,192,1519,NULL,eukaryota,0,0
Pico_ML_1,"C:32.1%[S:17.7%,D:14.4%],F:5.7%,M:62.2%,n:1519",32.1,488,17.7,269,14.4,219,5.7,86,62.2,945,1519,NULL,eukaryota,0,0
Picre1,"C:67.3%[S:65.8%,D:1.5%],F:11.3%,M:21.4%,n:1519",67.3,1023,65.8,1000,1.5,23,11.3,171,21.4,325,1519,NULL,eukaryota,0,0
Picsp_1,"C:87.0%[S:85.6%,D:1.4%],F:0.8%,M:12.2%,n:1519",87,1321,85.6,1300,1.4,21,0.8,12,12.2,186,1519,NULL,eukaryota,0,0
Rapsub1_1,"C:95.9%[S:90.9%,D:5.0%],F:1.2%,M:2.9%,n:1519",95.9,1457,90.9,1381,5,76,1.2,18,2.9,44,1519,NULL,eukaryota,0,0
Scedim1,"C:97.2%[S:95.3%,D:2.0%],F:0.7%,M:2.0%,n:1519",97.2,1477,95.3,1447,2,30,0.7,11,2,31,1519,NULL,eukaryota,0,0
Sceob152z_1,"C:95.2%[S:88.2%,D:7.0%],F:1.0%,M:3.8%,n:1519",95.2,1446,88.2,1339,7,107,1,15,3.8,58,1519,NULL,eukaryota,0,0
Sceobl1450_1,"C:96.9%[S:93.5%,D:3.4%],F:0.9%,M:2.2%,n:1519",96.9,1472,93.5,1421,3.4,51,0.9,13,2.2,34,1519,NULL,eukaryota,0,0
Sceobl2630_1,"C:96.3%[S:93.2%,D:3.2%],F:1.0%,M:2.7%,n:1519",96.3,1463,93.2,1415,3.2,48,1,15,2.7,41,1519,NULL,eukaryota,0,0
Sceobl393_2,"C:96.7%[S:89.7%,D:7.0%],F:0.7%,M:2.6%,n:1519",96.7,1469,89.7,1362,7,107,0.7,11,2.6,39,1519,NULL,eukaryota,0,0
SceoblDOE13_1,"C:96.3%[S:92.8%,D:3.5%],F:0.7%,M:3.0%,n:1519",96.3,1463,92.8,1410,3.5,53,0.7,11,3,45,1519,NULL,eukaryota,0,0
SceoblEN4_1,"C:87.4%[S:84.1%,D:3.2%],F:1.9%,M:10.7%,n:1519",87.4,1327,84.1,1278,3.2,49,1.9,29,10.7,163,1519,NULL,eukaryota,0,0
Scesp_1,"C:93.1%[S:88.9%,D:4.1%],F:2.2%,M:4.7%,n:1519",93.1,1414,88.9,1351,4.1,63,2.2,34,4.7,71,1519,NULL,eukaryota,0,0
ScespWC1_1,"C:96.6%[S:94.7%,D:1.9%],F:0.6%,M:2.8%,n:1519",96.6,1467,94.7,1438,1.9,29,0.6,9,2.8,43,1519,NULL,eukaryota,0,0
Sob3031_h1_1,"C:89.6%[S:87.6%,D:2.0%],F:1.2%,M:9.2%,n:1519",89.6,1361,87.6,1331,2,30,1.2,18,9.2,140,1519,NULL,eukaryota,0,0
Sob3031_h2_1,"C:94.5%[S:92.6%,D:1.8%],F:1.1%,M:4.5%,n:1519",94.5,1435,92.6,1407,1.8,28,1.1,16,4.5,68,1519,NULL,eukaryota,0,0
SymretAf1,"C:95.9%[S:94.3%,D:1.6%],F:0.9%,M:3.3%,n:1519",95.9,1456,94.3,1432,1.6,24,0.9,13,3.3,50,1519,NULL,eukaryota,0,0
SymretSc1,"C:96.3%[S:94.7%,D:1.6%],F:0.5%,M:3.2%,n:1519",96.3,1463,94.7,1438,1.6,25,0.5,7,3.2,49,1519,NULL,eukaryota,0,0
SymretSp1,"C:93.5%[S:92.0%,D:1.4%],F:2.2%,M:4.3%,n:1519",93.5,1420,92,1398,1.4,22,2.2,34,4.3,65,1519,NULL,eukaryota,0,0
SymretSw1,"C:96.3%[S:94.4%,D:1.9%],F:0.4%,M:3.3%,n:1519",96.3,1463,94.4,1434,1.9,29,0.4,6,3.3,50,1519,NULL,eukaryota,0,0
TetrdesSNI2_1,"C:96.4%[S:93.4%,D:3.1%],F:1.0%,M:2.6%,n:1519",96.4,1465,93.4,1418,3.1,47,1,15,2.6,39,1519,NULL,eukaryota,0,0
Tetrobl72_1,"C:97.2%[S:92.8%,D:4.3%],F:0.7%,M:2.1%,n:1519",97.2,1476,92.8,1410,4.3,66,0.7,11,2.1,32,1519,NULL,eukaryota,0,0
Tetso1_1,"C:58.2%[S:56.6%,D:1.6%],F:18.2%,M:23.6%,n:1519",58.2,884,56.6,859,1.6,25,18.2,277,23.6,358,1519,NULL,eukaryota,0,0
Tetstr1,"C:93.2%[S:65.0%,D:28.2%],F:1.1%,M:5.7%,n:1519",93.2,1416,65,988,28.2,428,1.1,16,5.7,87,1519,NULL,eukaryota,0,0
Treb6682_1,"C:92.0%[S:90.9%,D:1.1%],F:1.4%,M:6.6%,n:1519",92,1397,90.9,1381,1.1,16,1.4,21,6.6,101,1519,NULL,eukaryota,0,0
Trebou4402_1,"C:88.0%[S:86.8%,D:1.1%],F:2.2%,M:9.8%,n:1519",88,1336,86.8,1319,1.1,17,2.2,34,9.8,149,1519,NULL,eukaryota,0,0
Trebou4966_1,"C:88.7%[S:87.5%,D:1.2%],F:2.0%,M:9.3%,n:1519",88.7,1347,87.5,1329,1.2,18,2,30,9.3,142,1519,NULL,eukaryota,0,0
Trebou978_1,"C:91.6%[S:90.3%,D:1.3%],F:0.5%,M:7.8%,n:1519",91.6,1392,90.3,1372,1.3,20,0.5,8,7.8,119,1519,NULL,eukaryota,0,0
TrebouA12_1,"C:85.5%[S:82.8%,D:2.7%],F:1.7%,M:12.8%,n:1519",85.5,1298,82.8,1257,2.7,41,1.7,26,12.8,195,1519,NULL,eukaryota,0,0
Ulvmu1_1,"C:87.3%[S:85.8%,D:1.5%],F:0.9%,M:11.8%,n:1519",87.3,1326,85.8,1303,1.5,23,0.9,14,11.8,179,1519,NULL,eukaryota,0,0
Volafr1,"C:89.0%[S:87.3%,D:1.7%],F:0.9%,M:10.1%,n:1519",89,1352,87.3,1326,1.7,26,0.9,14,10.1,153,1519,NULL,eukaryota,0,0
Volca2_1,"C:95.4%[S:94.1%,D:1.3%],F:1.0%,M:3.6%,n:1519",95.4,1449,94.1,1429,1.3,20,1,15,3.6,55,1519,NULL,eukaryota,0,0
Volre3785_1,"C:90.7%[S:88.6%,D:2.0%],F:1.0%,M:8.4%,n:1519",90.7,1377,88.6,1346,2,31,1,15,8.4,127,1519,NULL,eukaryota,0,0
Volre3786_1,"C:90.4%[S:88.2%,D:2.2%],F:0.7%,M:8.9%,n:1519",90.4,1373,88.2,1339,2.2,34,0.7,11,8.9,135,1519,NULL,eukaryota,0,0
