##,name,portal,NCBI Taxon,assembly length,#of genes,is restricted,is public,is published,is superseded,superseded by,publication(s),pubmed id(s),doi id(s)
18,Tetrabaena socialis NIES-571,Tetso1_1,47790,135779852,12454,N,Y,Y,N,,"Featherston J et al.,2018",29294063,
19,Galdieria sulphuraria Azora,GsuAzora_1_1,130081,14055766,5830,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
20,Galdieria sulphuraria MS1,GsuMS1_1_1,130081,14906717,6826,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
21,Cyanidioschyzon merolae Soos,CyamerSoos_1_1,45157,12336830,4224,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
22,Galdieria phlegrea Soos,Galph1_1,1389228,14871243,5850,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
23,Galdieria sulphuraria 5572,Gsu5572_1_1,130081,14288869,6091,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
24,Galdieria sulphuraria RT22,GsuRT22_1_1,130081,15626563,6311,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
25,Galdieria sulphuraria MtSh,GsuMtSh_1_1,130081,14998623,5628,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
26,Galdieria sulphuraria SAG21.92,GsuSAG2192_1_1,130081,14317600,5572,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
27,Galdieria sulphuraria 002,Gsu002_1_1,130081,14106382,5641,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
28,Galdieria sulphuraria YNP5578.1,GsuYNP55781_1_1,130081,14439647,5658,N,Y,Y,N,,"Rossoni AW et al.,2019",31149898,
29,Nannochloropsis salina CCMP1776,Nansal1776_1_1,1027361,27757252,8570,N,Y,Y,N,,"Ohan JA et al.,2019",31672738,
30,Prymnesium parvum 12B1,Pparv12B1_1,97485,93538114,22090,N,Y,Y,N,,"Wisecaver JH et al.,2023",37224809,
31,Chloropicon primus CCMP1205,Chlpri1_1,1764295,17400691,8504,N,Y,Y,N,,"Lemieux C et al.,2019",31492891,
32,Nannochloropsis oceanica C018 v1.0,NanspC018_1,52230,26405595,8768,Y,Y,Y,N,,"Estrada-Graf A et al.,2024",39727385,
33,Chromochloris zofingiensis var. SAG 211-14 v6.0,Chrzof2,31302,58777831,16265,N,Y,N,N,,,,
34,Bacillariophyceae sp. bin 90 v1.0,Mosaich1_1,33852,32074741,13169,Y,Y,N,N,,,,
35,Galdieria yellowstonensis 108.79 E11,Galyel1,3028027,14511588,6501,N,Y,Y,N,,"Cho CH et al.,2023",36599855,
36,Cyanidium caldarium DBV 063 E5,Cyacal1,2771,8787356,4770,N,Y,Y,N,,"Cho CH et al.,2023",36599855,
37,Cyanidiococcus yangmingshanensis 8.1.23 F7,Cyanyang1,2690220,12020148,4748,N,Y,Y,N,,"Cho CH et al.,2023",36599855,
38,Rhodosorus marinus CCMP1338,Rhomari1,101924,31189410,8045,N,Y,Y,N,,"Lee Y et al.,2023",37291154,
39,Scenedesmus obliquus UTEX 3031 haplotype 1,Sob3031_h1_1,3088,101592434,11826,N,Y,Y,N,,,,10.1016/j.algal.2024.103431
40,Scenedesmus obliquus UTEX 3031 haplotype 2,Sob3031_h2_1,3088,103421150,12494,N,Y,Y,N,,,,10.1016/j.algal.2024.103431
41,Conticribra weissflogii CCMP 1336,Conwei1,1577725,231500930,19531,N,Y,Y,N,,"Li L et al.,2021",34916152,
42,Gracilaria caudata M-176 S67,Gracaud1,2572395,30776005,8185,N,Y,Y,N,,"Lipinska AP et al.,2023",37481260,
43,Gracilaria chilensis NLEC103-M9,Grachil1,2510777,79767677,7217,N,Y,Y,N,,"Lipinska AP et al.,2023",37481260,
44,Entomoneis sp. UTEX 11IV18-2A FL v1.0,Ent11IV18_1,186042,459747087,32720,N,Y,N,N,,,,
45,Scenedesmus obliquus SAG 2326 v1.0,Acuobl2326_1,3088,104249355,17007,Y,Y,N,N,,,,
46,Scenedesmus sp. WC-1 v1.0,ScespWC1_1,3087,102320957,17012,N,Y,N,N,,,,
47,Scenedesmus dimorphus UTEX 1237 v1.0,Scedim1,3087,102569700,17373,Y,Y,N,N,,,,
48,Haematococcus lacustris Liv1 v1.2,Haeplu1,44745,291505220,21373,N,Y,N,N,,,,
49,Haematococcus lacustris NIES-144,Haelac144_1,44745,171794631,28279,N,Y,Y,N,,"Morimoto D et al.,2020",32499361,
50,Volvox reticuliferus NIES-3786,Volre3786_1,1737510,133961728,12974,N,Y,Y,N,,"Yamamoto K et al.,2021",34011609,
51,Volvox africanus NIES-3780,Volafr1,51714,129328469,12622,N,Y,Y,N,,"Yamamoto K et al.,2021",34011609,
52,Volvox reticuliferus NIES-3785,Volre3785_1,1737510,133065142,13178,N,Y,Y,N,,"Yamamoto K et al.,2021",34011609,
53,Gracilaria gracilis GNS1m,Gragr1,2777,76009156,8693,N,Y,Y,N,,"Lipinska AP et al.,2023",37481260,
54,Gracilaria vermiculophylla HapMaleFtJ-2017,Grave1,2608709,45957138,6327,N,Y,Y,N,,"Lipinska AP et al.,2023",37481260,
55,Sargassum fusiforme,Sarfu1,590727,394427661,17495,N,Y,Y,N,,"Wang S et al.,2020",33193728,
56,Chlorella sorokiniana DOE1412,ChloDOE1412_1_1,3076,57881618,10257,N,Y,Y,N,,,,10.1016/j.algal.2018.09.012
57,Chlorella sorokiniana UTEX 1602,Chloso1602_1_1,3076,59371605,9245,N,Y,Y,N,,"Arriola MB et al.,2018",29178410,
58,Chlorella sorokiniana UTEX 1230,Chloso1230_1_1,3071,58534920,12209,N,Y,Y,N,,,,10.1016/j.algal.2018.09.012
59,Chlorella sorokiniana strain 1228,Chloso1228_1_1,3076,61391260,11701,N,Y,Y,N,,,,10.1016/j.algal.2018.09.012
60,Micractinium conductrix SAG 241.80,Micco1_1,554055,60773875,8739,N,Y,Y,N,,"Arriola MB et al.,2018",29178410,
61,Auxenochlorella protothecoides UTEX 25,Auxpr25_1_1,3075,21217637,5688,N,Y,Y,N,,,,10.1016/j.algal.2018.07.001
62,Nannochloropsis oceanica CCAP849/10,Nanoce84910_1,145522,29986049,10044,Y,Y,N,N,,,,
63,Seminavis robusta D6,Semro1_1,568900,125572603,33143,N,Y,Y,N,,"Osuna-Cruz CM et al.,2020",32620776,
64,Chlamydomonas eustigma NIES-2499,Chleu1_1,1157962,66605202,13365,N,Y,Y,N,,"Hirooka S et al.,2017",28893987,
65,Trebouxiophyceae sp. bin 3300059473_978 v1.0,Trebou978_1,75966,16200188,7783,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
66,Trebouxiophyceae sp. bin 3300059473_6682 v1.0,Treb6682_1,75966,18077445,8628,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
67,Chlorellaceae sp. bin 3300059473_4402 v1.0,Trebou4402_1,2941158,14333578,8227,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
68,Chlorellaceae sp. bin 3300059473_4966 v1.0,Trebou4966_1,2941158,14819488,8098,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
69,Amoebophrya ceratii AT5.2,Amoce1_1,1775427,87690817,18158,N,Y,Y,N,,"John U et al.,2019",31032404,
70,Undaria pinnatifida M23,Undpi1_1,74381,511280173,12499,N,Y,Y,N,,"Shan T et al.,2020",32184805,
71,Neopyropia yezoensis U-51,Pyrye1_1,2788,43483963,8598,N,Y,Y,N,,"Nakamura Y et al.,2013",23536760,
72,Prasinoderma coloniale CCMP1413,Praco1_1,156133,25323194,6927,N,Y,Y,N,,"Li L et al.,2020",32572216,
73,Fistulifera solaris JPCC DA0580,Fisso2,1519565,49736633,14395,N,Y,Y,N,,"Tanaka T et al.,2015",25634988,
74,Proteomonas sulcata CCMP 1175 v1.1,Protsul1175_1,77928,270343095,34130,N,Y,N,N,,,,
75,Chloromonas remiasii CCCryo 005-99 v1.0,Chlremi1,2069334,493134015,38828,N,Y,N,N,,,,
76,Polarella glacialis CCMP2088,Polgl2088_1_1,89957,2147483647,34066,N,Y,Y,N,,"Stephens TG et al.,2020",32448240,
77,Polarella glacialis CCMP1383,Polgl1383_1_1,89957,2147483647,37736,N,Y,Y,N,,"Stephens TG et al.,2020",32448240,
78,Paulinella micropora KR01,Paumic1,1928728,707124085,15326,N,Y,Y,N,,"Lhee D et al.,2021",32790833,
79,Cyclotella cryptica CCMP332 v2.0,Cyccr2_2,29204,171139483,14429,N,Y,Y,N,,"Traller JC et al.,2016~Roberts WR et al.,2020",27933100 32709619,
80,Chlorokybus atmophyticus CCAC 0220,Chlat1_1,3144,74335726,8693,N,Y,Y,N,,"Wang S et al.,2020",31844283,
81,Mesostigma viride NIES-296,Mesvir1_1,41882,441698809,16232,N,Y,Y,N,,"Liang Z et al.,2020",31921561,
82,Mesotaenium endlicherianum SAG 12.97,Mesen1_1,184485,173768482,10300,N,Y,Y,N,,"Cheng S et al.,2019",31730849,
83,Gracilaria domingensis SP 400837,Gradom1,172961,77739776,9746,N,Y,Y,N,,"Nakamura-Gouvea N et al.,2022",35090189,
84,Raphidocelis subcapitata NIES-35,Rapsub1_1,307507,51162697,13088,N,Y,Y,N,,"Suzuki S et al.,2018",29795299,
85,Botryococcus braunii Showa,Botrbrau1_1,1202541,170200492,13943,N,Y,Y,Y,Botrbrau1_1,"Browne DR et al.,2017",28428306,
86,Mesostigma viride CCAC 1140,Mesovir1_1,41882,281412241,8789,N,Y,Y,N,,"Wang S et al.,2020",31844283,
87,Spirogloea muscicola CCAC 0214,Spimu1_1,2576442,171136975,24093,N,Y,Y,N,,"Cheng S et al.,2019",31730849,
88,Klebsormidium nitens NIES-2285 v1.1,Klenit1_1,105231,103921766,15568,N,Y,Y,N,,"Hori K et al.,2014",24865297,
89,Astrephomene gubernaculifera NIES-4017,Astgub1,47775,103829650,13067,N,Y,Y,N,,"Yamashita S et al.,2021",34811380,
90,Chlamydomonas reinhardtii CC-4532 v6.1,ChlreiCC4532_1,3055,114035500,16090,N,Y,Y,N,,"Craig RJ et al.,2023",36562730,
91,Mayamaea pseudoterrestris NIES-4280,Maypse1,2872254,30627229,10680,N,Y,Y,N,,"Suzuki S et al.,2022",36197113,
92,Fragilaria crotonensis SAG 28.96,Fracro1,210448,61849504,18721,N,Y,Y,N,,"Zepernick BN et al.,2022",35976009,
93,Chaetoceros tenuissimus NIES-3715,Chaten1,426638,41001288,17253,N,Y,Y,N,,"Hongo Y et al.,2021",34819553,
94,Ostreobium quekettii SAG 6.99,Ostque1,121088,151902089,9649,N,Y,Y,N,,,,10.1016/j.cub.2021.01.018
95,Nitzschia putrida NIES-4239,Nitput1,2742595,34998307,13794,N,Y,Y,N,,"Kamikawa R et al.,2022",35486731,
96,Nannochloropsis gaditana CCMP1894,Nangad1894_1,72520,30865741,8928,N,Y,Y,N,,"Schwartz AS et al.,2018~Yang HP et al.,2021",29449398 34665222,
97,Alaria esculenta A1,Alaesc1,2889,487803962,18078,N,Y,Y,N,,"Bringloe TT et al.,2022",36200326,
98,Nannochloris desiccata UTEX 2526,Nandes2526_1,1650286,21550525,8818,N,Y,Y,N,,"Sanders CK et al.,2022",35262191,
99,Helicosporidium sp. ATCC 50920,Heli50920_1,1291522,12373820,5602,N,Y,Y,N,,"Pombert JF et al.,2014",24809511,
100,Nannochloris desiccata UTEX 2437,Nandes2437_1,1650286,20738005,7973,N,Y,Y,N,,"Sanders CK et al.,2022",35770994,
101,Monodopsis strain C73,MonC73_1,1745946,59696957,12958,N,Y,Y,N,,"Yang HP et al.,2021",34665222,
102,Monodopsis strain C141,MonC141_1,1745946,60466283,12961,N,Y,Y,N,,"Yang HP et al.,2021",34665222,
103,Vischeria strain C74,VisC74_1,44431,106485303,15625,N,Y,Y,N,,"Yang HP et al.,2021",34665222,
104,Macrocystis pyrifera CI_03 v1.0,Macpyr2,35122,537452659,25919,N,Y,Y,N,,"Diesel J et al.,2023",37704968,
105,Pedinomonas minor SAG 1965-3,Pedmin1,3159,54966539,10504,N,Y,Y,N,,"Xu Y et al.,2022",35560066,
106,Pedinophyceae sp. YPF-701,PedYPF701_1,765719,27899919,7759,N,Y,Y,N,,"Repetti SI et al.,2022",34923642,
107,Zygnema cf. cylindricum SAG 698-1a,Zygcyl6981a_1,299575,359785760,14200,N,Y,Y,N,,,,10.1101/2023.01.31.526407
108,Zygnema circumcarinatum UTEX 1559,Zygcir1559_1,35869,71310527,12038,N,Y,Y,N,,,,10.1101/2023.01.31.526407
109,Zygnema circumcarinatum UTEX 1560,Zygcir1560_1,35869,67280745,12436,N,Y,Y,N,,,,10.1101/2023.01.31.526407
110,Scenedesmus obliquus UTEX 3031,Sceob152z_1,3088,205013584,13349,N,Y,Y,N,,,,10.1016/j.algal.2024.103431
111,Coccomyxa subellipsoidea C-169 v3.0,Cosub3,574566,48852666,10893,N,Y,Y,N,,"Blanc G et al.,2012",22630137,
112,Porphyridium purpureum CCMP1328,Porpu1328_1,35688,22192338,8278,N,Y,Y,N,,"Bhattacharya D et al.,2013~Lee J et al.,2019",23770768 31645564,
113,Microglena sp. YARC,MicrYARC1,2904290,572689865,19590,N,Y,Y,N,,"Ye N et al.,2022",35654896,
114,Micromonas sp. AD1 metagenome extracted assembly,MicrAD1_1,38832,21112593,11269,N,Y,Y,N,,"Duncan A et al.,2022",35484634,
115,Mesotaenium kramstae Lemmermann NIES-657 v3.0,Meskra657_3,184486,331691281,15982,N,Y,N,N,,,,
116,Scenedesmus obliquus UTEX 393 v2.0,Sceobl393_2,3088,107859680,19017,N,Y,N,N,,,,
117,Cafeteria roenbergensis BVI,Cafroe1,33653,36283887,8555,N,Y,Y,N,,"Hackl T et al.,2020",31964893,
118,Chlamydomonas priscuii UWO241,ChlUWO241_1,1653778,211641456,14754,N,Y,Y,N,,"Stahl-Rommel S et al.,2022~Zhang X et al.,2021",34609708 33644715,
119,Monoraphidium minutum 26B-AM v1.0,Monmin1,39955,68170630,15337,Y,Y,Y,N,,,,10.1016/j.algal.2022.102794
120,Tetradesmus deserticola SNI-2 v1.1,TetrdesSNI2_1,2780016,198160740,17197,N,Y,N,N,,,,
121,Flechtneria rotunda SEV3VF49 v1.1,Flerot1_1,269715,76784650,16599,N,Y,N,N,,,,
122,Tetradesmus obliquus UTEX 72 v1.1,Tetrobl72_1,3088,107156682,16985,N,Y,N,N,,,,
123,Enallax costatus CCAP 276/31 v1.1,Enacos1_1,113528,127564975,19308,N,Y,N,N,,,,
124,Hyphochytrium catenoides ATCC 18719,Hypcat1,42384,68540538,18481,N,Y,Y,N,,"Leonard G et al.,2018",29321239,
125,Desmodesmus armatus UTEX B 2533 v2.0,DesarB2533_2,375941,122633162,15634,Y,Y,N,N,,,,
126,Chromera velia CCMP2878,Chrveli1,1169474,193889730,24133,N,Y,Y,N,,"Woo YH et al.,2015",26175406,
127,Labyrinthula sp. SR_Ha_C,LabyHa_1,2710872,50948119,8488,N,Y,Y,N,,"Tan MH et al.,2021",33410934,
128,Hondaea fermentalgiana CCAP_4062/3,Honfer1,2315210,38943350,11853,N,Y,Y,N,,"Seddiki K et al.,2018",29545303,
129,Nitzschia inconspicua GAI-293 v2.0,Nithil2,2857,99706970,17968,N,Y,Y,N,,"Oliver A et al.,2021",34341414,
130,Tribonema minus UTEX B 3156 v1.0,Trimin1,303371,158345074,18290,N,Y,Y,N,,"Mahan KM et al.,2021~Davis AK et al.,2021",34137633 33798856,
131,Hyaloperonospora arabidopsidis Emoy2 v2.0,Hyaar1,559515,78897814,9138,N,Y,Y,N,,"Baxter L et al.,2010",21148394,
132,Scenedesmus obliquus var. DOE0013 v1.0,SceoblDOE13_1,3088,102771905,15938,N,Y,N,N,,,,
133,Scenedesmus obliquus var. UTEX 1450 v1.0,Sceobl1450_1,3088,104043312,16565,N,Y,N,N,,,,
134,Scenedesmus obliquus var. UTEX2630 v1.0,Sceobl2630_1,3088,106020692,16604,N,Y,N,N,,,,
135,Fugacium kawagutii CCMP2468,Fugka2468_1,2697096,1048482934,26609,N,Y,Y,N,,"Lin S et al.,2015~Liu H et al.,2018",26542574 30271976,
136,Cladocopium goreaui SCF055-01,Clago1,2562237,1027792016,35913,N,Y,Y,N,,"Liu H et al.,2018",30271976,
137,Breviolum minutum,Bremi1,2499525,609476485,47014,N,Y,Y,N,,"Shoguchi E et al.,2013",23850284,
138,Nemacystus decipiens Onna-1,Nemde1,2185085,153973811,17099,N,Y,Y,N,,"Nishitsuji K et al.,2019",30872679,
139,Chlamydomonas schloesseri CCAP 11/173,Chlsc1,2026947,130201002,16268,N,Y,Y,N,,"Craig RJ et al.,2021",33793842,
140,Picocystis sp. ML,Pico_ML_1,2320818,29463432,5613,N,Y,Y,N,,"Junkins EN et al.,2019",30701234,
141,Chlamydomonas incerta SAG 7.73,Chlin1,51695,129236421,16957,N,Y,Y,N,,"Craig RJ et al.,2021",33793842,
142,Edaphochlamys debaryana CCAP 11/70,Edade1,47281,142143002,20450,N,Y,Y,N,,"Craig RJ et al.,2021",33793842,
143,Cladosiphon okamuranus S strain,Claok1,309737,169730755,14750,N,Y,Y,N,,"Nishitsuji K et al.,2016",27501718,
144,Picochlorum renovo,Picre1,2601844,14391424,9010,N,Y,Y,N,,"Dahlin LR et al.,2019",31667362,
145,Picochlorum soloecismus DOE101,Picsp_1,2053932,15252578,6861,N,Y,Y,N,,"Gonzalez-Esquer CR et al.,2018",29371352,
146,Chlorella  sp. A99,ChloA99_1,2041167,40934037,8298,N,Y,Y,N,,"Hamada M et al.,2018",29848439,
147,Cyanophora paradoxa CCMP329,Cyapar1,2762,98351904,25518,N,Y,Y,N,,"Price DC et al.,2019",31098614,
148,Tetraselmis striata,Tetstr1,3165,232085675,46696,N,Y,Y,N,,"Steadman Tyler CR et al.,2019",31649092,
149,Chara braunii S276,Chabra1,69332,1750992823,35672,N,Y,Y,N,,"Nishiyama T et al.,2018",30007417,
150,Vitrella brassicaformis CCMP3155,Vitbras1,1169540,72700666,21239,N,Y,Y,N,,"Woo YH et al.,2015",26175406,
151,Ochromonas sp. CCMP1393 v1.4,Ochro1393_1_4,420556,56491843,19714,Y,Y,N,N,,,,
152,Paraphysomonas imperforata CCMP1604 v1.4,Parimp1_4,37642,67191102,17134,N,Y,N,N,,,,
153,Minidiscus variabilis CCMP495 v1.0,Mintr2,265540,76188022,25179,Y,Y,N,N,,,,
154,Scenedesmus sp. NREL 46B-D3 v1.0,Scesp_1,3087,151896789,17399,Y,Y,Y,N,,"Calhoun S et al.,2021",33712730,
155,Caulerpa lentillifera,Caulen1,148947,28654260,8818,N,Y,Y,N,,"Arimoto A et al.,2019",30918953,
156,Chlamydomonas reinhardtii CC-503 v5.6,Chlre5_6,3055,111100715,16403,N,Y,Y,N,,"Merchant SS et al.,2007",17932292,
157,Volvox carteri v2.1,Volca2_1,3067,131163211,13076,N,Y,Y,N,,"Prochnik SE et al.,2010",20616280,
158,Scenedesmus obliquus EN0004 v1.0,SceoblEN4_1,3088,100077845,15053,N,Y,N,N,,,,
159,Reticulomyxa filosa,Retfil1,46433,101867045,39963,N,Y,Y,N,,"Gl̦ckner G et al.,2014",24332546,
160,Tetrahymena thermophila SB210,Tetthe1,312017,103014375,26994,N,Y,Y,N,,"Eisen JA et al.,2006",16933976,
161,Plasmodium falciparum 3D7,Plafal1,36329,23326872,5392,N,Y,Y,N,,"Gardner MJ et al.,2002",12368864,
162,Toxoplasma gondii ME49,Toxgon1,508771,65668120,8318,N,Y,Y,N,,"Kissinger JC et al.,2003",12519989,
163,Oxytricha trifallax JRB310,Oxytri1,1172189,67158112,24578,N,Y,Y,N,,"Swart EC et al.,2013",23382650,
164,Paramecium tetraurelia d4_2,Partet1,412030,72094543,39580,N,Y,Y,N,,"Aury JM et al.,2006",17086204,
165,Trichomonas vaginalis G3,Trivag1,412133,176420065,59679,N,Y,Y,N,,"Carlton JM et al.,2007",17218520,
166,Giardia intestinalis ATCC 50803,Giaint1,184922,11213615,6502,N,Y,Y,N,,"Morrison HG et al.,2007",17901334,
167,Trypanosoma brucei brucei TREU927,Trybru1,185431,26075494,8787,N,Y,Y,N,,"Berriman M et al.,2005",16020726,
168,Phaeocystis antarctica CCMP1374 v2.2,Phaant1,33657,198936094,37754,N,Y,N,N,,,,
169,Phaeocystis globosa Pg-G v2.3,Phaglo1,33658,155849266,30220,N,Y,N,N,,,,
170,Chondrus crispus Stackhouse,Chocri1,2769,104980420,9808,N,Y,Y,N,,"Coll̩n J et al.,2013",23503846,
171,Cyanidioschyzon merolae strain 10D,Cyamer1,280699,16546747,4803,N,Y,Y,N,,"Nozaki H et al.,2007",17623057,
172,Galdieria sulphuraria 074W,Galsul1,130081,13712004,7174,N,Y,Y,N,,"Sch̦nknecht G et al.,2013",23471408,
173,Symbiodinium microadriaticum CCMP2467,Symmic1,2951,808226712,43403,N,Y,Y,N,,"Aranda M et al.,2016",28004835,
174,Chrysochromulina tobin CCMP291,Chrsp_1,1460289,59073094,16770,N,Y,Y,N,,"Hovde BT et al.,2015",26397803,
175,Nannochloropsis oceanica CCMP1779 v2.0,Nanoce1779_2,145522,36454932,10641,N,Y,N,N,,,,
176,Symbiochloris reticulata Scotland extracted metagenome v1.0,SymretSc1,40981,59360525,12315,N,Y,N,N,,,,
177,Symbiochloris reticulata Switzerland extracted metagenome v1.0,SymretSw1,40981,59348134,12701,N,Y,N,N,,,,
178,Symbiochloris reticulata Spain extracted metagenome v1.0,SymretSp1,40981,56841181,12144,N,Y,N,N,,,,
179,Symbiochloris reticulata Africa extracted metagenome v1.0,SymretAf1,40981,58569719,12720,N,Y,N,N,,,,
180,Porphyra umbilicalis isolate 4086291,Porumb1,2786,87888981,13567,Y,Y,Y,N,,"Brawley SH et al.,2017",28716924,
181,Nannochloropsis gaditana B-31,Nangad1,72520,27589342,10929,N,Y,Y,N,,"Corteggiani Carpinelli E et al.,2014",23966634,
182,Blastocystis hominis Singapore isolate B (sub-type 7),Blahom1,12968,18817245,6020,N,Y,Y,N,,"Denoeud F et al.,2011",21439036,
183,Saprolegnia parasitica CBS 223.65,Sappar1,695850,53093248,20113,N,Y,Y,N,,"Jiang RH et al.,2013",23785293,
184,Ectocarpus siliculosus Ec 32,Ectsil1,2880,195810619,16271,N,Y,Y,N,,"Cock JM et al.,2010",20520714,
185,Phytophthora infestans T30-4,Phyinf1,403677,228543505,17797,N,Y,Y,N,,"Haas BJ et al.,2009",19741609,
186,Thalassiosira oceanica CCMP1005,Thaoce1,637379,92185637,34642,N,Y,Y,N,,"Lommer M et al.,2012~Lommer M et al.,2010",22835381 21171997,
187,Auxenochlorella protothecoides 0710,Auxeprot1,3075,22924637,7013,N,Y,Y,N,,"Gao C et al.,2014",25012212,
188,Sorghum bicolor,Sorbi1,4558,738540932,35899,N,Y,Y,N,,"Paterson AH et al.,2009",19189423,
189,Ostreococcus tauri RCC4221 v3.0,Ostta4221_3,70448,12916858,7669,N,Y,Y,N,,"Blanc-Mathieu R et al.,2014~Palenik B et al.,2007",25494611 17460045,
190,Ostreococcus tauri RCC1115 v1.0,Ostta1115_2,70448,14904543,8218,N,Y,Y,N,,"Blanc-Mathieu R et al.,2017",28695208,
191,Cryptophyceae sp. CCMP2293 v1.0,Crypto2293_1,697907,534466773,33051,Y,Y,Y,N,,"Dorrell RG et al.,2023",36522135,
192,Pavlovales sp. CCMP2436 v1.0,Pavlov2436_1,483367,165407586,26034,Y,Y,Y,N,,"Dorrell RG et al.,2023",36522135,
193,Pelagophyceae sp. CCMP2097 v1.0,Pelago2097_1,483370,85824453,19402,Y,Y,Y,N,,"Dorrell RG et al.,2023",36522135,
194,Ochromonadaceae sp. CCMP2298 v1.0,Ochro2298_1,483371,61140752,20195,Y,Y,Y,N,,"Dorrell RG et al.,2023",36522135,
195,Symbiochloris reticulata Spain reference genome v1.0,Dicre1,40981,58316282,12582,Y,Y,N,N,,,,
196,Micromonas commoda NOUM17 (RCC 299),MicpuN3v2,296587,20989326,10262,N,Y,Y,N,,"Worden AZ et al.,2009",19359590,
197,Micromonas pusilla CCMP1545,MicpuC3v2,564608,21945545,9829,N,Y,Y,N,,"Worden AZ et al.,2009",19359590,
198,Asterochloris glomerata Cgr/DA1pho v2.0,Astpho2,763042,55816160,10025,N,Y,Y,N,,"Armaleo D et al.,2019",31337355,
199,Emiliania huxleyi CCMP1516 v1.0,Emihu1,280463,167727055,33341,N,Y,Y,N,,"Read BA et al.,2013",23760476,
200,Naegleria gruberi v1.0,Naegr1,5762,40964085,15763,N,Y,Y,N,,"Fritz-Laylin LK et al.,2010",20211133,
201,Phytophthora sojae v3.0,Physo3,67593,82601618,26584,N,Y,Y,N,,"Tyler BM et al.,2006",16946064,
202,Phytophthora ramorum v1.1,Phyra1_1,164328,66652401,15743,N,Y,Y,N,,"Tyler BM et al.,2006",16946064,
203,Phaeodactylum tricornutum,Phatr2_bd,2850,1311968,377,N,Y,Y,N,,"Bowler C et al.,2008",18923393,
204,Aureococcus anophagefferens clone 1984 v1.0,Auran1,44056,56660578,11501,N,Y,Y,N,,"Gobler CJ et al.,2011",21368207,
205,Chlorella variabilis NC64A v1.0,ChlNC64A_1,554065,46159515,9791,N,Y,Y,N,,"Blanc G et al.,2010",20852019,
206,Selaginella moellendorffii v1.0,Selmo1,88036,,22285,N,Y,Y,N,,"Banks JA et al.,2011",21551031,
207,Ostreococcus sp. RCC809,OstRCC809_2,385169,13296292,3174,Y,Y,N,N,,,,
