Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_911865555.2	T_arvense_v2	Thlaspi arvense	13288	525555146	Chromosome
GCA_023525715.1	ASM2352571v1	Cichorium intybus	13427	1278752569	Chromosome
GCA_009771035.1	CNRS_Lalb_1.0	Lupinus albus	3870	449991378	Chromosome
GCA_001879085.1	NIATTr2	Nicotiana attenuata	49451	2365682703	Chromosome
GCA_001531365.2	CcrdV1.1	Cynara cardunculus var. scolymus	59895	724962400	Chromosome
GCA_030867185.1	ASM3086718v1	Tagetes erecta	13708	778926021	Chromosome
GCA_046226855.1	ASM4622685v1	Eucalyptus globulus	34317	556979041	Chromosome
GCA_019776745.2	Ta-2021	Taxus chinensis	29808	10237952243	Chromosome
GCA_009363875.1	ASM936387v1	Mikania micrantha	192012	1790643622	Chromosome
GCA_030979885.1	Rabiosa unphased assembly	Lolium multiflorum	4521	2462086667	Chromosome
GCA_037954015.1	Ptet_1	Psophocarpus tetragonolobus	3891	709758061	Chromosome
GCA_963859935.3	JIC_Lsat_v2.1.1	Lathyrus sativus	3860	5967284493	Chromosome
GCA_004837865.1	BananaB_V1	Musa balbisiana	52838	492775286	Chromosome
GCA_019925795.1	ASM1992579v1	Dendrobium chrysotoxum	161865	1368173789	Chromosome
GCA_039720395.1	ZJU_Lfor_1.0	Liquidambar formosana	63359	718378248	Chromosome
GCA_016081115.2	ASM1608111v2	Rehmannia glutinosa	99300	2407208525	Chromosome
GCA_013401445.1	ASM1340144v1	Tripterygium wilfordii	458696	348533228	Chromosome
GCA_912172775.2	Fraxinus pennsylvanica genome version 1.5	Fraxinus pennsylvanica	56036	756791288	Chromosome
GCA_025413875.1	RHMOLv1	Rhododendron molle	49168	652158357	Chromosome
GCA_019202805.1	ASM1920280v1	Arabidopsis suecica	45249	271598466	Chromosome
GCA_035136125.1	Qrubra_687_v2.0	Quercus rubra	3512	738996406	Chromosome
GCA_002211085.2	PHallii_v3.1	Panicum hallii	206008	535889049	Chromosome
GCA_044505025.1	NAAS_Bs_1.0	Bienertia sinuspersici	338654	3607938889	Chromosome
GCA_029030765.1	ASM2903076v1	Salix suchowensis	1278906	382054263	Chromosome
GCA_015680905.1	ASM1568090v1	Coptis chinensis	261450	935659790	Chromosome
GCA_037074985.1	ASM3707498v1	Solanum bulbocastanum	147425	737653378	Chromosome
GCA_027726005.1	MPIPZ_junEff1m_1	Juncus effusus	13579	258276744	Chromosome
GCA_028052125.1	Melaze_AO_1.1	Melia azedarach	155640	230843767	Chromosome
GCA_030169165.1	ASM3016916v1	Centaurea solstitialis	347529	765066052	Chromosome
GCA_026586065.1	Dzin_1.0	Dioscorea zingiberensis	325984	629184705	Chromosome
GCA_030490815.1	UCONN_Acsa_1.0	Acer saccharum	4024	626454929	Chromosome
GCA_029228465.1	ASM2922846v1	Salix viminalis	40686	282582452	Chromosome
GCA_037954025.1	Pcoc_1	Phaseolus coccineus	3886	588672384	Chromosome
GCA_034509755.1	ASM3450975v1	Anisodus tanguticus	243964	1262549439	Chromosome
GCA_035578085.1	ASM3557808v1	Solanum pinnatisectum	50273	664135451	Chromosome
GCA_014871385.1	CpurpureusR40_1_0	Ceratodon purpureus	3225	362511043	Chromosome
GCA_030737845.1	ASM3073784v1	Acorus calamus	4465	721748827	Chromosome
GCA_964340505.1	Alaeq_EIv0.2	Alopecurus aequalis	114194	2849141745	Chromosome
GCA_023525975.1	ASM2352597v1	Smallanthus sonchifolius	185202	2716517244	Chromosome
GCA_043165305.1	ASM4316530v1	Flemingia macrophylla	520843	1006176190	Chromosome
GCA_021442195.1	S.fallax v1.1	Sphagnum fallax	53036	395135179	Chromosome
GCA_009078335.1	ASM907833v1	Salix brachista	2182728	338822942	Chromosome
GCA_007990325.1	Gossypium_darwinii_v1.1	Gossypium darwinii	34276	2182957963	Chromosome
GCA_040670175.1	ASM4067017v1	Dendrobium thyrsiflorum	117978	1443559833	Chromosome
GCA_029891385.1	ASM2989138v1	Erythroxylum novogranatense	1862640	1299259972	Chromosome
GCA_019845555.1	ASM1984555v1	Aristolochia fimbriata	158543	257701785	Chromosome
GCA_029379385.1	Quisap_AO_1.2	Quillaja saponaria	32244	354887050	Chromosome
GCA_019202795.1	ASM1920279v1	Arabidopsis thaliana x Arabidopsis arenosa	1240361	268555770	Chromosome
GCA_014851425.1	ASM1485142v1	Senna tora	362788	526356977	Chromosome
GCA_015143295.1	ASM1514329v1	Tetracentron sinense	13715	1160336735	Chromosome
GCA_011114355.1	ASM1111435v1	Carex littledalei	544730	373852675	Chromosome
GCA_014282245.1	ASM1428224v1	Rhododendron simsii	118357	527682226	Chromosome
GCA_004329165.1	ASM432916v1	Spatholobus suberectus	455371	798470440	Chromosome
GCA_035582765.1	UCONN_Acne_2	Acer negundo	4023	420859882	Chromosome
GCA_005393395.2	CCRI_HENU_Gaus_1.1	Gossypium australe	47621	1743386794	Chromosome
GCA_020921065.1	USDA_Vadar_1.0_pri	Vaccinium darrowii	229202	582668408	Chromosome
GCA_030737835.1	ASM3073783v1	Acorus gramineus	55184	398581865	Chromosome
GCA_023653495.1	Mcan_v2	Melastoma candidum	119954	256218469	Chromosome
GCA_029783415.1	ASM2978341v1	Anisodus acutangulus	402998	1260858109	Chromosome
GCA_007726485.1	CERZOS_EC1.0	Eragrostis curvula	38414	603072269	Chromosome
GCA_013677235.1	ASM1367723v1	Gossypium klotzschianum	34286	670958353	Chromosome
GCA_037953625.1	Cpal_1	Crotalaria pallida	3830	1217412848	Chromosome
GCA_040167595.1	Saponaria_officinalis_var_Norfolk2_v1.0	Saponaria officinalis	3572	2089936116	Chromosome
GCA_020496765.1	ZSTU_Gsto	Gossypium stocksii	47602	1448113609	Chromosome
GCA_018127125.1	RGv1.1	Rhododendron griersonianum	479676	674776022	Chromosome
GCA_021904315.1	S.magellanicum v1.1	Sphagnum magellanicum	128215	439011478	Chromosome
GCA_045791845.1	Sto_11H31	Solanum stoloniferum	62892	1697993737	Chromosome
GCA_014529385.2	ASM1452938v2	Adiantum capillus-veneris	13818	4822565590	Chromosome
GCA_035582545.1	ASM3558254v1	Trapa natans	22666	477423239	Chromosome
GCA_032871835.1	Dipteronia_dye	Dipteronia dyeriana	168575	914769786	Chromosome
GCA_027562975.1	MPIPZ_rhyBre1m_1.0	Rhynchospora breviuscula	2022672	420702111	Chromosome
GCA_039657325.1	ASM3965732v1	Stephania cephalantha	152367	743000645	Chromosome
GCA_008009225.1	AYv1.1	Acer yangbiense	1000413	664928911	Chromosome
GCA_043381455.1	UWM_Rflu_1.0	Riccia fluitans	41844	446787430	Chromosome
GCA_964270295.1	MTEXT_v1	Musa textilis	228183	538432191	Chromosome
GCA_033220585.1	ASM3322058v1	Dipteronia sinensis	43782	711048948	Chromosome
GCA_964030465.3	lpUroDecu1.2	Urochloa decumbens	240449	2879772915	Chromosome
GCA_019426215.1	BAv1.1	Buddleja alternifolia	168488	853114234	Chromosome
GCA_008932095.1	ASM893209v1	Pyrus ussuriensis x Pyrus communis	2448454	510637391	Chromosome
GCA_025200525.1	XYYC_v1.0	Camellia lanceoleosa	1840588	2999357698	Chromosome
GCA_026229545.1	Patl_V1	Pistacia atlantica	434234	505281571	Chromosome
GCA_029204005.1	ASM2920400v1	Salix udensis	889485	315873059	Chromosome
GCA_043235775.1	ASM4323577v1	Abeliophyllum distichum	126358	795717758	Chromosome
GCA_029228605.1	ASM2922860v1	Salix koriyanagi	2511006	339126720	Chromosome
GCA_014858505.1	Ccitriodora_v2_1	Corymbia citriodora subsp. variegata	360336	544191601	Chromosome
GCA_029228515.1	Populus_alba_x_berolinensis.Group_A.v1.2	Populus alba x Populus x berolinensis	444605	532369601	Chromosome
GCA_006937295.1	ASM693729v1	Carpinus fangiana	176857	381948906	Chromosome
GCA_009746105.1	ASM974610v1	Rhododendron williamsianum	262921	532293122	Chromosome
GCA_013677245.1	ASM1367724v1	Gossypium davidsonii	34287	704223819	Chromosome
GCA_013677255.1	ASM1367725v1	Gossypium harknessii	34285	732154658	Chromosome
GCA_040182985.1	ASM4018298v1	Lithocarpus litseifolius	425828	963782541	Chromosome
GCA_041381175.1	UTM_Sdiv_1.0	Salvia divinorum	28513	541447152	Chromosome
GCA_039657365.1	ASM3965736v1	Stephania yunnanensis	152371	812197772	Chromosome
GCA_949775105.1	Ocorymbosa-M15.v1	Oldenlandia corymbosa var. corymbosa	529605	273711991	Chromosome
GCA_037954105.1	Cgla_1	Canavalia gladiata	3824	614525652	Chromosome
GCA_027725995.1	MPIPZ_rhyTen1m_1	Rhynchospora tenuis	198213	397748660	Chromosome
GCA_030848705.1	IITP_Hsosn_ver7	Heracleum sosnowskyi	360622	1629177483	Chromosome
GCA_039657345.1	ASM3965734v1	Stephania japonica	461633	643419807	Chromosome
GCA_039657385.1	ASM3965738v1	Citrus x changshan-huyou	2935761	323511213	Chromosome
GCA_028095005.1	MPIPZ_rhyPub2m_2.0	Rhynchospora pubera	906938	1694853883	Chromosome
GCA_964267205.1	drPruBrig1.1	Prunus brigantina	151428	259721188	Chromosome
GCA_964030455.1	Ltrigynum_genome	Linum trigynum	586398	498043431	Chromosome
GCA_964014455.1	csSphJens1.h2.1	Sphagnum jensenii	128206	411508223	Chromosome
GCA_963970355.1	csSphTroe1.h2.1	Sphagnum troendelagicum	128251	378392600	Chromosome
GCA_902729315.2	Spirodela_intermedia_8410_2	Spirodela intermedia	51605	136679681	Chromosome
GCA_022379115.2	ASM2237911v2	Bauhinia variegata	167791	326365182	Chromosome
GCA_008638375.1	ASM863837v1	Nyssa sinensis	561372	1001447681	Chromosome
GCA_046254845.1	UofSC_Psma_1	Penstemon smallii	265156	438489102	Chromosome
GCA_007844105.2	ASM784410v2	Rhamnella rubrinervis	2594499	245347936	Chromosome
GCA_026225825.1	Pint_V1	Pistacia integerrima	434235	474763776	Chromosome
GCA_964270275.1	MABAN_v1	Musa banksii	213591	472526050	Chromosome
GCA_018691285.1	UNAM_Csor_1.0	Cucurbita argyrosperma subsp. sororia	37648	255122959	Chromosome
GCA_043237855.1	ASM4323785v1	Forsythia ovata	205694	1108525499	Chromosome
GCA_039583875.1	PGUA_v1.0	Platanthera guangdongensis	2320717	4245568817	Chromosome
GCA_028583415.1	ASM2858341v1	Protea cynaroides	273540	1225359862	Chromosome
GCA_029204225.1	Diphasiastrum complanatum v3.1	Diphasiastrum complanatum	34168	1744989973	Chromosome
GCA_040183295.1	ASM4018329v1	Rubus argutus	59490	298237095	Chromosome
GCA_046195345.1	ASM4619534v1	Riccia sorocarpa	122646	376689626	Chromosome
GCA_013677275.1	ASM1367727v1	Gossypium schwendimanii	34291	729428757	Chromosome
GCA_013467495.1	ASM1346749v1	Gossypium gossypioides	34282	664724314	Chromosome
GCA_013467465.1	ASM1346746v1	Gossypium trilobum	34281	655376848	Chromosome
GCA_013467485.1	ASM1346748v1	Gossypium lobatum	34289	744535494	Chromosome
GCA_013487665.1	ASM1348766v1	Gossypium aridum	34290	739119247	Chromosome
GCA_013511315.1	ASM1351131v1	Gossypium laxum	34288	833895178	Chromosome
GCA_013677265.1	ASM1367726v1	Gossypium armourianum	34283	780950899	Chromosome
GCA_004153795.2	AHAU_CSS_2	Camellia sinensis var. sinensis	542762	2863254423	Scaffold
GCA_903112645.1	pruArmRojPasHapCUR	Prunus armeniaca	36596	215952222	Contig
GCA_000504015.1	Mimgu1_0	Erythranthe guttata	4155	321641293	Scaffold
GCA_000478725.1	Eutsalg1_0	Eutrema salsugineum	72664	243110105	Scaffold
GCA_002906115.5	Cork oak 2.0	Quercus suber	58331	759831951	Scaffold
GCA_001185155.1	Zosma_marina.v.2.1	Zostera marina	29655	203913826	Scaffold
GCA_000493195.1	Citrus_clementina_v1.0	Citrus x clementina	85681	301364702	Scaffold
GCA_000375325.1	Caprub1_0	Capsella rubella	81985	133063876	Scaffold
GCA_001974825.2	COLO4_1.0	Corchorus olitorius	93759	334898824	Contig
GCA_900332095.2	Cuscuta	Cuscuta campestris	132261	476794675	Scaffold
GCA_014905375.1	Pjver1	Phtheirospermum japonicum	374723	1226894857	Scaffold
GCA_001605985.2	ASM160598v2	Dendrobium catenatum	906689	1104107363	Scaffold
GCA_000414095.2	ASM41409v2	Morus notabilis	981085	320378613	Scaffold
GCA_019722365.1	PUR_Leryth_1.0	Lithospermum erythrorhizon	34254	366684367	Contig
GCA_012274485.2	S.alba_v1	Sinapis alba	3728	449668332	Scaffold
GCA_003427395.1	Cbr_1.0	Chara braunii	69332	1751211849	Scaffold
GCA_038485145.1	ASM3848514v1	Hibiscus sabdariffa	183260	2361782195	Contig
GCA_034222035.1	Acra_USDA_v1	Acacia crassicarpa	499986	750735455	Scaffold
GCA_964019355.1	C195_Genome	Lupinus luteus	3873	962978505	Scaffold
GCA_029747655.1	EnVent_Maze_1.0	Ensete ventricosum	4639	534048781	Scaffold
GCA_006381635.2	ASM638163v2	Hibiscus syriacus	106335	1826769743	Scaffold
GCA_002738505.1	Aquilegia_coerulea_v1	Aquilegia coerulea	218851	301979693	Scaffold
GCA_001974805.1	CCACVL1_1.0	Corchorus capsularis	210143	317178409	Scaffold
GCA_001598015.1	Boea_hygrometrica.v1	Dorcoceras hygrometricum	472368	1521360707	Scaffold
GCA_014180765.2	ASM1418076v2	Marchantia paleacea	56867	250803610	Contig
GCA_904845875.1	Mlu_assembly	Miscanthus lutarioriparius	422564	2074797027	Scaffold
GCA_902706635.1	SHERM	Striga hermonthica	68872	962481565	Scaffold
GCA_023529315.1	Yrk_Pbra_ont_1	Papaver bracteatum	215227	2150148553	Scaffold
GCA_963454935.2	ILEXP v3	Ilex paraguariensis	185542	1064802823	Scaffold
GCA_006547085.1	Malus_baccata_v1.0	Malus baccata	106549	674411566	Scaffold
GCA_008636005.1	SGA_v2.0	Striga asiatica	4170	471563096	Scaffold
GCA_018107945.1	UCR_Dstr_1.4	Datura stramonium	4076	2110457301	Scaffold
GCA_020521535.1	Sleprosula_assembly_01	Rubroshorea leprosula	152421	347348880	Scaffold
GCA_932364175.1	Eruca_sativa	Eruca vesicaria subsp. sativa	29727	842592905	Scaffold
GCA_030270665.1	Htrionum_1.0	Hibiscus trionum	183268	1671232404	Contig
GCA_034814905.1	PDav_Duke_2022_v1.1	Penstemon davidsonii	160366	437568744	Scaffold
GCA_015342445.1	DiExil	Digitaria exilis	1010633	760650579	Contig
GCA_001972305.1	Cfol_1.0	Cephalotus follicularis	3775	1614517073	Scaffold
GCA_011799765.1	ASM1179976v1	Nymphaea thermarum	419125	368003157	Scaffold
GCA_002174775.1	MC_HNAU_1.0	Macleaya cordata	56857	377833576	Scaffold
GCA_026074375.1	Tcoc_v1.0	Tanacetum coccineum	301880	9463677832	Scaffold
GCA_001633215.2	ASM163321v2	Dichanthelium oligosanthes	888268	589166415	Scaffold
GCA_003260385.1	Cau_v1.0	Cuscuta australis	267555	262630465	Contig
GCA_945859915.1	ASM94585991v1	Cuscuta epithymum	186058	997015527	Contig
GCA_014058105.1	ASM1405810v1	Kingdonia uniflora	39325	1004558319	Contig
GCA_026901365.1	ASM2690136v1	Sesbania bispinosa	485725	1038494862	Contig
GCA_040286145.1	ASM4028614v1	Sesamum radiatum	300843	668402836	Scaffold
GCA_019279435.1	ASM1927943v1	Zizania palustris	103762	1288765485	Scaffold
GCA_002786265.1	ASM278626v1	Apostasia shenzhenica	1088818	348733136	Scaffold
GCA_002914845.1	TorRG33x02_asm01	Trema orientale	63057	387958189	Scaffold
GCA_036250425.1	Ssca1	Stylosanthes scabra	79078	990283993	Scaffold
GCA_000441915.1	GenAur_1.0	Genlisea aurea	192259	43357795	Scaffold
GCA_023529015.1	Yrk_Pnu_10X_1	Papaver nudicaule	74823	1592934747	Scaffold
GCA_003546025.1	ASBRC_Ckan_1.0	Cinnamomum micranthum f. kanehirae	337451	730416403	Scaffold
GCA_040955855.1	C_amara_ONT_v2	Cardamine amara subsp. amara	228776	284066716	Contig
GCA_945859875.1	Cuscuta europea	Cuscuta europaea	41803	975849186	Contig
GCA_046119335.1	ASM4611933v1	Castilleja foliolosa	1961234	751151165	Contig
GCA_963924115.1	Dovyalis_caffra_ICRAF-04990_whole_genome_sequence	Dovyalis caffra	77055	440647589	Scaffold
GCA_947471745.1	Genome assembly Closterium sp. Naga37s-1	Closterium sp. Naga37s-1	2996811	975230015	Contig
GCA_033239525.1	ASM3323952v1	Nepenthes gracilis	150966	752878903	Scaffold
GCA_037126225.1	ASM3712622v1	Dillenia turbinata	194707	723739077	Scaffold
GCA_946122785.1	Linum_tenue_thrum_v1	Linum tenue	586396	692364448	Scaffold
GCA_034509735.1	ASM3450973v1	Sesamum alatum	300844	528043444	Scaffold
GCA_025563575.1	ASM2556357v1	Acacia pycnantha	880440	814422446	Scaffold
GCA_948144175.1	Genome assembly Closterium sp. NIES-65	Closterium sp. NIES-65	3014309	876339800	Scaffold
GCA_024733475.1	NTU_Sgrande_1.0	Syzygium grande	1042139	405179882	Scaffold
GCA_947470075.1	Genome assembly Closterium sp. Yama58-4	Closterium sp. Yama58-4	2996821	437979428	Contig
GCA_948144035.1	Genome assembly Closterium sp. NIES-64	Closterium sp. NIES-64	3014308	702500261	Scaffold
GCA_034509725.1	ASM3450972v1	Sesamum angolense	2727404	300760412	Scaffold
GCA_040286105.1	ASM4028610v1	Sesamum latifolium	2727402	368995869	Scaffold
GCA_029747015.1	UA_SGP5p_2	Carnegiea gigantea	171969	1140547102	Scaffold
GCA_040285715.1	ASM4028571v1	Sesamum calycinum	2727403	312952771	Scaffold
GCA_029216955.1	ASM2921695v1	Iris pallida	29817	13489124238	Scaffold
GCA_040285695.1	ASM4028569v1	Sesamum angustifolium	2727405	300705275	Scaffold
GCA_027943415.1	CLOP_1.0	Closterium sp. NIES-67	2790670	361975124	Contig
GCA_902728155.2	Merr_genes	Microthlaspi erraticum	1685480	170422779	Scaffold
GCA_033070095.1	ASM3307009v1	Escallonia herrerae	1293975	994359942	Contig
GCA_023531295.1	Yrk_Parm_ont_1	Papaver armeniacum	357465	2980240000	Scaffold
GCA_033065855.1	ASM3306585v1	Escallonia rubra	112253	566446937	Contig
GCA_027943385.1	CLOM_1.0	Closterium sp. NIES-68	2019903	338860182	Contig
GCA_928212115.1	Lvir_assembly_v4	Lactuca virosa	75947	3446681275	Scaffold
GCA_023531105.1	Yrk_Patl_10X_1	Papaver atlanticum	357466	938096308	Scaffold
GCA_039602395.1	SBBG_Deinvi_1.0	Deinandra increscens subsp. villosa	3103831	1674620146	Scaffold
GCA_023531435.1	Yrk_Pca_10X_1	Papaver californicum	74822	1372414916	Scaffold
GCA_028386065.3	ASM2838606v3	Turnera subulata	218843	544584283	Scaffold
GCA_002914805.1	PanWU01x14_asm01	Parasponia andersonii	3476	475834238	Scaffold
GCA_022085475.1	ASM2208547v1	Heliosperma pusillum	39905	1208429567	Scaffold
GCA_002762385.1	Himp0.1	Handroanthus impetiginosus	429701	503289430	Scaffold
GCA_003260655.2	B_cretica_A_v2	Brassica cretica	69181	332349879	Scaffold
GCA_013358455.1	MaSuRCA_all.p2	Thalictrum thalictroides	46969	243091176	Scaffold
GCA_902206195.3	Arabis nemorensis 1.0 pseudo-chromsomes annotated	Arabis nemorensis	586526	192127358	Scaffold
GCA_003490085.1	ASM349008v1	Trifolium medium	97028	492653238	Scaffold
GCA_040256815.2	ASM4025681v2	Triticum aestivum	4565	14509208007	Complete Genome
GCA_039854485.1	S83	Arachis hypogaea	3818	2619655861	Complete Genome
GCA_039852645.1	HN873	Arachis hypogaea	3818	2592879629	Complete Genome
GCA_039852515.1	HN51	Arachis hypogaea	3818	2607897625	Complete Genome
GCA_039853315.1	S245	Arachis hypogaea	3818	2595735092	Complete Genome
GCA_022201065.1	DVS_B1.0	Citrus sinensis	2711	299602842	Complete Genome
GCA_042100155.1	ASM4210015v1	Daucus carota	4039	451035236	Complete Genome
GCA_904420315.1	AT9943.Cdm-0.scaffold	Arabidopsis thaliana	3702	128813995	Chromosome
GCA_043381025.1	GmaxWilliams82ISU01 v2.0	Glycine max	3847	1011128777	Chromosome
GCA_003713155.1	ASM371315v1	Arachis hypogaea	3818	2506713456	Chromosome
GCA_037833805.1	MpTak1_v7.1	Marchantia polymorpha subsp. ruderalis	1480154	242451485	Chromosome
GCA_039105155.1	MpTak_v7.1	Marchantia polymorpha subsp. ruderalis	1480154	248042680	Chromosome
GCA_035896635.1	ASM3589663v1	Theobroma cacao	3641	380672503	Chromosome
GCA_003958685.2	ASM395868v2	Vigna unguiculata	3917	597519742	Chromosome
GCA_036689595.1	IICAR_Pnotatum_1.0	Paspalum notatum var. saurae	547442	557812088	Chromosome
GCA_031230405.1	ASM3123040v1	Solanum verrucosum	315347	683977243	Chromosome
GCA_001651475.1	Ler Assembly	Arabidopsis thaliana	3702	118269099	Chromosome
GCA_004007595.1	JHU_CGRice_1.0	Oryza sativa	4530	377604035	Chromosome
GCA_009797565.1	Osativa_Kitaake_v2.0	Oryza sativa Japonica Group	39947	381570803	Chromosome
GCA_000149285.1	OrySat_Sep2003	Oryza sativa Japonica Group	39947	391147533	Chromosome
GCA_000004655.2	ASM465v1	Oryza sativa Indica Group	39946	426337286	Chromosome
GCA_003185045.1	Zm-Mo17-REFERENCE-CAU-1.0	Zea mays	4577	2182605176	Chromosome
GCA_002220415.3	Triticum_4.0	Triticum aestivum	4565	15418291444	Chromosome
GCA_044510105.1	GmaxFiskeby v1.0	Glycine max	3847	992209628	Chromosome
GCA_020497155.1	ASM2049715v1	Glycine max	3847	932783443	Chromosome
GCA_014282145.1	WHFS_GmHX3_1.0	Glycine max	3847	985231307	Chromosome
GCA_012273815.2	GmBRS537.a1.v2	Glycine max	3847	1000033753	Chromosome
GCA_014282085.1	WHFS_GmZH13_1.0	Glycine max	3847	988507796	Chromosome
GCA_014282095.1	WHFS_GmJY_1.0	Glycine max	3847	995582092	Chromosome
GCA_014282035.1	WHFS_GmWF7_1.0	Glycine max	3847	996542023	Chromosome
GCA_038405125.1	GhirsutumCSX8308 v1.0	Gossypium hirsutum	3635	2277944585	Chromosome
GCA_040938325.1	GhirsutumUG48 v1.0	Gossypium hirsutum	3635	2293500691	Chromosome
GCA_905183035.1	bnapus_darmor_bzh_v10	Brassica napus	3708	923795763	Chromosome
