tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EPT26199.1,-,PTHR13335.orig.30.pi,-,0.00082,17.3,7.7,0.024,12.5,0.1
EPT26027.1,-,PTHR13335.orig.30.pi,-,0.0018,16.2,0.3,0.0061,14.5,2.7
EPT28558.1,-,PTHR13335.orig.30.pi,-,0.0055,14.6,8.6,0.037,11.9,2.3
EPT26432.1,-,PTHR13335.orig.30.pi,-,0.0069,14.3,0.2,0.0082,14.0,0.2
EPT31085.1,-,PTHR13335.orig.30.pi,-,0.026,12.4,0.5,0.004,15.1,6.3
EPT31084.1,-,PTHR13335.orig.30.pi,-,0.027,12.3,7.9,0.034,12.0,7.9
EPT26318.1,-,PTHR13335.orig.30.pi,-,0.03,12.2,1.1,0.051,11.4,1.1
EPT25370.1,-,PTHR13335.orig.30.pi,-,0.069,11.0,0.0,0.069,11.0,0.0
EPT30621.1,-,PTHR13335.orig.30.pi,-,0.092,10.5,0.0,0.092,10.5,0.0
EPT25168.1,-,PTHR13335.orig.30.pi,-,0.093,10.5,5.2,0.13,10.1,5.2
EPT26312.1,-,PTHR13335.orig.30.pi,-,0.13,10.0,8.1,4500.0,-5.0,8.1
EPT29399.1,-,PTHR13335.orig.30.pi,-,0.36,8.6,4.7,0.11,10.4,0.1
EPT31321.1,-,PTHR13335.orig.30.pi,-,0.43,8.3,8.3,0.62,7.8,8.3
EPT25536.1,-,PTHR13335.orig.30.pi,-,1.3,6.8,8.9,0.031,12.1,0.5
EPT29374.1,-,PTHR13335.orig.30.pi,-,1.6,6.4,9.0,2.2,6.0,9.0
EPT32604.1,-,PTHR13335.orig.30.pi,-,2.2,6.0,5.2,0.0046,14.9,5.2
EPT31913.1,-,PTHR13335.orig.30.pi,-,2.2,6.0,0.9,0.23,9.2,9.3
EPT25849.1,-,PTHR13335.orig.30.pi,-,2.7,5.7,8.7,0.00085,17.3,8.8
EPT29667.1,-,PTHR13335.orig.30.pi,-,5.6,4.6,9.5,0.05,11.4,6.4
KOB63101.1,-,PTHR13335.orig.30.pi,-,3.7e-10,37.7,5.8,4.2e-10,37.5,5.8
EPR63922.1,-,PTHR13335.orig.30.pi,-,9.8e-12,43.5,1.3,2.4e-10,38.9,1.3
EPR60754.1,-,PTHR13335.orig.30.pi,-,1.1e-06,26.9,0.5,1.1e-06,26.9,0.5
EPR63009.1,-,PTHR13335.orig.30.pi,-,7.9e-06,24.0,2.0,0.00076,17.5,5.2
EPR58339.1,-,PTHR13335.orig.30.pi,-,1.5e-05,23.1,4.6,1.5e-05,23.1,4.6
EPR57222.1,-,PTHR13335.orig.30.pi,-,2.2e-05,22.6,2.5,4e-05,21.7,2.5
EPR61809.1,-,PTHR13335.orig.30.pi,-,3.8e-05,21.7,1.3,3.8e-05,21.7,1.3
EPR57513.1,-,PTHR13335.orig.30.pi,-,4.1e-05,21.7,9.5,4.1e-05,21.7,9.5
EPR64784.1,-,PTHR13335.orig.30.pi,-,6.6e-05,21.0,1.0,6.6e-05,21.0,1.0
EPR64757.1,-,PTHR13335.orig.30.pi,-,0.00014,19.9,5.8,0.00028,18.9,5.8
EPR60755.1,-,PTHR13335.orig.30.pi,-,0.00031,18.8,6.3,0.00053,18.0,6.8
EPR61057.1,-,PTHR13335.orig.30.pi,-,0.00037,18.5,5.1,0.00059,17.8,5.1
EPR60304.1,-,PTHR13335.orig.30.pi,-,0.0011,16.9,8.6,0.003,15.5,6.9
EPR61673.1,-,PTHR13335.orig.30.pi,-,0.0017,16.3,0.0,0.0017,16.3,0.0
EPR58828.1,-,PTHR13335.orig.30.pi,-,0.0024,15.8,5.3,0.0034,15.3,4.3
EPR59395.1,-,PTHR13335.orig.30.pi,-,0.0027,15.7,0.7,0.0031,15.5,0.7
EPR57407.1,-,PTHR13335.orig.30.pi,-,0.0064,14.4,6.0,0.0065,14.4,6.0
EPR57922.1,-,PTHR13335.orig.30.pi,-,0.0091,13.9,3.6,0.016,13.1,3.6
EPR59396.1,-,PTHR13335.orig.30.pi,-,0.019,12.8,2.0,0.0025,15.8,7.5
EPR62606.1,-,PTHR13335.orig.30.pi,-,0.021,12.7,4.6,0.03,12.2,4.6
EPR61232.1,-,PTHR13335.orig.30.pi,-,0.029,12.2,0.0,0.029,12.2,0.0
EPR62627.1,-,PTHR13335.orig.30.pi,-,0.035,12.0,8.3,0.073,10.9,2.4
EPR61045.1,-,PTHR13335.orig.30.pi,-,0.05,11.5,9.1,0.13,10.1,1.3
EPR64579.1,-,PTHR13335.orig.30.pi,-,0.057,11.3,4.3,0.087,10.6,4.3
EPR63419.1,-,PTHR13335.orig.30.pi,-,0.08,10.8,5.9,0.11,10.4,5.9
EPR57650.1,-,PTHR13335.orig.30.pi,-,0.13,10.0,4.0,0.013,13.4,1.4
EPR57196.1,-,PTHR13335.orig.30.pi,-,0.43,8.3,8.3,0.63,7.8,8.3
EPR57576.1,-,PTHR13335.orig.30.pi,-,0.73,7.6,6.7,0.0015,16.4,6.8
EPR58644.1,-,PTHR13335.orig.30.pi,-,1.3,6.8,8.9,0.031,12.1,0.5
EPR62854.1,-,PTHR13335.orig.30.pi,-,4.0,5.2,4.8,2.1,6.1,1.2
ESS28865.1,-,PTHR13335.orig.30.pi,-,3.2e-11,41.8,7.3,1.3e-08,33.2,7.5
ESS33773.1,-,PTHR13335.orig.30.pi,-,2.5e-09,35.5,2.1,7.5e-09,34.0,1.6
ESS30941.1,-,PTHR13335.orig.30.pi,-,9.5e-06,23.7,5.1,0.0034,15.3,3.1
ESS33430.1,-,PTHR13335.orig.30.pi,-,1.8e-05,22.8,3.3,3.4e-05,21.9,3.3
ESS36132.1,-,PTHR13335.orig.30.pi,-,4.9e-05,21.4,1.8,4.9e-05,21.4,1.8
ESS29915.1,-,PTHR13335.orig.30.pi,-,8.9e-05,20.5,8.4,8.9e-05,20.5,8.4
ESS34845.1,-,PTHR13335.orig.30.pi,-,0.00083,17.3,7.7,0.024,12.5,0.1
ESS30936.1,-,PTHR13335.orig.30.pi,-,0.0011,17.0,8.7,0.0011,16.9,8.7
ESS35052.1,-,PTHR13335.orig.30.pi,-,0.0018,16.2,0.3,0.0061,14.5,2.7
ESS31904.1,-,PTHR13335.orig.30.pi,-,0.0021,16.0,1.7,0.067,11.0,4.0
ESS28092.1,-,PTHR13335.orig.30.pi,-,0.0059,14.5,0.5,0.0053,14.7,0.5
ESS31883.1,-,PTHR13335.orig.30.pi,-,0.028,12.3,1.9,0.038,11.8,1.9
ESS34716.1,-,PTHR13335.orig.30.pi,-,0.03,12.2,1.1,0.052,11.4,1.1
ESS32253.1,-,PTHR13335.orig.30.pi,-,0.044,11.6,1.7,0.031,12.1,5.4
ESS34483.1,-,PTHR13335.orig.30.pi,-,0.094,10.5,5.2,0.13,10.1,5.2
ESS34710.1,-,PTHR13335.orig.30.pi,-,0.13,10.0,8.1,4600.0,-5.0,8.1
ESS28723.1,-,PTHR13335.orig.30.pi,-,1.3,6.8,8.9,0.031,12.1,0.5
ESS32228.1,-,PTHR13335.orig.30.pi,-,1.7,6.4,9.0,2.2,6.0,9.0
ESS29303.1,-,PTHR13335.orig.30.pi,-,2.2,6.0,5.2,0.0046,14.9,5.2
ESS35197.1,-,PTHR13335.orig.30.pi,-,2.8,5.7,8.7,0.00086,17.3,8.8
ESS31197.1,-,PTHR13335.orig.30.pi,-,2.8,5.6,1.0,0.07,11.0,0.3
ESS32599.1,-,PTHR13335.orig.30.pi,-,5.1,4.8,6.4,0.15,9.9,8.0
ESS33438.1,-,PTHR13335.orig.30.pi,-,6.3,4.5,8.7,81.0,0.8,9.4
ESS33443.1,-,PTHR13335.orig.30.pi,-,6.5,4.5,0.0,0.54,8.0,8.6
ESS29413.1,-,PTHR13335.orig.30.pi,-,8.7,4.0,1.5,10.0,3.8,1.5
EAK89171.1,-,PTHR13335.orig.30.pi,-,1.7e-06,25.1,3.9,1.7e-06,25.1,3.9
EDO06498.1,-,PTHR13335.orig.30.pi,-,0.034,10.9,1.1,0.04,10.7,1.1
CAK71252.1,-,PTHR13335.orig.30.pi,-,1.6e-59,203.7,4.5,2.1e-59,203.3,4.5
CAK72339.1,-,PTHR13335.orig.30.pi,-,5.6e-58,198.6,5.1,7.4e-58,198.2,5.1
CAK81383.1,-,PTHR13335.orig.30.pi,-,7.4e-10,39.5,0.7,8.9e-10,39.3,0.7
CAK77040.1,-,PTHR13335.orig.30.pi,-,8.4e-10,39.4,1.0,1.1e-09,38.9,1.0
CAK88591.1,-,PTHR13335.orig.30.pi,-,1.8e-08,34.9,1.4,2.4e-08,34.5,1.4
CAK90258.1,-,PTHR13335.orig.30.pi,-,1.3e-06,28.8,0.6,1.4e-06,28.7,0.6
CAK56304.1,-,PTHR13335.orig.30.pi,-,3.7e-05,24.0,3.4,5.3e-05,23.5,3.4
CAK86174.1,-,PTHR13335.orig.30.pi,-,4.6e-05,23.7,8.5,6.2e-05,23.3,8.5
CAK58316.1,-,PTHR13335.orig.30.pi,-,5.8e-05,23.4,6.4,5.8e-05,23.4,6.4
CAK78925.1,-,PTHR13335.orig.30.pi,-,6.2e-05,23.3,7.9,8.3e-05,22.9,7.9
CAK84172.1,-,PTHR13335.orig.30.pi,-,8.7e-05,22.8,2.6,0.00013,22.2,2.6
CAK76623.1,-,PTHR13335.orig.30.pi,-,9.9e-05,22.6,0.0,0.00014,22.1,0.0
CAK60748.1,-,PTHR13335.orig.30.pi,-,0.00015,22.0,4.7,0.00021,21.5,4.7
CAK85263.1,-,PTHR13335.orig.30.pi,-,0.00019,21.7,1.1,0.00025,21.3,1.1
CAK58775.1,-,PTHR13335.orig.30.pi,-,0.0012,19.1,2.6,0.0012,19.1,2.6
CAK78297.1,-,PTHR13335.orig.30.pi,-,0.0012,19.0,8.0,0.0014,18.8,8.0
CAK64912.1,-,PTHR13335.orig.30.pi,-,0.0023,18.1,7.0,0.0024,18.0,7.0
CAK72997.1,-,PTHR13335.orig.30.pi,-,0.0025,17.9,9.9,0.0032,17.6,9.9
CAK81780.1,-,PTHR13335.orig.30.pi,-,0.003,17.7,7.2,0.0041,17.3,7.2
CAK66288.1,-,PTHR13335.orig.30.pi,-,0.0053,16.9,9.6,0.0082,16.3,9.6
CAK55729.1,-,PTHR13335.orig.30.pi,-,0.0084,16.2,0.6,0.16,12.0,0.0
CAK84651.1,-,PTHR13335.orig.30.pi,-,0.009,16.1,6.0,0.014,15.5,6.0
CAK90814.1,-,PTHR13335.orig.30.pi,-,0.011,15.8,6.0,0.018,15.1,6.0
CAK89958.1,-,PTHR13335.orig.30.pi,-,0.015,15.4,7.5,0.02,15.0,7.5
CAK77983.1,-,PTHR13335.orig.30.pi,-,0.018,15.1,0.7,0.029,14.4,0.7
CAK85134.1,-,PTHR13335.orig.30.pi,-,0.021,14.9,0.7,0.078,13.0,4.7
CAK68440.1,-,PTHR13335.orig.30.pi,-,0.021,14.9,8.8,0.028,14.5,8.8
CAK61815.1,-,PTHR13335.orig.30.pi,-,0.023,14.8,5.4,0.028,14.5,5.4
CAK94583.1,-,PTHR13335.orig.30.pi,-,0.024,14.7,0.1,0.043,13.9,0.1
CAK83238.1,-,PTHR13335.orig.30.pi,-,0.037,14.1,7.9,0.09,12.8,7.9
CAK78604.1,-,PTHR13335.orig.30.pi,-,0.046,13.8,4.1,0.048,13.7,4.1
CAK90644.1,-,PTHR13335.orig.30.pi,-,0.054,13.6,0.0,0.083,12.9,0.0
CAK84381.1,-,PTHR13335.orig.30.pi,-,0.063,13.3,2.6,0.06,13.4,2.6
CAK86474.1,-,PTHR13335.orig.30.pi,-,0.1,12.6,8.7,0.12,12.4,8.7
CAK83696.1,-,PTHR13335.orig.30.pi,-,0.29,11.1,2.0,0.35,10.9,2.0
CAK67361.1,-,PTHR13335.orig.30.pi,-,0.4,10.7,4.8,0.57,10.2,4.8
CAK69421.1,-,PTHR13335.orig.30.pi,-,0.44,10.6,7.6,0.75,9.8,7.6
CAK71270.1,-,PTHR13335.orig.30.pi,-,0.72,9.8,1.5,0.94,9.5,1.5
CAK89064.1,-,PTHR13335.orig.30.pi,-,0.82,9.7,3.9,1.2,9.1,3.9
CAK70323.1,-,PTHR13335.orig.30.pi,-,1.6,8.7,7.6,2.3,8.2,7.6
CAK85414.1,-,PTHR13335.orig.30.pi,-,1.6,8.7,6.0,2.3,8.2,6.0
CAK65058.1,-,PTHR13335.orig.30.pi,-,2.2,8.2,4.0,3.9,7.4,4.0
CAK57767.1,-,PTHR13335.orig.30.pi,-,2.6,8.0,4.3,4.8,7.1,4.3
CAK87272.1,-,PTHR13335.orig.30.pi,-,2.9,7.8,2.8,1.6,8.7,9.7
CAK66506.1,-,PTHR13335.orig.30.pi,-,3.2,7.7,5.6,0.039,14.0,3.9
CAK83004.1,-,PTHR13335.orig.30.pi,-,5.2,7.0,3.5,0.3,11.1,8.4
CAK91101.1,-,PTHR13335.orig.30.pi,-,6.6,6.7,4.4,0.17,11.9,8.3
EAR88934.2,-,PTHR13335.orig.30.pi,-,4.9e-17,62.7,8.2,7.2e-17,62.2,8.2
EAR83064.1,-,PTHR13335.orig.30.pi,-,1.8e-05,24.5,0.4,1.8e-05,24.5,0.4
EAR97965.2,-,PTHR13335.orig.30.pi,-,2.6e-05,24.0,7.1,4.6e-05,23.2,7.1
EWS75119.1,-,PTHR13335.orig.30.pi,-,0.018,14.6,8.9,0.03,13.8,8.9
EWS72295.1,-,PTHR13335.orig.30.pi,-,0.028,13.9,1.6,0.055,13.0,9.4
EDK32042.2,-,PTHR13335.orig.30.pi,-,0.041,13.4,5.4,0.057,12.9,5.4
EAR95402.1,-,PTHR13335.orig.30.pi,-,0.13,11.8,4.1,0.21,11.1,4.1
EAR83644.1,-,PTHR13335.orig.30.pi,-,0.15,11.6,2.1,0.18,11.3,2.1
EAR87519.1,-,PTHR13335.orig.30.pi,-,0.23,11.0,5.2,0.25,10.8,5.2
EAR83537.2,-,PTHR13335.orig.30.pi,-,0.43,10.0,6.3,0.59,9.6,6.3
EAR98679.4,-,PTHR13335.orig.30.pi,-,0.57,9.6,1.7,0.7,9.3,1.7
EAR88306.1,-,PTHR13335.orig.30.pi,-,0.82,9.1,5.3,0.87,9.0,5.3
EAS04231.2,-,PTHR13335.orig.30.pi,-,2.5,7.5,8.7,1.4,8.4,3.2
EAS04874.2,-,PTHR13335.orig.30.pi,-,2.7,7.4,3.2,3.7,6.9,3.2
EAR99365.2,-,PTHR13335.orig.30.pi,-,4.5,6.6,0.7,6.3,6.2,0.7
EAR89656.1,-,PTHR13335.orig.30.pi,-,6.4,6.2,0.1,8.6,5.7,0.1
CBZ55730.1,-,PTHR13335.orig.30.pi,-,1.5e-05,22.8,5.2,1.5e-05,22.8,5.2
CBZ55519.1,-,PTHR13335.orig.30.pi,-,4.3e-05,21.3,0.9,6.5e-05,20.7,0.9
CBZ49594.1,-,PTHR13335.orig.30.pi,-,4.4e-05,21.3,9.2,5.4e-05,21.0,9.2
CBZ55880.1,-,PTHR13335.orig.30.pi,-,0.00012,19.8,8.3,0.00012,19.8,8.3
CBZ55522.1,-,PTHR13335.orig.30.pi,-,0.00012,19.8,7.0,0.00022,19.0,7.0
CBZ55142.1,-,PTHR13335.orig.30.pi,-,0.00037,18.2,8.4,0.00048,17.8,8.4
CBZ49650.1,-,PTHR13335.orig.30.pi,-,0.00037,18.2,8.2,0.00077,17.2,8.2
CBZ53588.1,-,PTHR13335.orig.30.pi,-,0.00043,18.0,4.0,0.00058,17.6,4.0
CBZ51390.1,-,PTHR13335.orig.30.pi,-,0.00052,17.7,6.3,0.00074,17.2,6.3
CBZ52509.1,-,PTHR13335.orig.30.pi,-,0.00077,17.2,3.0,0.00094,16.9,3.0
CBZ49609.1,-,PTHR13335.orig.30.pi,-,0.00092,16.9,2.3,0.0015,16.2,2.3
CBZ51146.1,-,PTHR13335.orig.30.pi,-,0.0018,15.9,8.6,0.0028,15.3,4.2
CBZ49697.1,-,PTHR13335.orig.30.pi,-,0.0056,14.3,3.0,0.0077,13.9,3.1
CBZ52552.1,-,PTHR13335.orig.30.pi,-,0.0065,14.1,4.5,0.0075,13.9,4.5
CBZ54338.1,-,PTHR13335.orig.30.pi,-,0.099,10.2,8.2,0.6,7.6,5.3
CBZ50673.1,-,PTHR13335.orig.30.pi,-,0.3,8.6,5.4,0.52,7.8,5.4
CBZ52428.1,-,PTHR13335.orig.30.pi,-,0.44,8.0,8.1,0.042,11.4,9.9
CBZ49980.1,-,PTHR13335.orig.30.pi,-,0.44,8.0,6.8,0.48,7.9,6.8
CBZ56248.1,-,PTHR13335.orig.30.pi,-,1.6,6.2,4.3,1.9,5.9,4.3
CBZ52627.1,-,PTHR13335.orig.30.pi,-,1.8,6.0,4.5,0.057,11.0,8.3
CBZ54183.1,-,PTHR13335.orig.30.pi,-,4.8,4.6,1.3,2.0,5.9,7.8
CBZ51029.1,-,PTHR13335.orig.30.pi,-,9.3,3.7,1.3,13.0,3.2,1.3
EGR34482.1,-,PTHR13335.orig.30.pi,-,0.0018,16.2,5.6,0.0029,15.5,5.6
EGR28057.1,-,PTHR13335.orig.30.pi,-,0.05,11.4,3.6,0.02,12.7,4.5
EGR28547.1,-,PTHR13335.orig.30.pi,-,0.18,9.5,5.3,0.29,8.9,5.3
EGR29067.1,-,PTHR13335.orig.30.pi,-,0.58,7.9,1.7,0.79,7.4,1.7
EGR29985.1,-,PTHR13335.orig.30.pi,-,1.3,6.7,1.8,0.4,8.4,7.0
EGR30812.1,-,PTHR13335.orig.30.pi,-,2.8,5.6,4.7,3.6,5.3,4.7
EGR29031.1,-,PTHR13335.orig.30.pi,-,3.6,5.2,0.9,4.6,4.9,0.9
EGR30497.1,-,PTHR13335.orig.30.pi,-,4.2,5.0,4.5,7.6,4.2,4.5
EZG49689.1,-,PTHR13335.orig.30.pi,-,0.00014,19.5,1.7,0.00014,19.5,1.7
KFG57755.1,-,PTHR13335.orig.30.pi,-,3e-08,32.3,4.8,3e-08,32.3,4.8
KFG61638.1,-,PTHR13335.orig.30.pi,-,4.4e-05,21.8,9.5,4.6e-05,21.7,9.5
KFG59367.1,-,PTHR13335.orig.30.pi,-,5.2e-05,21.6,9.3,5.2e-05,21.6,9.3
KFG62449.1,-,PTHR13335.orig.30.pi,-,6.8e-05,21.2,9.8,0.0022,16.2,6.1
KFG58954.1,-,PTHR13335.orig.30.pi,-,0.00014,20.2,3.4,0.00014,20.2,3.4
KFG66204.1,-,PTHR13335.orig.30.pi,-,0.00015,20.0,7.6,0.00015,20.0,7.6
KFG60114.1,-,PTHR13335.orig.30.pi,-,0.0003,19.0,0.1,0.00038,18.7,0.1
KFG59516.1,-,PTHR13335.orig.30.pi,-,0.0003,19.0,9.0,0.0003,19.0,9.0
KFG58385.1,-,PTHR13335.orig.30.pi,-,0.00045,18.5,4.7,0.00045,18.5,4.7
KFG62606.1,-,PTHR13335.orig.30.pi,-,0.0011,17.1,8.7,0.0015,16.7,8.7
KFG63331.1,-,PTHR13335.orig.30.pi,-,0.0013,16.9,7.0,0.0013,16.9,7.0
KFG66366.1,-,PTHR13335.orig.30.pi,-,0.0023,16.1,0.3,0.0025,16.0,0.3
KFG61881.1,-,PTHR13335.orig.30.pi,-,0.003,15.7,0.0,0.003,15.7,0.0
KFG59952.1,-,PTHR13335.orig.30.pi,-,0.0074,14.4,8.7,0.011,13.8,8.7
KFG65183.1,-,PTHR13335.orig.30.pi,-,0.011,13.9,6.8,0.21,9.6,0.8
KFG62123.1,-,PTHR13335.orig.30.pi,-,0.014,13.5,0.0,0.014,13.5,0.0
KFG59060.1,-,PTHR13335.orig.30.pi,-,0.017,13.2,3.9,0.026,12.6,3.9
KFG58624.1,-,PTHR13335.orig.30.pi,-,0.033,12.3,1.2,0.029,12.5,1.2
KFG64198.1,-,PTHR13335.orig.30.pi,-,0.084,11.0,5.7,0.11,10.5,5.7
KFG63974.1,-,PTHR13335.orig.30.pi,-,0.44,8.6,9.4,0.73,7.9,9.4
KFG58379.1,-,PTHR13335.orig.30.pi,-,0.6,8.1,5.3,7.3,4.6,0.1
KFG65506.1,-,PTHR13335.orig.30.pi,-,0.75,7.8,6.0,0.091,10.8,3.0
KFG60186.1,-,PTHR13335.orig.30.pi,-,0.77,7.8,0.6,0.14,10.2,5.7
KFG59288.1,-,PTHR13335.orig.30.pi,-,0.98,7.4,9.6,1.0,7.3,9.6
KFG62419.1,-,PTHR13335.orig.30.pi,-,0.99,7.4,6.8,1.2,7.1,6.8
KFG59418.1,-,PTHR13335.orig.30.pi,-,1.4,6.9,0.3,0.01,14.0,2.1
KFG58978.1,-,PTHR13335.orig.30.pi,-,7.1,4.6,0.0,0.34,9.0,1.3
KFH05172.1,-,PTHR13335.orig.30.pi,-,1.4e-12,46.5,0.0,2.2e-11,42.5,0.0
KFH07168.1,-,PTHR13335.orig.30.pi,-,2.7e-12,45.5,1.4,0.00051,18.2,0.0
KFH02754.1,-,PTHR13335.orig.30.pi,-,1.4e-05,23.3,2.3,1.4e-05,23.3,2.3
KFH07440.1,-,PTHR13335.orig.30.pi,-,2.3e-05,22.6,0.1,2.3e-05,22.6,0.1
KFH10105.1,-,PTHR13335.orig.30.pi,-,3.7e-05,21.9,5.2,3.7e-05,21.9,5.2
KFH05910.1,-,PTHR13335.orig.30.pi,-,4.1e-05,21.8,9.5,4.3e-05,21.7,9.5
KFH00831.1,-,PTHR13335.orig.30.pi,-,8.2e-05,20.8,4.7,0.0018,16.3,2.9
KFH07441.1,-,PTHR13335.orig.30.pi,-,0.00013,20.1,5.9,0.012,13.7,4.3
KFH10082.1,-,PTHR13335.orig.30.pi,-,0.00022,19.4,8.1,0.00022,19.4,8.1
KFH01126.1,-,PTHR13335.orig.30.pi,-,0.00024,19.3,6.8,0.0009,17.3,6.8
KFH08851.1,-,PTHR13335.orig.30.pi,-,0.0006,17.9,9.2,0.00077,17.6,9.2
KFH01670.1,-,PTHR13335.orig.30.pi,-,0.00077,17.6,5.6,0.0013,16.8,5.6
KFH03299.1,-,PTHR13335.orig.30.pi,-,0.001,17.2,7.7,0.001,17.2,7.7
KFH08317.1,-,PTHR13335.orig.30.pi,-,0.0028,15.7,0.7,0.0031,15.6,0.7
KFH03210.1,-,PTHR13335.orig.30.pi,-,0.0031,15.6,4.2,0.002,16.2,8.6
KFG99295.1,-,PTHR13335.orig.30.pi,-,0.015,13.3,1.2,0.019,13.0,1.2
KFH07407.1,-,PTHR13335.orig.30.pi,-,0.015,13.3,7.6,0.019,12.9,0.3
KFH11520.1,-,PTHR13335.orig.30.pi,-,0.017,13.1,2.2,0.024,12.6,2.2
KFH10419.1,-,PTHR13335.orig.30.pi,-,0.019,13.0,2.1,0.027,12.5,2.1
KFH11860.1,-,PTHR13335.orig.30.pi,-,0.075,11.0,5.7,0.1,10.6,5.7
KFH10945.1,-,PTHR13335.orig.30.pi,-,0.91,7.4,4.3,0.16,9.9,0.7
KFH00566.1,-,PTHR13335.orig.30.pi,-,0.93,7.4,8.7,1.6,6.6,8.7
KFH10413.1,-,PTHR13335.orig.30.pi,-,1.2,7.0,9.7,0.13,10.2,5.9
KFH13065.1,-,PTHR13335.orig.30.pi,-,2.1,6.2,3.7,2.9,5.7,3.7
KFH11035.1,-,PTHR13335.orig.30.pi,-,6.4,4.6,4.7,0.61,8.0,2.4
KFH15780.1,-,PTHR13335.orig.30.pi,-,1.6e-07,29.9,6.4,0.00031,19.0,6.6
KFH03979.1,-,PTHR13335.orig.30.pi,-,1.5e-05,23.3,3.2,0.00089,17.5,8.2
KFH00841.1,-,PTHR13335.orig.30.pi,-,6.9e-05,21.2,2.2,6.9e-05,21.2,2.2
KFH01119.1,-,PTHR13335.orig.30.pi,-,7.3e-05,21.1,7.1,7.3e-05,21.1,7.1
KFH09534.1,-,PTHR13335.orig.30.pi,-,0.00016,19.9,6.4,0.00024,19.4,6.4
KFH13523.1,-,PTHR13335.orig.30.pi,-,0.0002,19.6,4.8,0.00097,17.4,3.6
KFH13659.1,-,PTHR13335.orig.30.pi,-,0.00033,18.9,1.7,0.00057,18.1,1.7
KFH17703.1,-,PTHR13335.orig.30.pi,-,0.00046,18.4,2.1,0.0007,17.8,2.1
KFH08574.1,-,PTHR13335.orig.30.pi,-,0.00048,18.3,7.0,0.00048,18.3,7.0
KFH14411.1,-,PTHR13335.orig.30.pi,-,0.00056,18.1,9.2,0.00056,18.1,9.2
KFH12721.1,-,PTHR13335.orig.30.pi,-,0.0013,16.9,7.0,0.0013,16.9,7.0
KFH06650.1,-,PTHR13335.orig.30.pi,-,0.0014,16.9,1.6,0.0014,16.9,1.6
KFH17135.1,-,PTHR13335.orig.30.pi,-,0.004,15.3,1.5,0.0057,14.8,1.5
KFH08118.1,-,PTHR13335.orig.30.pi,-,0.0065,14.6,3.8,0.0094,14.1,3.8
KFH12844.1,-,PTHR13335.orig.30.pi,-,0.0097,14.0,0.9,0.019,13.1,3.0
KFH07179.1,-,PTHR13335.orig.30.pi,-,0.02,13.0,3.2,0.13,10.3,3.2
KFH03315.1,-,PTHR13335.orig.30.pi,-,0.063,11.4,0.9,0.082,11.0,0.7
