tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
ETK81111.1,-,PTHR13298.orig.30.pi,-,0.64,7.8,5.6,1.1,7.0,0.1
ETL36976.1,-,PTHR13298.orig.30.pi,-,0.0,1103.3,0.0,0.0,1102.9,0.0
ETL29753.1,-,PTHR13298.orig.30.pi,-,0.022,12.6,0.3,0.032,12.1,0.3
ETL31333.1,-,PTHR13298.orig.30.pi,-,0.23,9.2,0.0,0.73,7.6,0.0
ETL37238.1,-,PTHR13298.orig.30.pi,-,0.33,8.7,1.6,4.4,5.0,0.3
ETL34581.1,-,PTHR13298.orig.30.pi,-,2.3,5.9,5.4,1.1,7.0,0.1
ETL90123.1,-,PTHR13298.orig.30.pi,-,0.0,1116.5,0.0,0.0,1116.2,0.0
ETL82980.1,-,PTHR13298.orig.30.pi,-,0.012,13.5,0.3,0.017,13.0,0.3
ETL84552.1,-,PTHR13298.orig.30.pi,-,0.23,9.2,0.0,0.72,7.6,0.0
ETM02994.1,-,PTHR13298.orig.30.pi,-,0.29,8.9,0.8,21.0,2.7,0.0
ETL90377.1,-,PTHR13298.orig.30.pi,-,0.31,8.8,1.5,4.4,5.0,0.3
ETL87843.1,-,PTHR13298.orig.30.pi,-,1.3,6.7,4.8,1.4,6.6,0.1
ETM43439.1,-,PTHR13298.orig.30.pi,-,0.0,1103.4,0.0,0.0,1103.1,0.0
ETM36206.1,-,PTHR13298.orig.30.pi,-,0.012,13.5,0.3,0.017,13.0,0.3
ETM40451.1,-,PTHR13298.orig.30.pi,-,0.23,9.2,0.0,0.72,7.6,0.0
ETM56240.1,-,PTHR13298.orig.30.pi,-,0.29,8.9,0.8,21.0,2.7,0.0
ETM43682.1,-,PTHR13298.orig.30.pi,-,0.31,8.8,1.5,4.4,5.0,0.3
ETM41043.1,-,PTHR13298.orig.30.pi,-,2.7,5.7,6.2,1.2,6.8,0.1
ETV69115.1,-,PTHR13298.orig.30.pi,-,9e-266,882.2,0.0,9e-265,881.6,0.0
ETV88228.1,-,PTHR13298.orig.30.pi,-,0.014,13.2,6.4,0.019,12.8,1.9
ETV88227.1,-,PTHR13298.orig.30.pi,-,0.02,12.8,6.1,0.026,12.3,2.0
ETV76201.1,-,PTHR13298.orig.30.pi,-,0.047,11.5,0.2,0.066,11.0,0.2
ETV76200.1,-,PTHR13298.orig.30.pi,-,0.054,11.3,0.2,0.077,10.8,0.2
ETV83469.1,-,PTHR13298.orig.30.pi,-,0.059,11.2,4.3,0.068,11.0,0.6
ETV83468.1,-,PTHR13298.orig.30.pi,-,0.066,11.0,5.1,0.093,10.5,0.5
ETV81971.1,-,PTHR13298.orig.30.pi,-,0.085,10.6,0.5,0.17,9.6,0.0
ETV97011.1,-,PTHR13298.orig.30.pi,-,7e-264,877.1,0.0,4e-264,876.6,0.0
ETV97010.1,-,PTHR13298.orig.30.pi,-,2e-257,853.5,2.3,2e-179,598.6,5.8
ETV97013.1,-,PTHR13298.orig.30.pi,-,1e-216,718.7,0.0,6e-216,718.2,0.0
ETV97012.1,-,PTHR13298.orig.30.pi,-,8e-210,695.8,1.8,3e-180,599.2,5.8
ETV97014.1,-,PTHR13298.orig.30.pi,-,3e-194,644.3,0.3,4e-194,643.9,0.3
ETV97015.1,-,PTHR13298.orig.30.pi,-,8e-194,643.5,1.0,4e-194,643.1,1.0
ETV97016.1,-,PTHR13298.orig.30.pi,-,8e-194,643.5,1.0,4e-194,643.1,1.0
ETW09785.1,-,PTHR13298.orig.30.pi,-,0.0085,13.6,2.2,0.01,13.3,2.2
ETV95341.1,-,PTHR13298.orig.30.pi,-,0.065,10.7,0.2,0.087,10.3,0.2
ETV95340.1,-,PTHR13298.orig.30.pi,-,0.065,10.7,0.2,0.087,10.3,0.2
ETW09696.1,-,PTHR13298.orig.30.pi,-,0.16,9.4,0.1,0.27,8.6,0.1
ETW02439.1,-,PTHR13298.orig.30.pi,-,2.9,5.2,1.2,0.32,8.4,0.6
EWM19935.1,-,PTHR13298.orig.30.pi,-,1.6e-12,44.9,0.0,1.8e-12,44.7,0.0
EWM25868.1,-,PTHR13298.orig.30.pi,-,0.0012,15.5,1.0,0.035,10.7,0.2
KNB45059.1,-,PTHR13298.orig.30.pi,-,2.6e-99,331.4,1.7,3.4e-99,331.0,1.7
KNB46828.1,-,PTHR13298.orig.30.pi,-,1.5e-40,136.8,2.6,2.1e-40,136.3,2.6
KNB46827.1,-,PTHR13298.orig.30.pi,-,7.9e-38,127.8,2.0,1.1e-37,127.3,2.0
KAG2533441.1,-,PTHR13298.orig.30.pi,-,2e-265,878.0,5.7,7e-243,805.8,5.9
KAG2520630.1,-,PTHR13298.orig.30.pi,-,0.0025,14.3,0.1,0.008,12.6,0.0
KAG2515737.1,-,PTHR13298.orig.30.pi,-,0.022,11.2,0.0,2.2,4.6,0.0
KAG2523792.1,-,PTHR13298.orig.30.pi,-,0.025,11.0,0.8,0.4,7.0,0.3
KAG2532889.1,-,PTHR13298.orig.30.pi,-,0.092,9.1,0.0,0.25,7.7,0.0
KAG2532382.1,-,PTHR13298.orig.30.pi,-,3e-266,881.6,3.2,1e-243,810.5,0.6
KAG2521701.1,-,PTHR13298.orig.30.pi,-,0.0026,14.2,0.1,0.008,12.6,0.0
KAG2511654.1,-,PTHR13298.orig.30.pi,-,0.022,11.2,0.0,2.2,4.6,0.0
KAG2522179.1,-,PTHR13298.orig.30.pi,-,0.025,11.0,0.8,0.39,7.0,0.3
KAG2523609.1,-,PTHR13298.orig.30.pi,-,0.091,9.1,0.0,0.25,7.7,0.0
GLD95088.1,-,PTHR13298.orig.30.pi,-,4e-120,398.4,0.0,8e-120,398.1,0.0
GLD95090.1,-,PTHR13298.orig.30.pi,-,4.9e-52,176.7,3.5,5.7e-52,176.4,3.5
GLD95089.1,-,PTHR13298.orig.30.pi,-,2.3e-21,75.1,0.1,2.6e-21,74.9,0.1
GLD92885.1,-,PTHR13298.orig.30.pi,-,1.3e-06,26.2,3.9,2.2e-05,22.2,0.2
GLD97591.1,-,PTHR13298.orig.30.pi,-,0.00073,17.1,1.1,0.00094,16.8,0.3
GLD91488.1,-,PTHR13298.orig.30.pi,-,0.0054,14.2,1.4,0.0059,14.1,1.4
GLE02076.1,-,PTHR13298.orig.30.pi,-,0.012,13.1,0.8,0.82,7.0,0.1
GLD98856.1,-,PTHR13298.orig.30.pi,-,0.05,11.0,0.0,0.091,10.2,0.0
GLD95004.1,-,PTHR13298.orig.30.pi,-,0.11,9.9,0.0,0.12,9.8,0.0
GLE04237.1,-,PTHR13298.orig.30.pi,-,0.25,8.7,0.5,0.85,7.0,0.1
GLD99883.1,-,PTHR13298.orig.30.pi,-,0.36,8.2,1.9,0.011,13.3,3.4
GLD92319.1,-,PTHR13298.orig.30.pi,-,8.5,3.6,4.8,1.9,5.8,0.0
CCI43400.1,-,PTHR13298.orig.30.pi,-,1e-296,983.0,4.5,6e-296,982.4,4.5
CCI43401.1,-,PTHR13298.orig.30.pi,-,8e-289,957.4,3.5,9e-289,957.0,3.5
CCI44675.1,-,PTHR13298.orig.30.pi,-,0.081,9.7,0.1,0.071,9.9,0.1
KUF97733.1,-,PTHR13298.orig.30.pi,-,0.005,13.4,0.3,0.0071,12.9,0.3
KUF96426.1,-,PTHR13298.orig.30.pi,-,0.075,9.5,1.5,1.3,5.4,0.3
KUF89265.1,-,PTHR13298.orig.30.pi,-,0.1,9.0,0.0,0.4,7.1,0.0
KUF87799.1,-,PTHR13298.orig.30.pi,-,0.0,1100.9,0.0,0.0,1100.6,0.0
KUF73083.1,-,PTHR13298.orig.30.pi,-,0.0077,13.5,0.3,0.011,13.0,0.3
KUF79572.1,-,PTHR13298.orig.30.pi,-,0.032,11.5,0.8,0.87,6.7,0.4
KUF64918.1,-,PTHR13298.orig.30.pi,-,0.2,8.8,1.5,2.9,5.0,0.3
KUG00474.1,-,PTHR13298.orig.30.pi,-,2.6,5.1,6.5,0.69,7.0,0.1
OAO16993.1,-,PTHR13298.orig.30.pi,-,8.6e-93,310.0,6.6,1.3e-92,309.4,6.6
OAO16552.1,-,PTHR13298.orig.30.pi,-,1.5e-91,305.9,7.0,2.4e-91,305.2,7.0
OAO13431.1,-,PTHR13298.orig.30.pi,-,1.9e-68,229.4,5.7,2.6e-29,99.8,0.0
OAO16247.1,-,PTHR13298.orig.30.pi,-,0.0067,12.3,0.1,0.16,7.8,0.0
OAO12550.1,-,PTHR13298.orig.30.pi,-,0.024,10.5,0.1,0.29,6.9,0.2
RLN06761.1,-,PTHR13298.orig.30.pi,-,4e-266,881.6,3.2,1e-243,810.5,0.6
RLN06857.1,-,PTHR13298.orig.30.pi,-,0.022,11.2,0.0,2.2,4.6,0.0
RLN14000.1,-,PTHR13298.orig.30.pi,-,0.025,11.0,0.8,0.4,7.0,0.3
RLN20480.1,-,PTHR13298.orig.30.pi,-,0.092,9.1,0.0,0.25,7.7,0.0
RLN57964.1,-,PTHR13298.orig.30.pi,-,0.0,1087.7,0.0,0.0,1087.3,0.0
RLN94276.1,-,PTHR13298.orig.30.pi,-,0.0,1087.1,0.0,0.0,1086.6,0.0
RLN72756.1,-,PTHR13298.orig.30.pi,-,0.064,11.1,3.5,3.1,5.5,0.5
RLN93607.1,-,PTHR13298.orig.30.pi,-,0.16,9.8,0.2,0.21,9.4,0.2
RLN50576.1,-,PTHR13298.orig.30.pi,-,0.37,8.6,0.0,0.51,8.1,0.0
RLN38407.1,-,PTHR13298.orig.30.pi,-,0.38,8.5,0.0,0.51,8.1,0.0
RLN94853.1,-,PTHR13298.orig.30.pi,-,0.65,7.8,9.6,3.7,5.3,0.8
RLN96371.1,-,PTHR13298.orig.30.pi,-,1.1,6.9,1.8,7.6,4.2,0.5
RLN97596.1,-,PTHR13298.orig.30.pi,-,10.0,3.8,2.6,1.7,6.4,0.4
RLN57857.1,-,PTHR13298.orig.30.pi,-,3e-295,977.7,0.0,2e-274,906.7,0.0
RLN49468.1,-,PTHR13298.orig.30.pi,-,0.25,7.7,0.0,0.25,7.7,0.0
RLN69694.1,-,PTHR13298.orig.30.pi,-,3e-295,977.7,0.0,1e-274,906.7,0.0
RLN59947.1,-,PTHR13298.orig.30.pi,-,0.037,10.5,0.9,0.49,6.7,0.3
RLN68442.1,-,PTHR13298.orig.30.pi,-,0.25,7.7,0.0,0.25,7.7,0.0
RLN84764.1,-,PTHR13298.orig.30.pi,-,3e-266,881.6,3.2,1e-243,810.5,0.6
RLN75295.1,-,PTHR13298.orig.30.pi,-,0.021,11.2,0.0,2.1,4.6,0.0
RLN78232.1,-,PTHR13298.orig.30.pi,-,0.025,11.0,0.8,0.39,7.0,0.3
RLN85355.1,-,PTHR13298.orig.30.pi,-,0.091,9.1,0.0,0.25,7.7,0.0
OEU15103.1,-,PTHR13298.orig.30.pi,-,0.047,11.0,0.4,4.0,4.6,0.0
OEU11535.1,-,PTHR13298.orig.30.pi,-,0.11,9.8,0.1,3.1,4.9,0.0
OQS07508.1,-,PTHR13298.orig.30.pi,-,9e-277,918.7,0.1,4e-277,917.5,0.1
OQR88989.1,-,PTHR13298.orig.30.pi,-,0.015,12.2,6.0,0.23,8.2,0.5
OQS07448.1,-,PTHR13298.orig.30.pi,-,0.24,8.1,4.1,0.34,7.6,1.2
OQR91495.1,-,PTHR13298.orig.30.pi,-,2e-268,890.3,0.0,9e-268,889.0,0.0
OQR90467.1,-,PTHR13298.orig.30.pi,-,0.02,11.8,0.1,0.028,11.4,0.1
OQR97885.1,-,PTHR13298.orig.30.pi,-,0.073,10.0,1.0,0.6,7.0,0.1
OQR84168.1,-,PTHR13298.orig.30.pi,-,0.15,9.0,0.1,0.22,8.4,0.1
OQR94781.1,-,PTHR13298.orig.30.pi,-,1.7,5.5,9.9,0.78,6.6,0.3
RQM27407.1,-,PTHR13298.orig.30.pi,-,2e-151,502.7,1.6,7e-119,394.5,0.1
RQM30893.1,-,PTHR13298.orig.30.pi,-,1.3e-65,221.1,0.0,1.6e-65,220.8,0.0
RQM27599.1,-,PTHR13298.orig.30.pi,-,0.014,12.3,6.2,0.015,12.3,1.9
RQM19507.1,-,PTHR13298.orig.30.pi,-,0.045,10.7,6.1,0.059,10.3,0.8
RQM29440.1,-,PTHR13298.orig.30.pi,-,0.048,10.6,0.2,0.074,9.9,0.2
OWZ04751.1,-,PTHR13298.orig.30.pi,-,0.037,12.2,1.5,0.81,7.8,0.1
OWZ18072.1,-,PTHR13298.orig.30.pi,-,0.11,10.7,0.0,0.12,10.5,0.0
OWZ24830.1,-,PTHR13298.orig.30.pi,-,0.3,9.2,0.0,0.88,7.7,0.0
OWZ17052.1,-,PTHR13298.orig.30.pi,-,0.69,8.0,1.2,6.4,4.8,0.5
GAX12979.1,-,PTHR13298.orig.30.pi,-,0.0095,13.4,0.1,0.017,12.6,0.1
GAX22529.1,-,PTHR13298.orig.30.pi,-,0.044,11.2,0.2,0.32,8.4,0.1
GAX09462.1,-,PTHR13298.orig.30.pi,-,0.048,11.1,1.9,0.15,9.5,0.6
GAX23410.1,-,PTHR13298.orig.30.pi,-,0.059,10.8,0.0,6.7,4.0,0.0
GAX22974.1,-,PTHR13298.orig.30.pi,-,0.06,10.8,0.0,6.7,4.0,0.0
GAX10645.1,-,PTHR13298.orig.30.pi,-,0.089,10.2,0.6,0.36,8.2,0.6
GAX28976.1,-,PTHR13298.orig.30.pi,-,0.13,9.6,0.1,0.64,7.4,0.0
GBG31601.1,-,PTHR13298.orig.30.pi,-,8e-174,577.0,0.0,7e-173,573.7,0.0
GBG27571.1,-,PTHR13298.orig.30.pi,-,0.00081,16.2,0.3,0.0035,14.1,0.1
GBG26581.1,-,PTHR13298.orig.30.pi,-,0.064,9.9,0.1,0.48,7.0,0.0
GBG25682.1,-,PTHR13298.orig.30.pi,-,0.12,9.0,0.3,4.5,3.8,0.2
GBG32153.1,-,PTHR13298.orig.30.pi,-,0.3,7.7,4.5,0.018,11.8,1.3
GBG34029.1,-,PTHR13298.orig.30.pi,-,2.5,4.6,7.7,6.4,3.3,0.2
POM80870.1,-,PTHR13298.orig.30.pi,-,0.0,1115.8,0.0,0.0,1115.5,0.0
POM59414.1,-,PTHR13298.orig.30.pi,-,0.0018,16.1,1.0,0.0023,15.7,0.3
RAW43666.1,-,PTHR13298.orig.30.pi,-,0.0,1112.9,0.0,0.0,1112.6,0.0
RAW42557.1,-,PTHR13298.orig.30.pi,-,1.6e-06,26.2,0.7,2.2e-06,25.7,0.7
RAW42142.1,-,PTHR13298.orig.30.pi,-,0.071,10.8,0.8,0.47,8.1,0.1
RAW42657.1,-,PTHR13298.orig.30.pi,-,0.19,9.3,2.0,1.1,6.8,0.5
RAW27109.1,-,PTHR13298.orig.30.pi,-,0.21,9.2,0.6,0.68,7.5,0.8
RAW25279.1,-,PTHR13298.orig.30.pi,-,0.22,9.1,0.0,0.85,7.2,0.0
RAW41915.1,-,PTHR13298.orig.30.pi,-,1.8,6.1,3.0,21.0,2.6,0.0
RHY26662.1,-,PTHR13298.orig.30.pi,-,8e-196,648.9,0.2,4.6e-72,242.1,0.0
RHY34311.1,-,PTHR13298.orig.30.pi,-,0.079,9.5,0.2,0.16,8.5,0.2
RHY33751.1,-,PTHR13298.orig.30.pi,-,3.0,4.2,2.3,0.1,9.1,0.7
RHY76861.1,-,PTHR13298.orig.30.pi,-,1.6e-65,220.8,0.0,1.9e-65,220.6,0.0
RHY44661.1,-,PTHR13298.orig.30.pi,-,2.4e-62,210.3,0.0,3.6e-32,110.4,0.2
RHY63562.1,-,PTHR13298.orig.30.pi,-,4.8e-43,146.4,5.3,2.8e-32,110.7,6.0
RHY43501.1,-,PTHR13298.orig.30.pi,-,7.4e-40,135.8,0.0,7.4e-40,135.8,0.0
RHY75354.1,-,PTHR13298.orig.30.pi,-,0.0062,13.5,1.6,0.013,12.5,0.5
RHY35471.1,-,PTHR13298.orig.30.pi,-,0.015,12.3,6.4,0.021,11.8,1.9
RHY60496.1,-,PTHR13298.orig.30.pi,-,0.075,10.0,0.7,0.16,8.9,0.1
RHY17898.1,-,PTHR13298.orig.30.pi,-,2.3e-66,223.6,0.0,2.6e-66,223.4,0.0
RHY15634.1,-,PTHR13298.orig.30.pi,-,6.7e-43,145.9,0.1,1.5e-32,111.6,5.7
RHY17153.1,-,PTHR13298.orig.30.pi,-,0.0085,13.1,0.2,0.0091,13.0,0.2
RHY08344.1,-,PTHR13298.orig.30.pi,-,0.024,11.6,5.3,0.035,11.0,0.8
RHY09652.1,-,PTHR13298.orig.30.pi,-,0.026,11.5,6.3,0.028,11.4,2.1
RHY01662.1,-,PTHR13298.orig.30.pi,-,1.5,5.6,4.0,6.7,3.5,0.1
RHY68680.1,-,PTHR13298.orig.30.pi,-,6.8e-69,232.0,0.0,8e-69,231.8,0.0
RHY44703.1,-,PTHR13298.orig.30.pi,-,4.2e-61,206.2,0.3,2.1e-32,111.1,0.2
RHY67864.1,-,PTHR13298.orig.30.pi,-,2.9e-54,183.6,4.6,4.7e-32,110.0,5.9
RHY76084.1,-,PTHR13298.orig.30.pi,-,0.022,11.7,4.8,0.04,10.9,0.8
RHY63141.1,-,PTHR13298.orig.30.pi,-,0.033,11.1,6.7,0.026,11.5,2.1
RHY10966.1,-,PTHR13298.orig.30.pi,-,7.3e-69,231.9,0.0,8.9e-69,231.6,0.0
RHY22039.1,-,PTHR13298.orig.30.pi,-,8.8e-51,172.0,0.1,3.6e-29,100.4,0.0
RHY07534.1,-,PTHR13298.orig.30.pi,-,2.2e-36,124.3,4.1,2.5e-32,110.9,5.9
RHY16434.1,-,PTHR13298.orig.30.pi,-,0.022,11.7,0.2,0.03,11.3,0.2
