Assembly Accession,Assembly Name,Organism Name,Organism_Taxonomic_ID,Assembly Stats Total Sequence Length,Assembly Level
GCA_008271595.1,ASM827159v1,[Pythium] brassicae (nom. inval.),1485010,50069394,Scaffold
GCA_030267505.1,TeGR_01,Tetraparma gracilis,2962635,43592913,Scaffold
GCA_030267625.1,TrRE_01,Triparma retinervis,2557542,36536487,Scaffold
GCA_026225685.1,Pinf1306_UCR_1,Phytophthora infestans,4787,246895792,Chromosome
GCA_000569095.1,NagaB31_1.0,Nannochloropsis gaditana,72520,27432140,Chromosome
GCA_002217885.1,Fsol_1.0,Fistulifera solaris,1519565,49736633,Scaffold
GCA_012295175.1,ASM1229517v1,Phytophthora infestans,4787,200673608,Contig
GCA_012552325.1,ASM1255232v1,Phytophthora infestans,4787,230945478,Scaffold
GCA_026401375.1,ASM2640137v1,Pythium insidiosum,114742,43294389,Scaffold
GCA_026401395.1,ASM2640139v1,Pythium insidiosum,114742,42546069,Scaffold
GCA_001482985.1,ASM148298v1,Phytophthora nicotianae,4792,71413976,Scaffold
GCA_001483015.1,ASM148301v1,Phytophthora nicotianae,4792,81610141,Scaffold
GCA_000509465.1,Phyt_para_CJ02B3_V1,Phytophthora nicotianae,4792,48075161,Scaffold
GCA_000509525.1,Phyt_para_IAC_01_95_V1,Phytophthora nicotianae,4792,47716731,Scaffold
GCA_000509505.1,Phyt_para_CHvinca01_V1,Phytophthora nicotianae,4792,47809385,Scaffold
GCA_000509485.1,Phyt_para_CJ05E6_V1,Phytophthora nicotianae,4792,47449104,Scaffold
GCA_000365525.1,Phyt_para_P1976_V1,Phytophthora nicotianae P1976,1317066,54884257,Contig
GCA_000365545.1,Phyt_para_CJ01A1_V1,Phytophthora nicotianae CJ01A1,1317063,54289861,Contig
GCA_000365505.1,Phyt_para_P1569_V1,Phytophthora nicotianae P1569,1317065,55229644,Contig
GCA_000367145.1,Phyt_para_P10297_V1,Phytophthora nicotianae P10297,1317064,54574294,Contig
GCA_020800235.1,ASM2080023v1,Phytophthora ramorum,164328,57500797,Scaffold
GCA_016865085.1,ASM1686508v1,Phytophthora cactorum,29920,59759428,Scaffold
GCA_016865075.1,ASM1686507v1,Phytophthora cactorum,29920,59724358,Scaffold
GCA_016864695.1,ASM1686469v1,Phytophthora cactorum,29920,60796470,Scaffold
GCA_016864665.1,ASM1686466v1,Phytophthora cactorum,29920,60703463,Scaffold
GCA_016864815.1,ASM1686481v1,Phytophthora cactorum,29920,60677265,Scaffold
GCA_016864835.1,ASM1686483v1,Phytophthora cactorum,29920,60476590,Scaffold
GCA_016864755.1,ASM1686475v1,Phytophthora cactorum,29920,60795145,Scaffold
GCA_016864855.1,ASM1686485v1,Phytophthora cactorum,29920,61128622,Scaffold
GCA_016864715.1,ASM1686471v1,Phytophthora cactorum,29920,60657148,Scaffold
GCA_016864775.1,ASM1686477v1,Phytophthora cactorum,29920,60707037,Scaffold
GCA_016864735.1,Pcac_4032,Phytophthora cactorum,29920,61561706,Scaffold
GCA_016864635.1,ASM1686463v1,Phytophthora cactorum,29920,59887557,Scaffold
GCA_016906365.1,ASM1690636v1,Phytophthora cactorum,29920,61346800,Scaffold
GCA_016864795.1,ASM1686479v1,Phytophthora cactorum,29920,61265185,Scaffold
GCA_016865055.1,ASM1686505v1,Phytophthora cactorum,29920,59952001,Scaffold
GCA_018873755.1,NZ3830v1,Phytophthora cactorum,29920,51622588,Scaffold
GCA_003287315.1,Pcac_10300_v1,Phytophthora cactorum,29920,59251042,Scaffold
GCA_021029045.1,ASM2102904v1,Aureococcus anophagefferens,44056,64432857,Contig
GCA_021029115.1,ASM2102911v1,Aureococcus anophagefferens,44056,73614722,Contig
GCA_021029035.1,ASM2102903v1,Aureococcus anophagefferens,44056,57108930,Contig
GCA_037953725.1,AA1851-UTK-EC,Aureococcus anophagefferens,44056,49785054,Scaffold
GCA_029747605.1,Phytophthora_cinnamomi_reassembly_enz,Phytophthora cinnamomi,4785,53155022,Scaffold
GCA_039096935.1,ASM3909693v1,Blastocystis sp. ATCC 50177/Nand II,478820,15943788,Contig
GCA_001651215.1,ASM165121v1,Blastocystis sp. ATCC 50177/Nand II,478820,16468307,Scaffold
GCA_027925865.1,Lag_gig_ARSEF373_Annot,Lagenidium giganteum,4803,56091714,Scaffold
GCA_005966545.1,ASM596654v1,Pythium oligandrum,41045,41968875,Contig
GCA_030871285.1,GU_Smar_1.1.8,Skeletonema marinoi,267567,54623658,Contig
GCA_001707905.2,PkChile2v2.0,Phytophthora kernoviae,325452,38203779,Scaffold
GCA_000785735.3,NZFS2646v3,Phytophthora kernoviae,325452,36590891,Scaffold
GCA_001712715.2,PkChile4v2.0,Phytophthora kernoviae,325452,37367739,Scaffold
GCA_001712705.2,PkChile6v2.0,Phytophthora kernoviae,325452,36690292,Scaffold
GCA_000785725.3,NZFS3630v3,Phytophthora kernoviae,325452,36712010,Scaffold
GCA_001712645.2,PkChile7v2.0,Phytophthora kernoviae,325452,37002228,Scaffold
GCA_009733145.1,ASM973314v1,Phytophthora rubi,129364,77817047,Scaffold
GCA_009732945.1,ASM973294v1,Phytophthora rubi,129364,77910222,Scaffold
GCA_009732905.1,ASM973290v1,Phytophthora rubi,129364,77788370,Scaffold
GCA_002197585.2,ASM219758v2,Aphanomyces astaci,112090,51769116,Scaffold
GCA_003546825.1,Da,Aphanomyces astaci,112090,51759259,Contig
GCA_003546765.1,astaci_SV,Aphanomyces astaci,112090,51850380,Contig
GCA_003546585.1,astaci_D2,Aphanomyces astaci,112090,53464605,Contig
GCA_003546565.1,astaci_KV,Aphanomyces astaci,112090,53701190,Contig
GCA_003546545.1,astaci_Si,Aphanomyces astaci,112090,53525515,Contig
GCA_003546625.1,astaci_SA,Aphanomyces astaci,112090,53241459,Contig
GCA_003546605.1,astaci_YX,Aphanomyces astaci,112090,53621013,Contig
GCA_003546805.1,astaci_197901,Aphanomyces astaci,112090,71488524,Contig
GCA_003546785.1,astaci_457,Aphanomyces astaci,112090,70452593,Contig
GCA_003666305.1,astaci_KB13,Aphanomyces astaci,112090,104535722,Contig
GCA_009835205.1,AaE_v1,Aphanomyces astaci,112090,45170078,Scaffold
GCA_001078535.1,ASM107853v1,Albugo candida,65357,34452595,Scaffold
GCA_040437565.1,ASM4043756v1,Albugo candida,65357,36566059,Scaffold
GCA_000296195.2,ThaOc_1.0,Thalassiosira oceanica,159749,92043847,Contig
GCA_000333075.3,PhyKer238_432v3,Phytophthora kernoviae 00238/432,1284355,42518343,Scaffold
GCA_009729455.1,ASM972945v1,Phytophthora fragariae,53985,90966605,Contig
GCA_008330665.1,CrE410P,Cafeteria roenbergensis,33653,35292647,Contig
GCA_008330625.1,CrCflag,Cafeteria roenbergensis,33653,34478070,Contig
GCA_008330635.1,CrRCC970,Cafeteria roenbergensis,33653,33945106,Contig
GCA_009835175.1,Ae201684_v1,Aphanomyces euteiches,100861,56904627,Scaffold
GCA_003704535.1,Peff_R14,Peronospora effusa,542832,30813317,Scaffold
GCA_003843895.1,ASM384389v1,Peronospora effusa,542832,32162939,Scaffold
GCA_021527745.1,ASM2152774v1,Aphanomyces euteiches,100861,59389733,Scaffold
GCA_021527665.1,ASM2152766v1,Aphanomyces euteiches,100861,59739872,Scaffold
GCA_009733085.1,ASM973308v1,Phytophthora fragariae,53985,79097775,Scaffold
GCA_009733065.1,ASM973306v1,Phytophthora fragariae,53985,78371082,Scaffold
GCA_021527785.1,ASM2152778v1,Aphanomyces euteiches,100861,58413039,Scaffold
GCA_009732985.1,ASM973298v1,Phytophthora fragariae,53985,78749363,Scaffold
GCA_009733125.1,ASM973312v1,Phytophthora fragariae,53985,78804247,Scaffold
GCA_009733005.1,ASM973300v1,Phytophthora fragariae,53985,79064189,Scaffold
GCA_009733045.1,ASM973304v1,Phytophthora fragariae,53985,78255805,Scaffold
GCA_009733105.1,ASM973310v1,Phytophthora fragariae,53985,79078972,Scaffold
GCA_009732925.1,ASM973292v1,Phytophthora fragariae,53985,77843592,Scaffold
GCA_009733025.1,ASM973302v1,Phytophthora fragariae,53985,78992522,Scaffold
GCA_021527805.1,ASM2152780v1,Aphanomyces euteiches,100861,52049772,Contig
GCA_002911725.1,ASM291172v1,Phytophthora palmivora,4796,107772931,Scaffold
GCA_003546525.1,inv_NJM0002,Aphanomyces invadans,157072,52164269,Contig
GCA_001750085.1,Fracy1,Fragilariopsis cylindrus CCMP1102,635003,80540407,Scaffold
GCA_030267805.1,TrLO_01,Triparma laevis f. longispina,1714387,41411691,Scaffold
GCA_921012115.1,pbs1_v1,Peronospora belbahrii,622444,29311053,Contig
GCA_002897355.1,Aurantiochytrium_FCC1311_v1,Hondaea fermentalgiana,2315210,38943350,Scaffold
GCA_964200375.1,PHAEEsp6S_V1,Ectocarpus sp. 6 AP-2014,1535362,214637081,Contig
GCA_920940705.1,pf1_v1,Peronospora farinosa,134698,35053226,Scaffold
GCA_019155685.1,JHI_Pboe_1.0,Phytophthora boehmeriae,109152,39952294,Scaffold
GCA_016880175.1,ASM1688017v1,Phytophthora idaei,53986,60609233,Scaffold
GCA_016865095.1,ASM1686509v1,Phytophthora idaei,53986,60582035,Scaffold
GCA_947650345.1,Pd1,Peronospora destructor,86335,43514070,Scaffold
GCA_900708865.1,Aphanomyces_stellatus_CBS568.67,Aphanomyces stellatus,120398,62130275,Scaffold
GCA_964200265.1,PHAEEsp12dF_V1,Ectocarpus sp. 12 AP-2014,1535356,379873989,Scaffold
GCA_016618375.1,Pcap_4.1,Phytophthora capsici,4784,94176027,Scaffold
GCA_001029375.2,Pythium_PINS_2.0,Pythium insidiosum,114742,66713539,Contig
GCA_017309695.1,ASM1730969v1,Phytophthora cactorum,29920,75501778,Scaffold
GCA_010194725.1,Phyca_D,Phytophthora cactorum,29920,121526021,Contig
GCA_947641895.1,Pe1,Peronospora effusa,542832,53697582,Contig
