Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_003177105.1	ASM317710v1	Trypanosoma cruzi	5693	53271887	Contig
GCA_003177095.1	TCC_diploid_1.0	Trypanosoma cruzi	5693	87058484	Contig
GCA_013358655.1	ASM1335865v1	Trypanosoma cruzi	5693	40801262	Scaffold
GCA_000188675.2	Tc_SX10_v2.0	Trypanosoma cruzi	5693	38589511	Contig
GCA_000496795.1	T.cruzi.Dm28c_v01	Trypanosoma cruzi Dm28c	1416333	27347664	Contig
GCA_002219105.2	TcruziDm28cPB1	Trypanosoma cruzi cruzi	85057	50928259	Contig
GCA_000300495.1	ASM30049v1	Trypanosoma cruzi marinkellei	85056	34226154	Contig
GCA_003730215.1	ASM373021v1	Leishmania donovani	5661	33453722	Contig
GCA_003730175.1	ASM373017v1	Leishmania donovani	5661	34011430	Contig
GCA_019425475.1	ASM1942547v1	Trypanosoma vivax	5699	23865041	Contig
GCA_000227375.1	ASM22737v1	Trypanosoma vivax Y486	1055687	24779298	Contig
GCA_000227395.2	ASM22739v2	Trypanosoma congolense IL3000	1068625	18805544	Scaffold
GCA_009731335.1	Lta_assembly01	Leishmania tarentolae	5689	35416496	Contig
GCA_000442495.1	Strigomonas culicis Genome	Strigomonas culicis	28005	27283778	Scaffold
GCA_000492115.1	T_rangeli_SC58v1	Trypanosoma rangeli SC58	429131	15114272	Contig
GCA_003719455.1	ASM371945v1	Trypanosoma cruzi	5693	25174796	Scaffold
GCA_003719155.1	ASM371915v1	Trypanosoma cruzi	5693	26770383	Scaffold
GCA_000442575.2	Angomonas deanei Genome	Angomonas deanei	59799	34103807	Scaffold
GCA_900537975.2	LBRM_annotationDEFINITIVO	Leishmania braziliensis MHOM/BR/75/M2904	420245	32380552	Chromosome
