"","Accn","Phylum","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Phylum name","Order name","Family name","Genus name"
"43","GCA_015033625.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"44","GCA_015033655.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,98.46,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"45","GCA_017916305.1","Discoba",5663,"Leishmania enriettii",NA,"H","H","H","H",NA,98.46,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"46","GCA_017916325.1","Discoba",1580590,"Leishmania martiniquensis",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"47","GCA_017916335.1","Discoba",2249476,"Leishmania orientalis",NA,"H","H","H","H",NA,99.23,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"48","GCA_017918215.1","Discoba",2803181,"Leishmania sp. Ghana 2012 LV757",NA,"H","H","H","H",NA,96.92,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"49","GCA_017918225.1","Discoba",2802991,"Leishmania sp. Namibia",NA,"H","H","H","H",NA,99.23,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"50","GCA_017918235.1","Discoba",2761500,"Porcisia hertigi",NA,"H","H","H","M",NA,98.46,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Porcisia"
"51","GCA_019188245.1","Discoba",1808958,"Novymonas esmeraldas",NA,NA,"H","H","M",NA,96.15,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Novymonas"
"52","GCA_019425475.1","Discoba",5699,"Trypanosoma vivax",NA,"H","H","H","M",NA,91.54,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"53","GCA_021307395.1","Discoba",5699,"Trypanosoma vivax",NA,"H","H","H","M",NA,85.38,6.15,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"54","GCA_022059095.1","Discoba",715481,"Trypanosoma melophagium",NA,"H","H","H","M",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"55","GCA_024505685.1","Discoba",5660,"Leishmania braziliensis",NA,"H","H","H","H",NA,93.08,2.31,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"56","GCA_026419775.2","Discoba",1008807,"Acrasis kona",NA,"H","H","H","H",NA,85.49,6.67,NA,"Heterolobosea",NA,"Acrasidae","Acrasis"
"57","GCA_030068145.1","Discoba",91374,"Diplonema papillatum",NA,"H","H","H","H",NA,39.23,9.23,"Diplonemea","Euglenozoa",NA,"Diplonemidae","Diplonema"
"58","GCA_040363505.1","Discoba",653362,"Leishmania utingensis",NA,"H","H","H","H",NA,97.69,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"59","GCA_040363515.1","Discoba",5680,"Leishmania shawi",NA,"H","H","H","H",NA,96.92,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"60","GCA_040363635.1","Discoba",5678,"Leishmania naiffi",NA,"H","H","H","H",NA,95.38,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"61","GCA_040363645.1","Discoba",5680,"Leishmania shawi",NA,"H","H","H","H",NA,98.46,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"62","GCA_040363675.1","Discoba",651832,"Leishmania lindenbergi",NA,"H","H","H","H",NA,96.15,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"63","GCA_900500625.2","Discoba",5671,"Leishmania infantum",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"64","GCA_900537975.2","Discoba",420245,"Leishmania braziliensis MHOM/BR/75/M2904",NA,"H","H","H","H",NA,95.38,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"65","GCA_900635355.2","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"66","GCA_903995115.1","Discoba",59799,"Angomonas deanei",NA,"M","H","H","M",NA,77.69,17.69,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Angomonas"
"67","GCA_916722125.1","Discoba",347515,"Leishmania major strain Friedlin",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"68","GCA_962239345.1","Discoba",5678,"Leishmania naiffi",NA,"H","H","H","H",NA,94.62,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"69","GCA_962240435.1","Discoba",651832,"Leishmania lindenbergi",NA,"H","H","H","H",NA,95.38,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"70","GCA_962240445.1","Discoba",653362,"Leishmania utingensis",NA,"H","H","H","H",NA,97.69,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"71","GCA_962240455.1","Discoba",5680,"Leishmania shawi",NA,"H","H","H","H",NA,96.92,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"72","GCA_962243165.1","Discoba",5680,"Leishmania shawi",NA,"H","H","H","H",NA,98.46,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
