"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Phylum name","Order name","Family name","Genus name"
"40","GCA_000342415.1","Alveolata",1537102,"Theileria equi strain WA",NA,NA,NA,"H",NA,NA,94.36,3.79,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"41","GCA_000401695.2","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,79.46,6.18,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"42","GCA_000401715.2","Alveolata",1237627,"Plasmodium falciparum UGT5.1",NA,NA,NA,NA,NA,NA,81.71,5.27,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"43","GCA_000499385.1","Alveolata",51315,"Eimeria necatrix",NA,NA,NA,NA,NA,NA,88.45,6.77,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"44","GCA_000499425.1","Alveolata",5801,"Eimeria acervulina",NA,NA,NA,"M",NA,NA,89.44,7.57,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"45","GCA_000499445.1","Alveolata",51316,"Eimeria praecox",NA,NA,NA,NA,NA,NA,48.41,14.34,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"46","GCA_000499545.1","Alveolata",5802,"Eimeria tenella",NA,NA,NA,"M","L",NA,89.24,7.57,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"47","GCA_000499605.1","Alveolata",5804,"Eimeria maxima",NA,NA,NA,"L",NA,NA,77.49,10.96,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"48","GCA_000499725.1","Alveolata",51314,"Eimeria brunetti",NA,NA,NA,"M","L",NA,76.29,9.96,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"49","GCA_000499745.2","Alveolata",44415,"Eimeria mitis",NA,NA,NA,NA,NA,NA,50.8,20.92,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Eimeria"
"50","GCA_000505035.1","Alveolata",1323249,"Plasmodium yoelii 17X",NA,NA,NA,NA,NA,NA,96.02,1.43,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"51","GCA_000521015.1","Alveolata",1036723,"Plasmodium falciparum Vietnam Oak-Knoll (FVO)",NA,NA,NA,NA,NA,NA,87.34,4.64,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"52","GCA_000521035.1","Alveolata",1036727,"Plasmodium falciparum MaliPS096_E11",NA,NA,NA,NA,NA,NA,83.28,5.96,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"53","GCA_000521055.1","Alveolata",1036725,"Plasmodium falciparum Tanzania (2000708)",NA,NA,NA,NA,NA,NA,83.44,6.48,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"54","GCA_000521075.1","Alveolata",1036726,"Plasmodium falciparum NF135/5.C10",NA,NA,NA,NA,NA,NA,89.98,3.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"55","GCA_000521095.1","Alveolata",57270,"Plasmodium falciparum Palo Alto/Uganda",NA,NA,NA,NA,NA,NA,85.48,4.75,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"56","GCA_000521115.1","Alveolata",5835,"Plasmodium falciparum CAMP/Malaysia",NA,NA,NA,NA,NA,NA,90.25,3.73,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"57","GCA_000521155.1","Alveolata",1036724,"Plasmodium falciparum FCH/4",NA,NA,NA,NA,NA,NA,68.62,8.35,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"58","GCA_000524495.1","Alveolata",1237626,"Plasmodium inui San Antonio 1",NA,NA,NA,NA,NA,NA,96.51,1.78,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"59","GCA_000524515.1","Alveolata",138298,"Plasmodium vinckei petteri",NA,NA,NA,NA,NA,NA,96.87,1.21,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"60","GCA_000691945.2","Alveolata",1133968,"Babesia microti strain RI",NA,NA,NA,"M",NA,NA,95.15,1.15,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"61","GCA_000709005.1","Alveolata",54757,"Plasmodium vinckei vinckei",NA,NA,NA,NA,NA,NA,97.12,1.15,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"62","GCA_000711775.1","Alveolata",1172189,"Oxytricha trifallax",NA,NA,NA,NA,NA,NA,0,0,"Spirotrichea","Ciliophora","Sporadotrichida","Oxytrichidae","Oxytricha"
"63","GCA_000723685.1","Alveolata",5854,"Plasmodium reichenowi",NA,NA,NA,NA,NA,NA,98.98,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"64","GCA_000740895.1","Alveolata",869250,"Theileria orientalis strain Shintoku",NA,NA,NA,"M",NA,NA,94.27,0.62,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"65","GCA_000751175.1","Alveolata",5949,"Stylonychia lemnae",NA,"H",NA,"H","M",NA,97.66,1.17,"Spirotrichea","Ciliophora","Sporadotrichida","Oxytrichidae","Stylonychia"
"66","GCA_000769155.2","Alveolata",88456,"Cyclospora cayetanensis",NA,NA,NA,"M",NA,NA,94.02,3.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Eimeriidae","Cyclospora"
"67","GCA_000956335.1","Alveolata",5857,"Plasmodium fragile",NA,NA,NA,NA,NA,NA,96.79,1.24,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"68","GCA_000981445.1","Alveolata",5866,"Babesia bigemina",NA,NA,NA,"H",NA,NA,97.53,0.53,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"69","GCA_001179505.1","Alveolata",1169540,"Vitrella brassicaformis CCMP3155",NA,"M","H","H","H",NA,99.42,0,NA,NA,NA,"Vitrellaceae","Vitrella"
"70","GCA_001447515.1","Alveolata",266149,"Pseudocohnilembus persalinus",NA,"H",NA,"H","M",NA,99.42,0,"Oligohymenophorea","Ciliophora","Philasterida","Pseudocohnilembidae","Pseudocohnilembus"
"71","GCA_001483515.1","Alveolata",237895,"Cryptosporidium hominis",NA,NA,NA,"H",NA,NA,97.61,0.8,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"72","GCA_001593445.1","Alveolata",93969,"Cryptosporidium meleagridis",NA,NA,NA,"H",NA,NA,98.61,0.4,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"73","GCA_001593475.1","Alveolata",237895,"Cryptosporidium hominis",NA,NA,NA,"H",NA,NA,98.01,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"74","GCA_001601855.1","Alveolata",5854,"Plasmodium reichenowi",NA,NA,NA,NA,NA,NA,92.75,2.2,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"75","GCA_001602025.1","Alveolata",647221,"Plasmodium gaboni",NA,NA,NA,NA,NA,NA,95.14,1.24,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"76","GCA_001865345.1","Alveolata",857276,"Cryptosporidium ubiquitum",NA,NA,NA,"H",NA,NA,97.41,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"77","GCA_001865355.1","Alveolata",117008,"Cryptosporidium andersoni",NA,NA,NA,"H",NA,NA,99.2,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"78","GCA_001939145.1","Alveolata",2951,"Symbiodinium microadriaticum",NA,NA,NA,"H","L","H",78.95,10.53,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"79","GCA_002095265.1","Alveolata",462227,"Babesia sp. Xinjiang",NA,NA,NA,"H",NA,NA,80.09,2.47,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"80","GCA_002140095.1","Alveolata",5850,"Plasmodium knowlesi",NA,NA,NA,NA,NA,NA,98.54,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"81","GCA_002157705.1","Alveolata",77519,"Plasmodium gonderi",NA,NA,NA,NA,NA,NA,99.12,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"82","GCA_002223825.1","Alveolata",237895,"Cryptosporidium hominis",NA,NA,NA,"H",NA,NA,97.21,1.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"83","GCA_002563875.1","Alveolata",94643,"Besnoitia besnoiti",NA,NA,NA,"H","L",NA,99.8,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Besnoitia"
"84","GCA_002600585.1","Alveolata",483139,"Cystoisospora suis",NA,NA,NA,"H","L",NA,83.47,11.16,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Cystoisospora"
"85","GCA_002831795.1","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,94.26,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"86","GCA_002897235.1","Alveolata",189622,"Babesia ovata",NA,NA,NA,"H",NA,NA,83.7,5.9,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"87","GCA_003072535.4","Alveolata",68886,"Theileria orientalis",NA,NA,NA,"M",NA,NA,95.59,1.5,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"88","GCA_003072545.4","Alveolata",68886,"Theileria orientalis",NA,NA,NA,"M",NA,NA,95.15,1.41,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"89","GCA_004369235.1","Alveolata",2494336,"Perkinsus sp. BL_2016",NA,NA,NA,NA,NA,NA,9.94,2.92,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"90","GCA_004936735.2","Alveolata",1280935,"Cryptosporidium sp. chipmunk genotype I",NA,NA,NA,"H",NA,NA,97.61,1,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"91","GCA_007210665.1","Alveolata",756076,"Cryptosporidium tyzzeri",NA,NA,NA,"H",NA,NA,98.01,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"92","GCA_009768925.2","Alveolata",310047,"Cryptosporidium bovis",NA,NA,NA,"H",NA,NA,95.62,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"93","GCA_009792415.2","Alveolata",515981,"Cryptosporidium ryanae",NA,NA,NA,"H",NA,NA,94.62,1,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"94","GCA_012898025.1","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,95.11,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"95","GCA_013099955.1","Alveolata",5811,"Toxoplasma gondii",NA,NA,NA,"H","L",NA,100,0,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"96","GCA_013115115.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,89.47,2.34,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"97","GCA_013115125.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,81.29,2.34,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"98","GCA_013115135.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,88.89,4.68,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"99","GCA_013115145.1","Alveolata",330153,"Perkinsus chesapeaki",NA,"L","M","H","M",NA,91.23,3.51,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"100","GCA_013115865.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,65.5,21.64,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"101","GCA_013115895.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,63.74,23.98,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"102","GCA_014529505.1","Alveolata",83540,"Cryptosporidium felis",NA,NA,NA,"H",NA,NA,91.04,2.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"103","GCA_015245375.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,98.21,0.4,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"104","GCA_015476325.1","Alveolata",476202,"Cardiosporidium cionae",NA,NA,NA,"M","M",NA,59.21,3.7,"Aconoidasida","Apicomplexa","Nephromycida",NA,"Cardiosporidium"
"105","GCA_019968955.1","Alveolata",2853593,"Porospora cf. gigantea A",NA,NA,NA,"M",NA,NA,71.71,1.79,"Conoidasida","Apicomplexa","Eugregarinorida","Porosporidae","Porospora"
"106","GCA_020844765.3","Alveolata",73239,"Plasmodium yoelii yoelii",NA,NA,NA,NA,NA,NA,89.95,2.86,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"107","GCA_023705535.2","Alveolata",5869,"Babesia ovis",NA,NA,NA,"H",NA,NA,90.04,2.38,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"108","GCA_023973825.1","Alveolata",5824,"Plasmodium brasilianum",NA,NA,NA,NA,NA,NA,89.07,1.78,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"109","GCA_024862765.1","Alveolata",5871,"Babesia caballi",NA,NA,NA,NA,NA,NA,79.03,5.9,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"110","GCA_027243965.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,93.03,2.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"111","GCA_027243975.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,92.63,2.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"112","GCA_027243985.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,94.22,1.99,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"113","GCA_028658345.1","Alveolata",323732,"Babesia duncani",NA,NA,NA,"H",NA,NA,76.21,5.29,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"114","GCA_030849525.1","Alveolata",33632,"Babesia gibsoni",NA,NA,NA,"H",NA,NA,94.19,1.15,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"115","GCA_031892065.1","Alveolata",2138604,"Cryptosporidium sp. 43IA8",NA,NA,NA,"H",NA,NA,98.21,0.8,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"116","GCA_035232765.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,98.61,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"117","GCA_037039495.1","Alveolata",659607,"Cryptosporidium xiaoi",NA,NA,NA,"H",NA,NA,96.22,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"118","GCA_039657295.1","Alveolata",93969,"Cryptosporidium meleagridis",NA,NA,NA,"H",NA,NA,97.81,1,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"119","GCA_900002335.2","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,99.2,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"120","GCA_900002375.2","Alveolata",5823,"Plasmodium berghei ANKA",NA,NA,NA,NA,NA,NA,99.07,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"121","GCA_900002385.2","Alveolata",5861,"Plasmodium yoelii",NA,NA,NA,NA,NA,NA,98.98,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"122","GCA_900002395.1","Alveolata",5861,"Plasmodium yoelii",NA,NA,NA,NA,NA,NA,98.76,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"123","GCA_900004885.2","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,97.83,0.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"124","GCA_900005025.2","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,97.47,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"125","GCA_900005765.1","Alveolata",85471,"Plasmodium relictum",NA,NA,NA,NA,NA,NA,98.82,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"126","GCA_900005855.1","Alveolata",5849,"Plasmodium gallinaceum",NA,NA,NA,NA,NA,NA,98.46,0.38,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"127","GCA_900044335.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,98.3,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"128","GCA_900088445.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.4,0.22,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"129","GCA_900088485.1","Alveolata",864142,"Plasmodium ovale wallikeri",NA,NA,NA,NA,NA,NA,80.89,5.35,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"130","GCA_900088545.1","Alveolata",864142,"Plasmodium ovale wallikeri",NA,NA,NA,NA,NA,NA,80.97,5.27,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"131","GCA_900088555.1","Alveolata",864141,"Plasmodium ovale curtisi",NA,NA,NA,NA,NA,NA,84.02,3.98,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"132","GCA_900088565.1","Alveolata",864141,"Plasmodium ovale curtisi",NA,NA,NA,NA,NA,NA,85.15,3.49,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"133","GCA_900088575.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,77.68,6.59,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
