"","Group","Accn","Organism_Taxonomic_ID","Organism.Name","SIN1All","SIN1Domain","RICTORAll","RICTORDomain","RAPTORAll","RAPTORDomain","TORAll","TORDomain","LST8All","LST8Domain","source","Class.name","Phylum.name","Order.name","Family.name","Genus.name"
"29","Stramenopiles","GCA_021927905.1",426638,"Chaetoceros tenuissimus",NA,NA,NA,NA,1106.1,1106,1206.3,1206,309.7,309.5,"NCBI","Coscinodiscophyceae","Bacillariophyta","Chaetocerotales","Chaetocerotaceae","Chaetoceros"
"30","Stramenopiles","GCA_019155715.1",221518,"Phytophthora pseudosyringae",222.2,221.9,1103.8,1103.5,1356.8,1356.4,2101.1,2099.5,372.5,372.3,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"31","Stramenopiles","GCA_002081595.1",1202772,"Achlya hypogyna",166.8,166.6,890.3,889,1136.8,550.3,1721.5,1721.1,410.3,410,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Achlya"
"32","Stramenopiles","GCA_000520115.1",157072,"Aphanomyces invadans",168.5,168.2,877.1,876.6,1190.4,1181.5,1704.3,1704,412.9,412.6,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"33","Stramenopiles","GCA_000743755.1",944170,"Blastocystis sp. subtype 4",NA,NA,331.4,331,358.1,357.8,1094.1,1093.8,216.3,216.1,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"34","Stramenopiles","GCA_000151545.2",695850,"Saprolegnia parasitica CBS 223.65",163.9,163.2,883.3,882.3,905.2,904,1738.2,1737.8,410.1,409.9,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia"
"35","Stramenopiles","GCA_012489335.1",1714386,"Triparma laevis f. inornata",NA,NA,478.1,476.3,1041.8,1041.4,1319.5,1319.2,116.7,116.5,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"36","Stramenopiles","GCA_031305395.1",4793,"Phytophthora citrophthora",223.5,223,1118,1117.6,1094.8,1094.5,2068.5,2067.3,NA,NA,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"37","Stramenopiles","GCA_920618645.1",622444,"Peronospora belbahrii",220.6,219.9,1088.7,1088.3,1367.8,1367.4,2055.1,2054,389.1,388.9,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"38","Stramenopiles","GCA_000281045.1",1156394,"Saprolegnia diclina VS20",162,161.5,871.2,870.1,1266.5,1264.5,1744.4,1744.1,410.1,409.8,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia"
"39","Stramenopiles","GCA_002081575.1",74557,"Thraustotheca clavata",155.6,154.9,918.7,917.5,597.3,597,767.4,767.3,397.4,397.1,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Thraustotheca"
"40","Stramenopiles","GCA_002215365.1",4795,"Phytophthora megakarya",203.9,203.6,NA,NA,1377,1376.6,1494.5,1494.3,NA,NA,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"41","Stramenopiles","GCA_026770595.1",483371,"Ochromonadaceae sp. CCMP2298",NA,NA,NA,NA,1106.1,1105.7,924.7,924.2,357.3,357.2,"NCBI","Synurophyceae",NA,"Ochromonadales","Ochromonadaceae",NA
"42","Stramenopiles","GCA_019154785.2",303405,"Nitzschia inconspicua",NA,NA,NA,NA,1091.4,1090.1,1280.8,1280.5,331.9,331.6,"NCBI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia"
"43","Stramenopiles","GCA_019828595.1",112091,"Aphanomyces cochlioides",189.7,189.4,804.9,803.8,NA,NA,1175.1,1174.8,190.5,100.3,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"44","Stramenopiles","GCA_039096225.1",3128533,"Blastocystis sp. Blastoise",NA,NA,304.8,304,614.7,612.1,1173.4,1173.1,305.2,304.9,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"45","Stramenopiles","GCA_039096195.1",3128534,"Blastocystis sp. BT1",NA,NA,341.3,340.7,615.1,614.6,1119.3,1119,230.8,230.5,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"46","Stramenopiles","GCA_921007115.2",2874970,"Peronospora matthiolae",214.2,214.1,1101.7,1101.2,1358.8,1358.4,2022.8,2021.8,386.3,386.1,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"47","Stramenopiles","GCA_017506865.1",303371,"Tribonema minus",NA,NA,425.2,228.7,1223.8,679.1,485.7,485.4,386.6,386.4,"NCBI","Xanthophyceae",NA,"Tribonematales","Tribonemataceae","Tribonema"
"48","Stramenopiles","GCA_039096215.1",3128537,"Blastocystis sp. NMH",NA,NA,315.7,314.1,412.9,412.6,1107,1106.7,254.9,254.8,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"49","Stramenopiles","GCA_039096365.1",3128536,"Blastocystis sp. JDR",NA,NA,309.3,308.6,570.2,570,974.6,974.1,250.4,250.3,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"50","Stramenopiles","GCA_039096925.1",3128535,"Blastocystis sp. DL",NA,NA,315.7,314.1,398.7,398.4,1107.3,1107,254.9,254.8,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"51","Stramenopiles","GCA_947646735.1",134698,"Peronospora farinosa",206.1,204.9,1082.9,1082.6,1362.9,1362.5,2060.4,2059.4,366.5,366.3,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"52","Stramenopiles","GCA_947650285.1",162125,"Hyaloperonospora brassicae",209.8,209.5,1096,1095.4,1360.1,1359.8,2041.8,2040.7,385.8,385.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Hyaloperonospora"
"53","Stramenopiles","GCA_029834535.1",2483200,"Chrysophaeum taylorii",NA,NA,NA,NA,1047.8,842,717.6,717.3,353.5,353.3,"NCBI","Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Chrysophaeum"
"54","Stramenopiles","GCA_022925895.1",210448,"Fragilaria crotonensis",NA,NA,NA,NA,534.5,534.1,1265.2,1264.9,339.7,339.6,"NCBI","Fragilariophyceae","Bacillariophyta","Fragilariales","Fragilariaceae","Fragilaria"
"55","Stramenopiles","GCA_030267905.1",1606542,"Triparma verrucosa",NA,NA,478.8,477.9,1124.4,1123.9,1330.9,1330.4,363.8,363.6,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"56","Stramenopiles","GCA_030267945.1",1606541,"Triparma strigata",NA,NA,477.5,475.9,1122.4,1121.9,1334.5,1334.1,363.8,363.6,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"57","Stramenopiles","GCA_016880985.1",53986,"Phytophthora idaei",239.5,239.2,1115.6,1115.3,1372,1371.6,2078,2076.2,384.1,383.9,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"58","Stramenopiles","GCA_030267725.1",2077276,"Phytophthora lilii",NA,NA,1059.4,1058.8,1094.8,1094.5,2105.3,2103.8,246.3,246.1,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"59","Stramenopiles","GCA_009835185.1",120398,"Aphanomyces stellatus",167.7,166,NA,NA,1203.7,899.1,1765.2,1764.9,409.4,409.2,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"60","Stramenopiles","GCA_030267965.1",722753,"Triparma columacea",NA,NA,514.5,514.1,1140.7,1138.5,1115,1114.8,366.2,366.1,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"61","Stramenopiles","GCA_030267985.1",2962637,"Parmales sp. scaly parma",NA,NA,463.6,335,1178.7,1177.2,1155.2,1155,367.1,367,"NCBI","Bolidophyceae",NA,"Parmales",NA,NA
"62","Stramenopiles","GCA_001712635.2",2483409,"Nothophytophthora sp. Chile5",NA,NA,1087.7,1087.3,1286,1285.6,2047.8,2045.3,382.9,382.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Nothophytophthora"
"63","Stramenopiles","GCA_026770575.1",483370,"Pelagophyceae sp. CCMP2097",NA,NA,NA,NA,1002.7,993.4,1244.6,1242.7,374.1,373.9,"NCBI","Pelagophyceae",NA,NA,NA,NA
"64","Stramenopiles","GCA_902602495.3",867726,"Ectocarpus sp. CCAP 1310/34",NA,NA,585.4,584.9,863.1,560.3,832,831.7,140.9,114.7,"NCBI","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus"
"65","Stramenopiles","GCA_008271595.1",1485010,"[Pythium] brassicae (nom. inval.)",168.2,167.9,987.4,987,1263.9,1263.2,1828.8,1827.2,384.8,384.6,"NCBI",NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium"
"66","Stramenopiles","GCA_030267505.1",2962635,"Tetraparma gracilis",NA,NA,507.3,506.4,949.9,949.6,1336.5,1336.3,254.9,254.7,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Tetraparma"
"67","Stramenopiles","GCA_030267625.1",2557542,"Triparma retinervis",NA,NA,506.8,506.4,1102.4,877.2,1358.7,1358.2,311.9,311.7,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"68","Stramenopiles","GCA_026225685.1",4787,"Phytophthora infestans",237.3,237,1114.3,1114,1372.1,1371.7,2090.1,2088.5,385.5,385.4,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"69","Stramenopiles","GCA_000569095.1",72520,"Nannochloropsis gaditana",NA,NA,NA,NA,798.1,797.7,1405.7,1405,382.8,382.7,"NCBI","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis"
"70","Stramenopiles","GCA_002217885.1",1519565,"Fistulifera solaris",NA,NA,NA,NA,1104.1,1102.5,1236,1235.7,316.8,316.6,"NCBI","Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Fistulifera"
"71","Stramenopiles","GCA_026401375.1",114742,"Pythium insidiosum",202.2,201.3,997.3,996.9,1355.5,1355.1,1489.9,1489.6,398.6,398.4,"NCBI",NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"72","Stramenopiles","GCA_001482985.1",4792,"Phytophthora nicotianae",235,234.7,1116.5,1116.2,1364.9,1364.5,2086.4,2084.7,388.8,388.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"73","Stramenopiles","GCA_000365525.1",1317066,"Phytophthora nicotianae P1976",235,234.7,1116,1115.7,1363.6,1363.2,2085.6,2083.8,388.8,388.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"74","Stramenopiles","GCA_000365545.1",1317063,"Phytophthora nicotianae CJ01A1",235,234.7,1103.3,1102.9,1361.6,1361.2,2086.1,2084.3,388.8,388.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"75","Stramenopiles","GCA_000365505.1",1317065,"Phytophthora nicotianae P1569",235,234.7,1103.4,1103.1,1363,1362.6,2082.1,2080.4,388.8,388.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"76","Stramenopiles","GCA_000367145.1",1317064,"Phytophthora nicotianae P10297",235,234.7,1103.4,1103.1,1362.3,1361.9,2086.4,2084.5,387.7,387.5,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"77","Stramenopiles","GCA_039096935.1",478820,"Blastocystis sp. ATCC 50177/Nand II",NA,NA,320,319.2,567.8,567.5,1070.2,1069.6,250.9,250.8,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"78","Stramenopiles","GCA_027925865.1",4803,"Lagenidium giganteum",205.7,205.2,1014.4,1014,1379.6,1379.2,1475,1474.7,409.7,409.5,"NCBI",NA,"Oomycota","Lagenidiales","Lagenidiaceae","Lagenidium"
"79","Stramenopiles","GCA_005966545.1",41045,"Pythium oligandrum",208.8,208.4,1019,1018.6,1369.4,1369,1809.5,1807.9,393.9,393.6,"NCBI",NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"80","Stramenopiles","GCA_030871285.1",267567,"Skeletonema marinoi",NA,NA,NA,NA,1189.9,1189.4,1232.8,1232.1,338.4,338.3,"NCBI","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Skeletonemataceae","Skeletonema"
"81","Stramenopiles","GCA_001707905.2",325452,"Phytophthora kernoviae",225,224.6,977.7,906.7,247.2,246.9,2062.9,2061.1,379.2,379,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"82","Stramenopiles","GCA_009733145.1",129364,"Phytophthora rubi",233.9,233.6,1115.7,1115.4,1372.6,1372.2,2115.8,2114,385.1,385,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"83","Stramenopiles","GCA_001078535.1",65357,"Albugo candida",206.5,206.2,983,982.4,1311.4,1311.1,1672.3,1672,377.9,377.8,"NCBI",NA,"Oomycota","Albuginales","Albuginaceae","Albugo"
"84","Stramenopiles","GCA_000296195.2",159749,"Thalassiosira oceanica",NA,NA,NA,NA,1119.5,1119.1,1044.5,1042.2,286.9,286.7,"NCBI","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira"
"85","Stramenopiles","GCA_000333075.3",1284355,"Phytophthora kernoviae 00238/432",225,224.6,881.6,810.5,247.2,246.9,1391.7,1388.9,379.2,379,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"86","Stramenopiles","GCA_009729455.1",53985,"Phytophthora fragariae",230,229.7,1116.5,1116.2,1226.8,914.2,2111.1,2109.6,386.5,386.4,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"87","Stramenopiles","GCA_002911725.1",4796,"Phytophthora palmivora",150.2,149.7,1115.8,1115.5,186.5,186.3,1105.4,668.8,385.3,385.1,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"88","Stramenopiles","GCA_001750085.1",635003,"Fragilariopsis cylindrus CCMP1102",NA,NA,NA,NA,1128.9,1128.7,1252.7,1252.4,338.2,338,"NCBI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Fragilariopsis"
"89","Stramenopiles","GCA_030267805.1",1714387,"Triparma laevis f. longispina",NA,NA,476.8,475.1,1129.9,1129.6,1350.5,1350.2,362.5,362.3,"NCBI","Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"90","Stramenopiles","GCA_002897355.1",2315210,"Hondaea fermentalgiana",NA,NA,577,573.7,1050.3,1047.4,1379.7,1378.5,344.5,344.2,"NCBI","Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Hondaea"
"91","Stramenopiles","GCA_964200375.1",1535362,"Ectocarpus sp. 6 AP-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCBI","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus"
"92","Stramenopiles","GCA_019155685.1",109152,"Phytophthora boehmeriae",220.1,219.8,869.5,819.4,311.1,310.8,2059.3,2057.8,381.3,381.2,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"93","Stramenopiles","GCA_947650345.1",86335,"Peronospora destructor",212.3,211.6,1099.6,1099.2,1370.1,1369.7,1760.1,1758.6,381.2,381,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"94","Stramenopiles","GCA_964200265.1",1535356,"Ectocarpus sp. 12 AP-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCBI","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus"
"95","Stramenopiles","GCA_016618375.1",4784,"Phytophthora capsici",228.1,227.8,1113.6,1113.3,1368.1,1367.7,2078.2,2077,381.9,381.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"96","Stramenopiles","NanspC018",52230,"Nannochloropsis oceanica C018 v1.0",NA,NA,195.5,173.5,1234.2,1231.3,1505.5,1505.1,377.6,377.4,"JGI","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis"
"97","Stramenopiles","Mosaich1",33852,"Bacillariophyceae sp. bin 90 v1.0",NA,NA,NA,NA,945.6,582,755.4,755.2,331.3,331.1,"JGI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae",NA
"98","Stramenopiles","Conwei1",1577725,"Conticribra weissflogii CCMP 1336",NA,NA,NA,NA,1208.5,1206.6,764.2,764.1,364.4,364.3,"JGI","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Conticribra"
"99","Stramenopiles","Ent11IV18",186042,"Entomoneis sp. UTEX 11IV18-2A FL v1.0",NA,NA,NA,NA,1068.4,1065.3,1263.1,1262.8,303.6,303,"JGI","Bacillariophyceae","Bacillariophyta",NA,"Entomoneidaceae","Entomoneis"
"100","Stramenopiles","Sarfu1",590727,"Sargassum fusiforme",NA,NA,616.6,616.2,1023,1020.2,1063.1,1062.4,320.5,253.8,"JGI","Phaeophyceae",NA,"Fucales","Sargassaceae","Sargassum"
"101","Stramenopiles","Nanoce84910",145522,"Nannochloropsis oceanica CCAP849/10",NA,NA,317.2,173.7,1226.1,1225.7,1389.2,1365.4,377.6,377.4,"JGI","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis"
"102","Stramenopiles","Undpi1",74381,"Undaria pinnatifida M23",NA,NA,594.5,593.6,997.3,745.9,960.2,877.5,298.3,298.1,"JGI","Phaeophyceae",NA,"Laminariales","Alariaceae","Undaria"
"103","Stramenopiles","Cyccr2",29204,"Cyclotella cryptica CCMP332 v2.0",NA,NA,NA,NA,1209.8,1209.2,1158.1,1157.7,366.1,365.9,"JGI","Coscinodiscophyceae","Bacillariophyta","Stephanodiscales","Stephanodiscaceae","Cyclotella"
"104","Stramenopiles","Nitput1",2742595,"Nitzschia putrida NIES-4239",NA,NA,NA,NA,1057.8,1057.3,1238.6,1238.3,296.1,295.9,"JGI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia"
"105","Stramenopiles","Alaesc1",2889,"Alaria esculenta A1",NA,NA,638.7,638.3,1058.3,759.2,1293,1291.5,383.5,383.3,"JGI","Phaeophyceae",NA,"Laminariales","Alariaceae","Alaria"
"106","Stramenopiles","MonC73",1745946,"Monodopsis strain C73",105.5,104.6,476.8,338,1246.4,1246,1551.4,1551,399.1,398.9,"JGI","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Monodopsis"
"107","Stramenopiles","VisC74",44431,"Vischeria strain C74",110.5,109.5,631.7,456.9,1270.7,1270.3,1481.4,1481,399.4,399.1,"JGI","Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria"
"108","Stramenopiles","Macpyr2",35122,"Macrocystis pyrifera CI_03 v1.0",NA,NA,560.5,559.5,600.2,509.7,1031.8,1031.3,385.1,384.8,"JGI","Phaeophyceae",NA,"Laminariales","Laminariaceae","Macrocystis"
"109","Stramenopiles","Hypcat1",42384,"Hyphochytrium catenoides ATCC 18719",148.9,148.3,208.9,208.8,355.4,355.1,771.8,771.5,440.6,440.3,"JGI","Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium"
"110","Stramenopiles","LabyHa",2710872,"Labyrinthula sp. SR_Ha_C",NA,NA,221.9,198.2,NA,NA,606.2,605.9,NA,NA,"JGI","Bigyra",NA,"Labyrinthulida","Labyrinthulaceae","Labyrinthula"
"111","Stramenopiles","Nithil2",2857,"Nitzschia inconspicua GAI-293 v2.0",NA,NA,NA,NA,1091.4,1090.1,1280.8,1280.5,331.9,331.6,"JGI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia"
"112","Stramenopiles","Hyaar1",559515,"Hyaloperonospora arabidopsidis Emoy2 v2.0",200.1,199.1,1099.2,1098.7,1231.6,1091.3,2019.6,2018.9,361.4,361.3,"JGI",NA,"Oomycota","Peronosporales","Peronosporaceae","Hyaloperonospora"
"113","Stramenopiles","Nemde1",2185085,"Nemacystus decipiens Onna-1",NA,NA,438.9,438.5,1002.1,708.1,1265.1,1264.5,367.7,367.4,"JGI","Phaeophyceae",NA,"Ectocarpales","Chordariaceae","Nemacystus"
