"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"11","Ent11IV18","Stramenopiles",186042,"Entomoneis sp. UTEX 11IV18-2A FL v1.0",NA,NA,"H","H","H","H","Bacillariophyceae","Bacillariophyta",NA,"Entomoneidaceae","Entomoneis","JGI"
"12","Sarfu1","Stramenopiles",590727,"Sargassum fusiforme",NA,"H","H","H","M",NA,"Phaeophyceae",NA,"Fucales","Sargassaceae","Sargassum","JGI"
"13","Nanoce84910","Stramenopiles",145522,"Nannochloropsis oceanica CCAP849/10",NA,"M","H","H","H",NA,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"14","Semro1","Stramenopiles",568900,"Seminavis robusta D6",NA,NA,"H","H","H","H","Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Seminavis","JGI"
"15","Undpi1","Stramenopiles",74381,"Undaria pinnatifida M23",NA,"H","H","H","M",NA,"Phaeophyceae",NA,"Laminariales","Alariaceae","Undaria","JGI"
"16","Fisso2","Stramenopiles",1519565,"Fistulifera solaris JPCC DA0580",NA,NA,"H","H","H",NA,"Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Fistulifera","JGI"
"17","Cyccr2","Stramenopiles",29204,"Cyclotella cryptica CCMP332 v2.0",NA,NA,"H","H","H",NA,"Coscinodiscophyceae","Bacillariophyta","Stephanodiscales","Stephanodiscaceae","Cyclotella","JGI"
"18","Maypse1","Stramenopiles",2872254,"Mayamaea pseudoterrestris NIES-4280",NA,NA,"H","H","H",NA,"Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Mayamaea","JGI"
"19","Fracro1","Stramenopiles",210448,"Fragilaria crotonensis SAG 28.96",NA,NA,"H","H","H",NA,"Fragilariophyceae","Bacillariophyta","Fragilariales","Fragilariaceae","Fragilaria","JGI"
"20","Chaten1","Stramenopiles",426638,"Chaetoceros tenuissimus NIES-3715",NA,NA,"H","H","H",NA,"Coscinodiscophyceae","Bacillariophyta","Chaetocerotales","Chaetocerotaceae","Chaetoceros","JGI"
"21","Nitput1","Stramenopiles",2742595,"Nitzschia putrida NIES-4239",NA,NA,"H","H","M",NA,"Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia","JGI"
"22","Nangad1894","Stramenopiles",72520,"Nannochloropsis gaditana CCMP1894",NA,"M","H","H","H","H","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"23","Alaesc1","Stramenopiles",2889,"Alaria esculenta A1",NA,"H","H","H","H",NA,"Phaeophyceae",NA,"Laminariales","Alariaceae","Alaria","JGI"
"24","MonC73","Stramenopiles",1745946,"Monodopsis strain C73","L","H","H","H","H","H","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Monodopsis","JGI"
"25","VisC74","Stramenopiles",44431,"Vischeria strain C74","L","H","H","H","H",NA,"Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria","JGI"
"26","Macpyr2","Stramenopiles",35122,"Macrocystis pyrifera CI_03 v1.0",NA,"H","H","H","H",NA,"Phaeophyceae",NA,"Laminariales","Laminariaceae","Macrocystis","JGI"
"27","Cafroe1","Stramenopiles",33653,"Cafeteria roenbergensis BVI",NA,NA,"H","H","M",NA,"Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria","JGI"
"28","Hypcat1","Stramenopiles",42384,"Hyphochytrium catenoides ATCC 18719","L","M","H","H","H",NA,"Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium","JGI"
"29","LabyHa","Stramenopiles",2710872,"Labyrinthula sp. SR_Ha_C",NA,"M",NA,"H",NA,NA,"Bigyra",NA,"Labyrinthulida","Labyrinthulaceae","Labyrinthula","JGI"
"30","Honfer1","Stramenopiles",2315210,"Hondaea fermentalgiana CCAP_4062/3",NA,"H","H","H","H",NA,"Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Hondaea","JGI"
"31","Nithil2","Stramenopiles",2857,"Nitzschia inconspicua GAI-293 v2.0",NA,NA,"H","H","H","H","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia","JGI"
"32","Trimin1","Stramenopiles",303371,"Tribonema minus UTEX B 3156 v1.0",NA,"M","H","H","H",NA,"Xanthophyceae",NA,"Tribonematales","Tribonemataceae","Tribonema","JGI"
"33","Hyaar1","Stramenopiles",559515,"Hyaloperonospora arabidopsidis Emoy2 v2.0","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Hyaloperonospora","JGI"
"34","Nemde1","Stramenopiles",2185085,"Nemacystus decipiens Onna-1",NA,"H","H","H","H",NA,"Phaeophyceae",NA,"Ectocarpales","Chordariaceae","Nemacystus","JGI"
"35","Claok1","Stramenopiles",309737,"Cladosiphon okamuranus S strain",NA,"H","H","H","L",NA,"Phaeophyceae",NA,"Ectocarpales","Chordariaceae","Cladosiphon","JGI"
"36","Ochro1393","Stramenopiles",420556,"Ochromonas sp. CCMP1393 v1.4","L","M","H","H","H","H","Chrysophyceae",NA,"Chromulinales","Chromulinaceae","Ochromonas","JGI"
"37","Parimp1","Stramenopiles",37642,"Paraphysomonas imperforata CCMP1604 v1.4","L","H","H","H","H",NA,"Chrysophyceae",NA,"Chromulinales","Paraphysomonadaceae","Paraphysomonas","JGI"
"38","Mintr2","Stramenopiles",265540,"Minidiscus variabilis CCMP495 v1.0",NA,NA,"H","H",NA,NA,"Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Minidiscus","JGI"
"39","Blahom1","Stramenopiles",12968,"Blastocystis hominis Singapore isolate B (sub-type 7)",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","JGI"
"40","Sappar1","Stramenopiles",695850,"Saprolegnia parasitica CBS 223.65","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia","JGI"
"41","Ectsil1","Stramenopiles",2880,"Ectocarpus siliculosus Ec 32",NA,"H","H","H","H",NA,"Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","JGI"
"42","Phyinf1","Stramenopiles",403677,"Phytophthora infestans T30-4","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"43","Thaoce1","Stramenopiles",637379,"Thalassiosira oceanica CCMP1005",NA,NA,"H","H","M","H","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira","JGI"
"44","Pelago2097","Stramenopiles",483370,"Pelagophyceae sp. CCMP2097 v1.0",NA,NA,"H","H","H",NA,"Pelagophyceae",NA,NA,NA,NA,"JGI"
"45","Ochro2298","Stramenopiles",483371,"Ochromonadaceae sp. CCMP2298 v1.0",NA,NA,"H","H","H",NA,"Synurophyceae",NA,"Ochromonadales","Ochromonadaceae",NA,"JGI"
"46","Physo3","Stramenopiles",67593,"Phytophthora sojae v3.0","M","H","H","H","M",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"47","Auran1","Stramenopiles",44056,"Aureococcus anophagefferens clone 1984 v1.0",NA,NA,"H","H","H",NA,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus","JGI"
"48","Schag1","Stramenopiles",876976,"Schizochytrium aggregatum ATCC 28209 v1.0",NA,"H","H","H","H",NA,"Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Schizochytrium","JGI"
"49","Aplke1","Stramenopiles",87111,"Aplanochytrium kerguelense PBS07 v1.0",NA,"H","H","H","H",NA,"Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Aplanochytrium","JGI"
"50","Phyci1","Stramenopiles",622258,"Phytophthora cinnamomi var cinnamomi v1.0","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"51","Aurli1","Stramenopiles",717989,"Aurantiochytrium limacinum ATCC MYA-1381 v1.0",NA,"L","H","H","H",NA,"Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Aurantiochytrium","JGI"
"52","Psemu1","Stramenopiles",37319,"Pseudo-nitzschia multiseries CLN-47",NA,NA,"H","H","H","H","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Pseudo-nitzschia","JGI"
"53","Sacja1","Stramenopiles",88149,"Saccharina japonica str. Ja",NA,"H","M","H","M",NA,"Phaeophyceae",NA,"Laminariales","Laminariaceae","Saccharina","JGI"
"54","GCA_000149405.2","Stramenopiles",296543,"Thalassiosira pseudonana CCMP1335",NA,NA,"H","H","H","M","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira","NCBI"
"55","GCA_000150955.2","Stramenopiles",556484,"Phaeodactylum tricornutum CCAP 1055/1",NA,NA,"H","H","H",NA,"Bacillariophyceae","Bacillariophyta","Naviculales","Phaeodactylaceae","Phaeodactylum","NCBI"
"56","GCA_000240725.1","Stramenopiles",1093141,"Nannochloropsis gaditana CCMP526",NA,NA,"H","H",NA,NA,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","NCBI"
"57","GCA_000281045.1","Stramenopiles",1156394,"Saprolegnia diclina VS20","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia","NCBI"
"58","GCA_000296195.2","Stramenopiles",159749,"Thalassiosira oceanica",NA,NA,"H","H","M","H","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira","NCBI"
"59","GCA_000333075.3","Stramenopiles",1284355,"Phytophthora kernoviae 00238/432","M","H","M","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"60","GCA_000365505.1","Stramenopiles",1317065,"Phytophthora nicotianae P1569","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"61","GCA_000365525.1","Stramenopiles",1317066,"Phytophthora nicotianae P1976","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"62","GCA_000365545.1","Stramenopiles",1317063,"Phytophthora nicotianae CJ01A1","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"63","GCA_000367145.1","Stramenopiles",1317064,"Phytophthora nicotianae P10297","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"64","GCA_000509465.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"65","GCA_000520075.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces","NCBI"
"66","GCA_000520115.1","Stramenopiles",157072,"Aphanomyces invadans","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces","NCBI"
"67","GCA_000743755.1","Stramenopiles",944170,"Blastocystis sp. subtype 4",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"68","GCA_000785725.3","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"69","GCA_001029375.2","Stramenopiles",114742,"Pythium insidiosum","M","H","H","H","H",NA,NA,"Oomycota","Pythiales","Pythiaceae","Pythium","NCBI"
"70","GCA_001078535.1","Stramenopiles",65357,"Albugo candida","M","H","H","H","H",NA,NA,"Oomycota","Albuginales","Albuginaceae","Albugo","NCBI"
"71","GCA_001651215.1","Stramenopiles",478820,"Blastocystis sp. ATCC 50177/Nand II",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"72","GCA_001712635.2","Stramenopiles",2483409,"Nothophytophthora sp. Chile5",NA,"H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Nothophytophthora","NCBI"
"73","GCA_001750085.1","Stramenopiles",635003,"Fragilariopsis cylindrus CCMP1102",NA,NA,"H","H","H",NA,"Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Fragilariopsis","NCBI"
"74","GCA_002081575.1","Stramenopiles",74557,"Thraustotheca clavata","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Thraustotheca","NCBI"
"75","GCA_002081595.1","Stramenopiles",1202772,"Achlya hypogyna","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Achlya","NCBI"
"76","GCA_002215365.1","Stramenopiles",4795,"Phytophthora megakarya","M",NA,"H","H",NA,NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"77","GCA_002911725.1","Stramenopiles",4796,"Phytophthora palmivora","L","H","M","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"78","GCA_003287315.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"79","GCA_005966545.1","Stramenopiles",41045,"Pythium oligandrum","M","H","H","H","H",NA,NA,"Oomycota","Pythiales","Pythiaceae","Pythium","NCBI"
"80","GCA_006386115.1","Stramenopiles",82926,"Globisporangium splendens","M","H","H","H","H",NA,NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium","NCBI"
"81","GCA_008271595.1","Stramenopiles",1485010,"[Pythium] brassicae (nom. inval.)","M","H","H","H","H",NA,NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium","NCBI"
"82","GCA_009729455.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"83","GCA_009732905.1","Stramenopiles",129364,"Phytophthora rubi","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"84","GCA_009835175.1","Stramenopiles",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces","NCBI"
"85","GCA_009835185.1","Stramenopiles",120398,"Aphanomyces stellatus","M",NA,"H","H","H",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces","NCBI"
"86","GCA_012295175.1","Stramenopiles",4787,"Phytophthora infestans","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"87","GCA_016618375.1","Stramenopiles",4784,"Phytophthora capsici","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"88","GCA_016865095.1","Stramenopiles",53986,"Phytophthora idaei","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"89","GCA_018691715.1","Stramenopiles",4785,"Phytophthora cinnamomi","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"90","GCA_018873745.1","Stramenopiles",2496075,"Phytophthora aleatoria","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"91","GCA_019154785.2","Stramenopiles",303405,"Nitzschia inconspicua",NA,NA,"H","H","H","H","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia","NCBI"
"92","GCA_019155685.1","Stramenopiles",109152,"Phytophthora boehmeriae","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"93","GCA_019828595.1","Stramenopiles",112091,"Aphanomyces cochlioides","M","H",NA,"H","L",NA,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces","NCBI"
"94","GCA_020800215.1","Stramenopiles",164328,"Phytophthora ramorum","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"95","GCA_027925865.1","Stramenopiles",4803,"Lagenidium giganteum","M","H","H","H","H",NA,NA,"Oomycota","Lagenidiales","Lagenidiaceae","Lagenidium","NCBI"
"96","GCA_029834535.1","Stramenopiles",2483200,"Chrysophaeum taylorii",NA,NA,"H","H","H",NA,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Chrysophaeum","NCBI"
"97","GCA_030267505.1","Stramenopiles",2962635,"Tetraparma gracilis",NA,"H","H","H","M",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Tetraparma","NCBI"
"98","GCA_030267625.1","Stramenopiles",2557542,"Triparma retinervis",NA,"H","H","H","H",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma","NCBI"
"99","GCA_030267725.1","Stramenopiles",2077276,"Phytophthora lilii",NA,"H","H","H","M",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"100","GCA_030267785.1","Stramenopiles",1490495,"Phytophthora fragariaefolia",NA,"H","H","H","M",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"101","GCA_030267805.1","Stramenopiles",1714387,"Triparma laevis f. longispina",NA,"H","H","H","H",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma","NCBI"
"102","GCA_030267905.1","Stramenopiles",1606542,"Triparma verrucosa",NA,"H","H","H","H",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma","NCBI"
"103","GCA_030267945.1","Stramenopiles",1606541,"Triparma strigata",NA,"H","H","H","H",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma","NCBI"
"104","GCA_030267965.1","Stramenopiles",722753,"Triparma columacea",NA,"H","H","H","H",NA,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma","NCBI"
"105","GCA_030871285.1","Stramenopiles",267567,"Skeletonema marinoi",NA,NA,"H","H","H","H","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Skeletonemataceae","Skeletonema","NCBI"
"106","GCA_031305395.1","Stramenopiles",4793,"Phytophthora citrophthora","M","H","H","H",NA,NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","NCBI"
"107","GCA_039096195.1","Stramenopiles",3128534,"Blastocystis sp. BT1",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"108","GCA_039096215.1","Stramenopiles",3128537,"Blastocystis sp. NMH",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"109","GCA_039096225.1","Stramenopiles",3128533,"Blastocystis sp. Blastoise",NA,"H","H","H","H",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"110","GCA_039096365.1","Stramenopiles",3128536,"Blastocystis sp. JDR",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"111","GCA_039096925.1","Stramenopiles",3128535,"Blastocystis sp. DL",NA,"H","H","H","M",NA,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","NCBI"
"112","GCA_900000015.1","Stramenopiles",4781,"Plasmopara halstedii","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Plasmopara","NCBI"
"113","GCA_900660405.1","Stramenopiles",183589,"Pseudo-nitzschia multistriata",NA,NA,"H","H",NA,"H","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Pseudo-nitzschia","NCBI"
"114","GCA_902602495.3","Stramenopiles",867726,"Ectocarpus sp. CCAP 1310/34",NA,"H","H","H","L",NA,"Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","NCBI"
"115","GCA_918797485.1","Stramenopiles",35677,"Pelagomonas calceolata",NA,NA,"H","H","H",NA,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Pelagomonas","NCBI"
"116","GCA_920618645.1","Stramenopiles",622444,"Peronospora belbahrii","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","NCBI"
"117","GCA_920940705.1","Stramenopiles",134698,"Peronospora farinosa","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","NCBI"
"118","GCA_921007115.2","Stramenopiles",2874970,"Peronospora matthiolae","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","NCBI"
"119","GCA_947650285.1","Stramenopiles",162125,"Hyaloperonospora brassicae","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Hyaloperonospora","NCBI"
"120","GCA_947650345.1","Stramenopiles",86335,"Peronospora destructor","M","H","H","H","H",NA,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","NCBI"
"121","GCA_964200265.1","Stramenopiles",1535356,"Ectocarpus sp. 12 AP-2014",NA,NA,NA,NA,NA,"H","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","NCBI"
"122","GCA_964200375.1","Stramenopiles",1535362,"Ectocarpus sp. 6 AP-2014",NA,NA,NA,NA,NA,"H","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","NCBI"
