"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"64","GCA_024505685.1","Discoba",5660,"Leishmania braziliensis",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"65","GCA_026419775.2","Discoba",1008807,"Acrasis kona",NA,"H","H","H","H",NA,NA,"Heterolobosea",NA,"Acrasidae","Acrasis","NCBI"
"66","GCA_030068145.1","Discoba",91374,"Diplonema papillatum",NA,"H","H","H","H",NA,"Diplonemea","Euglenozoa",NA,"Diplonemidae","Diplonema","NCBI"
"67","GCA_040363505.1","Discoba",653362,"Leishmania utingensis",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"68","GCA_040363515.1","Discoba",5680,"Leishmania shawi",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"69","GCA_040363635.1","Discoba",5678,"Leishmania naiffi",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"70","GCA_040363675.1","Discoba",651832,"Leishmania lindenbergi",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"71","GCA_900500625.2","Discoba",5671,"Leishmania infantum",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"72","Euggra1","Excavata",3039,"Euglena gracilis CCAP 1224/5Z v1.0",NA,NA,"H","H","L","L","Euglenida","Euglenozoa","Euglenales","Euglenaceae","Euglena","JGI"
"73","Giaint1","Excavata",184922,"Giardia intestinalis ATCC 50803",NA,NA,"H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","JGI"
