"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score"
"28","GCA_002215365.1","Stramenopile",4795,"Phytophthora megakarya","M",NA,"H","H",NA,NA,91,3
"29","GCA_002217885.1","Stramenopile",1519565,"Fistulifera solaris",NA,NA,"H","H","H",NA,97,1
"30","GCA_002897355.1","Stramenopile",2315210,"Hondaea fermentalgiana",NA,"H","H","H","H",NA,95,2
"31","GCA_002911725.1","Stramenopile",4796,"Phytophthora palmivora","L","H","M","H","H",NA,81,12
"32","GCA_004359215.2","Stramenopile",4779,"Bremia lactucae","M","H","H","H","H",NA,95,2
"33","GCA_004359215.2","Stramenopile",4779,"Bremia lactucae","M","H","H","H","H",NA,95,2
"34","GCA_004565275.1","Stramenopile",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,92,4
"35","GCA_004565275.1","Stramenopile",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,92,4
"36","GCA_005966545.1","Stramenopile",41045,"Pythium oligandrum","M","H","H","H","H",NA,100,0
"37","GCA_005966545.1","Stramenopile",41045,"Pythium oligandrum","M","H","H","H","H",NA,100,0
"38","GCA_006386115.1","Stramenopile",82926,"Globisporangium splendens","M","H","H","H","H",NA,92,0
"39","GCA_006386115.1","Stramenopile",82926,"Globisporangium splendens","M","H","H","H","H",NA,92,0
"40","GCA_008271595.1","Stramenopile",1485010,"[Pythium] brassicae (nom. inval.)","M","H","H","H","H",NA,100,0
"41","GCA_008330645.1","Stramenopile",33653,"Cafeteria roenbergensis",NA,NA,"H","H","M",NA,89,2
"42","GCA_009729455.1","Stramenopile",53985,"Phytophthora fragariae","M","H","H","H","H",NA,94,0
"43","GCA_009733145.1","Stramenopile",129364,"Phytophthora rubi","M","H","H","H","H",NA,100,0
"44","GCA_009835185.1","Stramenopile",120398,"Aphanomyces stellatus","M",NA,"H","H","H",NA,97,1
"45","GCA_012489335.1","Stramenopile",1714386,"Triparma laevis f. inornata",NA,"H","H","H","L",NA,75,9
"46","GCA_016618375.1","Stramenopile",4784,"Phytophthora capsici","M","H","H","H","H",NA,99,0
"47","GCA_016864655.1","Stramenopile",29920,"Phytophthora cactorum","M","H","H","H","H",NA,100,0
"48","GCA_016880985.1","Stramenopile",53986,"Phytophthora idaei","M","H","H","H","H",NA,100,0
"49","GCA_017506865.1","Stramenopile",303371,"Tribonema minus",NA,"M","H","H","H",NA,93,2
"50","GCA_018691715.1","Stramenopile",4785,"Phytophthora cinnamomi","M","H","H","H","H",NA,100,0
"51","GCA_018873745.1","Stramenopile",2496075,"Phytophthora aleatoria","M","H","H","H","H",NA,99,0
"52","GCA_019154785.2","Stramenopile",303405,"Nitzschia inconspicua",NA,NA,"H","H","H","H",100,0
"53","GCA_019155685.1","Stramenopile",109152,"Phytophthora boehmeriae","M","H","H","H","H",NA,92,0
"54","GCA_019828595.1","Stramenopile",112091,"Aphanomyces cochlioides","M","H",NA,"H","L",NA,80,2
"55","GCA_020800215.1","Stramenopile",164328,"Phytophthora ramorum","M","H","H","H","H",NA,99,1
"56","GCA_021491655.1","Stramenopile",542832,"Peronospora effusa","M","H","H","H","H",NA,95,2
"57","GCA_021527685.1","Stramenopile",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,98,2
"58","GCA_021927905.1","Stramenopile",426638,"Chaetoceros tenuissimus",NA,NA,"H","H","H","H",95,0
"59","GCA_022925895.1","Stramenopile",210448,"Fragilaria crotonensis",NA,NA,"H","H","H","H",75,6
"60","GCA_026184515.1","Stramenopile",230839,"Peronosclerospora sorghi",NA,"H","H","H","H",NA,81,4
"61","GCA_026225685.1","Stramenopile",4787,"Phytophthora infestans","M","H","H","H","H",NA,97,1
"62","GCA_026401375.1","Stramenopile",114742,"Pythium insidiosum","M","H","H","H","H",NA,96,2
"63","GCA_026770575.1","Stramenopile",483370,"Pelagophyceae sp. CCMP2097",NA,NA,"H","H","H",NA,94,2
"64","GCA_026770595.1","Stramenopile",483371,"Ochromonadaceae sp. CCMP2298",NA,NA,"H","H","H",NA,80,11
"65","GCA_027923505.1","Stramenopile",2872254,"Mayamaea pseudoterrestris",NA,NA,"H","H","H",NA,95,1
"66","GCA_027925865.1","Stramenopile",4803,"Lagenidium giganteum","M","H","H","H","H",NA,92,0
"67","GCA_029834535.1","Stramenopile",2483200,"Chrysophaeum taylorii",NA,NA,"H","H","H",NA,86,2
"68","GCA_030267505.1","Stramenopile",2962635,"Tetraparma gracilis",NA,"H","H","H","M",NA,66,12
"69","GCA_030267625.1","Stramenopile",2557542,"Triparma retinervis",NA,"H","H","H","H",NA,68,14
"70","GCA_030267725.1","Stramenopile",2077276,"Phytophthora lilii",NA,"H","H","H","M",NA,78,14
"71","GCA_030267785.1","Stramenopile",1490495,"Phytophthora fragariaefolia",NA,"H","H","H","M",NA,74,14
"72","GCA_030267805.1","Stramenopile",1714387,"Triparma laevis f. longispina",NA,"H","H","H","H",NA,93,0
"73","GCA_030267905.1","Stramenopile",1606542,"Triparma verrucosa",NA,"H","H","H","H",NA,95,0
"74","GCA_030267945.1","Stramenopile",1606541,"Triparma strigata",NA,"H","H","H","H",NA,94,0
"75","GCA_030267965.1","Stramenopile",722753,"Triparma columacea",NA,"H","H","H","H",NA,91,3
"76","GCA_030267985.1","Stramenopile",2962637,"Parmales sp. scaly parma",NA,"H","H","H","H",NA,91,1
"77","GCA_030871285.1","Stramenopile",267567,"Skeletonema marinoi",NA,NA,"H","H","H","H",87,7
"78","GCA_031305395.1","Stramenopile",4793,"Phytophthora citrophthora","M","H","H","H",NA,NA,91,1
"79","GCA_039096195.1","Stramenopile",3128534,"Blastocystis sp. BT1",NA,"H","H","H","M",NA,93,2
"80","GCA_039096215.1","Stramenopile",3128537,"Blastocystis sp. NMH",NA,"H","H","H","M",NA,95,2
"81","GCA_039096225.1","Stramenopile",3128533,"Blastocystis sp. Blastoise",NA,"H","H","H","H",NA,98,1
"82","GCA_039096365.1","Stramenopile",3128536,"Blastocystis sp. JDR",NA,"H","H","H","M",NA,93,2
"83","GCA_039096925.1","Stramenopile",3128535,"Blastocystis sp. DL",NA,"H","H","H","M",NA,85,8
"84","GCA_039096935.1","Stramenopile",478820,"Blastocystis sp. ATCC 50177/Nand II",NA,"H","H","H","M",NA,93,2
"85","GCA_900000015.1","Stramenopile",4781,"Plasmopara halstedii","M","H","H","H","H",NA,100,0
"86","GCA_900660405.1","Stramenopile",183589,"Pseudo-nitzschia multistriata",NA,NA,"H","H",NA,"H",86,1
"87","GCA_902602495.3","Stramenopile",867726,"Ectocarpus sp. CCAP 1310/34",NA,"H","H","H","L",NA,83,4
"88","GCA_903772945.1","Stramenopile",568900,"Seminavis robusta",NA,NA,"H","H","H","H",99,0
"89","GCA_918797485.1","Stramenopile",35677,"Pelagomonas calceolata",NA,NA,"H","H","H",NA,89,1
"90","GCA_920618645.1","Stramenopile",622444,"Peronospora belbahrii","M","H","H","H","H",NA,98,0
"91","GCA_921007115.2","Stramenopile",2874970,"Peronospora matthiolae","M","H","H","H","H",NA,98,1
"92","GCA_933822405.4","Stramenopile",2856,"Cylindrotheca closterium",NA,NA,"H","H","H",NA,97,1
"93","GCA_947646735.1","Stramenopile",134698,"Peronospora farinosa","M","H","H","H","H",NA,98,0
"94","GCA_947650285.1","Stramenopile",162125,"Hyaloperonospora brassicae","M","H","H","H","H",NA,99,0
"95","GCA_947650345.1","Stramenopile",86335,"Peronospora destructor","M","H","H","H","H",NA,96,3
"96","GCA_964200265.1","Stramenopile",1535356,"Ectocarpus sp. 12 AP-2014",NA,NA,NA,NA,NA,"H",2,0
"97","GCA_964200375.1","Stramenopile",1535362,"Ectocarpus sp. 6 AP-2014",NA,NA,NA,NA,NA,"H",2,0
