"","Accn","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source","Group"
"27","GCA_016618255.1",1653778,"Chlamydomonas sp. UWO 241",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI","Chlorophyta"
"28","GCA_016834595.1",2026947,"Chlamydomonas schloesseri",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI","Chlorophyta"
"29","GCA_016834605.1",51695,"Chlamydomonas incerta",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI","Chlorophyta"
"30","GCA_016858145.1",47281,"Edaphochlamys debaryana",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales",NA,"Edaphochlamys","NCBI","Chlorophyta"
"31","GCA_019044685.2",1650286,"Chlorella desiccata (nom. nud.)",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI","Chlorophyta"
"32","GCA_019650175.1",51714,"Volvox africanus",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","NCBI","Chlorophyta"
"33","GCA_019650235.1",1737510,"Volvox reticuliferus",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","NCBI","Chlorophyta"
"34","GCA_020887355.1",2315456,"Coccomyxa sp. Obi",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI","Chlorophyta"
"35","GCA_021605115.1",47775,"Astrephomene gubernaculifera",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Astrephomenaceae","Astrephomene","NCBI","Chlorophyta"
"36","GCA_023343905.1",3077,"Chlorella vulgaris",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI","Chlorophyta"
"37","GCA_025026875.1",2649997,"Chlorella ohadii",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI","Chlorophyta"
"38","GCA_025201885.1",39955,"Monoraphidium minutum",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","NCBI","Chlorophyta"
"39","GCA_025209345.1",2696299,"Picochlorum sp. BPE23",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","NCBI","Chlorophyta"
"40","GCA_030267485.1",330485,"Pleodorina starrii",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Pleodorina","NCBI","Chlorophyta"
"41","GCA_030272055.1",3088,"Tetradesmus obliquus",NA,NA,NA,"H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","NCBI","Chlorophyta"
"42","GCA_030272585.1",3041901,"Bryopsis sp. KO-2023",NA,NA,"H","H","H","H","Ulvophyceae","Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis","NCBI","Chlorophyta"
"43","GCA_031763795.1",3111,"Prototheca wickerhamii",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Prototheca","NCBI","Chlorophyta"
"44","GCA_034226045.1",1470871,"Picochlorum sp. SENEW3",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","NCBI","Chlorophyta"
"45","GCA_038396805.1",1461544,"Chloropicon roscoffensis",NA,"M","H","H","H",NA,"Chloropicophyceae","Chlorophyta","Chloropicales","Chloropicaceae","Chloropicon","NCBI","Chlorophyta"
"46","GCA_040144335.1",381761,"Elliptochloris bilobata",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Elliptochloris","NCBI","Chlorophyta"
"47","GCA_040144355.1",904363,"Apatococcus lobatus",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Apatococcus","NCBI","Chlorophyta"
"48","GCA_040144375.1",2026836,"Apatococcus fuscideae",NA,NA,"H","H","L",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Apatococcus","NCBI","Chlorophyta"
"49","GCA_040144395.1",41462,"[Myrmecia] bisecta",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Myrmecia","NCBI","Chlorophyta"
"50","GCA_040144405.1",706552,"Symbiochloris irregularis",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Symbiochloris","NCBI","Chlorophyta"
"51","GCA_040182555.1",248742,"Coccomyxa subellipsoidea",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI","Chlorophyta"
"52","GCA_040206735.1",2905653,"Trebouxia sp. C0004",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI","Chlorophyta"
"53","GCA_040206745.1",2905655,"Trebouxia sp. C0006",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI","Chlorophyta"
"54","GCA_040206755.1",2905654,"Trebouxia sp. C0005",NA,NA,"H","H","M",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI","Chlorophyta"
"55","GCA_040746505.1",2578422,"Sanguina aurantia",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Sanguina","NCBI","Chlorophyta"
"56","GCA_045269255.1",3373144,"Trebouxia sp. C0009 RCD-2024",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI","Chlorophyta"
"57","GCA_045269315.1",3373145,"Trebouxia sp. C0010 RCD-2024",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI","Chlorophyta"
"58","GCA_905146915.1",121088,"Ostreobium quekettii",NA,NA,"H","H","H",NA,"Ulvophyceae","Chlorophyta","Bryopsidales","Ostreobiaceae","Ostreobium","NCBI","Chlorophyta"
"59","GCA_916048055.1",765719,"Pedinophyceae sp. YPF-701",NA,NA,"H","H","H",NA,"Pedinophyceae","Chlorophyta",NA,NA,NA,"NCBI","Chlorophyta"
"60","GCA_963575595.1",1274662,"Coccomyxa viridis",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI","Chlorophyta"
"61","GCA_964261555.1",1965095,"Coccomyxa elongata",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI","Chlorophyta"
"62","DesarSE107_1",375941,"Desmodesmus armatus isolate SE107 v1.0",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Desmodesmus","JGI","Chlorophyta"
"63","Limspi1",2954232,"Limnomonas spitsbergensis CCryo_02-99_CH",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales",NA,"Limnomonas","JGI","Chlorophyta"
"64","Chrzof2",31302,"Chromochloris zofingiensis var. SAG 211-14 v6.0",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Chromochloridaceae","Chromochloris","JGI","Chlorophyta"
"65","ScespWC1_1",3087,"Scenedesmus sp. WC-1 v1.0",NA,NA,"H","H","H","L","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","JGI","Chlorophyta"
"66","Chloso1230_1_1",3071,"Chlorella sorokiniana UTEX 1230",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI","Chlorophyta"
"67","Trebou978_1",75966,"Trebouxiophyceae sp. bin 3300059473_978 v1.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,NA,"JGI","Chlorophyta"
"68","Trebou4402_1",2941158,"Chlorellaceae sp. bin 3300059473_4402 v1.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae",NA,"JGI","Chlorophyta"
"69","Chlremi1",2069334,"Chloromonas remiasii CCCryo 005-99 v1.0",NA,NA,"H","H","H","H","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chloromonas","JGI","Chlorophyta"
"70","Botrbrau1_1",1202541,"Botryococcus braunii Showa",NA,NA,"H","H","M",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Botryococcus","JGI","Chlorophyta"
"71","Pedmin1",3159,"Pedinomonas minor SAG 1965-3",NA,NA,"H","H","H",NA,"Pedinophyceae","Chlorophyta","Pedinomonadales","Pedinomonadaceae","Pedinomonas","JGI","Chlorophyta"
"72","MicrYARC1",2904290,"Microglena sp. YARC",NA,NA,"H","H","H","M","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Microglena","JGI","Chlorophyta"
"73","MicrAD1_1",38832,"Micromonas sp. AD1 metagenome extracted assembly",NA,NA,"H","H","M",NA,"Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","JGI","Chlorophyta"
"74","TetrdesSNI2_1",2780016,"Tetradesmus deserticola SNI-2 v1.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI","Chlorophyta"
"75","Flerot1_1",269715,"Flechtneria rotunda SEV3VF49 v1.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Flechtneria","JGI","Chlorophyta"
"76","Enacos1_1",113528,"Enallax costatus CCAP 276/31 v1.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Enallax","JGI","Chlorophyta"
"77","Pico_ML_1",2320818,"Picocystis sp. ML",NA,NA,NA,"M",NA,NA,"Picocystophyceae","Chlorophyta","Picocystales","Picocystaceae","Picocystis","JGI","Chlorophyta"
"78","Picre1",2601844,"Picochlorum renovo",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","JGI","Chlorophyta"
"79","Picsp_1",2053932,"Picochlorum soloecismus DOE101",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","JGI","Chlorophyta"
"80","ChloA99_1",2041167,"Chlorella  sp. A99",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI","Chlorophyta"
"81","Tetstr1",3165,"Tetraselmis striata",NA,NA,"H","H","H",NA,"Chlorodendrophyceae","Chlorophyta","Chlorodendrales","Chlorodendraceae","Tetraselmis","JGI","Chlorophyta"
"82","Caulen1",148947,"Caulerpa lentillifera",NA,NA,"H","H","H",NA,"Ulvophyceae","Chlorophyta","Bryopsidales","Caulerpaceae","Caulerpa","JGI","Chlorophyta"
"83","Volca2_1",3067,"Volvox carteri v2.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","JGI","Chlorophyta"
"84","SymretSc1",40981,"Symbiochloris reticulata Scotland extracted metagenome v1.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Symbiochloris","JGI","Chlorophyta"
"85","Astpho2",763042,"Asterochloris glomerata Cgr/DA1pho v2.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Asterochloris","JGI","Chlorophyta"
"86","Batpra1",1075084,"Bathycoccus prasinos RCC1105",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Bathycoccus","JGI","Chlorophyta"
"87","Ulvmu1_1",498180,"Ulva mutabilis Foyn",NA,NA,"H","H","H",NA,"Ulvophyceae","Chlorophyta","Ulvales","Ulvaceae","Ulva","JGI","Chlorophyta"
