"Accn","Group","Organism.Taxonomic.ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"GCA_002157705.1","Alveolata",77519,"Plasmodium gonderi",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_002563875.1","Alveolata",94643,"Besnoitia besnoiti",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Besnoitia","NCBI"
"GCA_002600585.1","Alveolata",483139,"Cystoisospora suis",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Cystoisospora","NCBI"
"GCA_002897235.1","Alveolata",189622,"Babesia ovata",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_003072535.4","Alveolata",68886,"Theileria orientalis",NA,NA,NA,"M",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria","NCBI"
"GCA_004369235.1","Alveolata",2494336,"Perkinsus sp. BL_2016",NA,NA,NA,NA,NA,NA,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus","NCBI"
"GCA_004936735.2","Alveolata",1280935,"Cryptosporidium sp. chipmunk genotype I",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_007210665.1","Alveolata",756076,"Cryptosporidium tyzzeri",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_009768925.2","Alveolata",310047,"Cryptosporidium bovis",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_009792415.2","Alveolata",515981,"Cryptosporidium ryanae",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_013099955.1","Alveolata",5811,"Toxoplasma gondii",NA,NA,NA,"H","L",NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","NCBI"
"GCA_013115115.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus","NCBI"
"GCA_013115145.1","Alveolata",330153,"Perkinsus chesapeaki",NA,"L","M","H","M",NA,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus","NCBI"
"GCA_014529505.1","Alveolata",83540,"Cryptosporidium felis",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_015476325.1","Alveolata",476202,"Cardiosporidium cionae",NA,NA,NA,"M","M",NA,"Aconoidasida","Apicomplexa","Nephromycida",NA,"Cardiosporidium","NCBI"
"GCA_019968955.1","Alveolata",2853593,"Porospora cf. gigantea A",NA,NA,NA,"M",NA,NA,"Conoidasida","Apicomplexa","Eugregarinorida","Porosporidae","Porospora","NCBI"
"GCA_023705535.2","Alveolata",5869,"Babesia ovis",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_023973825.1","Alveolata",5824,"Plasmodium brasilianum",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_024862765.1","Alveolata",5871,"Babesia caballi",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_027243965.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_028658345.1","Alveolata",323732,"Babesia duncani",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_030849525.1","Alveolata",33632,"Babesia gibsoni",NA,NA,NA,"H",NA,NA,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia","NCBI"
"GCA_031892065.1","Alveolata",2138604,"Cryptosporidium sp. 43IA8",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_037039495.1","Alveolata",659607,"Cryptosporidium xiaoi",NA,NA,NA,"H",NA,NA,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","NCBI"
"GCA_900002335.2","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900002375.2","Alveolata",5823,"Plasmodium berghei ANKA",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900002385.2","Alveolata",5861,"Plasmodium yoelii",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900005765.1","Alveolata",85471,"Plasmodium relictum",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900005855.1","Alveolata",5849,"Plasmodium gallinaceum",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900044335.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900088485.1","Alveolata",864142,"Plasmodium ovale wallikeri",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900088555.1","Alveolata",864141,"Plasmodium ovale curtisi",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900088575.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900090025.2","Alveolata",36330,"Plasmodium ovale",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900095565.1","Alveolata",5826,"Plasmodium chabaudi adami",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900095595.1","Alveolata",880534,"Plasmodium sp. gorilla clade G1",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900097015.1","Alveolata",880535,"Plasmodium sp. gorilla clade G2",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900097035.1","Alveolata",880536,"Plasmodium sp. gorilla clade G3",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_900240055.1","Alveolata",720590,"Plasmodium sp. DRC-Itaito",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_902459845.2","Alveolata",2600580,"Hepatocystis sp. ex Piliocolobus tephrosceles",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Hepatocystis","NCBI"
"GCA_903994205.1","Alveolata",119398,"Plasmodium vinckei brucechwatti",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_903994225.1","Alveolata",138297,"Plasmodium vinckei lentum",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_903994265.1","Alveolata",5860,"Plasmodium vinckei",NA,NA,NA,NA,NA,NA,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium","NCBI"
"GCA_905178155.1","Alveolata",2202890,"Amoebophrya sp. A120",NA,NA,NA,"M",NA,NA,"Dinophyceae",NA,"Syndiniales","Amoebophryaceae","Amoebophrya","NCBI"
"GCA_905182975.1","Alveolata",5886,"Paramecium primaurelia","M",NA,NA,"H","H",NA,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","NCBI"
"GCA_905182985.1","Alveolata",65129,"Paramecium sonneborni","M","H",NA,"H","H",NA,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","NCBI"
"GCA_905182995.1","Alveolata",43137,"Paramecium octaurelia","M","H",NA,"H","H",NA,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","NCBI"
"GCA_905183005.1","Alveolata",43138,"Paramecium pentaurelia","M","H",NA,"H","H",NA,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","NCBI"
"GCA_905221605.1","Alveolata",878477,"Symbiodinium natans",NA,NA,NA,"H","L",NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_905221615.1","Alveolata",631055,"Symbiodinium sp. CCMP2592",NA,NA,NA,"H","L",NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_905221625.1","Alveolata",230985,"Symbiodinium sp. KB8",NA,NA,NA,"H","H","H","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_905221635.1","Alveolata",1519616,"Symbiodinium sp. CCMP2456",NA,NA,NA,"H",NA,"H","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_905231905.1","Alveolata",2952,"Symbiodinium pilosum",NA,NA,NA,NA,NA,NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_905231915.1","Alveolata",1628268,"Symbiodinium necroappetens",NA,NA,NA,NA,"L","H","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","NCBI"
"GCA_905237085.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella","NCBI"
"GCA_914767885.1","Alveolata",1481888,"Blepharisma stoltei",NA,"H",NA,"H","M",NA,"Heterotrichea","Ciliophora","Heterotrichida","Blepharismidae","Blepharisma","NCBI"
"GCA_946863485.1","Alveolata",5936,"Moneuplotes crassus",NA,NA,NA,"H","M",NA,"Spirotrichea","Ciliophora","Euplotida","Euplotidae","Moneuplotes","NCBI"
"GCA_947184155.2","Alveolata",2562237,"Cladocopium goreaui",NA,NA,NA,"H","L",NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Cladocopium","NCBI"
"GCA_963377065.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium","NCBI"
"GCA_963969995.1","Alveolata",1381693,"Durusdinium trenchii",NA,NA,NA,"H","L",NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Durusdinium","NCBI"
"Amoce1","Alveolata",1775427,"Amoebophrya ceratii AT5.2",NA,NA,NA,"M",NA,NA,"Dinophyceae",NA,"Syndiniales","Amoebophryaceae","Amoebophrya","JGI"
"Chrveli1","Alveolata",1169474,"Chromera velia CCMP2878",NA,NA,"H","H","H",NA,NA,NA,NA,"Chromeraceae","Chromera","JGI"
