"","X.1","X","Accn","Super.Group","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class.name","Phylum.name","Order.name","Family.name","Genus.name"
"55",55,55,"GCA_003546825.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,85,12,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"56",56,56,"GCA_003666305.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,51,13,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"57",57,57,"GCA_003704535.1","Stramenopiles",542832,"Peronospora effusa","M","H","H","H","H",NA,93,3,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"58",58,58,"GCA_003843895.1","Stramenopiles",542832,"Peronospora effusa","M","H","H","H","H",NA,94,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"59",59,59,"GCA_003843895.1","Stramenopiles",542832,"Peronospora effusa","M","H","H","H","H",NA,94,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"60",60,60,"GCA_004359215.2","Stramenopiles",4779,"Bremia lactucae","M","H","H","H","H",NA,95,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia"
"61",61,61,"GCA_004359215.2","Stramenopiles",4779,"Bremia lactucae","M","H","H","H","H",NA,95,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia"
"62",62,62,"GCA_004565275.1","Stramenopiles",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,92,4,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Microchloropsis"
"63",63,63,"GCA_004565275.1","Stramenopiles",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,92,4,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Microchloropsis"
"64",64,64,"GCA_005966545.1","Stramenopiles",41045,"Pythium oligandrum","M","H","H","H","H",NA,100,0,NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"65",65,65,"GCA_005966545.1","Stramenopiles",41045,"Pythium oligandrum","M","H","H","H","H",NA,100,0,NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"66",66,66,"GCA_006386115.1","Stramenopiles",82926,"Globisporangium splendens","M","H","H","H","H",NA,92,0,NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium"
"67",67,67,"GCA_006386115.1","Stramenopiles",82926,"Globisporangium splendens","M","H","H","H","H",NA,92,0,NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium"
"68",68,68,"GCA_008271595.1","Stramenopiles",1485010,"[Pythium] brassicae (nom. inval.)","M","H","H","H","H",NA,100,0,NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium"
"69",69,69,"GCA_008330625.1","Stramenopiles",33653,"Cafeteria roenbergensis",NA,NA,"H","H","M",NA,87,1,"Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria"
"70",70,70,"GCA_008330635.1","Stramenopiles",33653,"Cafeteria roenbergensis",NA,NA,"H","H","M",NA,86,2,"Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria"
"71",71,71,"GCA_008330645.1","Stramenopiles",33653,"Cafeteria roenbergensis",NA,NA,"H","H","M",NA,89,2,"Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria"
"72",72,72,"GCA_008330665.1","Stramenopiles",33653,"Cafeteria roenbergensis",NA,NA,"H","H","M",NA,90,1,"Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria"
"73",73,73,"GCA_009729455.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,94,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"74",74,74,"GCA_009732905.1","Stramenopiles",129364,"Phytophthora rubi","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"75",75,75,"GCA_009732925.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"76",76,76,"GCA_009732945.1","Stramenopiles",129364,"Phytophthora rubi","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"77",77,77,"GCA_009732985.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"78",78,78,"GCA_009733005.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"79",79,79,"GCA_009733025.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"80",80,80,"GCA_009733045.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"81",81,81,"GCA_009733065.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"82",82,82,"GCA_009733085.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"83",83,83,"GCA_009733105.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"84",84,84,"GCA_009733125.1","Stramenopiles",53985,"Phytophthora fragariae","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"85",85,85,"GCA_009733145.1","Stramenopiles",129364,"Phytophthora rubi","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"86",86,86,"GCA_009835175.1","Stramenopiles",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,100,0,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"87",87,87,"GCA_009835185.1","Stramenopiles",120398,"Aphanomyces stellatus","M",NA,"H","H","H",NA,97,1,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"88",88,88,"GCA_009835205.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,49,21,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"89",89,89,"GCA_010194725.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,91,4,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"90",90,90,"GCA_012295175.1","Stramenopiles",4787,"Phytophthora infestans","M","H","H","H","H",NA,98,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"91",91,91,"GCA_012489335.1","Stramenopiles",1714386,"Triparma laevis f. inornata",NA,"H","H","H","L",NA,75,9,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
"92",92,92,"GCA_012552325.1","Stramenopiles",4787,"Phytophthora infestans","M","H","H","H","H",NA,96,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"93",93,93,"GCA_016618375.1","Stramenopiles",4784,"Phytophthora capsici","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"94",94,94,"GCA_016864635.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"95",95,95,"GCA_016864655.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"96",96,96,"GCA_016864665.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"97",97,97,"GCA_016864695.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"98",98,98,"GCA_016864715.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"99",99,99,"GCA_016864735.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"100",100,100,"GCA_016864755.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"101",101,101,"GCA_016864775.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"102",102,102,"GCA_016864795.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"103",103,103,"GCA_016864815.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"104",104,104,"GCA_016864835.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"105",105,105,"GCA_016864855.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"106",106,106,"GCA_016865055.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"107",107,107,"GCA_016865075.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"108",108,108,"GCA_016865085.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"109",109,109,"GCA_016865095.1","Stramenopiles",53986,"Phytophthora idaei","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"110",110,110,"GCA_016880175.1","Stramenopiles",53986,"Phytophthora idaei","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"111",111,111,"GCA_016880985.1","Stramenopiles",53986,"Phytophthora idaei","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"112",112,112,"GCA_016906365.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"113",113,113,"GCA_016906365.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"114",114,114,"GCA_017309695.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"115",115,115,"GCA_017506865.1","Stramenopiles",303371,"Tribonema minus",NA,"M","H","H","H",NA,93,2,"Xanthophyceae",NA,"Tribonematales","Tribonemataceae","Tribonema"
"116",116,116,"GCA_018691715.1","Stramenopiles",4785,"Phytophthora cinnamomi","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"117",117,117,"GCA_018873745.1","Stramenopiles",2496075,"Phytophthora aleatoria","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"118",118,118,"GCA_018873755.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,98,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"119",119,119,"GCA_019154785.2","Stramenopiles",303405,"Nitzschia inconspicua",NA,NA,"H","H","H","H",100,0,"Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia"
"120",120,120,"GCA_019155685.1","Stramenopiles",109152,"Phytophthora boehmeriae","M","H","H","H","H",NA,92,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"121",121,121,"GCA_019828595.1","Stramenopiles",112091,"Aphanomyces cochlioides","M","H",NA,"H","L",NA,80,2,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"122",122,122,"GCA_020800215.1","Stramenopiles",164328,"Phytophthora ramorum","M","H","H","H","H",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"123",123,123,"GCA_020800235.1","Stramenopiles",164328,"Phytophthora ramorum","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"124",124,124,"GCA_021029035.1","Stramenopiles",44056,"Aureococcus anophagefferens",NA,NA,"H","H","H","H",65,9,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus"
"125",125,125,"GCA_021029045.1","Stramenopiles",44056,"Aureococcus anophagefferens",NA,NA,"H","H","H","H",69,10,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus"
"126",126,126,"GCA_021029115.1","Stramenopiles",44056,"Aureococcus anophagefferens",NA,NA,"H","H","H","H",71,9,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus"
"127",127,127,"GCA_021491655.1","Stramenopiles",542832,"Peronospora effusa","M","H","H","H","H",NA,95,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"128",128,128,"GCA_021527665.1","Stramenopiles",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,100,0,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"129",129,129,"GCA_021527685.1","Stramenopiles",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,98,2,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"130",130,130,"GCA_021527805.1","Stramenopiles",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,100,0,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"131",131,131,"GCA_021927905.1","Stramenopiles",426638,"Chaetoceros tenuissimus",NA,NA,"H","H","H","H",95,0,"Coscinodiscophyceae","Bacillariophyta","Chaetocerotales","Chaetocerotaceae","Chaetoceros"
"132",132,132,"GCA_022925895.1","Stramenopiles",210448,"Fragilaria crotonensis",NA,NA,"H","H","H","H",75,6,"Fragilariophyceae","Bacillariophyta","Fragilariales","Fragilariaceae","Fragilaria"
"133",133,133,"GCA_026184515.1","Stramenopiles",230839,"Peronosclerospora sorghi",NA,"H","H","H","H",NA,81,4,NA,"Oomycota","Peronosporales","Peronosporaceae","Peronosclerospora"
"134",134,134,"GCA_026225685.1","Stramenopiles",4787,"Phytophthora infestans","M","H","H","H","H",NA,97,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"135",135,135,"GCA_026401375.1","Stramenopiles",114742,"Pythium insidiosum","M","H","H","H","H",NA,96,2,NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"136",136,136,"GCA_026401395.1","Stramenopiles",114742,"Pythium insidiosum","M","H","H","H","H",NA,99,0,NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"137",137,137,"GCA_026770575.1","Stramenopiles",483370,"Pelagophyceae sp. CCMP2097",NA,NA,"H","H","H",NA,94,2,"Pelagophyceae",NA,NA,NA,NA
"138",138,138,"GCA_026770595.1","Stramenopiles",483371,"Ochromonadaceae sp. CCMP2298",NA,NA,"H","H","H",NA,80,11,"Synurophyceae",NA,"Ochromonadales","Ochromonadaceae",NA
"139",139,139,"GCA_027923505.1","Stramenopiles",2872254,"Mayamaea pseudoterrestris",NA,NA,"H","H","H",NA,95,1,"Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Mayamaea"
"140",140,140,"GCA_027925865.1","Stramenopiles",4803,"Lagenidium giganteum","M","H","H","H","H",NA,92,0,NA,"Oomycota","Lagenidiales","Lagenidiaceae","Lagenidium"
"141",141,141,"GCA_029747605.1","Stramenopiles",4785,"Phytophthora cinnamomi","M","H","H","H","H",NA,46,17,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"142",142,142,"GCA_029834535.1","Stramenopiles",2483200,"Chrysophaeum taylorii",NA,NA,"H","H","H",NA,86,2,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Chrysophaeum"
"143",143,143,"GCA_030267505.1","Stramenopiles",2962635,"Tetraparma gracilis",NA,"H","H","H","M",NA,66,12,"Bolidophyceae",NA,"Parmales","Triparmaceae","Tetraparma"
"144",144,144,"GCA_030267625.1","Stramenopiles",2557542,"Triparma retinervis",NA,"H","H","H","H",NA,68,14,"Bolidophyceae",NA,"Parmales","Triparmaceae","Triparma"
