"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score"
"102","GCA_900002375.2","Alveolata",5823,"Plasmodium berghei ANKA",NA,NA,NA,NA,NA,NA,99.07,0.03
"103","GCA_900002385.2","Alveolata",5861,"Plasmodium yoelii",NA,NA,NA,NA,NA,NA,98.98,0.05
"104","GCA_900005765.1","Alveolata",85471,"Plasmodium relictum",NA,NA,NA,NA,NA,NA,98.82,0.11
"105","GCA_900005855.1","Alveolata",5849,"Plasmodium gallinaceum",NA,NA,NA,NA,NA,NA,98.46,0.38
"106","GCA_900044335.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,98.3,0.16
"107","GCA_900088485.1","Alveolata",864142,"Plasmodium ovale wallikeri",NA,NA,NA,NA,NA,NA,80.89,5.35
"108","GCA_900088565.1","Alveolata",864141,"Plasmodium ovale curtisi",NA,NA,NA,NA,NA,NA,85.15,3.49
"109","GCA_900090035.2","Alveolata",36330,"Plasmodium ovale",NA,NA,NA,NA,NA,NA,98.46,0.3
"110","GCA_900090045.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,98.98,0.03
"111","GCA_900095565.1","Alveolata",5826,"Plasmodium chabaudi adami",NA,NA,NA,NA,NA,NA,98.11,0.03
"112","GCA_900095595.1","Alveolata",880534,"Plasmodium sp. gorilla clade G1",NA,NA,NA,NA,NA,NA,98.63,0.14
"113","GCA_900097015.1","Alveolata",880535,"Plasmodium sp. gorilla clade G2",NA,NA,NA,NA,NA,NA,98.98,0.05
"114","GCA_900097035.1","Alveolata",880536,"Plasmodium sp. gorilla clade G3",NA,NA,NA,NA,NA,NA,97.2,0.6
"115","GCA_900257145.2","Alveolata",720590,"Plasmodium sp. DRC-Itaito",NA,NA,NA,NA,NA,NA,93.66,0.74
"116","GCA_900681995.1","Alveolata",54757,"Plasmodium vinckei vinckei",NA,NA,NA,NA,NA,NA,98.08,0.47
"117","GCA_902459845.2","Alveolata",2600580,"Hepatocystis sp. ex Piliocolobus tephrosceles",NA,NA,NA,NA,NA,NA,90.22,3.08
"118","GCA_903994205.1","Alveolata",119398,"Plasmodium vinckei brucechwatti",NA,NA,NA,NA,NA,NA,97.25,0.88
"119","GCA_903994225.1","Alveolata",138297,"Plasmodium vinckei lentum",NA,NA,NA,NA,NA,NA,97.2,0.6
"120","GCA_903994235.1","Alveolata",138298,"Plasmodium vinckei petteri",NA,NA,NA,NA,NA,NA,97.86,0.6
"121","GCA_903994265.1","Alveolata",5860,"Plasmodium vinckei",NA,NA,NA,NA,NA,NA,96.62,1.02
"122","GCA_905178155.1","Alveolata",2202890,"Amoebophrya sp. A120",NA,NA,NA,"M",NA,NA,95.32,0.58
"123","GCA_905182975.1","Alveolata",5886,"Paramecium primaurelia","M",NA,NA,"H","H",NA,97.08,1.17
"124","GCA_905182985.1","Alveolata",65129,"Paramecium sonneborni","M","H",NA,"H","H",NA,98.83,0.58
"125","GCA_905182995.1","Alveolata",43137,"Paramecium octaurelia","M","H",NA,"H","H",NA,96.49,1.75
"126","GCA_905183005.1","Alveolata",43138,"Paramecium pentaurelia","M","H",NA,"H","H",NA,98.25,1.17
"127","GCA_905221605.1","Alveolata",878477,"Symbiodinium natans",NA,NA,NA,"H","L",NA,69.59,12.28
"128","GCA_905221615.1","Alveolata",631055,"Symbiodinium sp. CCMP2592",NA,NA,NA,"H","L",NA,75.44,11.11
"129","GCA_905221625.1","Alveolata",230985,"Symbiodinium sp. KB8",NA,NA,NA,"H","H","H",91.23,4.09
"130","GCA_905221635.1","Alveolata",1519616,"Symbiodinium sp. CCMP2456",NA,NA,NA,"H",NA,"H",70.18,11.7
"131","GCA_905231905.1","Alveolata",2952,"Symbiodinium pilosum",NA,NA,NA,NA,NA,NA,54.97,13.45
"132","GCA_905231915.1","Alveolata",1628268,"Symbiodinium necroappetens",NA,NA,NA,NA,"L","H",63.16,15.79
"133","GCA_914767885.1","Alveolata",1481888,"Blepharisma stoltei",NA,"H",NA,"H","M",NA,95.91,2.92
"134","GCA_946863485.1","Alveolata",5936,"Moneuplotes crassus",NA,NA,NA,"H","M",NA,91.81,21.64
"135","GCA_947184155.2","Alveolata",2562237,"Cladocopium goreaui",NA,NA,NA,"H","L",NA,82.46,7.02
"136","GCA_963377175.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,75.44,9.36
"137","GCA_963575745.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,61.4,22.81
"138","GCA_963970005.1","Alveolata",1381693,"Durusdinium trenchii",NA,NA,NA,"H","L",NA,74.85,9.36
"139","GCA_000512085.1","Rhizaria",46433,"Reticulomyxa filosa",NA,"M","M","H","M",NA,36.86,27.84
"140","GCA_000698435.2","Rhizaria",641309,"Lotharella oceanica",NA,NA,NA,NA,NA,"H",1.96,1.18
"141","GCA_001049375.1","Rhizaria",37360,"Plasmodiophora brassicae",NA,"H","H","H","H",NA,88.63,3.92
"142","GCA_009731375.1","Rhizaria",1928728,"Paulinella micropora",NA,NA,NA,NA,NA,"H",1.96,0.78
"143","GCA_039583845.1","Rhizaria",2184066,"Marteilia pararefringens",NA,NA,NA,"H",NA,NA,21.18,12.94
"144","GCA_040357525.1","Rhizaria",126728,"Bonamia ostreae",NA,"L",NA,"M","L",NA,25.88,18.82
"145","GCA_040357535.1","Rhizaria",2844372,"Paramarteilia canceri",NA,NA,"L","L",NA,NA,9.41,15.29
"146","GCA_040357565.1","Rhizaria",1215613,"Cercozoa sp. M6MM",NA,NA,NA,"H","L",NA,55.29,14.51
"147","GCA_000142945.1","Stramenopile",403677,"Phytophthora infestans T30-4","M","H","H","H","H",NA,100,0
"148","GCA_000149405.2","Stramenopile",296543,"Thalassiosira pseudonana CCMP1335",NA,NA,"H","H","H","M",97,3
"149","GCA_000149755.2","Stramenopile",67593,"Phytophthora sojae","M","H","H","H","M",NA,99,1
"150","GCA_000150955.2","Stramenopile",556484,"Phaeodactylum tricornutum CCAP 1055/1",NA,NA,"H","H","H",NA,96,4
"151","GCA_000151545.2","Stramenopile",695850,"Saprolegnia parasitica CBS 223.65","M","H","H","H","H",NA,98,1
"152","GCA_000151665.1","Stramenopile",12968,"Blastocystis hominis",NA,"H","H","H","M",NA,87,13
"153","GCA_000186865.1","Stramenopile",44056,"Aureococcus anophagefferens",NA,NA,"H","H","H","H",84,11
"154","GCA_000240725.1","Stramenopile",1093141,"Nannochloropsis gaditana CCMP526",NA,NA,"H","H",NA,NA,40,9
"155","GCA_000281045.1","Stramenopile",1156394,"Saprolegnia diclina VS20","M","H","H","H","H",NA,99,0
"156","GCA_000296195.2","Stramenopile",159749,"Thalassiosira oceanica",NA,NA,"H","H","M","H",89,7
"157","GCA_000310025.1","Stramenopile",2880,"Ectocarpus siliculosus",NA,"H","H","H","H",NA,97,3
"158","GCA_000333075.3","Stramenopile",1284355,"Phytophthora kernoviae 00238/432","M","H","M","H","H",NA,95,4
"159","GCA_000365505.1","Stramenopile",1317065,"Phytophthora nicotianae P1569","M","H","H","H","H",NA,99,0
"160","GCA_000365525.1","Stramenopile",1317066,"Phytophthora nicotianae P1976","M","H","H","H","H",NA,99,0
"161","GCA_000365545.1","Stramenopile",1317063,"Phytophthora nicotianae CJ01A1","M","H","H","H","H",NA,99,0
"162","GCA_000367145.1","Stramenopile",1317064,"Phytophthora nicotianae P10297","M","H","H","H","H",NA,99,0
"163","GCA_000520075.1","Stramenopile",112090,"Aphanomyces astaci","M","H","H","H","H",NA,100,0
"164","GCA_000520115.1","Stramenopile",157072,"Aphanomyces invadans","M","H","H","H","H",NA,99,1
"165","GCA_000569095.1","Stramenopile",72520,"Nannochloropsis gaditana",NA,NA,"H","H","H","H",86,9
"166","GCA_000743755.1","Stramenopile",944170,"Blastocystis sp. subtype 4",NA,"H","H","H","M",NA,98,2
"167","GCA_001078535.1","Stramenopile",65357,"Albugo candida","M","H","H","H","H",NA,99,1
"168","GCA_001482985.1","Stramenopile",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,91,2
"169","GCA_001707905.2","Stramenopile",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,96,3
"170","GCA_001712635.2","Stramenopile",2483409,"Nothophytophthora sp. Chile5",NA,"H","H","H","H",NA,89,4
"171","GCA_001750085.1","Stramenopile",635003,"Fragilariopsis cylindrus CCMP1102",NA,NA,"H","H","H",NA,94,5
"172","GCA_002081575.1","Stramenopile",74557,"Thraustotheca clavata","M","H","H","H","H",NA,100,0
"173","GCA_002081595.1","Stramenopile",1202772,"Achlya hypogyna","M","H","H","H","H",NA,99,1
"174","GCA_002215365.1","Stramenopile",4795,"Phytophthora megakarya","M",NA,"H","H",NA,NA,91,3
"175","GCA_002217885.1","Stramenopile",1519565,"Fistulifera solaris",NA,NA,"H","H","H",NA,97,1
"176","GCA_002897355.1","Stramenopile",2315210,"Hondaea fermentalgiana",NA,"H","H","H","H",NA,95,2
"177","GCA_002911725.1","Stramenopile",4796,"Phytophthora palmivora","L","H","M","H","H",NA,81,12
"178","GCA_004359215.2","Stramenopile",4779,"Bremia lactucae","M","H","H","H","H",NA,95,2
"179","GCA_004359215.2","Stramenopile",4779,"Bremia lactucae","M","H","H","H","H",NA,95,2
"180","GCA_004565275.1","Stramenopile",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,92,4
"181","GCA_004565275.1","Stramenopile",1027361,"Nannochloropsis salina CCMP1776",NA,"M","H","H","H",NA,92,4
"182","GCA_005966545.1","Stramenopile",41045,"Pythium oligandrum","M","H","H","H","H",NA,100,0
"183","GCA_005966545.1","Stramenopile",41045,"Pythium oligandrum","M","H","H","H","H",NA,100,0
"184","GCA_006386115.1","Stramenopile",82926,"Globisporangium splendens","M","H","H","H","H",NA,92,0
"185","GCA_006386115.1","Stramenopile",82926,"Globisporangium splendens","M","H","H","H","H",NA,92,0
"186","GCA_008271595.1","Stramenopile",1485010,"[Pythium] brassicae (nom. inval.)","M","H","H","H","H",NA,100,0
"187","GCA_008330645.1","Stramenopile",33653,"Cafeteria roenbergensis",NA,NA,"H","H","M",NA,89,2
"188","GCA_009729455.1","Stramenopile",53985,"Phytophthora fragariae","M","H","H","H","H",NA,94,0
"189","GCA_009733145.1","Stramenopile",129364,"Phytophthora rubi","M","H","H","H","H",NA,100,0
"190","GCA_009835185.1","Stramenopile",120398,"Aphanomyces stellatus","M",NA,"H","H","H",NA,97,1
"191","GCA_012489335.1","Stramenopile",1714386,"Triparma laevis f. inornata",NA,"H","H","H","L",NA,75,9
"192","GCA_016618375.1","Stramenopile",4784,"Phytophthora capsici","M","H","H","H","H",NA,99,0
"193","GCA_016864655.1","Stramenopile",29920,"Phytophthora cactorum","M","H","H","H","H",NA,100,0
"194","GCA_016880985.1","Stramenopile",53986,"Phytophthora idaei","M","H","H","H","H",NA,100,0
"195","GCA_017506865.1","Stramenopile",303371,"Tribonema minus",NA,"M","H","H","H",NA,93,2
"196","GCA_018691715.1","Stramenopile",4785,"Phytophthora cinnamomi","M","H","H","H","H",NA,100,0
"197","GCA_018873745.1","Stramenopile",2496075,"Phytophthora aleatoria","M","H","H","H","H",NA,99,0
"198","GCA_019154785.2","Stramenopile",303405,"Nitzschia inconspicua",NA,NA,"H","H","H","H",100,0
"199","GCA_019155685.1","Stramenopile",109152,"Phytophthora boehmeriae","M","H","H","H","H",NA,92,0
"200","GCA_019828595.1","Stramenopile",112091,"Aphanomyces cochlioides","M","H",NA,"H","L",NA,80,2
"201","GCA_020800215.1","Stramenopile",164328,"Phytophthora ramorum","M","H","H","H","H",NA,99,1
"202","GCA_021491655.1","Stramenopile",542832,"Peronospora effusa","M","H","H","H","H",NA,95,2
"203","GCA_021527685.1","Stramenopile",100861,"Aphanomyces euteiches","M","H","H","H","H",NA,98,2
"204","GCA_021927905.1","Stramenopile",426638,"Chaetoceros tenuissimus",NA,NA,"H","H","H","H",95,0
"205","GCA_022925895.1","Stramenopile",210448,"Fragilaria crotonensis",NA,NA,"H","H","H","H",75,6
"206","GCA_026184515.1","Stramenopile",230839,"Peronosclerospora sorghi",NA,"H","H","H","H",NA,81,4
"207","GCA_026225685.1","Stramenopile",4787,"Phytophthora infestans","M","H","H","H","H",NA,97,1
"208","GCA_026401375.1","Stramenopile",114742,"Pythium insidiosum","M","H","H","H","H",NA,96,2
"209","GCA_026770575.1","Stramenopile",483370,"Pelagophyceae sp. CCMP2097",NA,NA,"H","H","H",NA,94,2
"210","GCA_026770595.1","Stramenopile",483371,"Ochromonadaceae sp. CCMP2298",NA,NA,"H","H","H",NA,80,11
"211","GCA_027923505.1","Stramenopile",2872254,"Mayamaea pseudoterrestris",NA,NA,"H","H","H",NA,95,1
"212","GCA_027925865.1","Stramenopile",4803,"Lagenidium giganteum","M","H","H","H","H",NA,92,0
"213","GCA_029834535.1","Stramenopile",2483200,"Chrysophaeum taylorii",NA,NA,"H","H","H",NA,86,2
"214","GCA_030267505.1","Stramenopile",2962635,"Tetraparma gracilis",NA,"H","H","H","M",NA,66,12
"215","GCA_030267625.1","Stramenopile",2557542,"Triparma retinervis",NA,"H","H","H","H",NA,68,14
"216","GCA_030267725.1","Stramenopile",2077276,"Phytophthora lilii",NA,"H","H","H","M",NA,78,14
"217","GCA_030267785.1","Stramenopile",1490495,"Phytophthora fragariaefolia",NA,"H","H","H","M",NA,74,14
"218","GCA_030267805.1","Stramenopile",1714387,"Triparma laevis f. longispina",NA,"H","H","H","H",NA,93,0
"219","GCA_030267905.1","Stramenopile",1606542,"Triparma verrucosa",NA,"H","H","H","H",NA,95,0
"220","GCA_030267945.1","Stramenopile",1606541,"Triparma strigata",NA,"H","H","H","H",NA,94,0
"221","GCA_030267965.1","Stramenopile",722753,"Triparma columacea",NA,"H","H","H","H",NA,91,3
"222","GCA_030267985.1","Stramenopile",2962637,"Parmales sp. scaly parma",NA,"H","H","H","H",NA,91,1
"223","GCA_030871285.1","Stramenopile",267567,"Skeletonema marinoi",NA,NA,"H","H","H","H",87,7
"224","GCA_031305395.1","Stramenopile",4793,"Phytophthora citrophthora","M","H","H","H",NA,NA,91,1
"225","GCA_039096195.1","Stramenopile",3128534,"Blastocystis sp. BT1",NA,"H","H","H","M",NA,93,2
"226","GCA_039096215.1","Stramenopile",3128537,"Blastocystis sp. NMH",NA,"H","H","H","M",NA,95,2
"227","GCA_039096225.1","Stramenopile",3128533,"Blastocystis sp. Blastoise",NA,"H","H","H","H",NA,98,1
"228","GCA_039096365.1","Stramenopile",3128536,"Blastocystis sp. JDR",NA,"H","H","H","M",NA,93,2
"229","GCA_039096925.1","Stramenopile",3128535,"Blastocystis sp. DL",NA,"H","H","H","M",NA,85,8
"230","GCA_039096935.1","Stramenopile",478820,"Blastocystis sp. ATCC 50177/Nand II",NA,"H","H","H","M",NA,93,2
"231","GCA_900000015.1","Stramenopile",4781,"Plasmopara halstedii","M","H","H","H","H",NA,100,0
"232","GCA_900660405.1","Stramenopile",183589,"Pseudo-nitzschia multistriata",NA,NA,"H","H",NA,"H",86,1
