Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_916048055.1	Pedinophyceae_YPF-701_genome	Pedinophyceae sp. YPF-701	765719	27899919	Contig
GCA_016834595.1	ASM1683459v1	Chlamydomonas schloesseri	2026947	130201002	Contig
GCA_040206735.1	ASM4020673v1	Trebouxia sp. C0004	2905653	70863246	Scaffold
GCA_016858145.1	ASM1685814v1	Edaphochlamys debaryana	47281	142143002	Contig
GCA_040206755.1	ASM4020675v1	Trebouxia sp. C0005	2905654	62215734	Scaffold
GCA_016618255.1	CUWO241_v1.0_nuclear	Chlamydomonas sp. UWO 241	1653778	211641456	Scaffold
GCA_025201885.1	Monmin1	Monoraphidium minutum	39955	68170630	Scaffold
GCA_014080715.1	Scesp_1	Scenedesmus sp. NREL 46B-D3	2650976	151896789	Contig
GCA_008636185.1	ASM863618v1	Trebouxia sp. A1-2	2608996	52896788	Scaffold
GCA_905146915.1	Ostreobium_1D_genome	Ostreobium quekettii	121088	151902089	Scaffold
GCA_040144375.1	ASM4014437v1	Apatococcus fuscideae	2026836	102683555	Scaffold
GCA_025026875.1	ASM2502687v1	Chlorella ohadii	2649997	57091209	Scaffold
GCA_002891735.1	TetSoc1	Tetrabaena socialis	47790	135779852	Scaffold
GCA_000690575.1	Helico_v1.0	Helicosporidium sp. ATCC 50920	1291522	12373820	Contig
GCA_030272055.1	ASM3027205v1	Tetradesmus obliquus	3088	100347600	Complete Genome
GCA_007859695.1	ASM785969v1	Chloropicon primus	1764295	17400691	Complete Genome
GCA_034226945.1	ASM3422694v1	Picochlorum sp. SENEW3	1470871	13740543	Complete Genome
GCA_040182555.1	ASM4018255v1	Coccomyxa subellipsoidea	248742	50915843	Scaffold
GCA_011766145.1	Lacustris_1.0	Haematococcus lacustris	44745	171794631	Scaffold
GCA_002245835.2	Chlorella_sorokiniana 2.0	Chlorella sorokiniana	3076	59371605	Contig
GCA_003709365.1	ASM370936v1	Auxenochlorella protothecoides	3075	21075690	Scaffold
GCA_002158475.1	Ostta1115_2	Ostreococcus tauri	70448	14762682	Scaffold
GCA_015473125.1	Ppro_1.0	Pycnococcus provasolii	41880	22700889	Contig
GCA_000151265.1	Micromonas pusilla CCMP1545 v2.0	Micromonas pusilla CCMP1545	564608	21958260	Scaffold
GCA_019650175.1	Vafri_1.0	Volvox africanus	51714	129328469	Contig
GCA_030267485.1	PlestMale_1.0	Pleodorina starrii	330485	134838970	Contig
GCA_030267705.1	PlestFemale_1.0	Pleodorina starrii	330485	134979981	Contig
GCA_963575595.1	GTX0488_nuclear_assembly	Coccomyxa viridis	1274662	45727155	Contig
GCA_045269315.1	ASM4526931v1	Trebouxia sp. C0010 RCD-2024	3373145	66155697	Contig
GCA_045269255.1	ASM4526925v1	Trebouxia sp. C0009 RCD-2024	3373144	73882637	Contig
GCA_019650255.1	Vretimale_1.0	Volvox reticuliferus	1737510	133961728	Contig
GCA_019202925.1	LANL_v2	Chlorella desiccata (nom. nud.)	1650286	20738005	Contig
GCA_025209375.1	ASM2520937v1	Picochlorum sp. BPE23	2696299	13436362	Contig
GCA_040746505.1	ASM4074650v1	Sanguina aurantia	2578422	95906580	Scaffold
